,IDENTIFIER,TOTAL,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
,1kmN2186E5019,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
,1kmN2187E5019,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
,1kmN2188E5014,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
,1kmN2188E5015,6,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0
,1kmN2188E5019,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,1kmN2189E5015,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,1kmN2191E5013,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
,1kmN2192E5011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,1kmN2192E5013,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
,1kmN2194E5007,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
,1kmN2194E5008,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
,1kmN2194E5009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,1kmN2194E5010,6,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2195E5005,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2195E5006,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
,1kmN2195E5008,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,1kmN2195E5009,26,1,0,4,0,0,0,2,0,5,0,0,1,3,0,1,2,0,3,4,0
,1kmN2195E5010,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
,1kmN2195E5012,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
