IDENTIFIER,TOTAL,WOMEN,MEN,TOTAL_0_14,WOMEN_0_14,MEN_0_14,TOTAL_15_64,WOMEN_15_64,MEN_15_64_,TOTAL_65p,WOMEN_65p,MEN_65p,INACTIVE_POPULATION,LABOUR_FORCE,BASIC_EDUCATION_OR_LESS,UPPER_SECONDARY_EDUCATION,TERTIARY_EDUCATION
1kmN2198E5001,111,57,54,19,8,11,74,38,36,18,11,7,44,48,26,45,21
1kmN2198E5002,85,41,44,15,7,8,56,28,28,14,6,8,24,46,11,47,12
1kmN2198E5004,D,D,D,0,0,0,D,D,D,0,0,0,D,D,D,D,D
1kmN2198E5005,18,11,7,D,D,D,9,D,D,6,D,D,D,D,D,D,D
1kmN2198E5006,30,14,16,6,D,D,19,8,11,5,D,D,D,16,D,13,D
1kmN2198E5007,133,64,69,18,7,11,86,40,46,29,17,12,58,57,51,47,17
1kmN2198E5008,52,25,27,16,9,7,31,13,18,5,D,D,12,24,11,19,D
1kmN2198E5011,47,25,22,D,D,D,35,14,21,10,D,D,19,26,11,31,D
1kmN2198E5012,34,15,19,D,D,D,26,12,14,7,D,D,19,14,11,18,D
1kmN2199E4997,59,29,30,14,7,7,45,22,23,0,0,0,D,37,D,31,D
1kmN2199E4998,127,65,62,26,9,17,85,45,40,16,11,5,45,56,28,59,14
1kmN2199E4999,50,25,25,11,5,6,34,18,16,5,D,D,D,29,D,24,12
1kmN2199E5003,D,D,D,0,0,0,D,D,D,D,D,D,D,D,0,D,D
1kmN2199E5004,12,5,7,D,D,D,6,D,D,D,D,D,D,D,D,D,0
1kmN2199E5005,35,19,16,9,D,D,19,12,7,7,D,D,15,11,D,16,D
1kmN2199E5006,29,16,13,5,D,D,18,8,10,6,D,D,12,12,D,13,D
1kmN2199E5007,37,21,16,8,D,D,26,14,12,D,D,D,14,15,D,18,D
1kmN2199E5008,17,D,D,0,0,0,11,D,D,6,D,D,D,D,11,D,0
1kmN2200E4996,1097,549,548,185,84,101,766,392,374,146,73,73,417,495,136,521,255
1kmN2200E4997,306,152,154,55,25,30,224,114,110,27,13,14,103,148,52,161,38
1kmN2200E4998,491,245,246,84,43,41,366,176,190,41,26,15,143,264,75,260,72
1kmN2200E4999,8,D,D,0,0,0,6,D,D,D,D,D,D,D,D,D,D
1kmN2200E5000,55,27,28,8,D,D,39,18,21,8,D,D,21,26,14,32,D
1kmN2200E5001,75,33,42,17,8,9,52,22,30,6,D,D,24,34,15,36,D
1kmN2200E5002,128,62,66,31,12,19,82,42,40,15,8,7,52,45,36,54,D
1kmN2200E5003,23,11,12,D,D,D,15,8,7,7,D,D,D,12,D,15,D
1kmN2200E5004,25,15,10,D,D,D,17,11,6,6,D,D,D,13,D,15,D
1kmN2200E5005,8,D,D,0,0,0,8,D,D,0,0,0,D,D,D,D,0
1kmN2200E5006,16,7,9,6,D,D,9,D,D,D,D,D,D,D,D,D,D
1kmN2201E4995,32,16,16,D,D,D,24,12,12,6,D,D,13,17,D,13,13
1kmN2201E4996,324,183,141,44,26,18,212,112,100,68,45,23,148,132,62,147,71
1kmN2201E4997,415,204,211,72,33,39,291,141,150,52,30,22,156,187,72,216,55
1kmN2201E4998,20,10,10,D,D,D,17,8,9,D,D,D,D,13,D,D,D
1kmN2201E4999,52,27,25,10,D,D,31,18,13,11,5,6,18,24,16,23,D
1kmN2201E5003,8,D,D,D,D,D,5,D,D,D,D,D,D,D,D,D,0
1kmN2201E5004,14,8,6,D,D,D,11,D,D,D,D,D,D,D,D,D,D
1kmN2202E4998,D,D,D,0,0,0,D,D,D,0,0,0,D,D,D,D,0
1kmN2202E5000,7,D,D,0,0,0,D,D,D,D,D,D,D,0,D,0,0
1kmN2202E5002,16,9,7,D,D,D,13,8,5,D,D,D,D,D,D,D,D
1kmN2203E4996,129,66,63,12,5,7,106,55,51,11,6,5,39,78,14,77,26
1kmN2203E4997,86,44,42,11,D,D,63,36,27,12,5,7,36,39,18,43,14
1kmN2203E4998,10,D,D,D,D,D,6,D,D,D,D,D,D,D,D,D,D
1kmN2203E5002,10,D,D,0,0,0,7,D,D,D,D,D,D,D,D,D,D
1kmN2203E5003,33,19,14,8,D,D,15,6,9,10,D,D,16,D,15,D,D
1kmN2203E5004,14,5,9,0,0,0,11,D,D,D,D,D,D,D,D,D,0
1kmN2204E4987,D,D,D,0,0,0,0,0,0,D,D,D,D,0,D,D,0
