IDENTIFIER,TOTAL,WOMEN,MEN,TOTAL_0_14,WOMEN_0_14,MEN_0_14,TOTAL_15_64,WOMEN_15_64,MEN_15_64_,TOTAL_65p,WOMEN_65p,MEN_65p,INACTIVE_POPULATION,LABOUR_FORCE,BASIC_EDUCATION_OR_LESS,UPPER_SECONDARY_EDUCATION,TERTIARY_EDUCATION
1kmN2448E4608,2299,1190,1109,268,120,148,1585,817,768,446,253,193,988,1041,424,1183,423
1kmN2448E4609,691,359,332,119,57,62,491,257,234,81,45,36,215,357,135,340,97
1kmN2448E4610,83,41,42,17,8,9,55,26,29,11,D,D,24,42,12,44,D
1kmN2448E4611,7,D,D,0,0,0,5,D,D,D,D,D,D,D,D,D,0
1kmN2448E4612,D,D,D,0,0,0,D,D,D,0,0,0,0,D,0,0,D
1kmN2448E4617,7,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
1kmN2448E4618,92,55,37,18,13,5,65,35,30,9,D,D,34,40,32,33,D
1kmN2448E4621,14,6,8,D,D,D,9,D,D,D,D,D,D,D,D,D,D
1kmN2448E4622,14,8,6,D,D,D,7,D,D,D,D,D,D,D,D,D,0
1kmN2448E4624,14,7,7,D,D,D,7,D,D,5,D,D,D,D,D,D,0
1kmN2448E4626,16,D,D,D,D,D,8,D,D,6,D,D,11,D,D,D,D
1kmN2448E4627,18,8,10,0,0,0,18,8,10,0,0,0,D,15,D,14,D
1kmN2448E4628,123,59,64,16,9,7,74,33,41,33,17,16,59,48,34,66,D
1kmN2448E4634,6,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0
1kmN2448E4635,10,D,D,D,D,D,8,D,D,D,D,D,D,D,D,D,0
1kmN2448E4636,138,74,64,15,8,7,83,42,41,40,24,16,64,59,45,65,13
1kmN2448E4641,14,7,7,D,D,D,9,D,D,D,D,D,D,D,D,D,D
1kmN2448E4642,13,7,6,0,0,0,10,5,5,D,D,D,D,D,D,D,D
1kmN2448E4643,145,77,68,22,12,10,110,57,53,13,8,5,48,75,17,79,27
1kmN2448E4644,44,21,23,D,D,D,32,15,17,9,D,D,18,23,11,23,D
1kmN2448E4645,90,46,44,11,D,D,65,37,28,14,6,8,34,45,19,43,17
1kmN2448E4646,37,21,16,D,D,D,29,14,15,5,D,D,14,20,D,18,D
1kmN2448E4647,10,D,D,D,D,D,7,D,D,D,D,D,D,D,0,D,D
1kmN2448E4674,D,D,D,0,0,0,D,D,D,0,0,0,D,D,D,0,D
1kmN2448E4675,121,65,56,14,D,D,89,44,45,18,11,7,60,47,40,62,D
1kmN2448E4677,148,77,71,22,11,11,108,55,53,18,11,7,58,68,48,66,12
1kmN2448E4678,372,180,192,67,32,35,252,115,137,53,33,20,137,168,109,173,23
1kmN2448E4682,19,11,8,D,D,D,12,6,6,5,D,D,D,D,D,12,D
1kmN2448E4683,30,16,14,D,D,D,26,13,13,D,D,D,17,12,D,15,D
1kmN2448E4684,396,196,200,56,25,31,262,134,128,78,37,41,158,182,74,203,63
1kmN2448E4685,41,22,19,7,D,D,11,6,5,23,14,9,15,D,D,16,D
1kmN2448E4705,10,5,5,0,0,0,6,D,D,D,D,D,D,D,D,D,0
1kmN2448E4706,D,D,D,0,0,0,0,0,0,D,D,D,D,0,0,D,0
1kmN2448E4708,D,D,D,0,0,0,0,0,0,D,D,D,D,0,D,0,0
1kmN2448E4711,8,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0
1kmN2448E4712,15,9,6,D,D,D,10,5,5,D,D,D,11,D,D,D,0
1kmN2448E4713,10,5,5,D,D,D,D,D,D,6,D,D,D,D,D,D,0
1kmN2448E4714,11,D,D,0,0,0,7,D,D,D,D,D,D,D,D,D,D
1kmN2448E4715,9,D,D,0,0,0,6,D,D,D,D,D,D,D,D,D,D
1kmN2448E4723,D,D,D,0,0,0,0,0,0,D,D,D,D,0,D,0,0
1kmN2448E4724,26,15,11,D,D,D,19,10,9,6,D,D,16,D,14,D,D
1kmN2448E4725,28,11,17,5,D,D,20,8,12,D,D,D,13,D,13,D,0
1kmN2448E4727,14,7,7,D,D,D,8,D,D,D,D,D,D,D,D,D,0
1kmN2448E4728,21,13,8,D,D,D,8,D,D,11,D,D,16,D,14,D,0
1kmN2448E4730,15,6,9,D,D,D,7,D,D,5,D,D,11,D,D,D,0
1kmN2448E4731,40,23,17,5,D,D,23,11,12,12,D,D,26,D,24,11,0
1kmN2448E4734,D,D,D,0,0,0,D,D,D,D,D,D,D,0,D,0,0
1kmN2448E4737,D,D,D,0,0,0,D,D,D,D,D,D,D,D,D,0,0
1kmN2448E4738,13,6,7,0,0,0,D,D,D,11,6,5,12,D,12,D,0
1kmN2448E4747,D,D,D,0,0,0,D,D,D,D,D,D,D,D,D,D,0
1kmN2448E4750,10,5,5,0,0,0,D,D,D,6,D,D,D,0,D,D,0
1kmN2448E4764,D,D,D,0,0,0,D,D,D,D,D,D,D,0,D,D,0
1kmN2448E4766,173,87,86,29,12,17,114,55,59,30,20,10,85,59,43,78,23
1kmN2448E4767,45,25,20,11,D,D,25,11,14,9,D,D,23,11,24,D,0
1kmN2448E4770,D,D,D,0,0,0,D,D,D,D,D,D,D,0,D,D,0
1kmN2448E4773,59,25,34,9,D,D,42,15,27,8,D,D,23,27,25,24,D
1kmN2448E4775,D,D,D,0,0,0,D,D,D,0,0,0,D,0,D,0,0
1kmN2449E4607,156,86,70,9,D,D,107,55,52,40,28,12,75,62,33,76,38
1kmN2449E4608,206,97,109,24,11,13,143,64,79,39,22,17,100,82,58,90,34
1kmN2449E4609,75,34,41,14,6,8,50,24,26,11,D,D,30,31,15,38,D
1kmN2449E4610,59,30,29,D,D,D,45,24,21,12,6,6,37,19,19,35,D
1kmN2449E4621,7,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,D
1kmN2449E4622,38,21,17,5,D,D,22,12,10,11,6,5,19,14,14,16,D
1kmN2449E4623,70,33,37,10,D,D,47,21,26,13,6,7,29,31,25,27,D
1kmN2449E4624,80,39,41,6,D,D,60,28,32,14,9,5,29,45,23,37,14
1kmN2449E4625,15,7,8,D,D,D,10,5,5,D,D,D,D,D,D,D,D
1kmN2449E4626,128,64,64,15,7,8,91,42,49,22,15,7,52,61,36,66,11
1kmN2449E4627,77,36,41,10,D,D,53,23,30,14,9,5,31,36,19,42,D
1kmN2449E4632,17,8,9,D,D,D,11,6,5,D,D,D,D,D,D,D,D
1kmN2449E4633,88,42,46,11,5,6,57,23,34,20,14,6,39,38,35,36,D
1kmN2449E4634,83,45,38,11,D,D,53,31,22,19,11,8,37,35,23,39,D
1kmN2449E4635,56,30,26,D,D,D,44,22,22,8,D,D,19,33,19,29,D
1kmN2449E4636,23,12,11,D,D,D,13,6,7,6,D,D,D,D,D,D,D
1kmN2449E4639,65,38,27,D,D,D,48,26,22,14,D,D,28,34,20,36,D
1kmN2449E4641,33,19,14,D,D,D,18,10,8,14,9,5,21,11,12,15,D
1kmN2449E4642,958,516,442,125,59,66,627,319,308,206,138,68,431,402,370,409,54
1kmN2449E4643,242,125,117,32,14,18,159,75,84,51,36,15,100,110,52,124,34
1kmN2449E4644,83,40,43,14,6,8,54,26,28,15,8,7,29,40,17,49,D
1kmN2449E4645,253,134,119,34,20,14,178,91,87,41,23,18,84,135,49,120,50
1kmN2449E4646,27,14,13,D,D,D,19,10,9,5,D,D,14,D,D,D,D
1kmN2449E4648,265,158,107,21,13,8,152,84,68,92,61,31,143,101,71,130,42
1kmN2449E4649,22,11,11,D,D,D,14,8,6,5,D,D,D,D,D,D,D
1kmN2449E4674,58,29,29,11,6,5,44,21,23,D,D,D,21,26,13,26,D
1kmN2449E4676,30,15,15,D,D,D,16,6,10,11,D,D,18,D,D,16,D
1kmN2449E4678,150,74,76,25,15,10,97,45,52,28,14,14,58,67,51,70,D
1kmN2449E4682,5,D,D,0,0,0,D,D,D,D,D,D,D,0,D,D,D
1kmN2449E4705,32,19,13,D,D,D,26,15,11,D,D,D,20,D,D,17,D
1kmN2449E4710,D,D,D,0,0,0,D,D,D,D,D,D,D,D,D,D,0
1kmN2449E4711,11,6,5,0,0,0,5,D,D,6,D,D,D,D,D,D,0
1kmN2449E4715,D,D,D,0,0,0,0,0,0,D,D,D,D,0,D,D,0
1kmN2449E4717,D,D,D,0,0,0,0,0,0,D,D,D,D,0,0,0,D
1kmN2449E4721,D,D,D,0,0,0,0,0,0,D,D,D,D,0,D,0,0
1kmN2449E4723,D,D,D,0,0,0,D,D,D,D,D,D,D,0,D,D,0
1kmN2449E4724,5,D,D,0,0,0,D,D,D,D,D,D,D,D,D,D,0
1kmN2449E4725,63,28,35,7,D,D,44,14,30,12,D,D,35,21,39,17,0
1kmN2449E4726,64,34,30,9,D,D,35,16,19,20,13,7,38,17,42,13,0
1kmN2449E4727,25,13,12,D,D,D,18,8,10,6,D,D,18,D,17,D,0
1kmN2449E4728,93,53,40,9,D,D,46,20,26,38,31,7,55,29,43,35,D
1kmN2449E4729,55,23,32,D,D,D,38,14,24,14,7,7,38,14,37,14,D
1kmN2449E4730,20,13,7,D,D,D,11,D,D,8,D,D,11,D,14,D,0
1kmN2449E4731,15,6,9,D,D,D,11,D,D,D,D,D,D,D,D,D,D
1kmN2449E4734,29,17,12,5,D,D,16,8,8,8,D,D,16,D,16,D,0
1kmN2449E4735,38,17,21,D,D,D,23,8,15,13,8,5,23,13,27,D,0
1kmN2449E4736,37,19,18,6,D,D,17,9,8,14,8,6,22,D,19,11,D
1kmN2449E4737,9,D,D,D,D,D,7,D,D,0,0,0,D,D,D,D,0
1kmN2449E4747,5,D,D,0,0,0,D,D,D,D,D,D,D,0,D,D,D
1kmN2449E4748,D,D,D,0,0,0,0,0,0,D,D,D,D,0,D,0,0
1kmN2449E4762,D,D,D,0,0,0,D,D,D,D,D,D,D,D,D,0,0
1kmN2449E4765,6,D,D,0,0,0,D,D,D,D,D,D,D,D,D,D,0
1kmN2449E4766,33,16,17,10,5,5,18,8,10,5,D,D,D,13,11,12,0
1kmN2449E4767,46,24,22,7,D,D,24,12,12,15,8,7,21,18,18,21,0
1kmN2449E4769,D,D,D,0,0,0,D,D,D,0,0,0,D,D,D,0,D
1kmN2449E4770,D,D,D,0,0,0,D,D,D,D,D,D,D,0,D,0,0
1kmN2449E4773,D,D,D,0,0,0,D,D,D,0,0,0,D,0,D,D,0
1kmN2449E4775,D,D,D,0,0,0,0,0,0,D,D,D,D,0,D,0,0
1kmN2450E4606,33,16,17,D,D,D,14,6,8,16,10,6,18,12,13,D,D
1kmN2450E4607,247,126,121,25,12,13,168,84,84,54,30,24,124,98,32,115,75
1kmN2450E4608,66,31,35,8,D,D,46,22,24,12,D,D,28,30,24,31,D
1kmN2450E4613,113,54,59,21,8,13,86,44,42,6,D,D,30,62,12,56,24
1kmN2450E4614,137,67,70,27,12,15,95,46,49,15,9,6,37,72,28,71,11
1kmN2450E4616,38,17,21,5,D,D,29,13,16,D,D,D,12,21,D,19,D
1kmN2450E4621,D,D,D,0,0,0,D,D,D,0,0,0,D,D,0,D,D
1kmN2450E4623,80,46,34,6,D,D,46,24,22,28,19,9,43,31,24,46,D
1kmN2450E4624,20,10,10,D,D,D,11,5,6,6,D,D,11,D,D,D,D
1kmN2450E4625,17,8,9,D,D,D,11,D,D,5,D,D,D,D,D,D,D
1kmN2450E4627,66,35,31,12,7,5,40,19,21,14,9,5,27,27,21,30,D
1kmN2450E4629,29,15,14,D,D,D,12,6,6,14,8,6,17,D,16,D,D
1kmN2450E4632,D,D,D,0,0,0,0,0,0,D,D,D,D,0,D,0,0
1kmN2450E4633,46,28,18,5,D,D,31,15,16,10,D,D,18,23,18,21,D
1kmN2450E4635,39,21,18,D,D,D,27,16,11,10,D,D,18,19,16,12,D
1kmN2450E4636,104,54,50,20,11,9,68,32,36,16,11,5,35,49,24,51,D
1kmN2450E4639,42,25,17,7,D,D,28,16,12,7,D,D,17,18,14,18,D
1kmN2450E4640,66,32,34,9,D,D,47,21,26,10,D,D,24,33,22,32,D
1kmN2450E4641,92,45,47,11,D,D,59,28,31,22,13,9,35,46,16,49,16
1kmN2450E4642,84,50,34,12,D,D,57,30,27,15,D,D,30,42,11,31,30
1kmN2450E4643,432,219,213,52,24,28,308,149,159,72,46,26,178,202,147,209,24
1kmN2450E4644,370,170,200,61,23,38,272,126,146,37,21,16,129,179,84,185,39
1kmN2450E4645,625,313,312,70,33,37,433,208,225,122,72,50,242,313,138,290,127
1kmN2450E4646,396,202,194,40,16,24,264,128,136,92,58,34,172,184,88,177,91
1kmN2450E4647,24,12,12,5,D,D,17,9,8,D,D,D,D,11,D,12,D
1kmN2450E4648,1101,544,557,125,59,66,760,358,402,216,127,89,455,519,140,505,329
1kmN2450E4649,5,D,D,0,0,0,D,D,D,D,D,D,D,D,D,0,D
1kmN2450E4671,D,D,D,0,0,0,D,D,D,D,D,D,D,0,0,0,D
1kmN2450E4672,93,40,53,D,D,D,67,28,39,22,11,11,45,44,19,51,19
1kmN2450E4673,46,23,23,6,D,D,34,17,17,6,D,D,23,17,16,20,D
1kmN2450E4675,10,D,D,D,D,D,9,D,D,0,0,0,D,D,D,D,0
1kmN2450E4676,23,13,10,D,D,D,14,8,6,5,D,D,12,D,D,D,D
1kmN2450E4685,8,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
1kmN2450E4708,D,D,D,0,0,0,D,D,D,0,0,0,D,D,D,D,0
1kmN2450E4710,14,6,8,0,0,0,9,D,D,5,D,D,D,D,D,D,D
1kmN2450E4721,5,D,D,0,0,0,D,D,D,D,D,D,D,D,D,D,0
1kmN2450E4722,D,D,D,0,0,0,D,D,D,D,D,D,D,0,D,0,0
1kmN2450E4723,13,7,6,D,D,D,D,D,D,6,D,D,D,D,D,D,D
1kmN2450E4725,45,24,21,11,D,D,31,14,17,D,D,D,19,15,27,D,0
1kmN2450E4726,22,11,11,6,D,D,12,6,6,D,D,D,D,D,11,D,0
1kmN2450E4727,76,40,36,13,6,7,47,23,24,16,11,5,40,23,39,23,D
1kmN2450E4730,45,21,24,D,D,D,28,11,17,14,9,5,27,15,30,12,0
1kmN2450E4731,29,13,16,5,D,D,21,9,12,D,D,D,14,D,D,15,0
1kmN2450E4732,8,D,D,0,0,0,D,D,D,5,D,D,D,D,D,D,0
1kmN2450E4733,7,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0
1kmN2450E4734,D,D,D,0,0,0,0,0,0,D,D,D,D,0,0,D,0
1kmN2450E4735,39,18,21,7,D,D,22,10,12,10,D,D,19,13,19,13,0
1kmN2450E4746,24,11,13,6,D,D,8,D,D,10,D,D,14,D,16,D,0
1kmN2450E4747,7,D,D,0,0,0,5,D,D,D,D,D,D,D,D,D,0
1kmN2450E4766,81,42,39,13,8,5,48,22,26,20,12,8,35,33,32,32,D
1kmN2450E4767,19,9,10,D,D,D,10,D,D,7,D,D,D,D,D,D,0
1kmN2450E4769,D,D,D,0,0,0,D,D,D,0,0,0,D,0,0,D,0
1kmN2450E4775,D,D,D,0,0,0,0,0,0,D,D,D,D,0,D,0,0
1kmN2451E4606,25,11,14,D,D,D,21,10,11,D,D,D,11,12,D,11,D
1kmN2451E4607,13,6,7,D,D,D,9,D,D,D,D,D,D,D,D,D,D
1kmN2451E4613,778,399,379,121,67,54,557,267,290,100,65,35,267,390,187,391,79
1kmN2451E4614,198,111,87,26,16,10,143,76,67,29,19,10,77,95,46,104,22
1kmN2451E4615,19,9,10,D,D,D,14,7,7,D,D,D,D,12,D,11,D
1kmN2451E4616,116,63,53,24,13,11,80,40,40,12,D,D,33,58,29,55,D
1kmN2451E4617,167,81,86,36,15,21,110,53,57,21,13,8,57,74,26,82,23
1kmN2451E4618,7,D,D,0,0,0,6,D,D,D,D,D,D,D,D,D,D
1kmN2451E4619,31,13,18,5,D,D,24,12,12,D,D,D,D,16,D,16,D
1kmN2451E4620,37,19,18,7,D,D,24,11,13,6,D,D,11,19,D,22,D
1kmN2451E4623,81,38,43,15,D,D,44,20,24,22,14,8,38,28,31,32,D
1kmN2451E4626,28,12,16,5,D,D,16,6,10,7,D,D,13,D,D,14,0
1kmN2451E4627,5,D,D,D,D,D,D,D,D,0,0,0,D,D,D,D,0
1kmN2451E4629,26,12,14,0,0,0,17,6,11,9,D,D,14,12,13,13,0
1kmN2451E4630,30,18,12,D,D,D,18,12,6,10,5,5,16,12,15,11,D
1kmN2451E4631,36,21,15,D,D,D,26,15,11,7,D,D,19,14,14,18,D
1kmN2451E4632,11,5,6,D,D,D,8,D,D,0,0,0,D,D,0,D,0
1kmN2451E4633,D,D,D,0,0,0,0,0,0,D,D,D,D,0,D,0,0
1kmN2451E4635,91,50,41,16,11,5,52,27,25,23,12,11,44,31,33,38,D
1kmN2451E4638,26,14,12,D,D,D,14,8,6,9,D,D,16,D,D,13,D
1kmN2451E4639,25,14,11,D,D,D,17,8,9,6,D,D,12,11,D,12,D
1kmN2451E4640,D,D,D,0,0,0,D,D,D,0,0,0,D,D,0,D,0
1kmN2451E4641,30,14,16,D,D,D,22,9,13,5,D,D,11,16,D,18,D
1kmN2451E4642,97,51,46,12,D,D,66,37,29,19,10,9,40,45,16,52,17
1kmN2451E4643,130,71,59,25,16,9,89,46,43,16,9,7,43,62,21,68,16
1kmN2451E4644,464,227,237,55,23,32,335,164,171,74,40,34,179,230,87,241,80
1kmN2451E4645,2773,1393,1380,308,143,165,1864,870,994,601,380,221,1256,1203,886,1282,288
1kmN2451E4646,780,431,349,61,28,33,502,253,249,217,150,67,392,327,258,357,104
1kmN2451E4647,33,14,19,5,D,D,21,9,12,7,D,D,11,17,D,21,D
1kmN2451E4648,21,11,10,D,D,D,10,D,D,8,D,D,12,D,D,D,D
1kmN2451E4670,11,D,D,D,D,D,9,D,D,0,0,0,D,D,0,D,0
1kmN2451E4671,160,82,78,14,8,6,91,46,45,55,28,27,91,55,27,93,26
1kmN2451E4672,87,44,43,6,D,D,45,22,23,36,20,16,42,31,20,41,12
1kmN2451E4675,244,114,130,51,21,30,156,76,80,37,17,20,85,108,56,120,17
1kmN2451E4676,40,18,22,11,D,D,22,11,11,7,D,D,16,13,11,18,0
1kmN2451E4688,14,5,9,5,D,D,9,D,D,0,0,0,D,D,D,D,D
1kmN2451E4689,625,301,324,100,51,49,408,191,217,117,59,58,249,276,123,304,98
1kmN2451E4718,D,D,D,0,0,0,D,D,D,D,D,D,D,0,D,D,0
1kmN2451E4719,5,D,D,0,0,0,D,D,D,D,D,D,D,0,D,D,0
1kmN2451E4720,D,D,D,0,0,0,D,D,D,D,D,D,D,0,D,0,0
1kmN2451E4721,D,D,D,0,0,0,0,0,0,D,D,D,D,0,D,0,0
1kmN2451E4722,D,D,D,0,0,0,D,D,D,D,D,D,D,0,D,D,0
1kmN2451E4725,47,22,25,0,0,0,34,14,20,13,8,5,37,D,39,D,0
1kmN2451E4728,D,D,D,0,0,0,D,D,D,D,D,D,D,0,D,0,0
1kmN2451E4729,8,D,D,0,0,0,6,D,D,D,D,D,D,D,D,D,0
1kmN2451E4730,7,D,D,0,0,0,5,D,D,D,D,D,D,D,D,D,0
1kmN2451E4731,69,37,32,13,D,D,41,19,22,15,9,6,35,21,31,25,0
1kmN2451E4732,D,D,D,0,0,0,0,0,0,D,D,D,D,0,D,0,0
1kmN2451E4733,13,7,6,D,D,D,8,D,D,D,D,D,D,D,D,D,0
1kmN2451E4734,33,19,14,0,0,0,11,D,D,22,15,7,29,D,25,D,0
1kmN2451E4735,6,D,D,0,0,0,D,D,D,5,D,D,D,0,D,D,0
1kmN2451E4745,6,D,D,0,0,0,D,D,D,D,D,D,D,0,D,D,0
1kmN2451E4746,19,13,6,0,0,0,5,D,D,14,D,D,18,D,13,D,0
1kmN2451E4747,D,D,D,0,0,0,D,D,D,D,D,D,D,D,D,D,0
1kmN2451E4765,12,D,D,D,D,D,7,D,D,D,D,D,D,D,D,D,0
1kmN2451E4766,45,19,26,7,D,D,22,9,13,16,9,7,26,12,24,14,0
1kmN2451E4767,D,D,D,D,D,D,D,D,D,0,0,0,D,D,D,D,0
1kmN2451E4770,21,11,10,5,D,D,13,6,7,D,D,D,D,D,D,D,D
1kmN2451E4775,D,D,D,0,0,0,D,D,D,D,D,D,D,0,D,0,0
1kmN2452E4606,10,D,D,D,D,D,5,D,D,D,D,D,D,D,D,D,D
1kmN2452E4607,17,8,9,0,0,0,14,6,8,D,D,D,11,D,D,11,D
1kmN2452E4608,12,D,D,0,0,0,10,D,D,D,D,D,D,D,D,D,0
1kmN2452E4613,6,D,D,D,D,D,D,D,D,0,0,0,D,D,D,D,0
1kmN2452E4614,6,D,D,0,0,0,D,D,D,D,D,D,D,D,D,D,0
1kmN2452E4615,25,14,11,D,D,D,18,9,9,D,D,D,D,13,D,D,D
1kmN2452E4616,100,47,53,15,5,10,67,31,36,18,11,7,38,47,28,51,D
1kmN2452E4617,8,D,D,D,D,D,5,D,D,0,0,0,D,D,D,D,0
1kmN2452E4620,D,D,D,0,0,0,D,D,D,D,D,D,D,D,D,0,0
1kmN2452E4623,124,70,54,16,10,6,88,46,42,20,14,6,51,57,34,57,17
1kmN2452E4624,117,64,53,17,D,D,79,41,38,21,10,11,44,56,30,59,11
1kmN2452E4625,83,47,36,12,7,5,44,23,21,27,17,10,40,31,33,36,D
1kmN2452E4626,48,24,24,12,7,5,25,11,14,11,6,5,18,18,14,18,D
1kmN2452E4627,51,31,20,12,D,D,30,18,12,9,D,D,17,22,17,20,D
1kmN2452E4628,5,D,D,0,0,0,D,D,D,D,D,D,D,D,D,D,0
1kmN2452E4629,14,7,7,D,D,D,9,D,D,D,D,D,D,D,D,D,D
1kmN2452E4630,26,14,12,D,D,D,15,7,8,7,D,D,13,D,11,D,D
1kmN2452E4631,58,29,29,7,D,D,35,15,20,16,10,6,28,23,17,29,D
1kmN2452E4632,125,67,58,20,13,7,80,40,40,25,14,11,55,50,39,56,D
1kmN2452E4633,116,56,60,18,7,11,74,35,39,24,14,10,47,51,39,53,D
1kmN2452E4635,7,D,D,0,0,0,5,D,D,D,D,D,D,D,D,D,0
1kmN2452E4636,6,D,D,0,0,0,D,D,D,5,D,D,D,0,D,D,0
1kmN2452E4638,28,14,14,D,D,D,17,10,7,7,D,D,16,D,D,15,D
1kmN2452E4639,69,35,34,12,7,5,41,18,23,16,10,6,30,27,17,35,D
1kmN2452E4640,72,40,32,7,D,D,53,28,25,12,D,D,19,46,D,41,15
1kmN2452E4641,81,43,38,9,D,D,52,24,28,20,13,7,34,38,19,45,D
1kmN2452E4642,107,60,47,8,D,D,73,37,36,26,18,8,59,40,37,58,D
1kmN2452E4643,176,82,94,23,7,16,113,53,60,40,22,18,76,77,38,85,30
1kmN2452E4644,792,396,396,107,54,53,578,282,296,107,60,47,283,402,203,412,70
1kmN2452E4645,2441,1282,1159,301,158,143,1664,861,803,476,263,213,1009,1129,509,1194,434
1kmN2452E4646,38,20,18,D,D,D,25,11,14,10,D,D,17,18,D,21,D
1kmN2452E4647,45,24,21,D,D,D,28,16,12,15,7,8,24,19,14,24,D
1kmN2452E4648,76,38,38,6,D,D,51,25,26,19,11,8,35,35,18,38,14
1kmN2452E4649,D,D,D,0,0,0,D,D,D,0,0,0,D,D,0,D,0
1kmN2452E4650,10,D,D,D,D,D,6,D,D,D,D,D,D,D,D,D,0
1kmN2452E4660,20,11,9,0,0,0,13,6,7,7,D,D,14,D,D,12,D
1kmN2452E4663,9,D,D,0,0,0,7,D,D,D,D,D,D,D,D,D,D
1kmN2452E4664,5,D,D,0,0,0,0,0,0,5,D,D,D,0,D,D,D
1kmN2452E4670,5,D,D,0,0,0,D,D,D,D,D,D,D,D,D,D,D
1kmN2452E4674,32,17,15,D,D,D,25,11,14,D,D,D,11,17,D,18,D
1kmN2452E4675,23,15,8,D,D,D,15,9,6,6,D,D,D,12,D,D,D
1kmN2452E4684,92,45,47,9,D,D,58,26,32,25,12,13,45,38,33,45,D
1kmN2452E4689,309,158,151,30,14,16,169,74,95,110,70,40,173,106,99,131,48
1kmN2452E4706,5,D,D,0,0,0,5,D,D,0,0,0,D,D,D,D,D
1kmN2452E4709,7,D,D,D,D,D,5,D,D,0,0,0,D,D,0,D,D
1kmN2452E4719,D,D,D,0,0,0,D,D,D,D,D,D,D,0,D,D,0
1kmN2452E4722,D,D,D,0,0,0,D,D,D,D,D,D,D,D,D,0,0
1kmN2452E4729,D,D,D,0,0,0,D,D,D,D,D,D,D,0,D,0,0
1kmN2452E4730,26,14,12,0,0,0,20,9,11,6,D,D,20,D,18,D,0
1kmN2452E4731,92,46,46,23,10,13,56,28,28,13,8,5,32,37,29,37,D
1kmN2452E4732,36,17,19,D,D,D,22,8,14,11,6,5,26,D,20,12,D
1kmN2452E4747,D,D,D,0,0,0,D,D,D,D,D,D,D,0,D,D,0
1kmN2452E4748,D,D,D,0,0,0,D,D,D,D,D,D,D,0,D,0,0
1kmN2452E4765,22,9,13,6,D,D,16,8,8,0,0,0,D,D,D,13,D
1kmN2452E4766,D,D,D,0,0,0,D,D,D,D,D,D,D,D,D,D,0
1kmN2452E4767,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,0
1kmN2453E4616,D,D,D,0,0,0,D,D,D,0,0,0,D,D,D,D,0
1kmN2453E4618,24,13,11,D,D,D,13,7,6,7,D,D,D,11,D,D,D
1kmN2453E4619,12,7,5,0,0,0,7,D,D,5,D,D,11,D,D,D,0
1kmN2453E4620,16,7,9,D,D,D,10,5,5,D,D,D,D,D,D,D,0
1kmN2453E4623,435,211,224,52,23,29,303,141,162,80,47,33,161,222,81,241,61
1kmN2453E4624,7,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
1kmN2453E4625,89,48,41,11,D,D,57,31,26,21,13,8,40,38,29,42,D
1kmN2453E4626,57,29,28,5,D,D,39,19,20,13,8,5,27,25,22,24,D
1kmN2453E4627,57,33,24,12,D,D,29,15,14,16,10,6,21,24,20,24,D
1kmN2453E4628,70,33,37,8,D,D,52,20,32,10,D,D,24,38,25,33,D
1kmN2453E4629,31,15,16,D,D,D,21,10,11,6,D,D,13,14,13,12,D
1kmN2453E4630,12,D,D,D,D,D,6,D,D,5,D,D,D,D,D,D,0
1kmN2453E4631,33,22,11,5,D,D,19,12,7,9,D,D,18,D,13,15,0
1kmN2453E4632,60,35,25,6,D,D,35,16,19,19,D,D,29,25,30,20,D
1kmN2453E4633,21,9,12,D,D,D,16,6,10,D,D,D,12,D,D,11,D
1kmN2453E4634,87,44,43,17,9,8,53,26,27,17,9,8,30,40,25,42,D
1kmN2453E4639,53,27,26,D,D,D,34,15,19,15,10,5,25,24,23,25,D
1kmN2453E4640,25,13,12,D,D,D,17,7,10,D,D,D,D,14,D,14,D
1kmN2453E4641,23,11,12,D,D,D,12,6,6,9,D,D,15,D,11,D,D
1kmN2453E4642,5,D,D,0,0,0,D,D,D,D,D,D,D,D,D,D,D
1kmN2453E4643,D,D,D,0,0,0,D,D,D,0,0,0,0,D,0,D,D
1kmN2453E4644,31,16,15,D,D,D,27,12,15,D,D,D,D,22,D,14,13
1kmN2453E4645,27,13,14,D,D,D,17,7,10,8,D,D,13,12,D,13,D
1kmN2453E4646,22,10,12,D,D,D,15,7,8,D,D,D,D,11,D,12,0
1kmN2453E4647,35,16,19,5,D,D,21,10,11,9,D,D,D,21,D,17,D
1kmN2453E4648,9,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
1kmN2453E4676,21,12,9,D,D,D,12,7,5,5,D,D,D,D,D,D,D
1kmN2453E4677,22,12,10,D,D,D,12,6,6,8,D,D,13,D,11,D,0
1kmN2453E4684,64,31,33,10,D,D,38,17,21,16,8,8,32,22,20,32,D
1kmN2453E4703,17,8,9,0,0,0,6,D,D,11,6,5,14,D,D,11,D
