x,y,TOTAL_ESTA,ARRIVALS_T,ARRIVALS_D,ARRIVALS_F,ARRIVALS_G,ARRIVALS_S,ARRIVALS_I,ARRIVALS_A,NIGHTS_TOT,NIGHTS_DOM,NIGHTS_FOR,NIGHTS_Ger,NIGHTS_Slo,NIGHTS_Ita,NIGHTS_Aus
4594000,2492000,60,20549,359,20190,1946,8448,2274,2204,112872,1191,111681,14947,44284,8877,10500
4595000,2491000,116,15420,702,14718,1839,4520,2430,2603,79343,1788,77555,13288,24667,9044,11517
4595000,2492000,41,44962,2175,42787,8813,19245,4333,3548,228824,8847,219977,57005,93917,16452,17736
4596000,2485000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4596000,2486000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4596000,2487000,469,95314,4774,90540,16835,16370,10844,19448,546475,16519,529956,148725,71245,47787,89738
4596000,2488000,35,58856,3143,55713,11296,12384,5578,10853,331346,8081,323265,86815,50224,23244,57408
4596000,2489000,16,146467,15410,131057,17858,26648,20889,33282,658938,44252,614686,124310,85143,71117,143438
4596000,2490000,7,263,1,262,54,37,14,45,1745,4,1741,388,239,86,234
4596000,2491000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4597000,2483000,37,3443,106,3337,505,1690,327,203,23355,429,22926,4371,11324,1867,1094
4597000,2486000,15,610,61,549,37,96,80,80,3295,226,3069,225,385,484,344
4597000,2487000,3,63,13,50,6,9,16,4,273,35,238,43,35,54,26
4597000,2493000,71,30616,1949,28667,4222,5441,1984,6636,145302,4902,140400,27340,27083,6760,25731
4598000,2475000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4598000,2481000,71,6871,65,6806,1130,1796,1151,1139,43205,201,43004,9573,9175,7455,6464
4598000,2482000,42,16290,224,16066,3669,5279,1306,1487,76106,503,75603,18934,26965,4772,6726
4598000,2483000,18,948,51,897,176,97,185,84,5628,449,5179,1474,388,960,428
4598000,2485000,31,2518,148,2370,352,365,560,287,11506,521,10985,2372,1189,2187,1338
4598000,2489000,58,3648,267,3381,727,594,689,314,20469,958,19511,6039,2555,2995,1707
4599000,2474000,4,1405,31,1374,229,192,118,483,7964,121,7843,1761,993,664,2393
4599000,2475000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4599000,2476000,116,8794,112,8682,1096,5046,551,467,56736,436,56300,9999,31405,3045,2680
4599000,2477000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4599000,2478000,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4599000,2491000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600000,2473000,19,743,18,725,153,65,110,113,4699,94,4605,1213,270,824,549
4600000,2474000,464,193505,7421,186084,38399,53406,14908,44049,1014351,20493,993858,275379,249335,59234,201740
4600000,2475000,11,529,14,515,171,56,52,90,3567,70,3497,1327,343,367,466
4600000,2478000,27,1464,31,1433,496,138,87,351,11307,239,11068,4160,811,475,2777
4600000,2482000,22,1319,68,1251,335,108,219,186,7889,171,7718,2752,334,1277,1263
4600000,2485000,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600000,2488000,7,366,43,323,56,51,100,34,1654,91,1563,369,133,425,197
4600000,2489000,9,380,12,368,69,29,93,48,2125,52,2073,478,81,483,224
4600000,2490000,17,1714,88,1626,333,182,397,192,8058,234,7824,2774,531,1315,810
4600000,2491000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600000,2492000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4601000,2474000,5,95,10,85,16,13,17,0,711,70,641,113,120,103,0
4601000,2475000,14,422,11,411,189,26,25,58,3435,70,3365,1729,72,193,450
4601000,2476000,3,164,0,164,45,29,14,47,991,0,991,403,82,57,310
4601000,2478000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4601000,2480000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4601000,2483000,10,675,48,627,291,25,101,62,4840,140,4700,2708,88,464,446
4601000,2487000,28,1859,129,1730,459,152,293,243,10842,600,10242,3700,507,1188,1337
4601000,2488000,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4602000,2467000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4602000,2471000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4602000,2474000,15,894,31,863,159,115,202,82,4486,133,4353,1141,367,950,334
4602000,2475000,4,195,6,189,75,10,8,46,1298,8,1290,566,52,22,305
4602000,2476000,47,2693,210,2483,927,257,320,305,17958,699,17259,8934,1016,1616,1799
4602000,2477000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4602000,2478000,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4602000,2481000,7,343,24,319,64,20,12,37,2256,53,2203,567,54,33,266
4602000,2483000,5,180,16,164,67,13,18,9,1566,52,1514,739,94,117,84
4602000,2486000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4602000,2487000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4603000,2461000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4603000,2462000,9,469,7,462,159,9,74,67,4630,73,4557,1627,42,806,596
