agri,forest,past,artif,NUTS_ID,water,open,shrub
265.84,2045.78,2261.78,115.64,FRJ25,33.38,0,503.77
2986.52,1088.37,2533.68,158.99,FRB03,88.18,0,43.57
1195.89,1203.83,4612.3,264.67,FRK11,45.79,0,56.94
2463.04,1185.5,1975.94,293.58,FRI31,13.31,0,42.81
2950.68,2118.2,1005.8,261.03,FRB05,61.87,0,24.08
2230.96,3670.9,1546.13,905.61,FRI12,296.07,34.33,1400.44
1184.62,2840.52,1469.93,260.47,FRK23,39,96.7,668.25
3647.75,1746.89,859.16,434.22,FRB06,66.24,1.13,57.71
0,0,0,102.81,FR101,2.48,0,0
287.7,1770.9,570.51,82.03,FRL02,23.94,1609.01,1346.49
2016.41,3233.83,840.49,386.31,FRI13,130.1,27.09,2715.79
3534.38,1398.55,213.77,668.5,FR102,72.02,0,39.73
920.51,684.66,157.39,487.73,FR103,34.58,0,21.96
156.9,1427.07,407.32,112.77,FRM02,46.46,654.22,1896.41
0,0,0,0,FRY10,0,0,0
0,0,0,0,FRY20,0,0,0
0,0,0,0,FRY30,0,0,0
0,0,0,0,FRY40,0,0,0
0,0,0,0,FRY50,0,0,0
0,17.12,0,155.01,FR105,3.38,0,0
3559.23,1016.97,1672.21,427.94,FRI32,130.83,9.44,60.94
2475.1,1046.24,1453.7,216.98,FRI14,45.65,0,147.65
896.78,397.41,52.44,453.11,FR104,15.96,0,3.93
5.91,5.17,1.9,221.98,FR106,1.26,0,0.65
8.58,21.82,6.81,203.86,FR107,3.26,0,0.6
3042.92,1474.45,1167.2,363.23,FRB04,60.8,3.61,45.22
2152.5,306.67,2546.66,198.16,FRG03,6.91,0,2.46
3014.34,414.54,2280.67,300.84,FRI33,7.15,0,22.48
631.01,2900.16,690.9,100.34,FRL01,29.25,957.01,1686.45
1317.42,2186.99,2526.99,392.13,FRI15,23.19,209.86,1025.21
2549.29,1022.44,2308.15,331.25,FRG04,16.34,0,18.19
22.45,1961.39,143.12,413.74,FRL03,2.25,542.91,1207.34
3558.29,1100.82,1987.28,315.38,FRI34,26.87,0,50.48
940.02,747.26,836.65,801.03,FRL04,830.34,111.22,970.1
125.6,1620.95,3652.16,81.47,FRI22,23.86,0,95.85
3111.77,289.83,2684.57,544.61,FRG05,103.88,6.06,31.42
1396.41,2228.22,839.86,419.74,FRJ12,207.84,10.38,772.54
1611.19,1734.4,826.62,489.22,FRJ13,232.45,72.33,1262.68
683.69,2745.62,523.51,613.88,FRL05,29.57,110.59,1319.84
1044.38,1109.74,835.81,272.89,FRL06,26.71,61.74,226.84
212.08,1488.78,3556.65,221.87,FRI23,28.43,0,49.25
29.4,1579.99,390.33,113.63,FRM01,7.58,462.42,1432.37
2967.31,680.01,2811.82,430.98,FRH01,23.97,1.24,66.35
2278.82,628.67,2923.6,604.56,FRH02,36.24,5.16,287.13
2424.56,563.16,3301.44,490.88,FRH03,31.92,0.18,27.18
