agri,forest,past,artif,NUTS_ID,water,open,shrub
0,0,0,0,FRY5,0,0,0
5954.18,2759.16,514,2629.31,FR10,142.79,0,69.8
0,0,0,0,FRY4,0,0,0
7333.23,905.56,2157.32,1869.46,FRE1,90.73,17.19,63.8
13316.27,6781.07,3964.25,1004.37,FRF2,229.76,1.1,429.7
2311.96,7485.76,14045.55,862.8,FRK1,116.02,3.3,1347.29
0,0,0,0,FRY3,0,0,0
7304.82,8558.61,5722.9,1535.53,FRF3,180.8,3.5,362.94
2818.06,3268.07,1102.61,933.46,FRF1,91.06,1.52,114.37
5315.48,1499.5,9923.4,850.99,FRD1,54.78,10.57,93.74
3609.28,11235.09,3600.53,2283.93,FRL0,942.09,3392.51,6757.08
6354.31,2190.05,2589.31,1020.65,FRD2,104.06,0,66.86
186.3,3007.07,797.66,226.4,FRM0,54.05,1116.64,3328.79
0,0,0,0,FRY1,0,0,0
0,0,0,0,FRY2,0,0,0
384.28,5782.36,10025.83,469.05,FRI2,96.09,0,298.02
12471.27,3212.94,2135.94,1340.13,FRE2,227.55,3.15,103.76
12594.91,3717.85,7916.12,1337.76,FRI3,178.17,9.44,176.74
9708.85,9501.21,10891.17,1203.8,FRC1,195.85,1.49,250.79
2374.4,7179.04,5428.67,864.09,FRC2,162.12,0,299.04
11647.5,12015.56,15857.82,1680.87,FRJ2,224.29,1157.46,3019.35
10233.06,2982.25,11538.95,2012.49,FRH0,131.47,11.31,504.69
20577.63,8742.76,7891.71,1737.54,FRB0,332.96,6.01,241.1
12937.74,2785.35,13780.8,2250.3,FRG0,475.33,18.45,97.1
5527.84,9504.97,4563.87,1399.04,FRJ1,670.98,408.2,5685.37
5205.06,16294.56,12120.87,3165.23,FRK2,774.56,2893.95,4508.52
9139.53,14164.61,10026.51,2176.95,FRI1,534.3,271.29,5410.96
