x,y,BASIC_EDUCATION_OR_LESS,INACTIVE_POPULATION,LABOUR_FORCE,MEN,MEN_0_14,MEN_15_64_,MEN_65p,TERTIARY_EDUCATION,TOTAL,TOTAL_0_14,TOTAL_15_64,TOTAL_65p,UPPER_SECONDARY_EDUCATION,WOMEN,WOMEN_0_14,WOMEN_15_64,WOMEN_65p
0,0,62,116,71,124,23,93,8,0,245,53,172,15,121,116,30,79,7
0,1,0,0,0,10,0,0,0,0,19,6,9,0,0,9,0,0,0
0,2,161,193,182,237,41,168,28,11,457,82,297,78,195,220,41,129,50
0,3,617,842,655,957,197,670,90,65,1876,379,1249,248,804,919,182,579,158
0,4,135,188,175,247,69,150,28,19,505,135,298,66,207,252,66,148,38
0,6,47,54,20,44,5,33,0,0,95,12,59,23,24,51,7,26,0
0,91,0,11,0,7,0,0,0,0,18,0,10,0,0,11,0,0,0
0,93,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0
0,94,17,20,21,25,0,18,0,0,48,7,34,7,24,23,0,16,0
0,95,11,12,0,17,0,9,0,0,26,7,15,0,0,9,0,6,0
0,96,150,200,155,224,49,151,24,0,447,92,290,65,192,223,43,139,41
0,97,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0
0,98,68,64,43,77,14,56,0,0,151,28,100,19,39,74,14,44,0
0,100,93,42,115,94,8,75,5,0,199,28,144,23,67,105,10,69,11
0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,102,13,15,28,21,0,16,0,0,52,9,34,9,24,31,0,18,0
0,103,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
0,104,137,140,71,115,11,73,17,0,250,37,138,73,70,135,14,65,37
0,105,18,24,11,18,0,15,0,0,40,5,25,10,17,22,0,10,0
0,108,0,13,0,12,0,12,0,0,24,0,20,0,0,12,0,8,0
0,109,114,113,102,113,15,81,7,0,251,36,172,43,89,138,16,91,14
0,110,21,19,19,19,0,16,0,0,43,5,28,10,16,24,0,12,0
0,111,39,42,46,47,5,35,0,0,101,10,68,20,39,54,5,33,0
0,112,102,115,118,141,23,101,17,0,276,43,191,42,119,135,20,90,25
0,115,30,23,15,19,0,15,0,0,43,5,26,12,0,24,0,11,0
0,116,65,36,35,51,0,25,10,0,102,17,55,27,18,51,0,19,17
0,117,33,23,21,22,0,12,7,0,47,0,22,22,11,25,0,10,15
0,118,145,89,147,146,21,102,19,0,280,42,187,49,75,134,21,85,23
0,119,12,0,0,13,0,0,0,0,20,0,11,8,0,7,0,0,0
0,120,0,0,0,8,0,0,0,0,28,0,9,11,0,10,0,0,0
0,121,40,34,34,42,8,28,6,0,81,13,52,16,26,39,5,24,10
0,122,165,127,173,182,32,122,28,0,365,65,234,66,122,183,33,112,38
0,123,51,31,52,44,7,29,8,0,96,13,66,17,32,52,6,37,9
0,124,51,23,47,49,0,36,0,0,88,7,62,17,18,39,0,26,0
0,125,105,50,87,87,9,46,9,0,163,25,100,37,19,76,7,38,10
0,126,0,0,0,6,0,0,0,0,23,0,16,0,0,7,0,0,0
0,127,183,135,173,187,28,120,26,0,372,48,238,77,107,185,20,111,42
1,0,87,139,101,152,25,104,23,29,309,49,200,58,140,157,24,96,35
1,1,245,358,196,328,57,235,36,16,667,113,432,122,288,339,56,197,86
1,2,230,290,241,313,54,224,35,0,649,118,434,97,283,336,64,210,62
1,3,28,32,22,31,0,23,5,0,59,5,44,10,24,28,0,21,5
1,5,19,21,0,19,0,14,0,0,35,0,21,10,11,16,0,7,0
1,6,105,107,61,93,12,68,13,0,196,28,128,40,62,103,16,60,27
1,90,27,34,13,27,7,13,7,0,61,14,28,19,20,34,7,15,12
1,91,71,102,56,90,5,69,12,0,182,13,118,43,68,92,8,49,31
1,93,113,131,89,128,25,82,21,0,275,48,174,51,99,140,23,87,30
1,94,356,362,363,427,80,292,55,0,887,162,574,151,344,460,82,282,96
1,95,990,1609,1672,1925,356,1328,241,384,3969,688,2641,640,1891,2044,332,1313,399
1,96,358,555,580,649,103,467,77,106,1349,214,951,184,656,700,111,484,96
1,98,126,123,78,118,23,85,6,0,253,49,166,35,72,126,20,81,11
1,99,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
1,101,61,49,62,53,0,41,7,0,123,12,83,28,47,70,0,42,14
1,102,158,196,154,204,25,144,29,17,397,44,277,73,173,193,19,133,34
1,103,119,125,105,126,7,95,16,0,263,33,177,53,108,137,10,82,28
1,104,62,69,38,68,9,47,5,0,136,22,86,28,49,68,7,39,6
1,105,0,0,0,7,0,0,0,0,17,0,9,7,0,10,0,0,0
1,106,13,11,24,23,0,18,0,0,46,11,32,0,19,23,0,14,0
1,107,202,227,154,211,23,157,22,0,433,47,296,85,165,222,24,139,47
1,110,89,104,91,129,31,84,14,0,251,49,157,38,92,115,18,73,24
1,112,109,153,109,146,16,94,27,0,303,25,204,68,131,148,9,94,36
1,113,199,306,356,380,55,268,51,90,771,105,526,136,364,391,50,258,78
1,114,77,68,75,86,0,59,13,0,160,17,110,33,60,74,0,51,20
1,115,142,126,115,144,18,92,28,0,290,49,186,55,92,146,21,94,27
1,116,43,32,35,35,0,25,0,0,77,10,48,19,15,42,0,23,0
