x,y,resolution,ms_pop
3808000,3118000,1000,13
3808000,3119000,1000,14
3808000,3120000,1000,18
3808000,3121000,1000,80
3808000,3122000,1000,183
3808000,3123000,1000,26
3808000,3124000,1000,19
3808000,3125000,1000,32
3808000,3126000,1000,36
3808000,3127000,1000,16
3808000,3128000,1000,21
3808000,3129000,1000,23
3808000,3130000,1000,47
3808000,3131000,1000,169
3808000,3133000,1000,1276
3808000,3134000,1000,10
3808000,3135000,1000,15
3808000,3136000,1000,294
3808000,3137000,1000,430
3808000,3139000,1000,382
3809000,3099000,1000,24
3809000,3100000,1000,21
3809000,3101000,1000,20
3809000,3102000,1000,13
3809000,3103000,1000,28
3809000,3104000,1000,66
3809000,3105000,1000,15
3809000,3106000,1000,294
3809000,3109000,1000,232
3809000,3110000,1000,35
3809000,3111000,1000,35
3809000,3112000,1000,40
3809000,3113000,1000,32
3809000,3114000,1000,51
3809000,3115000,1000,61
3809000,3116000,1000,85
3809000,3118000,1000,15
3809000,3119000,1000,23
3809000,3120000,1000,52
3809000,3121000,1000,62
3809000,3122000,1000,27
3809000,3123000,1000,35
3809000,3124000,1000,34
3809000,3125000,1000,33
3809000,3126000,1000,11
3809000,3127000,1000,21
3809000,3128000,1000,4
3809000,3129000,1000,9
3809000,3130000,1000,226
3809000,3131000,1000,19
3809000,3132000,1000,408
3809000,3133000,1000,31
3809000,3134000,1000,26
3809000,3135000,1000,94
3809000,3136000,1000,183
3809000,3139000,1000,1069
3810000,3097000,1000,5
3810000,3099000,1000,32
3810000,3100000,1000,80
3810000,3102000,1000,100
3810000,3103000,1000,44
3810000,3104000,1000,8
3810000,3105000,1000,56
3810000,3106000,1000,155
3810000,3110000,1000,36
3810000,3111000,1000,31
3810000,3112000,1000,53
3810000,3113000,1000,56
3810000,3114000,1000,34
3810000,3115000,1000,266
3810000,3116000,1000,138
3810000,3117000,1000,17
3810000,3118000,1000,64
3810000,3119000,1000,40
3810000,3120000,1000,9
3810000,3121000,1000,31
3810000,3122000,1000,22
3810000,3123000,1000,20
3810000,3124000,1000,59
3810000,3126000,1000,42
3810000,3127000,1000,15
3810000,3128000,1000,6
3810000,3129000,1000,27
3810000,3130000,1000,12
3810000,3131000,1000,6
3810000,3132000,1000,16
3810000,3133000,1000,7
3810000,3134000,1000,23
3810000,3136000,1000,58
3810000,3139000,1000,177
3811000,3096000,1000,12
3811000,3097000,1000,18
3811000,3098000,1000,19
3811000,3099000,1000,80
3811000,3100000,1000,77
3811000,3101000,1000,32
3811000,3102000,1000,18
3811000,3103000,1000,396
3811000,3104000,1000,140
3811000,3105000,1000,30
3811000,3106000,1000,42
3811000,3108000,1000,67
3811000,3109000,1000,17
3811000,3110000,1000,46
3811000,3111000,1000,32
3811000,3112000,1000,62
3811000,3113000,1000,32
3811000,3114000,1000,62
3811000,3115000,1000,39
3811000,3117000,1000,26
3811000,3119000,1000,18
3811000,3120000,1000,314
3811000,3121000,1000,69
3811000,3122000,1000,40
3811000,3123000,1000,30
3811000,3124000,1000,16
3811000,3126000,1000,34
3811000,3127000,1000,7
3811000,3128000,1000,27
3811000,3129000,1000,101
3811000,3130000,1000,7
3811000,3131000,1000,19
3811000,3132000,1000,11
3811000,3133000,1000,5
3811000,3134000,1000,8
3811000,3135000,1000,5
3811000,3136000,1000,9
3811000,3137000,1000,86
3811000,3138000,1000,152
3811000,3139000,1000,288
3811000,3140000,1000,973
3812000,3093000,1000,6
3812000,3094000,1000,5
3812000,3095000,1000,33
3812000,3096000,1000,19
3812000,3097000,1000,225
3812000,3098000,1000,33
3812000,3099000,1000,315
3812000,3100000,1000,112
3812000,3101000,1000,43
3812000,3103000,1000,381
3812000,3104000,1000,52
3812000,3105000,1000,30
3812000,3106000,1000,35
3812000,3107000,1000,97
3812000,3108000,1000,35
3812000,3109000,1000,32
3812000,3110000,1000,12
3812000,3111000,1000,35
3812000,3112000,1000,21
3812000,3113000,1000,27
3812000,3114000,1000,46
3812000,3115000,1000,42
3812000,3116000,1000,18
3812000,3117000,1000,19
3812000,3120000,1000,17
3812000,3121000,1000,646
3812000,3122000,1000,187
3812000,3123000,1000,22
3812000,3124000,1000,8
3812000,3125000,1000,51
3812000,3126000,1000,10
3812000,3127000,1000,15
3812000,3128000,1000,22
3812000,3129000,1000,23
3812000,3130000,1000,10
3812000,3131000,1000,262
3812000,3132000,1000,16
3812000,3133000,1000,20
3812000,3134000,1000,9
3812000,3135000,1000,6
3812000,3136000,1000,9
3812000,3137000,1000,4
3812000,3138000,1000,40
3813000,3092000,1000,14
3813000,3093000,1000,34
3813000,3094000,1000,17
3813000,3095000,1000,26
3813000,3096000,1000,7
3813000,3097000,1000,198
3813000,3098000,1000,30
3813000,3099000,1000,40
3813000,3100000,1000,37
3813000,3101000,1000,57
3813000,3102000,1000,44
3813000,3103000,1000,17
3813000,3105000,1000,24
3813000,3106000,1000,32
3813000,3107000,1000,132
3813000,3108000,1000,114
3813000,3109000,1000,11
3813000,3110000,1000,32
3813000,3111000,1000,108
3813000,3112000,1000,123
3813000,3113000,1000,61
3813000,3114000,1000,48
3813000,3115000,1000,31
3813000,3116000,1000,30
3813000,3117000,1000,20
3813000,3119000,1000,10
3813000,3120000,1000,13
3813000,3121000,1000,99
3813000,3122000,1000,45
3813000,3123000,1000,13
3813000,3124000,1000,13
3813000,3125000,1000,15
3813000,3126000,1000,17
3813000,3128000,1000,9
3813000,3129000,1000,14
3813000,3130000,1000,11
3813000,3131000,1000,16
3813000,3132000,1000,14
3813000,3133000,1000,43
3813000,3134000,1000,16
3813000,3136000,1000,23
3813000,3137000,1000,12
3813000,3140000,1000,342
3814000,3092000,1000,21
3814000,3093000,1000,50
3814000,3094000,1000,53
3814000,3095000,1000,24
3814000,3096000,1000,21
3814000,3097000,1000,27
3814000,3098000,1000,19
3814000,3099000,1000,27
3814000,3100000,1000,22
3814000,3102000,1000,37
3814000,3103000,1000,26
3814000,3104000,1000,20
3814000,3105000,1000,18
3814000,3106000,1000,36
3814000,3107000,1000,380
3814000,3108000,1000,15
3814000,3109000,1000,55
3814000,3110000,1000,21
3814000,3111000,1000,16
3814000,3113000,1000,172
3814000,3114000,1000,38
3814000,3115000,1000,39
3814000,3116000,1000,26
3814000,3117000,1000,126
3814000,3118000,1000,17
3814000,3119000,1000,17
3814000,3120000,1000,10
3814000,3121000,1000,14
3814000,3122000,1000,35
3814000,3123000,1000,22
3814000,3124000,1000,15
3814000,3125000,1000,20
3814000,3127000,1000,61
3814000,3128000,1000,9
3814000,3130000,1000,7
3814000,3131000,1000,6
3814000,3132000,1000,14
3814000,3133000,1000,5
3814000,3134000,1000,9
3814000,3135000,1000,47
3814000,3136000,1000,38
3814000,3137000,1000,611
3814000,3139000,1000,55
3814000,3140000,1000,653
3814000,3141000,1000,54
3815000,3092000,1000,29
3815000,3093000,1000,22
3815000,3094000,1000,125
3815000,3096000,1000,18
3815000,3097000,1000,31
3815000,3098000,1000,46
3815000,3099000,1000,268
3815000,3100000,1000,39
3815000,3101000,1000,20
3815000,3102000,1000,49
3815000,3103000,1000,73
3815000,3104000,1000,13
3815000,3105000,1000,45
3815000,3106000,1000,16
3815000,3107000,1000,226
3815000,3108000,1000,22
