x,y,0_5,100_,10_15,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_55,55_60,5_10,60_65,65_70,70_75,75_80,80_85,85_90,90_95,95_100,f,m,pop
0,39,3,0,0,0,0,0,0,7,0,0,0,6,4,6,3,8,7,3,0,0,0,22,24,46
0,40,13,0,9,11,0,6,11,5,10,12,14,7,18,10,16,12,3,6,0,0,0,93,76,169
0,41,3,0,0,0,0,0,0,0,0,0,3,3,3,3,3,9,3,3,0,0,0,15,14,29
0,42,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
0,43,3,0,0,3,0,3,3,0,9,3,3,3,3,0,0,3,0,0,0,0,0,6,24,30
0,44,0,0,3,3,3,6,3,3,3,3,6,6,3,6,0,0,0,3,0,0,0,19,23,42
0,45,3,0,3,0,0,0,0,5,4,7,3,0,0,9,6,0,3,0,0,0,0,19,24,43
0,46,0,0,0,0,3,0,0,3,0,0,0,0,0,3,3,3,0,3,3,0,0,8,7,15
0,47,8,0,4,8,0,0,9,3,6,3,0,7,6,0,6,0,0,3,0,0,0,30,39,69
0,48,0,0,0,3,0,0,0,3,0,3,3,0,0,0,0,0,3,4,0,0,0,11,15,26
0,49,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,7,4,11
0,50,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,6,5,11
0,51,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,18
0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3
0,54,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,3,9
0,58,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,4,9
0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,0,6,0,6
0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
0,61,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,10,16
0,62,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,11,10,21
0,63,4,0,3,0,0,0,3,6,3,0,0,4,6,3,3,3,0,0,0,0,0,24,18,42
0,64,0,0,0,3,0,0,0,0,3,0,3,3,0,3,0,0,0,0,3,0,0,6,5,11
0,65,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,3,0,0,0,8,3,11
0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10
0,68,6,0,0,0,3,0,0,0,0,0,0,6,3,0,3,3,3,0,0,0,0,12,11,23
0,69,3,0,0,0,0,3,3,0,3,0,0,0,3,0,3,3,3,0,0,3,0,9,7,16
0,71,0,0,0,0,0,0,3,0,3,0,3,3,0,3,0,3,0,3,0,0,0,6,8,14
0,74,0,0,3,0,3,0,0,4,3,6,3,6,0,3,3,3,3,3,0,0,0,18,23,41
0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,6
0,77,0,0,0,3,0,0,0,0,3,5,0,3,3,5,3,3,3,0,0,0,0,13,20,33
0,78,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,12,7,19
0,82,0,0,0,0,0,0,3,0,3,3,0,7,3,4,3,3,0,0,3,0,0,13,15,28
0,83,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3
0,87,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
0,88,5,0,3,3,0,3,9,3,3,4,3,3,6,3,6,0,3,0,0,0,0,29,28,57
0,89,0,0,0,3,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,8,8,16
0,90,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,6
0,91,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,3,3,6
0,92,0,0,3,3,0,0,4,0,0,3,0,3,0,3,6,0,0,0,0,0,0,7,12,19
0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,94,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,103,3,0,6,0,0,0,0,3,3,0,3,0,3,0,0,3,0,0,0,0,0,9,10,19
0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,106,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,6,0,0,0,0,0,12,9,21
