x,y,0_5,100_,10_15,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_55,55_60,5_10,60_65,65_70,70_75,75_80,80_85,85_90,90_95,95_100,f,m,pop
0,1,3,0,0,3,0,0,3,6,3,3,0,6,3,3,8,9,3,0,3,0,0,17,32,49
0,2,0,0,0,0,0,3,0,3,3,3,3,3,3,3,6,0,3,0,0,0,0,17,15,32
0,3,3,0,3,6,3,0,6,0,3,7,6,7,0,5,0,3,0,0,0,0,0,32,28,60
0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3
0,5,9,0,7,4,3,6,5,6,7,7,3,15,3,8,9,7,0,0,0,0,0,41,49,90
0,6,36,0,47,27,13,21,28,25,36,32,25,31,35,29,36,43,17,13,3,3,0,233,265,498
0,7,0,0,0,0,3,3,3,0,0,3,3,6,0,0,5,3,0,0,3,0,0,17,18,35
0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,9,8,17
0,9,7,0,12,16,8,6,8,10,11,13,17,15,3,12,13,19,13,4,0,0,3,90,97,187
0,10,7,0,7,3,0,6,8,3,3,9,6,10,6,13,8,4,3,4,0,0,0,57,63,120
0,11,0,0,3,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,9,18
0,12,3,0,0,0,0,0,3,0,0,3,3,0,3,5,0,3,0,0,0,3,0,10,12,22
0,13,4,0,3,0,0,0,3,0,0,0,0,0,3,0,0,6,0,3,0,0,0,11,9,20
0,14,6,0,0,3,3,6,3,0,3,0,6,8,3,6,4,8,3,5,0,0,0,29,40,69
0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3
0,16,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,6,6,12
0,17,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,3,3,0,0,8,11,19
0,18,14,0,14,7,17,13,11,14,10,19,17,13,14,11,18,15,13,5,3,0,0,101,119,220
0,19,6,0,6,3,3,3,7,3,3,3,5,3,0,4,0,3,3,0,0,0,0,27,32,59
0,20,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,4,4,8
0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
0,27,3,0,3,3,0,3,3,3,4,3,0,4,4,7,4,0,0,0,0,0,0,21,21,42
0,28,27,0,28,26,11,11,19,25,28,18,24,28,32,22,31,30,16,13,0,0,0,192,203,395
0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0,36,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,6
0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,3,6
0,38,3,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,4,5,9
0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,6
0,43,0,0,3,0,0,4,0,0,0,0,3,3,3,3,4,3,3,0,0,0,0,14,15,29
0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
0,49,7,0,15,16,6,6,3,10,21,11,18,11,21,10,15,25,11,6,3,0,0,101,105,206
0,50,9,0,7,7,9,12,12,8,0,12,6,10,4,14,20,10,3,3,3,3,0,67,78,145
0,51,0,0,3,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,7,18
0,52,0,0,0,0,0,3,0,3,3,6,7,10,3,7,4,6,3,0,0,0,0,28,33,61
0,53,7,0,4,11,9,8,6,6,6,7,11,12,3,12,17,24,15,12,0,3,0,84,79,163
0,54,0,0,3,3,0,3,0,0,0,3,0,3,0,0,6,5,3,4,0,0,0,14,21,35
0,58,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3
0,59,0,0,0,0,0,3,0,3,0,6,0,0,0,3,0,0,0,3,0,0,0,5,9,14
0,60,0,0,0,0,0,0,3,3,0,3,0,3,3,3,6,6,3,0,3,3,0,18,21,39
0,61,0,0,0,3,0,0,0,0,3,0,3,0,0,0,3,3,4,0,0,0,0,3,16,19
0,62,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,8,15
0,63,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3
0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
0,87,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,6
1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,7
1,1,8,0,0,0,3,6,4,6,4,0,9,3,3,0,0,0,0,0,0,0,0,33,22,55
