x,y,0_15,0_5,100_,15_20,20_25,30_35,35_40,40_45,45_50,50_55,55_60,5_10,60_65,65_70,70_75,75_80,80_85,85_90,90_95,95_100,f,ld25_30,m,pop
0,36,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
0,38,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
0,53,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,8
0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0,58,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,13,0,9,22
0,59,5,3,0,5,3,3,3,9,3,13,7,0,0,5,3,3,4,0,0,0,39,0,37,76
0,60,0,3,0,0,13,3,4,4,3,0,4,0,3,3,0,0,3,5,3,0,28,6,28,56
0,62,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6
1,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,6
1,18,3,0,0,4,3,4,0,6,3,3,3,3,3,7,3,7,0,0,3,0,19,3,34,53
1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,35,0,0,0,3,3,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,3,0,8,11
1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,3,6
1,60,12,15,0,10,6,14,11,12,15,9,18,9,13,12,11,3,3,0,0,0,107,11,83,190
1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,62,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3
2,18,3,0,0,7,7,8,3,3,3,12,5,0,4,4,5,3,3,4,3,0,41,3,45,86
2,21,4,0,0,3,0,0,3,0,3,3,3,3,0,0,0,3,0,0,0,0,12,0,9,21
2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,35,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3
2,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0
2,51,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,7
2,58,3,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,3,0,3,0,7,3,9,16
2,59,3,0,0,0,0,0,0,3,3,3,0,3,3,3,3,0,3,0,0,0,14,0,10,24
