x,y,0_15,0_5,100_,15_20,20_25,30_35,35_40,40_45,45_50,50_55,55_60,5_10,60_65,65_70,70_75,75_80,80_85,85_90,90_95,95_100,f,ld25_30,m,pop
2,23,0,0,0,3,3,0,3,0,0,3,7,0,0,3,3,3,0,0,0,0,12,0,23,35
2,26,3,0,0,0,0,3,3,3,0,0,3,0,3,0,0,0,0,0,0,0,7,0,9,16
2,27,6,5,0,7,3,5,4,3,9,3,3,3,4,3,3,3,3,0,0,0,27,0,33,60
2,28,0,3,0,3,3,0,3,0,3,6,3,3,4,3,3,0,0,0,0,0,10,0,12,22
2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,40,0,3,0,0,0,3,6,0,10,6,3,6,6,3,0,6,3,0,0,0,22,0,30,52
2,48,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,7
2,65,0,0,0,0,0,4,0,3,0,3,3,4,3,4,0,0,0,0,0,3,13,3,25,38
2,66,0,0,0,3,0,0,0,0,0,6,3,0,6,0,3,3,0,3,0,0,11,0,20,31
2,68,7,4,0,8,5,4,3,3,7,13,16,7,12,11,11,9,9,10,5,3,76,3,79,155
2,69,33,42,0,40,41,45,28,42,45,40,51,47,46,43,45,43,32,26,9,0,381,55,372,753
2,70,3,3,0,6,0,3,6,3,3,3,0,6,3,3,0,3,0,3,0,0,17,0,24,41
2,75,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2,79,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,0,8,3,3,11
2,83,0,3,0,0,3,5,0,0,3,0,5,0,6,3,3,3,0,3,0,0,20,5,16,36
2,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,3
2,85,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6
2,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6
2,96,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3
2,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
2,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2,123,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,3,0,5,8
3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,7,10
3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
3,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
