x,y,0_15,0_5,100_,15_20,20_25,30_35,35_40,40_45,45_50,50_55,55_60,5_10,60_65,65_70,70_75,75_80,80_85,85_90,90_95,95_100,f,ld25_30,m,pop
0,22,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3
0,23,0,0,0,0,0,0,3,0,9,3,3,0,13,10,4,3,3,0,3,0,15,3,29,44
0,24,0,0,0,0,3,6,9,6,0,6,6,0,6,3,11,12,0,3,0,0,40,6,41,81
0,25,11,10,0,12,0,4,10,9,7,9,15,14,13,20,25,6,6,0,0,0,79,6,99,178
0,26,71,56,0,48,33,35,59,69,54,55,69,54,52,46,39,25,12,0,3,0,378,41,417,795
0,27,306,292,0,244,177,282,274,252,287,277,224,291,230,216,237,163,90,54,20,5,2089,264,2093,4182
0,28,30,27,0,36,18,17,27,32,58,30,29,34,25,21,6,12,8,10,3,0,205,24,250,455
0,29,37,33,0,26,20,37,20,27,49,49,39,26,36,28,15,13,7,0,3,0,220,19,263,483
0,30,38,27,0,62,31,31,38,52,66,44,49,34,35,44,36,24,9,6,0,0,306,16,346,652
0,31,26,51,0,26,18,54,35,40,40,40,43,42,36,27,15,24,6,0,0,0,258,15,295,553
0,32,9,8,0,3,9,0,3,13,13,10,9,7,6,9,0,0,3,0,0,0,56,9,66,122
0,33,3,17,0,3,3,17,13,0,9,29,25,3,18,16,13,3,3,6,0,0,105,9,111,216
0,34,155,100,0,156,81,111,116,107,176,205,147,144,116,95,137,103,59,30,7,3,1017,57,1064,2081
0,35,0,0,0,0,0,0,3,0,4,0,0,0,3,3,0,3,0,3,0,0,8,0,16,24
0,36,20,10,0,19,12,14,6,15,16,23,38,9,35,24,42,21,12,8,3,0,168,10,169,337
0,37,28,15,0,23,18,17,8,18,35,40,47,10,30,34,45,18,8,3,0,0,209,22,230,439
0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
0,39,12,11,0,9,6,13,16,17,14,25,24,12,20,16,29,16,7,3,0,0,113,7,149,262
0,40,379,315,0,333,172,269,302,361,353,348,303,400,212,208,219,170,53,15,12,3,2235,202,2384,4619
0,41,893,659,3,860,655,756,663,788,964,877,737,728,538,454,706,705,373,169,64,17,6198,696,6110,12308
0,42,18,14,0,6,9,9,6,15,17,20,25,7,27,21,21,9,0,0,3,0,121,16,127,248
0,43,19,33,0,21,24,30,19,24,32,39,56,25,40,28,27,19,3,9,3,0,251,35,239,490
0,44,16,3,0,6,5,15,13,15,16,28,23,18,21,21,20,7,6,0,3,0,99,3,143,242
0,45,64,54,0,53,19,34,77,77,73,44,48,86,50,52,44,47,23,13,3,0,463,26,433,896
0,46,32,68,0,28,15,61,65,51,33,21,32,77,35,24,15,13,3,6,0,0,303,19,291,594
0,47,633,539,3,577,941,689,562,530,556,494,446,608,436,355,274,174,95,46,29,11,4482,962,4472,8954
0,48,36,26,0,41,29,23,54,56,49,31,44,42,36,27,19,10,3,0,3,0,269,27,285,554
0,49,398,279,0,378,190,212,334,343,372,340,201,407,183,183,230,213,91,46,12,3,2210,122,2323,4533
0,50,87,72,0,66,48,78,90,80,84,62,46,102,67,58,53,36,17,8,0,0,517,62,593,1110
0,51,296,266,0,239,149,248,271,265,294,250,246,320,212,177,170,170,72,50,13,6,1846,178,2028,3874
0,52,20,20,0,25,21,29,15,21,25,16,12,26,23,23,19,17,4,9,0,0,173,26,185,358
0,53,47,25,0,27,9,39,31,28,23,33,37,24,26,22,33,12,9,12,0,0,241,27,211,452
0,54,32,9,0,27,19,29,19,15,36,25,43,31,38,32,18,16,15,6,6,0,182,10,212,394
0,55,3,6,0,0,0,3,6,0,6,3,0,0,9,9,0,0,0,0,0,0,17,0,23,40
0,56,3,3,0,6,3,0,3,3,3,3,0,6,0,0,3,3,9,0,3,0,35,0,28,63
0,57,6,6,0,7,0,3,6,15,9,10,13,7,6,3,0,0,0,0,0,0,50,6,52,102
0,58,3,9,0,3,3,12,3,6,3,7,16,3,6,6,3,7,3,0,0,0,40,3,49,89
0,59,19,20,0,23,10,16,17,27,19,31,24,17,18,23,23,3,10,0,0,0,162,18,167,329
0,60,3,12,0,3,12,8,6,7,15,18,15,6,25,25,20,3,3,0,0,0,86,15,99,185
0,61,3,9,0,0,3,7,6,3,3,12,11,6,11,22,11,12,9,0,3,0,57,10,69,126
0,62,63,86,3,48,52,78,49,82,70,70,96,78,105,67,94,66,46,50,25,10,623,74,674,1297
