x,y,0_15,0_5,100_,15_20,20_25,30_35,35_40,40_45,45_50,50_55,55_60,5_10,60_65,65_70,70_75,75_80,80_85,85_90,90_95,95_100,f,ld25_30,m,pop
9,118,0,0,0,6,4,0,3,0,6,3,0,0,0,3,6,6,3,3,0,0,11,0,24,35
9,119,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,0,0,0,10,0,6,16
9,121,3,0,0,3,0,3,0,0,6,6,4,3,13,10,13,11,3,3,0,3,35,3,44,79
9,122,10,28,0,3,12,11,22,19,14,38,36,22,31,26,35,31,23,0,3,0,169,12,196,365
9,123,36,43,0,32,39,31,45,43,46,63,57,44,57,60,71,47,22,9,6,3,360,26,381,741
9,124,3,3,0,0,0,0,3,0,0,0,0,0,4,3,0,0,3,0,0,0,11,0,11,22
10,110,0,3,0,3,0,0,0,3,0,0,0,0,3,3,6,0,3,0,0,0,14,3,10,24
10,111,0,0,0,3,0,0,0,3,6,0,0,0,0,3,3,3,3,0,0,0,18,0,21,39
10,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
10,115,3,0,0,0,0,0,3,3,0,6,3,0,6,3,3,9,3,0,0,0,16,3,16,32
10,116,0,6,0,0,0,3,0,0,3,0,0,3,3,3,4,3,0,0,0,0,12,0,21,33
10,117,0,6,0,9,0,9,6,6,9,9,12,6,24,3,9,14,6,3,0,0,53,9,77,130
10,118,13,19,0,6,6,21,13,18,0,6,28,16,25,14,25,15,3,3,3,0,118,12,127,245
10,119,13,10,0,6,9,3,9,13,12,15,19,13,18,18,33,17,3,9,3,0,110,9,122,232
10,120,66,57,0,63,62,65,61,44,63,74,67,56,69,99,100,85,60,44,16,3,622,60,597,1219
10,121,55,50,0,44,27,29,38,38,36,37,48,39,45,53,59,61,19,9,7,0,370,39,362,732
10,122,22,22,0,21,6,14,9,33,20,21,15,28,29,30,38,14,6,6,0,3,156,15,174,330
10,123,13,22,0,9,19,19,10,11,24,29,20,18,32,41,23,22,15,9,0,0,176,30,192,368
10,124,17,25,0,3,16,19,13,20,23,17,29,23,25,21,10,15,6,0,0,0,154,37,169,323
10,125,161,167,0,149,106,150,166,163,183,159,142,201,126,126,121,121,62,38,6,3,1227,108,1243,2470
11,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,111,0,6,0,0,0,3,6,3,6,6,6,3,12,15,24,11,6,6,6,0,66,6,76,142
11,112,0,0,0,0,0,3,0,0,0,3,0,0,14,6,7,6,3,0,0,0,23,0,28,51
11,113,10,12,0,14,13,24,12,12,18,20,40,18,18,28,36,28,28,13,8,0,175,18,197,372
11,114,0,3,0,6,9,6,0,3,3,13,23,9,10,10,3,9,0,3,0,3,51,0,55,106
11,115,3,0,0,0,3,0,0,10,6,12,12,6,9,12,6,6,6,3,0,0,54,9,53,107
11,116,3,9,0,9,9,9,9,18,18,6,18,6,13,15,14,6,6,4,0,0,98,15,113,211
11,117,6,3,0,3,3,0,6,3,3,6,9,3,3,12,6,6,0,3,0,0,39,3,42,81
11,118,15,15,0,18,18,12,7,9,14,21,33,6,37,11,19,19,16,9,0,0,138,11,144,282
11,119,9,3,0,6,6,6,3,6,9,0,6,9,16,12,6,3,0,0,0,0,61,12,65,126
11,120,3,4,0,6,3,6,6,3,9,6,7,3,6,3,3,3,0,0,0,0,36,4,44,80
11,121,6,15,0,3,12,15,6,9,9,9,6,12,13,18,10,6,3,3,0,0,83,6,89,172
11,122,9,9,0,12,6,14,11,12,12,12,9,19,13,15,6,6,3,3,0,0,87,6,87,174
11,123,18,16,0,15,16,21,9,12,23,33,14,14,26,15,28,13,3,0,3,0,133,17,152,285
11,124,28,28,0,25,15,38,39,35,34,21,35,31,37,37,38,17,19,15,0,0,261,29,258,519
11,125,91,68,3,73,40,75,65,78,98,76,66,91,42,50,61,22,19,10,13,3,551,50,533,1084
11,126,1305,966,9,1350,1682,1522,1264,1290,1549,1543,1536,1172,1447,1456,1495,1317,822,512,238,52,12539,1667,11655,24194
11,127,24,24,0,27,32,40,29,36,40,53,49,15,66,77,65,64,15,11,0,0,369,23,324,693
12,111,0,3,0,0,0,0,0,3,3,3,3,0,6,8,6,18,6,3,3,0,34,3,33,67
