x,y,Ind,Men,Men_1ind,Men_5ind,Men_coll,Men_fmp,Men_mais,Men_pauv,Men_prop,Men_surf,imputed
2,231,23,8.4,1.6,1.2,0.7,0.7,7.7,0.2,7.3,896.7,1
2,232,45,20,5,0,3,0,17,2,10,1987,0
2,233,67,27,4,2,3,4,24,5,13,2890,0
2,234,73,28,7,0,0,4,28,2,27,2838,0
2,235,39.5,17,2,0,0,3,17,0,15,2012,0
2,236,40,13,2,1,0,0,13,1,11,1500,0
2,237,37,13,1,1,0,0,13,0,13,1491,0
2,238,33,12,1,1,0,2,12,2,10,1472,0
2,239,13,5.1,0.7,0.7,0,0.4,5.1,0,4.7,667.3,1
2,242,7,2.7,0.4,0.4,0,0.2,2.7,0,2.5,359.3,1
2,248,4,1.5,0.3,0.2,0,0.2,1.5,0.2,1.1,192.4,1
2,249,5,1.8,0.3,0.3,0,0.2,1.8,0.3,1.4,240.5,1
2,250,1,0.4,0.1,0.1,0,0,0.4,0.1,0.3,48.1,1
2,251,5,1.8,0.3,0.3,0,0.2,1.8,0.3,1.4,240.5,1
3,13,2.5,1.3,0.6,0,0.1,0.1,1.2,0.2,0.7,136.3,1
3,14,32,18,9,0,1,3,17,3,7,1808,0
3,15,34,17,7,0,4,2,13,5,5,1981.6,0
3,16,10,5.2,2.5,0.2,0.3,0.5,4.9,1,3,545.2,1
3,17,31,15,6,0,0,1,15,1,13,1603,0
3,18,4,1.9,0.3,0,0,0.1,1.9,0.4,1.3,238.7,1
3,36,2,0.9,0.2,0,0,0.1,0.9,0.4,0.5,105,1
3,39,3,1.3,0.3,0,0,0.2,1.3,0.7,0.8,157.5,1
3,111,3,1,0.1,0.1,0,0.1,1,0.2,0.5,112.7,1
3,112,4,1.3,0.2,0.2,0,0.2,1.3,0.3,0.7,150.3,1
3,124,7,2.5,0.8,0.6,0,0.2,2.5,1,1.5,256,1
3,148,4,1.5,0.3,0.2,0.1,0.4,1.4,0.4,1,161.6,1
3,149,3,1.1,0.2,0.2,0,0.3,1.1,0.3,0.8,121.2,1
3,152,3,1.1,0.2,0.2,0,0.3,1.1,0.3,0.8,121.2,1
3,154,23,8.6,1.8,0.8,0.2,1.2,8.4,0.4,7.2,942.7,1
3,155,26.5,11,3,2,5,2,6,3,3,1160,0
3,156,29,10.9,2.3,1,0.3,1.5,10.6,0.5,9.1,1188.6,1
3,160,9,3.4,0.8,0.2,0,0.3,3.4,0.8,2.9,388.5,1
3,161,12,4.6,1,0.2,0,0.4,4.6,1.1,3.8,518,1
3,162,8,3.1,0.7,0.1,0,0.3,3.1,0.7,2.5,345.3,1
3,163,5,1.8,0.5,0.3,0.1,0.1,1.7,0.5,1.2,247.4,1
3,164,9,3.3,0.9,0.5,0.1,0.2,3.2,0.9,2.2,445.4,1
3,209,3,1.5,0.4,0,0.1,0.3,1.4,0.3,1,161.4,1
3,224,2,0.6,0,0.1,0,0,0.6,0,0.6,81.2,1
3,225,7,2.2,0,0.3,0.2,0.2,2,0,2.1,284.2,1
3,226,5,1.6,0,0.2,0.1,0.1,1.5,0,1.5,203,1
3,230,10,3.7,0.7,0.5,0.3,0.3,3.4,0.1,3.2,389.9,1
3,231,13,4.8,0.9,0.7,0.4,0.4,4.4,0.1,4.1,506.8,1
3,232,32,11.8,2.3,1.6,1,1,10.8,0.3,10.1,1247.5,1
3,233,7,2.3,0.4,0.4,0,0.2,2.3,0.1,2.2,249.5,1
3,234,40,19,4,0,0,1,19,2,17,1905,0
3,235,44,23,9,1,0,1,23,0,20,2510,0
3,236,124,43,6,2,0,5,43,1,41,4195,0
3,237,45,15,1,1,0,1,15,0,14,1528,0
3,238,31.5,15,3,0,0,0,15,1,14,1600,0
3,239,16,6.2,0.9,0.9,0,0.4,6.2,0,5.8,821.3,1
3,252,2,0.7,0.1,0.1,0,0.1,0.7,0.1,0.6,96.2,1
4,9,4,2.5,1.1,0,0,0.4,2.5,0.4,2.3,257.9,1
4,13,1,0.5,0.2,0,0,0,0.5,0.1,0.3,54.5,1
4,14,1,0.5,0.2,0,0,0,0.5,0.1,0.3,54.5,1
4,15,15.5,8.1,3.8,0.3,0.5,0.8,7.6,1.5,4.6,845.1,1
4,16,6,3.1,1.5,0.1,0.2,0.3,2.9,0.6,1.8,327.1,1
4,17,9,4.7,2.2,0.1,0.3,0.4,4.4,0.9,2.7,490.7,1
4,77,3,1.3,0.2,0,0,0,1.3,0.1,0.7,183.9,1
4,106,3,1.3,0.3,0,0,0.1,1.3,0.1,0.5,178.7,1
4,111,1,0.3,0,0,0,0,0.3,0.1,0.2,37.6,1
4,112,2,0.7,0.1,0.1,0,0.1,0.7,0.1,0.3,75.2,1
4,148,1,0.4,0.1,0.1,0,0.1,0.4,0.1,0.3,40.4,1
4,154,3,1.1,0.2,0.1,0,0.2,1.1,0.1,0.9,123,1
4,155,13,4.9,1,0.5,0.1,0.7,4.8,0.2,4.1,532.8,1
4,156,5,1.9,0.4,0.2,0.1,0.3,1.8,0.1,1.6,204.9,1
4,157,1,0.4,0.1,0,0,0.1,0.4,0,0.3,41,1
4,158,1,0.4,0.1,0,0,0,0.4,0.1,0.3,43.2,1
4,160,15,5.7,1.3,0.3,0,0.6,5.7,1.4,4.8,647.5,1
4,161,14,5.4,1.2,0.3,0,0.5,5.4,1.3,4.4,604.4,1
4,162,3,1.1,0.3,0.1,0,0.1,1.1,0.3,1,129.5,1
4,163,6.5,2.4,0.7,0.3,0.1,0.2,2.3,0.7,1.6,321.6,1
4,209,2,1,0.3,0,0.1,0.2,0.9,0.2,0.7,107.6,1
4,210,4,2,0.5,0,0.1,0.4,1.9,0.4,1.4,215.3,1
4,231,14,5.1,1,0.7,0.4,0.4,4.7,0.1,4.4,545.8,1
4,235,12,4,0.6,0.6,0,0.4,4,0.2,3.8,427.8,1
4,236,53,14,0,2,0,1,14,0,14,1344,0
4,237,17,5.7,0.9,0.9,0,0.6,5.7,0.3,5.4,606,1
4,239,49,17,2,1,0,1,17,2,16,1861.8,0
5,2,4,2.6,1.7,0,0,0,2.6,0.4,1.7,340.3,1
5,8,2,1.2,0.6,0,0,0.2,1.2,0.2,1.1,129,1
5,9,1,0.6,0.3,0,0,0.1,0.6,0.1,0.6,64.5,1
5,12,1,0.6,0.3,0,0,0.1,0.6,0.1,0.6,64.5,1
5,38,2,0.9,0.2,0,0,0.1,0.9,0.4,0.5,105,1
5,77,2,0.8,0.1,0,0,0,0.8,0.1,0.5,122.6,1
5,125,3,1.1,0.4,0.3,0,0.1,1.1,0.4,0.6,109.7,1
5,153,2,0.8,0.2,0.1,0,0.1,0.8,0,0.6,82,1
5,155,4.5,1.7,0.4,0.2,0,0.2,1.7,0.1,1.4,184.4,1
5,159,2,0.8,0.2,0,0,0.1,0.8,0.2,0.6,86.3,1
5,162,14,5.4,1.2,0.3,0,0.5,5.4,1.3,4.4,604.4,1
5,163,34,12.4,3.4,1.7,0.4,0.9,12,3.4,8.1,1682.5,1
5,188,1,0.4,0.1,0,0.1,0,0.3,0,0.1,48.7,1
5,234,1,0.3,0.1,0.1,0,0,0.3,0,0.3,35.6,1
5,235,48.5,15,1,2,0,1,15,0,15,1890,0
5,236,64,24,6,0,8,0,16,2,16,1993.4,0
6,2,1,0.6,0.4,0,0,0,0.6,0.1,0.4,85.1,1
6,7,4,2.6,1.7,0,0,0,2.6,0.4,1.7,340.3,1
6,40,2,0.9,0.2,0,0,0.1,0.9,0.4,0.5,105,1
6,100,3,1.3,0.3,0,0,0.1,1.3,0.1,0.5,178.7,1
6,113,9,3,0.4,0.4,0,0.4,3,0.6,1.5,338.2,1
6,125,2,0.7,0.2,0.2,0,0.1,0.7,0.3,0.4,73.1,1
6,161,4,1.5,0.3,0.1,0,0.1,1.5,0.4,1.3,172.7,1
6,162,18,6.9,1.5,0.3,0,0.7,6.9,1.7,5.7,777,1
6,163,15,5.5,1.5,0.8,0.2,0.4,5.3,1.5,3.6,742.3,1
6,227,4,1.3,0,0.1,0.1,0.1,1.2,0,1.2,162.4,1
6,235,5,1.7,0.3,0.3,0,0.2,1.7,0.1,1.6,178.2,1
6,236,15,5,0.8,0.8,0,0.5,5,0.3,4.7,534.7,1
7,6,1,0.6,0.4,0,0,0,0.6,0.1,0.4,85.1,1
7,7,6,3.9,2.5,0,0,0,3.9,0.6,2.5,510.4,1
7,9,3,1.9,0.9,0,0,0.3,1.9,0.3,1.7,193.4,1
7,109,6,2,0.3,0.3,0,0.3,2,0.4,1,225.5,1
7,111,6,2,0.3,0.3,0,0.3,2,0.4,1,225.5,1
7,114,5,1.7,0.2,0.2,0,0.2,1.7,0.3,0.8,187.9,1
7,125,4,1.4,0.5,0.4,0,0.1,1.4,0.6,0.8,146.3,1
7,156,2,0.7,0.1,0.1,0,0.2,0.7,0.2,0.5,80.8,1
7,161,8,3.6,0.6,0,0,1.1,3.6,0.2,2.9,416.8,1
7,162,4,1.8,0.3,0,0,0.5,1.8,0.1,1.5,208.4,1
7,196,2,0.8,0.1,0,0.2,0,0.6,0.1,0.2,97.5,1
7,227,3,1.2,0.2,0.1,0,0.1,1.2,0.1,1,142.3,1
7,228,4,1.8,0.6,0.1,0,0.2,1.8,0.2,1.1,236.4,1
7,237,1,0.4,0.2,0,0,0,0.4,0,0.3,59.1,1
8,26,4,1.9,0.3,0,0,0.1,1.9,0.4,1.3,238.7,1
8,87,1,0.4,0.1,0,0,0,0.4,0,0.2,61.3,1
8,105,2,0.9,0.2,0,0,0.1,0.9,0.1,0.3,119.1,1
8,111,5.5,1.9,0.2,0.2,0,0.2,1.9,0.3,0.9,206.7,1
8,113,2,0.7,0.1,0.1,0,0.1,0.7,0.1,0.3,75.2,1
8,121,1,0.4,0.1,0.1,0,0,0.4,0,0.3,44.4,1
8,122,1,0.4,0.1,0.1,0,0,0.4,0,0.3,44.4,1
8,123,5.5,2,0.7,0.5,0,0.2,2,0.8,1.1,201.1,1
8,125,12,4.3,1.4,1.1,0,0.4,4.3,1.8,2.5,438.8,1
8,156,12,4.5,0.9,0.7,0.2,1.1,4.3,1.1,3.1,484.7,1
8,161,15,6.7,1.2,0,0,2,6.7,0.4,5.5,781.6,1
8,162,2,0.9,0.2,0,0,0.3,0.9,0.1,0.7,104.2,1
8,226,29,11.5,2.2,0.6,0,0.9,11.5,1.2,9.7,1375.5,1
8,227,14,5.6,1.1,0.3,0,0.5,5.6,0.6,4.7,664,1
8,229,2,0.9,0.3,0,0,0.1,0.9,0.1,0.5,118.2,1
8,230,2,0.9,0.3,0,0,0.1,0.9,0.1,0.5,118.2,1
8,236,3,1.3,0.5,0.1,0,0.1,1.3,0.1,0.8,177.3,1
8,244,2,0.7,0.2,0.1,0,0,0.7,0,0.6,99.7,1
8,245,13,4.8,1.2,0.6,0,0.3,4.8,0,3.9,648.2,1
9,7,1,0.6,0.4,0,0,0,0.6,0.1,0.4,85.1,1
9,26,1,0.5,0.1,0,0,0,0.5,0.1,0.3,59.7,1
9,37,5,2.2,0.5,0,0,0.3,2.2,1.1,1.2,262.5,1
9,38,7,3.1,0.7,0,0,0.4,3.1,1.5,1.8,367.5,1
9,105,7,3,0.8,0,0,0.2,3,0.2,1.1,417,1
9,122,19,7.2,2.7,1.4,0,0.5,7.2,0.9,5.4,843.7,1
9,157,10,3.7,0.7,0.6,0.2,0.9,3.5,0.9,2.6,403.9,1
9,161,4,1.8,0.3,0,0,0.5,1.8,0.1,1.5,208.4,1
9,162,2,0.9,0.2,0,0,0.3,0.9,0.1,0.7,104.2,1
9,193,6,2.3,0.4,0.1,0.6,0.1,1.7,0.3,0.7,292.4,1
9,225,25,9.9,1.9,0.5,0,0.8,9.9,1.1,8.3,1185.8,1
9,226,36,11,0,2,0,1,11,1,11,1163,0
9,227,22,8.8,1.7,0.5,0,0.7,8.8,0.9,7.3,1043.5,1
9,229,2,0.9,0.3,0,0,0.1,0.9,0.1,0.5,118.2,1
9,235,4,1.8,0.6,0.1,0,0.2,1.8,0.2,1.1,236.4,1
9,237,9,4,1.4,0.2,0,0.4,4,0.4,2.4,532,1
10,11,2,1.2,0.6,0,0,0.2,1.2,0.2,1.1,129,1
10,102,2,0.9,0.2,0,0,0.1,0.9,0.1,0.3,119.1,1
10,120,5,1.9,0.7,0.4,0,0.1,1.9,0.2,1.4,222,1
10,157,16.5,6.2,1.2,0.9,0.3,1.5,5.9,1.5,4.3,666.5,1
10,197,3,1.2,0.2,0.1,0.3,0.1,0.9,0.1,0.4,146.2,1
10,236,1,0.4,0.2,0,0,0,0.4,0,0.3,59.1,1
10,237,9,4,1.4,0.2,0,0.4,4,0.4,2.4,532,1
10,238,30,12,2,0,0,1,12,1,11,1487,0
10,239,2,0.7,0.2,0.1,0,0,0.7,0,0.6,99.7,1
11,104,2,0.9,0.2,0,0,0.1,0.9,0.1,0.3,119.1,1
11,120,14,5.3,2,1,0,0.3,5.3,0.7,4,621.7,1
11,121,2,0.8,0.3,0.1,0,0,0.8,0.1,0.6,88.8,1
11,158,3,1.3,0.2,0,0,0.4,1.3,0.1,1.1,156.3,1
11,199,2,0.8,0.1,0,0.2,0,0.6,0.1,0.2,97.5,1
11,206,8,3.1,0.6,0.2,0.8,0.2,2.3,0.4,1,389.9,1
11,207,10,3.9,0.7,0.2,1,0.2,2.9,0.5,1.2,487.3,1
11,229,2,0.9,0.3,0,0,0.1,0.9,0.1,0.5,118.2,1
11,236,4,1.8,0.6,0.1,0,0.2,1.8,0.2,1.1,236.4,1
11,237,2,0.9,0.3,0,0,0.1,0.9,0.1,0.5,118.2,1
11,238,26,9.7,2.4,1.2,0,0.6,9.7,0,7.9,1296.4,1
12,31,1,0.7,0.5,0,0,0.1,0.7,0.2,0.5,79.4,1
12,69,1,0.4,0.1,0,0,0,0.4,0,0.2,61.3,1
12,102,6,2.9,1.1,0,0,0,2.9,0.2,2.4,428.9,1
12,116,3,1.3,0.5,0.2,0,0,1.3,0.1,1.1,186.8,1
12,118,2,1,0.6,0.1,0,0,1,0.1,0.6,100.1,1
12,178,7,2.5,0.7,0.4,0,0.2,2.5,0.5,1.3,283.6,1
12,208,2,0.9,0.2,0,0,0,0.9,0,0.8,91.8,1
12,209,3,1.3,0.2,0,0,0.1,1.3,0,1.2,137.7,1
13,24,3,1.3,0.3,0,0,0.2,1.3,0.7,0.8,157.5,1
13,25,1,0.4,0.1,0,0,0.1,0.4,0.2,0.2,52.5,1
13,26,1,0.4,0.1,0,0,0.1,0.4,0.2,0.2,52.5,1
13,70,2,0.8,0.1,0,0,0,0.8,0.1,0.5,122.6,1
13,114,2,0.9,0.3,0.2,0,0,0.9,0.1,0.7,124.6,1
13,115,1,0.4,0.2,0.1,0,0,0.4,0,0.4,62.3,1
13,118,1,0.5,0.3,0,0,0,0.5,0,0.3,50.1,1
13,202,7,2.4,0.3,0.3,0,0.2,2.4,0.4,1.1,242.6,1
13,207,2,0.7,0.1,0.1,0.1,0.2,0.6,0.1,0.4,77,1
13,208,9,4,0.7,0,0,0.2,4,0,3.6,413.1,1
13,209,7,3.1,0.5,0,0,0.2,3.1,0,2.8,321.3,1
13,229,19,7,1.6,0.4,2.7,0.4,4.3,0.4,3.1,1015.9,1
13,238,3,1.1,0.1,0.1,0.1,0.1,1,0,0.7,136.3,1
13,241,6.5,2.4,0.3,0.2,0.2,0.2,2.2,0,1.4,295.3,1
14,68,2,0.8,0.1,0,0,0,0.8,0.1,0.5,122.6,1
14,110,5,2.2,0.8,0.4,0,0,2.2,0.2,1.8,311.4,1
14,111,5,2.2,0.8,0.4,0,0,2.2,0.2,1.8,311.4,1
14,184,1,0.4,0.1,0.1,0,0,0.4,0.1,0.2,40.5,1
14,202,21,7.1,0.8,0.8,0,0.5,7.1,1.3,3.3,727.7,1
14,203,57,17,3,2,0,2,17,0,17,1718,0
14,204,4,1.4,0.1,0.1,0.3,0.3,1.1,0.1,0.9,154,1
14,205,26,9.3,0.8,0.8,1.9,2.2,7.4,0.8,5.7,1001,1
14,207,17,6.1,0.5,0.5,1.3,1.4,4.8,0.5,3.7,654.5,1
14,208,5,2.2,0.4,0,0,0.1,2.2,0,2,229.5,1
14,230,3,1.1,0.2,0.1,0.4,0.1,0.7,0.1,0.5,160.4,1
14,236,9,3.3,0.7,0.2,1.3,0.2,2,0.2,1.5,481.2,1
14,238,6,2.2,0.3,0.2,0.2,0.2,2,0,1.3,272.6,1
15,37,3,2.1,1.4,0,0.1,0.2,2,0.6,1.4,238.1,1
15,110,5,2.2,0.8,0.4,0,0,2.2,0.2,1.8,311.4,1
15,111,4,1.8,0.6,0.3,0,0,1.8,0.2,1.4,249.1,1
15,118,2,1,0.6,0.1,0,0,1,0.1,0.6,100.1,1
15,163,2,0.8,0.3,0.1,0,0.1,0.8,0.1,0.8,116.8,1
15,183,7,2.5,0.7,0.4,0,0.2,2.5,0.5,1.3,283.6,1
15,184,3,1.1,0.3,0.2,0,0.1,1.1,0.2,0.5,121.5,1
15,200,4,1.3,0.1,0.1,0,0.1,1.3,0.2,0.6,138.6,1
15,203,18,6.4,0.6,0.6,1.3,1.5,5.1,0.6,4,693,1
15,204,60,21,2,0,0,3,21,2,14,2067,0
15,205,75,39,18,1,8,6,31,5,16,3098,0
15,206,51.5,25,8,1,8,4,17,1,7,1987,0
15,207,7.5,2.7,0.2,0.2,0.6,0.6,2.1,0.2,1.6,288.7,1
15,208,2,0.9,0.2,0,0,0,0.9,0,0.8,91.8,1
15,209,2,0.9,0.2,0,0,0,0.9,0,0.8,91.8,1
15,217,3,1.3,0.2,0,0,0.1,1.3,0,1.2,137.7,1
16,37,2,1.4,0.9,0,0.1,0.2,1.3,0.4,0.9,158.8,1
16,67,1,0.4,0.1,0,0,0,0.4,0,0.2,61.3,1
16,107,2,1,0.4,0,0,0,1,0.1,0.8,143,1
16,149,1,0.4,0.2,0.1,0,0,0.4,0.1,0.4,58.4,1
16,200,26,8.8,0.9,0.9,0,0.6,8.8,1.6,4.1,900.9,1
16,201,17,5.7,0.6,0.6,0,0.4,5.7,1,2.7,589.1,1
16,202,8,2.7,0.3,0.3,0,0.2,2.7,0.5,1.3,277.2,1
16,203,2,0.7,0.1,0.1,0.1,0.2,0.6,0.1,0.4,77,1
16,204,35,16,5,1,3,1,13,2,9,1446,0
16,205,78.5,29,6,1,1,1,28,1,25,3008,0
16,206,85.5,31,7,2,0,4,31,2,28,2946.6,0
16,207,19,6.8,0.6,0.6,1.4,1.6,5.4,0.6,4.2,731.5,1
16,208,4,1.8,0.3,0,0,0.1,1.8,0,1.6,183.6,1
16,210,2,0.9,0.2,0,0,0,0.9,0,0.8,91.8,1
16,215,1,0.4,0.1,0,0,0,0.4,0,0.4,45.9,1
16,233,11,4,0.9,0.2,1.6,0.2,2.4,0.2,1.8,588.2,1
16,240,6,2.2,0.3,0.2,0.2,0.2,2,0,1.3,272.6,1
17,3,1,0.5,0.2,0,0,0,0.5,0.1,0.4,73.1,1
17,27,4,1.8,0.4,0,0,0.2,1.8,0.9,1,210,1
17,28,2,1.4,0.9,0,0.1,0.2,1.3,0.4,0.9,158.8,1
17,106,1,0.5,0.2,0,0,0,0.5,0,0.4,71.5,1
17,120,6,3,1.7,0.2,0,0,3,0.2,1.7,300.4,1
17,121,7,3.5,2,0.2,0,0,3.5,0.2,2,350.5,1
17,178,7,2.5,0.7,0.4,0,0.2,2.5,0.5,1.3,283.6,1
17,192,8,2.4,0.1,0.1,0,0,2.4,0.1,1.8,301.7,1
17,193,9,3.4,0.6,0.1,0.3,0.1,3.1,0.2,2.1,386.5,1
17,194,2,0.8,0.1,0,0.1,0,0.7,0.1,0.5,85.9,1
17,195,14,5.3,0.9,0.2,0.5,0.2,4.8,0.4,3.2,601.3,1
17,196,11,4.2,0.7,0.1,0.4,0.1,3.8,0.3,2.5,472.4,1
17,197,12,4.6,0.8,0.2,0.5,0.2,4.1,0.3,2.7,515.4,1
17,199,3,1.1,0,0,0,0.1,1.1,0,1.1,112.9,1
17,200,25,9.5,0,0,0,1.2,9.5,0,8.9,940.5,1
17,201,14,5.3,0,0,0,0.7,5.3,0,5,526.7,1
17,203,8,2.8,0.6,0.6,0,0.7,2.8,0.3,2.5,331.8,1
17,204,6,2.1,0.4,0.4,0,0.5,2.1,0.2,1.9,248.8,1
17,205,26,9.1,1.8,1.8,0,2.3,9.1,0.9,8.2,1078.3,1
17,206,43,14,2,0,0,0,14,0,12,1495,0
17,207,39,16,3,0,0,2,16,0,15,1518.6,0
17,208,23,8.7,1.9,0.5,0.5,1,8.2,0.5,4.8,863.3,1
17,209,2.5,0.9,0.2,0.1,0,0.1,0.9,0.1,0.5,93.8,1
17,215,5,2.3,0.9,0,0,0.2,2.3,0.2,1.8,228.4,1
17,217,2,0.9,0.3,0,0,0.1,0.9,0.1,0.7,91.4,1
17,232,7,2.6,0.6,0.1,1,0.1,1.6,0.1,1.1,374.3,1
17,233,46,15.8,1.4,2.7,0.7,2.7,15.1,1.4,11,1639.5,1
17,237,2,0.7,0.1,0.1,0,0.1,0.7,0.1,0.5,71.3,1
17,242,22,11.2,5,0.4,1.7,0.4,9.5,1.2,5.8,1276,1
17,243,3,1.1,0.1,0.1,0.1,0.1,1,0,0.7,136.3,1
18,120,1,0.5,0.3,0,0,0,0.5,0,0.3,50.1,1
18,152,7,2.8,1.1,0.4,0,0.2,2.8,0.4,2.6,408.6,1
18,192,25,7.6,0.4,0.4,0,0,7.6,0.4,5.6,942.8,1
18,193,2,0.8,0.1,0,0.1,0,0.7,0.1,0.5,85.9,1
