x,y,value
4845000,2575000,420
4265000,3060000,1845
2990000,2205000,277
4200000,1800000,3947
3825000,2395000,17
4960000,2840000,4
4185000,3200000,495
5655000,2195000,26
4170000,2350000,219
3590000,2695000,383
5075000,3260000,3204
3155000,2015000,87562
4795000,1985000,628
4525000,4920000,19
5540000,2560000,2283
3685000,2085000,4782
5440000,1815000,104
4815000,3275000,1317
4865000,3245000,1361
5125000,2485000,1534
4450000,3330000,262
5075000,3185000,1637
4245000,3650000,291
5285000,2795000,63
3950000,2340000,1135
3410000,3625000,7
3375000,2900000,4414
3655000,2250000,502
3340000,1735000,59
5185000,4720000,26
4825000,2515000,144
4595000,2560000,497
3575000,2610000,324
5185000,2410000,780
3805000,3085000,4672
4790000,4035000,1424
2850000,2210000,1177
4465000,2770000,12959
4595000,3195000,1618
5070000,4600000,957
4970000,2385000,94
5685000,2770000,1017
4740000,2010000,2957
3135000,2365000,112
5230000,4580000,182
3845000,2285000,8013
5325000,2855000,548
4570000,4130000,1
4675000,3000000,1294
3425000,2360000,75
4725000,3400000,499
4295000,4090000,49
4570000,4050000,21
5475000,2220000,76
4155000,2685000,6110
5400000,2815000,251
4855000,2365000,1
3065000,2080000,58
4835000,5300000,6
4770000,2565000,2808
3650000,2465000,428
5425000,2710000,29200
3450000,3555000,2647
5450000,2280000,466
5060000,3050000,2172
3485000,2675000,1089
3395000,3170000,2277
3710000,3240000,2455
5555000,1740000,1641
3290000,3655000,1476
4405000,3170000,494
4910000,4170000,13
5080000,2295000,1876
5315000,2305000,1
5035000,2385000,1139
4085000,3070000,3132
5080000,2180000,7770
4195000,2575000,40
4065000,3965000,10391
5435000,2095000,997
3750000,2285000,324
4460000,2685000,5759
5585000,2420000,630
3520000,2025000,1089
4260000,2065000,280
4105000,4120000,17
5105000,2385000,29
3415000,3855000,70
3345000,3160000,1120
3255000,1670000,9096
3775000,3020000,1098
5075000,2140000,29
5015000,4425000,10
5460000,2850000,4
4975000,4270000,43
4690000,3100000,1200
5065000,2570000,12845
3610000,2510000,390
5025000,2895000,7126
5045000,2390000,2510
5040000,2275000,24
4815000,3025000,1603
5565000,2680000,1220
4725000,2565000,527
5050000,4700000,24
3845000,3140000,66558
4980000,2700000,966
5100000,4965000,27
4280000,3975000,2460
5670000,2600000,1223
5260000,3650000,267
3845000,3150000,4770
5235000,4380000,138
