x,y,2018,2011
88,49,0,3
88,110,0,25
88,111,34,64
88,112,42,151
88,113,0,1
88,114,0,67
88,115,0,2
88,116,0,32
88,117,0,60
88,118,0,58
88,119,0,3
88,50,0,3
88,51,0,3
88,95,0,2
88,52,0,3
88,53,0,2
88,54,0,1
88,10,1974,804
88,11,386,110
88,55,0,1
88,12,95,0
88,56,0,1
88,57,0,1
88,13,326,202
88,14,218,163
88,15,715,335
88,16,963,445
88,17,1503,873
88,18,2747,2569
88,19,1105,883
88,120,790,722
88,121,389,787
88,0,29,0
88,122,0,1
88,1,21,10
88,3,273,260
88,4,321,308
88,125,0,1
88,5,745,258
88,6,1669,345
88,127,14,1
88,7,377,139
88,8,345,218
88,9,594,186
88,62,0,4
88,63,0,8
88,20,4334,4378
88,64,0,9
88,21,993,874
88,65,0,8
88,66,0,8
88,67,0,3
88,24,59,2
88,25,15,0
88,26,0,5
88,27,0,13
88,28,0,3
88,71,0,1
88,72,0,2
88,73,0,2
88,32,0,16
88,33,0,3
88,36,0,1
88,101,0,2
88,102,0,1
88,103,0,39
88,104,0,5
88,109,0,40
89,48,0,2
89,49,0,2
89,110,0,57
89,111,0,31
89,113,0,1
89,114,0,1
89,115,0,2
89,116,0,89
89,92,0,1
89,119,5,3
89,93,0,4
89,94,0,3
89,50,0,3
89,95,0,4
89,51,0,3
89,52,0,3
89,96,0,1
89,53,0,3
89,10,3354,929
89,54,0,2
89,11,2109,697
89,55,0,1
89,12,170,158
89,56,0,2
89,57,0,1
89,13,691,131
89,14,965,290
89,15,14,2
89,16,94,12
89,17,1604,1056
89,18,1925,1254
89,19,3682,5555
89,120,18,27
89,1,3,0
89,122,0,2
89,123,0,7
89,124,0,11
89,3,233,390
89,4,70,88
89,126,0,45
89,5,696,442
89,6,1282,710
89,7,1272,890
89,8,1019,753
89,9,1270,333
89,61,0,1
89,62,0,1
89,63,0,4
89,64,0,9
89,20,3856,5228
89,65,0,9
89,21,591,318
89,66,0,8
89,22,655,415
89,67,0,86
89,23,183,39
89,25,4,5
89,26,0,3
89,27,0,18
89,28,0,1
89,71,0,1
89,72,0,2
89,73,0,1
89,32,0,1
89,100,0,1
89,101,0,2
89,102,0,1
89,109,0,9
110,88,0,42
110,48,0,1
110,49,0,1
110,110,0,2
110,115,0,67
110,116,6,0
110,117,28,65
110,118,0,11
110,119,22,23
110,93,0,1
110,50,0,2
110,94,0,11
110,95,0,4
110,96,0,6
110,97,0,8
110,53,0,2
110,10,26,26
110,54,0,2
110,98,0,7
110,11,37,38
110,55,0,2
110,56,0,2
110,12,15,15
110,57,55,67
110,14,36,37
110,15,15,15
110,59,0,1
110,16,6,12
110,17,3,84
110,18,4,6
110,19,7,0
110,120,34,140
110,0,140,142
110,121,263,484
110,122,1140,1109
110,1,37,33
110,123,1657,833
110,124,479,199
110,125,0,10
110,4,15,15
110,126,0,1
110,127,3768,2243
110,7,94,95
110,8,79,80
110,9,11,11
110,60,0,1
110,61,0,6
110,65,33,0
110,22,0,1
110,23,0,1
110,24,0,1
110,26,4,0
110,75,82,1
110,76,0,5
110,77,39,142
110,78,305,331
110,79,1705,1097
110,100,0,99
110,101,0,13
110,102,168,234
110,103,175,28
110,104,0,1
110,105,0,30
110,106,0,44
110,80,2257,2385
110,107,0,37
110,81,8,104
110,109,0,7
110,83,0,30
110,40,0,1
110,84,0,167
110,41,0,1
110,42,0,1
110,86,0,89
110,43,0,1
110,87,0,6
