x,y,BASIC_EDUCATION_OR_LESS,INACTIVE_POPULATION,LABOUR_FORCE,MEN,MEN_0_14,MEN_15_64_,MEN_65p,TERTIARY_EDUCATION,TOTAL,TOTAL_0_14,TOTAL_15_64,TOTAL_65p,UPPER_SECONDARY_EDUCATION,WOMEN,WOMEN_0_14,WOMEN_15_64,WOMEN_65p
0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
0,5,35,43,48,59,9,42,8,0,116,25,72,19,53,57,16,30,11
0,6,239,355,248,372,67,274,31,31,744,141,511,92,332,372,74,237,61
0,7,117,150,147,204,52,139,13,16,392,95,257,40,163,188,43,118,27
0,8,116,157,159,214,57,137,20,19,431,114,269,48,182,217,57,132,28
0,9,19,31,16,33,12,13,8,0,68,21,29,18,25,35,9,16,10
1,0,62,116,71,124,23,93,8,0,240,53,172,15,121,116,30,79,7
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,0,0,10,0,0,0,0,19,6,9,0,0,9,0,0,0
1,4,93,105,97,125,21,91,13,11,238,36,162,40,98,113,15,71,27
1,5,33,45,37,53,11,35,7,0,103,21,63,19,44,50,10,28,12
1,6,170,214,168,243,49,166,28,18,475,93,311,71,194,232,44,145,43
1,7,91,123,92,138,29,91,18,0,265,50,170,45,115,127,21,79,27
1,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
1,12,20,21,0,12,0,10,0,0,30,0,19,10,0,18,0,9,0
1,13,27,33,20,32,5,23,0,0,65,12,40,13,24,33,7,17,0
2,0,39,66,50,71,13,45,13,15,136,20,88,28,62,65,7,43,15
2,1,48,73,51,66,7,49,10,14,143,19,94,30,62,77,12,45,20
2,2,62,75,33,55,5,39,11,0,120,12,70,38,45,65,7,31,27
2,3,39,63,32,53,10,36,7,0,117,22,71,24,52,64,12,35,17
2,4,34,44,29,46,11,28,7,0,96,23,58,15,35,50,12,30,8
2,5,123,158,133,167,26,122,19,0,351,60,240,51,160,184,34,118,32
2,6,28,32,22,31,0,23,5,0,59,5,44,10,24,28,0,21,5
2,11,19,21,0,19,0,14,0,0,35,0,21,10,11,16,0,7,0
2,12,105,107,61,93,12,68,13,0,196,28,128,40,62,103,16,60,27
3,0,0,0,0,15,5,10,0,0,30,10,18,0,16,15,5,8,0
3,2,144,220,131,220,42,160,18,16,430,79,291,60,191,210,37,131,42
3,5,73,88,79,100,17,74,9,0,202,35,136,31,88,102,18,62,22
4,0,13,17,0,16,0,10,0,0,30,5,20,5,12,14,0,10,0
4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,44,49,49,58,12,45,0,0,118,20,84,14,45,60,8,39,0
4,6,0,11,0,10,0,7,0,0,19,0,16,0,0,9,0,9,0
5,0,21,39,14,35,0,23,0,0,65,12,42,11,31,30,0,19,0
5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0
5,5,55,68,50,84,20,62,0,0,152,32,103,17,59,68,12,41,0
5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,28,40,19,45,14,24,7,0,83,24,44,15,29,38,10,20,8
6,1,0,12,0,6,0,0,0,0,12,0,6,6,0,6,0,0,0
6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,20,22,12,14,0,11,0,0,38,0,24,10,12,24,0,13,0
6,5,0,0,0,5,0,0,0,0,10,0,7,0,0,5,0,0,0
6,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4,26,23,0,15,0,0,0,0,31,0,14,14,0,16,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4,24,29,0,19,0,14,0,0,40,7,21,12,0,21,0,7,0
17,0,12,14,0,8,0,0,0,0,16,0,5,11,0,8,0,0,0
18,0,25,37,0,25,0,16,8,0,48,0,27,19,17,23,0,11,11
18,1,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0
19,0,22,23,0,14,0,11,0,0,34,0,19,13,0,20,0,8,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
