x,y,BASIC_EDUCATION_OR_LESS,INACTIVE_POPULATION,LABOUR_FORCE,MEN,MEN_0_14,MEN_15_64_,MEN_65p,TERTIARY_EDUCATION,TOTAL,TOTAL_0_14,TOTAL_15_64,TOTAL_65p,UPPER_SECONDARY_EDUCATION,WOMEN,WOMEN_0_14,WOMEN_15_64,WOMEN_65p
0,74,14,28,0,21,0,12,7,0,40,0,24,14,17,19,0,12,7
0,75,0,14,11,11,0,7,0,0,29,0,18,7,13,18,0,11,0
0,77,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
0,78,84,197,119,185,15,121,49,65,350,34,214,102,167,165,19,93,53
0,93,18,24,19,21,0,16,0,0,49,6,35,8,23,28,0,19,0
0,94,112,128,87,121,25,72,24,11,272,57,158,57,92,151,32,86,33
0,105,14,31,32,46,10,33,0,0,80,17,56,7,44,34,7,23,0
0,106,27,57,68,76,11,55,10,18,145,20,103,22,80,69,9,48,12
0,107,143,254,259,302,61,196,45,74,633,120,416,97,296,331,59,220,52
0,109,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0
0,110,59,106,109,126,16,96,14,29,243,28,176,39,127,117,12,80,25
0,114,0,11,0,10,0,0,0,0,17,0,12,0,0,7,0,0,0
0,115,23,25,13,26,0,18,0,0,46,8,31,7,14,20,0,13,0
0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,120,0,0,0,5,0,0,0,0,10,0,7,0,0,5,0,0,0
0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,124,33,42,30,41,9,27,5,0,88,16,54,18,34,47,7,27,13
0,125,0,0,0,10,0,8,0,0,17,0,14,0,0,7,0,6,0
0,126,45,104,85,109,15,82,12,17,238,49,160,29,127,129,34,78,17
0,127,294,540,378,598,128,401,69,83,1176,250,756,170,542,578,122,355,101
1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,56,0,0,0,10,0,0,6,0,19,0,8,11,12,9,0,0,5
1,57,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
1,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,72,0,28,15,26,0,19,0,12,48,5,32,11,22,22,0,13,0
1,76,170,315,355,394,57,270,67,124,779,109,518,152,376,385,52,248,85
1,77,0,27,16,26,0,15,0,16,49,6,32,11,24,23,0,17,0
1,93,0,0,0,8,0,0,0,0,13,0,9,0,0,5,0,0,0
1,94,11,19,12,19,0,10,0,0,37,6,23,8,18,18,0,13,0
1,104,0,0,0,7,0,0,0,0,12,0,7,0,0,5,0,0,0
1,105,46,107,126,151,37,96,18,37,308,75,199,34,150,157,38,103,16
1,109,19,30,21,32,5,21,0,0,61,10,41,10,25,29,5,20,0
1,110,31,57,38,48,0,34,10,0,109,14,70,25,55,61,0,36,15
1,113,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0
1,115,0,16,0,10,0,6,0,0,23,0,12,8,0,13,0,6,0
1,116,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
1,118,36,31,20,28,0,19,6,0,56,5,35,16,14,28,0,16,10
1,122,23,28,11,26,9,14,0,0,54,15,31,8,15,28,6,17,0
1,123,0,12,0,11,0,8,0,0,20,0,15,0,0,9,0,7,0
1,124,50,61,30,61,12,37,12,0,109,18,64,27,31,48,6,27,15
1,125,14,19,11,15,0,13,0,0,34,0,22,8,14,19,0,9,0
1,126,25,35,30,35,0,27,0,0,83,18,55,10,38,48,0,28,0
1,127,218,340,277,443,119,283,41,45,838,221,523,94,354,395,102,240,53
2,50,0,0,0,6,0,0,0,0,12,0,10,0,0,6,0,0,0
2,52,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
2,55,0,25,14,20,0,13,6,13,40,0,25,14,20,20,0,12,8
2,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,72,32,57,39,54,0,40,9,0,105,9,73,23,54,51,0,33,14
2,76,220,415,403,487,72,330,85,160,955,137,634,184,438,468,65,304,99
2,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,91,38,54,36,58,9,37,12,0,107,17,66,24,50,49,8,29,12
2,92,0,0,0,6,0,0,0,0,12,0,9,0,0,6,0,0,0
2,97,15,37,30,42,0,33,0,0,77,10,63,0,47,35,0,30,0
2,104,101,213,198,248,49,159,40,54,500,89,335,76,255,252,40,176,36
2,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,109,44,64,55,76,19,46,11,0,157,38,99,20,73,81,19,53,9
2,110,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0
2,113,19,20,15,24,0,17,5,0,40,5,24,11,16,16,0,7,6
2,114,0,0,0,7,0,5,0,0,15,0,10,0,0,8,0,5,0
2,115,0,11,0,10,0,0,0,0,20,6,0,10,0,10,0,0,0
2,116,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,0,0
2,117,12,20,26,32,0,27,0,0,53,7,42,0,31,21,0,15,0
2,118,0,0,0,7,0,0,0,0,16,6,10,0,0,9,0,0,0
2,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,121,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0
2,123,22,23,21,29,5,21,0,0,55,11,38,6,20,26,6,17,0
2,124,0,0,0,8,0,6,0,0,17,0,12,0,0,9,0,6,0
2,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,126,30,39,18,28,0,21,0,0,63,6,40,17,26,35,0,19,0
2,127,12,21,0,22,0,16,0,0,36,6,23,7,16,14,0,7,0
3,50,0,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0
3,51,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
3,52,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
3,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,76,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0
3,91,66,77,42,75,13,41,21,0,140,21,77,42,49,65,8,36,21
3,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,97,408,652,481,696,111,455,130,117,1335,202,863,270,608,639,91,408,140
3,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,104,46,117,112,140,19,101,20,39,276,47,191,38,144,136,28,90,18
3,105,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0
3,108,0,0,0,5,0,0,0,0,14,0,10,0,0,9,0,0,0
3,109,67,95,68,96,16,63,17,12,195,32,132,31,84,99,16,69,14
3,113,22,16,12,16,0,12,0,0,29,0,20,8,0,13,0,8,0
3,116,0,0,0,0,0,0,0,0,10,0,5,5,0,0,0,0,0
3,117,13,17,0,13,0,9,0,0,27,0,15,9,0,14,0,6,0
3,118,17,26,0,20,0,12,0,0,39,9,20,10,13,19,0,8,0
3,119,0,12,0,10,0,5,0,0,19,0,10,5,0,9,0,5,0
3,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,121,27,54,15,50,5,41,0,0,81,12,58,11,26,31,7,17,0
3,122,33,43,29,56,15,37,0,0,96,24,61,11,34,40,9,24,0
3,123,29,35,17,29,0,20,6,0,63,11,37,15,22,34,0,17,9
3,124,40,47,39,49,0,37,6,0,96,10,72,14,45,47,0,35,8
3,125,28,31,24,37,9,21,7,0,69,14,38,17,24,32,5,17,10
4,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,51,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
4,54,0,16,14,20,0,13,0,0,36,6,24,6,12,16,0,11,0
4,97,37,59,33,61,12,39,10,0,112,20,72,20,46,51,8,33,10
4,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,104,24,74,57,77,15,54,8,22,154,23,109,22,85,77,8,55,14
4,106,0,0,0,9,0,0,0,0,17,0,12,0,0,8,0,0,0
4,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,108,0,0,0,8,0,5,0,0,18,0,12,6,0,10,0,7,0
4,109,62,86,56,92,15,59,18,0,168,26,101,41,73,76,11,42,23
4,113,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,0
4,114,11,0,0,9,0,0,0,0,16,0,11,0,0,7,0,0,0
4,115,0,0,0,6,0,0,0,0,14,0,8,0,0,8,0,0,0
4,116,11,15,0,13,0,8,0,0,29,9,14,6,0,16,0,6,0
4,117,24,24,0,18,0,10,0,0,41,9,19,13,0,23,0,9,0
4,118,12,13,0,13,0,0,0,0,23,5,12,6,0,10,0,0,0
4,120,15,17,13,22,0,15,0,0,36,6,23,7,14,14,0,8,0
4,122,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
5,53,21,31,42,44,9,31,0,0,94,21,62,11,47,50,12,31,0
5,54,561,953,944,1082,171,712,199,243,2232,335,1424,473,1093,1150,164,712,274
5,55,180,265,272,279,45,187,47,61,623,86,385,152,294,344,41,198,105
