lat,lng,continent
45.84638,9.00724,EU
18.72963,-99.32605,NA
42.08333,2.98333,EU
55.55291,34.99537,EU
15.30997,100.08283,AS
39.46405,45.97047,AS
45.97522,10.08356,EU
-6.7753,111.2425,AS
30.40624,19.57386,AF
-42.90541,147.31576,OC
45.2663,7.76578,EU
46.18333,21.31667,EU
51.96833,-4.99333,EU
45.15714,8.19469,EU
38.59751,-2.34421,EU
47.56731,35.78575,EU
14.11667,120.96667,AS
28.85404,114.06911,AS
53.56667,-2.01667,EU
48.19664,-96.77284,NA
50.31993,9.861,EU
-6.6698,111.1059,AS
51.67745,11.56795,EU
-7.15908,113.51864,AS
58,12.71667,EU
-14.79364,-39.03949,SA
36.28389,120.00333,AS
40.92845,14.24744,EU
29.94494,106.35025,AS
47.41444,8.47928,EU
23.80856,117.31331,AS
47.01096,16.60596,EU
40.78704,-73.009,NA
42.17476,-8.50398,EU
47.80277,25.98387,EU
54.13333,9.93333,EU
42.01667,23.1,EU
51.78333,-0.03333,EU
27.47989,94.90837,AS
19.23088,-98.50077,NA
-5.42917,105.26111,AS
50.99556,9.72838,EU
32.21632,-80.75261,NA
51.47315,17.63383,EU
53.78057,-0.41542,EU
45.95885,5.3432,EU
45.28771,4.7291,EU
-2.55,33.2,AF
46.5,15.68333,EU
12.61667,-70.06667,NA
43.71667,25.56667,EU
48.94956,2.5684,EU
36.949,-3.35615,EU
-23.69339,30.14002,AF
32.70261,-103.13604,NA
50.38634,3.62306,EU
41.02204,-73.94736,NA
41.08889,21.01222,EU
18.97694,-99.57472,NA
51.34417,5.88472,EU
48,2.75,EU
34.75,137.91667,AS
5.96222,124.66972,AS
25.63139,117.71574,AS
37.39206,46.23909,AS
48.65,16.9,EU
47.83333,16.28333,EU
45.1994,7.77546,EU
36.84308,44.30094,AS
34.88787,-91.19457,NA
49.32975,2.32854,EU
51.13333,10.33333,EU
49.25,-0.23333,EU
-22.66667,-60.11667,SA
56.7,36.76667,EU
43.64477,1.52384,EU
50.20718,15.29758,EU
41.23767,-2.128,EU
52.12717,19.00257,EU
44.07787,8.10891,EU
-7.53562,107.6864,AS
43.12028,45.74056,EU
41.06536,-4.93066,EU
38.33067,-80.65315,NA
49.06262,11.0053,EU
