x,y,Ind,Men,Men_1ind,Men_5ind,Men_coll,Men_fmp,Men_mais,Men_pauv,Men_prop,Men_surf,imputed
0,0,2,0.8,0,0,0.1,0.2,0.7,0,0.7,88.8,1
0,6,54.5,31,16,0,0,3,31,0,1,2743,0
0,7,11,5.3,2.1,0.1,0.8,0.3,4.5,0.4,4.2,563.7,1
0,8,90.5,66,46,0,56,6,10,13,20,4054,0
0,9,126,88,60,0,46,4,42,13,41,5770,0
0,10,167,102,66,4,75,10,27,22,33,6336,0
0,11,112,58,24,2,37,6,21,12,22,4421,0
0,12,74.5,34,10,2,9,3,25,2,23,3933,0
0,13,70.5,39,19,1,16,2,23,3,23,3382,0
0,14,72.5,36,15,0,16,2,20,2,22,2794,0
0,15,72.5,33,11,1,11,5,22,4,23,3088,0
0,16,1,0.5,0.2,0,0.1,0.1,0.4,0.1,0.4,52,1
0,35,11,3.9,1,0.6,0.2,0.2,3.7,0.4,3.5,376,1
0,36,9,3.2,0.8,0.5,0.2,0.2,3,0.3,2.8,307.7,1
0,37,4,1.4,0.4,0.2,0.1,0.1,1.3,0.1,1.3,136.7,1
0,41,5,2.2,0.7,0,0.7,0.2,1.5,0.3,1.4,180,1
0,71,2,0.9,0.4,0.1,0,0,0.9,0.5,0.8,111.3,1
0,72,14,6.6,3.1,0.4,0,0,6.6,3.5,5.8,779.3,1
0,76,6,2.8,1.3,0.2,0,0,2.8,1.5,2.5,334,1
0,108,2,0.9,0.4,0,0,0.1,0.9,0.3,0.7,90.5,1
0,113,9.5,4.1,1.6,0.2,0,0.2,4.1,1.1,3.7,400.8,1
0,126,1,0.5,0.2,0,0,0,0.5,0.1,0.4,50.9,1
0,127,5,2.5,0.9,0.1,0,0,2.5,0.5,2.2,254.7,1
1,5,22,9.3,2.3,1.2,2.9,1.2,6.4,0.6,4.6,853.9,1
1,6,50,27,11,0,15,4,12,2,15,2285,0
1,7,57,31,12,0,9,3,22,1,27,2841,0
1,8,94.5,55,30,0,53,11,2,14,2,3846,0
1,9,44.5,19,7,2,6,3,13,3,14,1499,0
1,10,36,16,6,1,3,0,13,2,14,1700,0
1,11,49.5,31,18,0,25,6,6,7,7,2154,0
1,12,82,35,8,0,8,3,27,1,20,3037,0
1,13,16,6.6,1.1,0.4,0.9,0.5,5.7,0.5,4.7,670.9,1
