x,y,0_5,100_,10_15,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_55,55_60,5_10,60_65,65_70,70_75,75_80,80_85,85_90,90_95,95_100,f,m,pop
0,0,0,0,0,3,0,3,0,0,0,3,3,3,0,0,3,0,0,0,0,0,0,9,8,17
0,1,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,4,8
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,7
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
0,6,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,6,9
0,8,0,0,0,0,0,3,0,4,0,0,6,7,3,4,5,3,0,3,0,0,0,20,19,39
0,9,3,0,3,0,3,0,3,3,0,0,3,3,0,0,3,0,3,3,0,0,0,11,14,25
0,10,0,0,3,0,0,0,0,0,3,3,0,3,0,3,0,0,0,0,0,0,0,5,3,8
0,11,0,0,0,3,0,0,0,0,4,0,4,3,0,0,0,3,0,0,0,0,0,9,11,20
0,12,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,8,8,16
0,13,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,6,11
0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
0,17,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,3,0,0,0,0,7,6,13
0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
0,22,0,0,4,3,0,0,0,0,4,3,3,5,0,3,0,0,3,0,0,0,0,14,21,35
0,24,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,3,7
0,26,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3
0,28,3,0,0,7,5,6,0,3,0,5,5,5,0,10,3,9,9,7,6,3,0,44,45,89
0,29,0,0,0,3,4,0,4,6,3,0,3,6,4,4,0,0,3,3,0,0,0,18,21,39
0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,6,10
0,32,0,0,0,3,3,0,3,0,0,4,6,3,0,0,0,0,0,0,0,0,0,7,12,19
0,34,0,0,0,5,0,3,0,3,3,0,3,0,0,0,3,0,0,0,0,0,0,11,11,22
0,35,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,4,4,8
0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
