x,y,Ind,Ind_0_3,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_4_5,Ind_55_64,Ind_65_79,Ind_6_10,Ind_80p,Ind_inc,Ind_snv,imputed
0,3,3,0,0.2,0.3,0.4,0.7,0,0.8,0.3,0.2,0.1,0,58669.7,1
0,11,3,0.2,0.4,0.1,0.4,0.7,0.1,0.4,0.4,0.2,0.1,0,58727.1,1
0,13,6,0.4,0.8,0.3,0.8,1.4,0.1,0.8,0.8,0.5,0.1,0,117454.2,1
0,14,5,0,0.7,0.5,0.5,1.2,0,0.7,1,0.3,0.1,0,105248.6,1
0,23,2,0,0.1,0.4,0,0.7,0,0.4,0.4,0,0,0,53255.7,1
0,24,8.5,0.6,0.4,0.6,1.6,1.6,0.4,1.5,0.9,0.2,0.7,0,199297.7,1
0,32,1,0.1,0,0.1,0.2,0.2,0,0.2,0.1,0,0.1,0,23446.8,1
0,57,3,0.3,0.2,0.4,0.6,0.5,0.1,0.6,0.1,0.2,0,0,73681.1,1
0,58,19,1.8,1.3,2.4,4,3.2,0.8,3.4,0.8,1.3,0,0,466647.1,1
0,78,3,0.2,0.1,0.4,0.4,0.7,0,0.4,0.4,0.2,0.2,0,73315.7,1
0,79,5,0,0.4,0.5,0.4,1.3,0.2,0.9,0.7,0.4,0.2,0,100544.5,1
0,114,2,0.1,0,0.1,0.3,0.3,0.1,0.4,0.4,0.1,0.2,0,44549.1,1
0,121,2,0.1,0,0.1,0.3,0.3,0.1,0.4,0.4,0.1,0.2,0,44549.1,1
0,122,14,1,0.3,0.8,2.4,1.8,0.4,2.4,2.5,1,1.4,0,311843.6,1
0,123,2,0.1,0,0.1,0.3,0.3,0.1,0.4,0.4,0.1,0.2,0,44549.1,1
0,126,2,0,0,0,0.2,0.7,0.1,0.4,0.1,0.2,0.3,0,51403.6,1
0,128,2,0,0,0,0.2,0.7,0.1,0.4,0.1,0.2,0.3,0,51403.6,1
0,129,2,0,0,0,0.2,0.7,0.1,0.4,0.1,0.2,0.3,0,51403.6,1
0,135,23,0.7,1.9,2.9,4.3,3.4,0.7,1.4,5.8,1.4,0.5,0,481893.5,1
0,139,4,0.1,0.3,0.5,0.8,0.6,0.1,0.3,1,0.2,0.1,0,83807.6,1
0,140,2,0.1,0.2,0.2,0.4,0.3,0.1,0.1,0.5,0.1,0,0,41903.8,1
0,161,5,0,0.6,0.6,0.3,0.7,0,1.4,1.1,0.2,0.1,0,122613.8,1
0,164,58,3,12,4,8,19,1,5,1,5,0,0,1307788.6,0
0,165,97.5,2,19,10,7,39,1,11,2,4.5,2,0,2399887.5,0
0,170,28,1,5,1,3,9,0,1,0,2,6,0,585518.4,0
0,171,37,0,2,4,4,5,1,15,3,0,3,0,1033059.6,0
0,172,63,6,0,3,13,5,1,10,16,2,7,0,1437305.4,0
0,173,123,0,7,7,18,19,1,28,28,6,9,0,2799402.1,0
0,174,51,2,9,3,6,13,1,5,4,4,4,0,960973.1,0
0,175,15,1.1,0.8,1,3.2,3,0.3,2.3,1.1,0.8,1.4,0,350820.2,1
0,177,42,2,5,0,3,10,0,10,11,1,0,0,911838.7,0
0,178,75,5,7,6,18,15,3,4,7,3,7,0,1394524.5,0
0,179,2,0,0.2,0.2,0.1,0.3,0,0.5,0.5,0.1,0.1,0,55181.6,1
0,180,35,2,2,5,5,8,1,3,5,2,2,0,939006.3,0
0,181,10,0,0.9,0.9,0.8,1.6,0.1,2.5,2.3,0.3,0.5,0.1,275908.1,1
0,182,4,0,0.4,0.4,0.3,0.7,0,1,0.9,0.1,0.2,0,110363.2,1
0,193,2,0.1,0.3,0.1,0.3,0.5,0.1,0.2,0.2,0.1,0.1,0,49935.1,1
0,194,15,0.4,1.1,3.5,1.1,5.4,0.4,1.9,0,0.4,0.8,0,408111.8,1
0,195,2,0,0.2,0.5,0.2,0.7,0,0.3,0,0,0.1,0,54414.9,1
0,210,11,0.1,2,1.2,1.2,3.1,0.6,1,0.3,1.5,0,0,230253,1
0,211,81,4,13,6,17,19,2,9,0,10,1,0,1811931.9,0
0,212,48.5,0.6,8.8,5.2,5.2,13.7,2.6,4.6,1.3,6.5,0,0,1015206.6,1
0,213,6,0.1,1.1,0.6,0.6,1.7,0.3,0.6,0.2,0.8,0,0,125592.6,1
0,214,18,0.6,1.9,1.3,2.9,4.1,0.4,2.7,1.7,0.6,1.4,0.4,410676.1,1
0,215,7,0.2,0.8,0.5,1.1,1.6,0.1,1.1,0.7,0.2,0.5,0.2,159707.4,1
0,218,2,0.1,0.2,0.1,0.3,0.5,0,0.3,0.2,0.1,0.2,0,45630.7,1
1,14,9,0,1.3,0.9,0.9,2.2,0,1.3,1.8,0.4,0.2,0,189447.5,1
1,15,11,0,1.6,1.1,1.1,2.7,0,1.6,2.1,0.5,0.3,0,231547,1
1,24,15,1,0.7,1.1,2.9,2.9,0.6,2.6,1.6,0.3,1.3,0,351701.9,1
1,25,5,0.3,0.2,0.4,1,1,0.2,0.9,0.5,0.1,0.4,0,117234,1
1,48,12,1.9,1.7,0.8,2.5,1.4,0,1.5,1,0.4,0.8,0,219331.2,1
1,72,2,0.2,0.1,0.2,0.7,0.3,0.1,0.1,0.2,0,0.1,0,49808.1,1
1,78,14.5,1.1,0.5,1.8,1.8,3.2,0,2.1,2.2,0.7,1.1,0,354359.3,1
1,114,2,0.1,0,0.1,0.3,0.3,0.1,0.4,0.4,0.1,0.2,0,44549.1,1
1,121,14,1,0.3,0.8,2.4,1.8,0.4,2.4,2.5,1,1.4,0,311843.6,1
1,122,5,0.3,0.1,0.3,0.9,0.6,0.1,0.9,0.9,0.4,0.5,0,111372.7,1
1,124,7,0,0,0,0.9,2.6,0.3,1.4,0.3,0.6,0.9,0,179912.5,1
1,127,2,0,0,0,0.2,0.7,0.1,0.4,0.1,0.2,0.3,0,51403.6,1
1,161,8,0,1,1,0.5,1,0,2.2,1.7,0.4,0.2,0,196182,1
1,162,61,2,4,1,5,16,3,6,14,10,0,0,1455236.5,0
1,163,158.5,9,18,15,26,37,5.5,17,18,12,1,0,3389149,0
1,164,104,4,11,11,13,28,4,11,11,9,2,0,2205404.1,0
1,165,74,4,8,5,13,16,1,12,12,2,1,0,1795460.3,0
1,169,3,0,0,0,0.2,0.5,0,0.4,1,0.3,0.6,0,85870.3,1
1,170,71,2,6,3,7,18,1,15,9,5,5,0,1803070.6,0
1,171,104,6,15,7,20,23,5,12,6,7,3,0,1913968.8,0
1,172,200.5,6,22,16,43,31,4,31,22,9.5,16,0,3915962.4,0
1,173,22,1,0,1,3,2,1,2,9,0,3,0,493879,0
1,174,35,0,6,4,3,10,0,4,4,2,2,0,663429.3,0
1,175,10,0.8,0.5,0.7,2.1,2,0.2,1.5,0.8,0.5,0.9,0,233880.2,1
1,177,37,0,3,4,4,8,0,8,4,3,3,0,954825.3,0
1,178,12,0.9,0.6,0.8,2.6,2.5,0.2,1.8,0.9,0.6,1.1,0,280656.2,1
1,180,4,0,0.4,0.4,0.3,0.7,0,1,0.9,0.1,0.2,0,110363.2,1
1,182,14,0,1.2,1.2,1.1,2.3,0.1,3.5,3.2,0.5,0.8,0.1,386271.4,1
1,191,2,0.1,0.3,0.1,0.3,0.5,0.1,0.2,0.2,0.1,0.1,0,49935.1,1
1,192,13,0.6,1.7,0.7,1.9,3.4,0.5,1.6,1.5,0.7,0.4,0,324578.4,1
1,193,19,0.9,2.5,1,2.8,5,0.8,2.3,2.2,1,0.5,0,474383.8,1
1,194,9,0.2,0.7,2.1,0.7,3.2,0.2,1.2,0,0.2,0.5,0,244867.1,1
1,195,13,0.3,1,3,1,4.7,0.3,1.7,0,0.3,0.7,0,353696.9,1
1,211,128.5,2,23,5,23,37,5,6,5,21.5,1,0,2910605.7,0
1,212,76,1,10,7,10,19,2,9,6,10,2,0,1493917.8,0
1,213,83.5,5,4.5,7.5,17,16,1,10,9,7.5,6,0,1828866.5,0
1,214,28,0.9,3,2.1,4.5,6.4,0.6,4.2,2.7,0.9,2.1,0.6,638829.5,1
1,218,12,0.4,1.3,0.9,1.9,2.7,0.2,1.8,1.2,0.4,0.9,0.3,273784.1,1
1,219,2,0.1,0.2,0.1,0.3,0.5,0,0.3,0.2,0.1,0.2,0,45630.7,1
1,232,3,0.1,0.1,0,0.3,0.9,0.1,0.7,0.5,0.3,0,0,74766.7,1
2,15,1,0,0.1,0.1,0.1,0.2,0,0.2,0.2,0.1,0,0,21049.7,1
2,16,15,0,2.2,1.5,1.5,3.6,0,2.2,2.9,0.7,0.4,0,315745.9,1
2,23,23,0,0.8,5.1,0,7.7,0,5.1,4.3,0,0,0,612441,1
2,24,24.5,1,2,0,5,6,0,3,4,1.5,2,0,551763.8,0
2,30,4,0.2,0.2,0.3,0.8,0.8,0.2,0.7,0.4,0.1,0.3,0,93787.2,1
2,70,2,0.2,0.1,0.2,0.7,0.3,0.1,0.1,0.2,0,0.1,0,49808.1,1
2,82,1,0,0.1,0.1,0.1,0.3,0,0.2,0.1,0.1,0,0,20108.9,1
2,94,2,0,0.2,0.3,0.2,0.4,0,0.3,0.3,0.1,0.2,0,39442.4,1
2,95,5,0.1,0.4,0.7,0.5,1.2,0,0.7,0.7,0.2,0.4,0.1,98606,1
2,121,4,0.3,0.1,0.2,0.7,0.5,0.1,0.7,0.7,0.3,0.4,0,89098.2,1
2,122,6,0.4,0.1,0.4,1,0.8,0.2,1,1.1,0.4,0.6,0,133647.3,1
2,124,3,0,0,0,0.4,1.1,0.1,0.6,0.1,0.3,0.4,0,77105.4,1
2,146,2,0,0,0.2,0.2,0.6,0,0.4,0.4,0.1,0.1,0,57680,1
2,162,76,5,2,3,14,9,3,23,8,6,3,0,1729212,0
2,163,31,0,3.9,3.9,2,4,0,8.6,6.6,1.3,0.7,0,760205.4,1
2,164,73.5,3,5.5,3,4,12,0,8,29,1,8,0,1767381.4,0
2,165,10.5,0.3,1,0.9,1.4,3.2,0,1.7,0.6,0.3,1.1,0,251779.4,1
2,170,47.5,2,4.5,3,4,13,0,7,7,5,2,0,1050111.4,0
2,171,95,2,7,3,16,19,3,12,13,5,15,0,2172663.7,0
2,172,50.5,4,4,3.5,5,15,1,2,6,3,7,0,1077679.9,0
2,174,2,0.2,0.1,0.1,0.4,0.4,0,0.3,0.2,0.1,0.2,0,46776,1
2,175,16,1.2,0.8,1.1,3.4,3.3,0.3,2.4,1.2,0.8,1.5,0,374208.2,1
2,177,9,0.7,0.5,0.6,1.9,1.8,0.1,1.4,0.7,0.5,0.8,0,210492.1,1
2,179,52,4,7,10,6,15,2,5,0,3,0,0,845704.8,0
2,180,19,0,1.7,1.7,1.4,3.1,0.2,4.8,4.3,0.6,1,0.2,524225.4,1
2,189,4,0.2,0.5,0.2,0.6,1,0.2,0.5,0.5,0.2,0.1,0,99870.3,1
2,190,7,0.3,0.9,0.4,1,1.8,0.3,0.9,0.8,0.4,0.2,0,174773,1
2,191,18.5,0.9,2.4,1,2.7,4.9,0.8,2.2,2.1,1,0.5,0,461900,1
2,192,3,0.1,0.4,0.2,0.4,0.8,0.1,0.4,0.3,0.2,0.1,0,74902.7,1
2,211,5,0.1,0.9,0.5,0.5,1.4,0.3,0.5,0.1,0.7,0,0,104660.5,1
2,212,55,4,9,2,14,8,1,5,3,7,2,0,1128032.5,0
2,213,44.5,5,3,1,9,7,4.5,7,6,2,0,0,1046273.8,0
2,214,31,1,5,1,5,9,2,6,0,2,0,0,718129.1,0
3,23,2,0,0.1,0.4,0,0.7,0,0.4,0.4,0,0,0,53255.7,1
3,43,2,0.1,0.2,0.1,0.4,0.1,0.1,0.4,0.2,0.2,0.1,0.1,35766.1,1
3,57,9,0.9,0.6,1.1,1.9,1.5,0.4,1.6,0.4,0.6,0,0,221043.4,1
3,78,6,0.5,0.2,0.7,0.7,1.3,0,0.9,0.9,0.3,0.5,0,146631.4,1
3,79,4,0,0.4,0.4,0.3,1,0.1,0.7,0.6,0.4,0.1,0,80435.6,1
3,80,11,0,1,1,0.8,2.8,0.4,2,1.6,1,0.4,0,221197.8,1
3,81,4,0,0.4,0.4,0.3,1,0.1,0.7,0.6,0.4,0.1,0,80435.6,1
3,82,6,0,0.6,0.6,0.4,1.5,0.2,1.1,0.9,0.5,0.2,0,120653.4,1
3,83,1,0,0.1,0.1,0.1,0.3,0,0.2,0.1,0.1,0,0,20108.9,1
3,93,3,0.4,0,0.1,1,0.5,0.3,0.1,0.4,0.1,0.1,0,63768.4,1
3,94,13,0.3,1,1.9,1.2,3,0,1.9,1.8,0.6,1.1,0.2,256375.6,1
3,95,11,0.3,0.9,1.6,1,2.5,0,1.7,1.5,0.5,0.9,0.1,216933.2,1
3,146,2,0,0,0.2,0.2,0.6,0,0.4,0.4,0.1,0.1,0,57680,1
3,162,85,2,11.5,13,11,23,2,7,5,8.5,2,0,1892008.7,0
3,163,85,4,12,5,13,17,2,12,5,6,9,0,1827584.9,0
3,164,42,3,3,4,6,9,0,3,10,3,1,0,983618.2,0
3,171,19,0,0,0,1.2,3.5,0,2.4,6.5,1.8,3.6,0,543845.5,1
3,172,49.5,1,6.5,4,6,10,3,5,8,3,3,0,924081.1,0
3,173,2,0,0,0,0.1,0.4,0,0.2,0.7,0.2,0.4,0,57246.9,1
3,174,15,1.1,0.8,1,3.2,3,0.3,2.3,1.1,0.8,1.4,0,350820.2,1
3,175,10,0.8,0.5,0.7,2.1,2,0.2,1.5,0.8,0.5,0.9,0,233880.2,1
3,178,22,1.7,1.1,1.5,4.7,4.5,0.4,3.3,1.7,1.1,2,0,514536.3,1
3,179,42,1,5.5,3,3,8,1,8,2,4.5,6,0,993301.3,0
3,180,10,0,0.9,0.9,0.8,1.6,0.1,2.5,2.3,0.3,0.5,0.1,275908.1,1
3,182,6,0,0.5,0.5,0.4,1,0.1,1.5,1.4,0.2,0.3,0.1,165544.9,1
3,183,26.5,0,1.5,4,1,8,0,5,7,0,0,0,688783.2,0
3,184,17,1,0.3,1.7,2.4,1.7,0,4.1,4.1,0.7,1,0,464120.6,1
3,185,5,0.3,0.1,0.5,0.7,0.5,0,1.2,1.2,0.2,0.3,0,136506.1,1
3,189,2,0.1,0.3,0.1,0.3,0.5,0.1,0.2,0.2,0.1,0.1,0,49935.1,1
3,190,22,1,2.9,1.2,3.2,5.8,0.9,2.7,2.5,1.2,0.6,0,549286.5,1
3,191,6,0.3,0.8,0.3,0.9,1.6,0.2,0.7,0.7,0.3,0.2,0,149805.4,1
4,27,2,0.1,0.1,0.2,0.4,0.4,0.1,0.3,0.2,0,0.2,0,46893.6,1
4,37,4,0,0.1,0,0.6,0.6,0.2,0.9,1.1,0.4,0.1,0,84331.1,1
4,38,29,0,0.9,0,4.4,4.4,1.8,6.1,7.9,2.6,0.9,0,611400.2,1
4,56,7,0.7,0.5,0.9,1.4,1.2,0.3,1.2,0.3,0.5,0,0,171922.6,1
4,57,15,1.5,1.1,1.9,3.1,2.5,0.6,2.7,0.6,1,0,0,368405.6,1
4,58,13,1.3,0.9,1.6,2.7,2.2,0.5,2.4,0.5,0.9,0,0,319284.9,1
4,60,2,0.2,0.1,0.3,0.4,0.3,0.1,0.4,0.1,0.1,0,0,49120.8,1
4,77,2,0.2,0.1,0.2,0.2,0.4,0,0.3,0.3,0.1,0.2,0,48877.1,1
4,78,4,0.3,0.1,0.5,0.5,0.9,0,0.6,0.6,0.2,0.3,0,97754.3,1
4,79,4,0,0.4,0.4,0.3,1,0.1,0.7,0.6,0.4,0.1,0,80435.6,1
4,80,10,0,0.9,0.9,0.7,2.5,0.4,1.8,1.5,0.9,0.4,0,201088.9,1
4,81,8,0,0.7,0.7,0.6,2,0.3,1.5,1.2,0.7,0.3,0,160871.1,1
4,83,1,0,0.1,0.1,0.1,0.3,0,0.2,0.1,0.1,0,0,20108.9,1
4,86,1,0.1,0,0,0.3,0.2,0.1,0,0.2,0.1,0,0,21256.1,1
4,88,4,0.5,0,0.1,1.3,0.7,0.4,0.1,0.6,0.2,0.1,0,85024.5,1
4,93,2,0.2,0,0,0.6,0.4,0.2,0.1,0.3,0.1,0.1,0,42512.2,1
4,94,25,0.6,2,3.7,2.3,5.7,0,3.7,3.5,1.2,2,0.3,493029.9,1
4,95,10,0.2,0.8,1.5,0.9,2.3,0,1.5,1.4,0.5,0.8,0.1,197212,1
4,112,3,0.1,0.1,0.3,0.7,0.7,0,0.3,0.4,0.3,0.1,0,72015.1,1
4,115,1,0.1,0,0,0.2,0.1,0,0.2,0.2,0.1,0.1,0,22274.5,1
4,116,2,0.1,0,0.1,0.3,0.3,0.1,0.4,0.4,0.1,0.2,0,44549.1,1
4,162,3,0,0.4,0.4,0.2,0.4,0,0.8,0.6,0.1,0.1,0,73568.3,1
4,163,41,0,5,1,1,14,1,6,10,0,3,0,1173423,0
4,164,21,0.6,2,1.7,2.9,6.3,0,3.5,1.1,0.6,2.3,0,503558.8,1
4,172,8,0,0,0,0.5,1.5,0,1,2.8,0.7,1.5,0,228987.6,1
4,173,83.5,2,8,2,28,9,7,4,10,12.5,1,0,1605809.1,0
4,174,62,5,1.5,7,9,14,2,9,9,4.5,1,0,1442987.3,0
4,175,41.5,1,4,3,5,10,1,6,1,1.5,9,0,847363.5,0
4,178,7,0.5,0.4,0.5,1.5,1.4,0.1,1.1,0.5,0.4,0.6,0,163716.1,1
4,179,73,1,6,5,8,16,0,10,18,6,3,0,1894279,0
4,180,18,0,1.5,1.6,1.4,2.9,0.2,4.5,4.1,0.6,1,0.2,496634.6,1
4,183,5,0,0.4,0.4,0.4,0.8,0.1,1.2,1.1,0.2,0.3,0.1,137954.1,1
4,185,4,0.2,0.1,0.4,0.6,0.4,0,0.9,1,0.2,0.2,0,109204.8,1
4,190,21,1,2.8,1.1,3.1,5.5,0.9,2.5,2.4,1.1,0.6,0,524318.9,1
