x,y,pp,ra,rp
3,2,43,0,0
4,2,43,0,0
15,14,18269,361,1
15,15,18230,361,1
16,15,18269,361,1
29,2,19022,398,2
30,19,16279,361,2
30,20,13201,361,2
31,20,13201,361,2
32,5,19100,383,2
33,5,19172,383,1
35,10,19995,383,1
35,13,19906,383,1
35,14,19853,383,1
36,13,19945,383,1
36,14,19915,383,1
38,9,20149,383,1
38,10,20108,383,1
39,7,20463,383,1
39,8,20352,383,1
39,9,20277,383,1
39,10,20140,383,1
40,6,20664,383,1
40,7,20589,383,1
40,8,20481,383,1
40,9,20422,383,1
41,8,20626,383,1
41,9,20524,383,1
42,7,21236,371,1
42,8,21033,371,1
87,9,9819,93,0
87,10,9766,1,0
87,15,9147,93,1
88,15,9150,1,0
89,10,9775,93,0
89,15,9453,93,0
89,16,9150,1,0
90,15,9622,93,0
90,16,9528,1,0
92,13,9751,1,0
94,10,9781,0,0
104,29,9205,95,1
104,30,9169,3,0
104,31,9149,95,1
105,29,9206,95,1
105,30,9179,95,1
105,31,9162,93,1
111,33,9037,1,0
112,5,15283,95,0
115,6,15281,95,0
115,7,15276,95,0
116,7,15281,95,0
117,8,15275,95,0
117,36,8952,93,1
117,37,8913,1,0
118,36,8959,93,1
118,37,8931,93,1
120,7,15298,3,0
120,8,15289,95,0
121,7,15304,3,0
121,8,15295,3,0
122,7,15305,95,0
