x,y,value
4734,5182,791
4744,5182,631
4764,5182,23
4774,5182,4
4864,5182,19
4874,5182,4
4934,5182,5
4944,5182,8
4994,5182,44
5004,5182,4
5014,5182,2
4614,5172,251
4624,5172,38
4634,5172,153
4644,5172,258
4654,5172,360
4664,5172,585
4674,5172,572
4684,5172,236
4694,5172,124
4704,5172,8
4714,5172,419
4734,5172,37
4744,5172,56
4864,5172,48
4944,5172,12
4984,5172,41
4994,5172,74
5004,5172,52
5014,5172,1
5044,5172,11
5054,5172,137
5064,5172,1
4604,5162,75
4614,5162,680
4624,5162,321
4634,5162,155
4644,5162,88
4654,5162,148
4664,5162,120
4674,5162,308
4684,5162,267
4694,5162,298
4714,5162,197
4724,5162,707
4844,5162,9
4854,5162,188
4944,5162,20
4964,5162,11
4974,5162,2
4984,5162,37
4994,5162,178
5004,5162,469
5014,5162,8
5024,5162,36
5034,5162,14
5044,5162,10
4594,5152,2
4604,5152,225
4614,5152,78
4624,5152,16
4634,5152,685
4644,5152,876
4654,5152,192
4664,5152,332
4674,5152,319
4684,5152,333
4694,5152,219
4704,5152,42
4714,5152,806
4834,5152,17
4844,5152,105
4944,5152,23
4954,5152,6
4964,5152,8
4984,5152,7
4994,5152,24
5004,5152,1
5024,5152,293
5034,5152,435
4554,5142,20
4564,5142,1552
4594,5142,753
4604,5142,107
4624,5142,258
4634,5142,2039
4644,5142,740
4654,5142,274
4664,5142,195
4674,5142,110
4684,5142,1864
4694,5142,660
4704,5142,328
4714,5142,90
4724,5142,2
4744,5142,7
4834,5142,62
4844,5142,2056
4974,5142,56
4984,5142,30
5004,5142,4
5024,5142,3569
5034,5142,114
2854,5132,502
2874,5132,888
4554,5132,1476
4564,5132,174
4594,5132,42
4604,5132,6
4614,5132,56
4624,5132,907
4634,5132,5377
4644,5132,1915
4654,5132,503
4664,5132,950
4674,5132,179
4684,5132,79
4704,5132,59
4724,5132,8
4744,5132,10
4754,5132,126
4834,5132,78
4844,5132,5
4954,5132,11
5024,5132,76
5034,5132,14
5054,5132,1
2864,5122,89
2874,5122,2951
4544,5122,1
4554,5122,130
4564,5122,105
4594,5122,66
4604,5122,13
4614,5122,24
4624,5122,642
4634,5122,315
4644,5122,1279
4654,5122,1252
4664,5122,1539
4674,5122,374
4684,5122,20
4694,5122,656
4704,5122,43
4854,5122,11
4864,5122,4
4874,5122,1
5014,5122,1
5034,5122,305
2844,5112,203
2874,5112,190
4544,5112,168
4554,5112,348
4574,5112,3
4584,5112,1
4594,5112,198
4604,5112,353
4614,5112,85
4624,5112,296
4634,5112,46
4654,5112,490
4664,5112,217
4674,5112,190
4684,5112,85
4694,5112,43
4704,5112,49
4714,5112,1
4764,5112,9
4774,5112,5
4854,5112,7
4994,5112,14
5024,5112,3
5034,5112,30
2794,5102,2
2844,5102,7
2854,5102,1
2894,5102,16
4514,5102,16
4524,5102,264
4534,5102,91
4544,5102,356
4554,5102,265
4574,5102,154
4584,5102,373
4604,5102,169
4614,5102,50
4624,5102,275
4634,5102,494
4644,5102,104
4654,5102,2022
4674,5102,1
4684,5102,60
4704,5102,7
4784,5102,14
4864,5102,27
4874,5102,34
4974,5102,18
4994,5102,1
5024,5102,5
2804,5092,4
2814,5092,665
2824,5092,302
2834,5092,131
2844,5092,28
2854,5092,44
4524,5092,3017
4534,5092,680
4544,5092,147
4554,5092,1
4564,5092,79
4574,5092,139
4584,5092,425
4604,5092,319
4614,5092,75
4624,5092,37
4634,5092,1027
4644,5092,329
4654,5092,798
4664,5092,237
4714,5092,10
4784,5092,2
4804,5092,1
4864,5092,86
4894,5092,100
4904,5092,2
4914,5092,77
4934,5092,1
4954,5092,19
5024,5092,28
2814,5082,9
2934,5082,52
4504,5082,17
4514,5082,34
4524,5082,230
4534,5082,147
4544,5082,161
4564,5082,1785
4574,5082,1006
4584,5082,18244
4604,5082,696
4614,5082,259
4624,5082,125
4634,5082,811
4644,5082,94
4654,5082,4
4664,5082,117
4674,5082,19
4804,5082,3
4814,5082,32
4824,5082,25
4834,5082,223
4844,5082,13
4864,5082,1
4874,5082,594
4884,5082,96
4894,5082,11
4904,5082,173
5024,5082,242
5034,5082,18
5104,5082,9
2824,5072,3
2834,5072,25
2844,5072,47
2984,5072,13
2994,5072,7
3104,5072,108
4494,5072,48
4504,5072,517
4514,5072,17
4524,5072,792
4534,5072,2445
4544,5072,1116
4554,5072,34
4564,5072,280
4574,5072,515
4584,5072,3132
4594,5072,484
4604,5072,512
4614,5072,69
4624,5072,417
4634,5072,369
4644,5072,104
4654,5072,72
4664,5072,17
4824,5072,154
4844,5072,347
4854,5072,11
4864,5072,23
4894,5072,5
4934,5072,27
4964,5072,2
4974,5072,7
5024,5072,4
5124,5072,2
2904,5062,17
2914,5062,11
2924,5062,30
2974,5062,1
2984,5062,5
2994,5062,3
4494,5062,259
4504,5062,862
4514,5062,172
4524,5062,300
4534,5062,3944
4544,5062,1264
4554,5062,139
4564,5062,60
4584,5062,1405
4594,5062,245
4614,5062,23
4624,5062,1415
4634,5062,161
4774,5062,30
4814,5062,93
4824,5062,117
4844,5062,3
4854,5062,102
4874,5062,1
4904,5062,120
4914,5062,8
4934,5062,71
5014,5062,16
5024,5062,10
5054,5062,1
5064,5062,80
2844,5052,30
2864,5052,1
2874,5052,4
2904,5052,62
2914,5052,41
2924,5052,32
2974,5052,59
2994,5052,4
3044,5052,583
4494,5052,158
4504,5052,891
4514,5052,3081
4524,5052,1293
4534,5052,421
4554,5052,71
4564,5052,8
4574,5052,388
4584,5052,898
4594,5052,702
4604,5052,900
4614,5052,45
4624,5052,2727
4634,5052,347
4644,5052,1
4654,5052,30
4674,5052,28
4844,5052,13
4864,5052,69
4874,5052,107
4894,5052,60
4904,5052,24
4924,5052,25
4934,5052,63
4954,5052,16
5014,5052,26
5024,5052,2
5064,5052,7
5104,5052,7
2874,5042,232
2884,5042,5
2894,5042,1
2904,5042,30
2914,5042,145
2974,5042,538
2994,5042,2
3024,5042,1
3044,5042,271
4504,5042,5
4514,5042,2404
4524,5042,66
4534,5042,25
4554,5042,7
4564,5042,1469
4574,5042,102
4584,5042,52
4594,5042,450
4604,5042,172
4614,5042,646
4624,5042,11911
4634,5042,812
4684,5042,166
4694,5042,9
4874,5042,20
4884,5042,181
4894,5042,46
4904,5042,5
4924,5042,14
4934,5042,31
4944,5042,34
4954,5042,17
4964,5042,69
5024,5042,10
5044,5042,3
5104,5042,12
2864,5032,2
2874,5032,1
2884,5032,3
2894,5032,2
2904,5032,39
2914,5032,73
2964,5032,1
2974,5032,9
3014,5032,274
3054,5032,1175
3164,5032,1
4504,5032,400
4514,5032,255
4524,5032,17
4534,5032,39
4544,5032,178
4554,5032,99
4564,5032,358
4574,5032,26
4584,5032,61
4594,5032,703
4604,5032,1219
4614,5032,32
4624,5032,28
4714,5032,2
4724,5032,213
4804,5032,203
4814,5032,134
4874,5032,7
4884,5032,97
4894,5032,1374
