x,y,val
4,2,702
2,8,17890
5,4,2074
7,3,3434
9,2,1461
14,11,3486
2,7,5124
14,7,69034
7,8,9913
2,12,207
7,6,4968
15,4,20713
10,0,1024
8,1,1537
11,11,6306
6,15,4231
7,11,3231
15,10,20865
14,14,2615
3,3,1982
3,10,5725
9,8,39472
6,3,29
5,13,3705
4,9,3350
2,13,1689
4,15,2607
3,8,7862
14,15,6155
5,14,8035
13,4,8209
1,13,8329
13,11,5934
1,10,7021
4,3,1456
5,10,1710
13,12,3448
7,9,3135
10,10,11671
3,7,7468
11,2,3800
5,3,1258
2,15,5052
15,14,7780
5,15,6366
14,13,3725
4,8,7322
13,9,16152
13,2,8129
8,3,595
8,9,3458
14,12,1979
2,3,1514
4,14,11126
8,11,4722
12,12,9038
12,7,4394
10,11,12717
11,7,3370
9,12,4358
6,14,9253
0,8,78863
11,1,1420
10,13,6384
0,9,32922
3,4,4025
2,5,4652
10,12,2582
6,4,1727
11,0,3747
9,10,34559
14,10,38282
10,14,2059
2,9,6421
3,0,643
12,0,2537
6,0,1213
14,3,14565
2,14,7062
12,11,5109
3,13,1831
6,6,9691
4,4,1537
9,6,7796
10,2,1324
7,5,2600
0,4,3651
13,1,6015
14,1,4861
15,6,26992
10,8,18252
15,7,55681
13,6,4690
13,0,5994
0,11,5226
10,3,334
4,11,2819
15,2,4491
9,7,18877
3,2,349
6,8,11931
4,13,4768
2,0,222
11,10,5248
9,0,11672
15,1,3428
12,3,3138
6,12,6967
2,1,351
0,14,7516
0,13,1551
3,1,1902
1,9,17541
5,7,14036
5,1,135
13,10,12551
11,6,4368
15,3,8363
4,6,13233
4,7,18797
14,8,242947
12,15,36735
8,12,2324
1,1,1262
9,14,1874
13,14,4421
5,5,5455
15,11,6615
2,11,3166
5,11,2860
5,6,6850
0,2,6149
15,9,508771
12,8,13736
9,13,8628
5,0,1125
7,2,369
1,7,27110
14,0,3890
7,7,7966
1,11,13200
11,5,188
1,0,5753
6,5,4940
8,0,15289
13,7,5855
12,5,4728
12,9,14696
5,8,4348
11,14,7154
1,8,20174
6,9,4051
12,2,12596
15,8,816830
10,5,1782
6,10,2929
7,12,1668
0,0,10296
12,4,4043
8,5,1248
5,2,388
6,2,37
1,4,4598
6,13,2638
13,15,6249
15,0,4741
7,13,2039
8,14,2661
12,1,779
9,3,170
0,12,2096
15,13,4242
8,2,215
3,9,5058
8,6,6490
8,15,2352
14,6,52915
12,6,2893
10,9,11638
3,6,13317
0,7,16605
1,3,179
8,7,6338
11,15,1919
9,4,1961
10,1,13671
4,10,1884
8,10,4241
2,4,3961
10,6,6867
3,15,3908
11,9,8336
1,12,2533
5,9,1830
13,8,20704
7,0,5429
1,5,17434
6,7,13027
13,3,31147
14,2,5745
0,10,5761
15,12,4405
10,4,815
14,5,40994
7,4,393
3,5,17364
4,1,484
1,6,27379
14,9,51145
6,1,12
12,13,3409
7,10,3464
9,11,7044
13,13,3395
0,15,10598
14,4,49411
15,5,16834
11,3,174
2,10,4715
8,8,9562
11,8,9617
0,6,11488
1,14,3423
13,5,13085
0,1,1462
2,2,2580
10,15,1692
8,13,2029
12,14,5417
7,14,6171
4,0,4542
3,11,1982
12,10,7297
11,12,6999
1,2,346
9,15,2027
9,1,5537
0,3,198
0,5,21889
4,5,4628
9,5,1802
3,14,3064
7,15,2537
15,15,6199
11,4,326
5,12,3492
9,9,6665
4,12,4825
6,11,3307
7,1,92
1,15,7321
8,4,363
10,7,5515
3,12,2204
11,13,3463
2,6,12959
