x,y,Ind,Log_45_70,Log_70_90,Log_ap90,Log_av45,Log_inc,Log_soc,imputed
0,3,4,0,0,0.2,1.3,0,0,1
0,4,18,0,0,0.8,6,0,0,2
0,5,30,0,4.6,2.6,4.5,0,0,2
0,7,1,0,0,0.1,0.3,0,0,1
0,10,1,0,0.1,0.2,0.1,0,0,1
0,11,25,0,2.2,4.3,3,0,0,3
0,12,81,1,6.2,16,5.7,0,0,2
0,13,5,0,0.1,0.1,1.2,0,0,1
0,15,8,0.3,0.5,0.1,2.2,0,0,2
0,19,5,0.1,0.2,0,1.7,0,0,2
0,22,5,0,0.1,0.3,1.1,0,0,1
0,23,1,0,0,0.1,0.2,0,0,1
0,24,16,0,0.3,1.1,3.4,0,0,1
0,25,1,0,0,0,0.6,0,0,1
0,26,7,0,0,0.3,3.8,0,0,1
0,28,4,0,0.2,0.2,1.2,0.2,0,2
0,29,13,0,1,0.4,3.9,0.5,0,2
0,30,17,0.3,1.1,0,3.2,0,0,1
0,33,22,0.5,1.8,0.8,4.2,0,0,4
0,34,54.5,2.3,6,6.4,6.3,0,0,1
0,35,30,2.2,2.4,1.4,10.9,0,0,1
0,36,247.5,10,20,26,66,0,18,0
0,37,295,9,29,63,21,0,16,0
0,38,75,0,0.4,20.3,1,0,0,3
0,40,4,0.1,0,0,1.2,0,0,1
0,42,3,0.1,0,0,0.9,0,0,1
0,45,2,0.2,0.1,0,0.4,0,0,1
0,46,21,2.1,1.3,0,4.1,0,0,3
0,48,3,0.1,0.1,0.1,0.9,0,0,1
0,52,2,0,0.3,0,0.4,0,0,1
0,55,79,0,2.3,17.3,9.1,0,4,1
0,56,198,3,20.3,34.7,24,0,10,1
0,57,10,0,1.4,1.6,0.4,0,0,2
0,58,2,0,0.3,0,0.5,0,0,1
0,59,2,0,0.3,0,0.5,0,0,1
0,61,2,0,0.1,0,0.8,0,0,1
0,63,5,0.3,0.8,0.1,0.9,0,0,1
0,64,10,0.6,1.6,0.2,1.9,0,0,2
0,65,5,0.3,0.8,0.1,1.1,0,0,1
0,66,1,0.1,0.2,0,0.2,0,0,1
0,67,10,0.6,1.5,0.3,2.1,0,0,1
0,68,5,0,0.2,0.6,0.7,0,0,1
0,71,4,0.1,0.2,0.6,0.4,0,0.1,1
0,72,4,0.1,0.2,0.6,0.4,0,0.1,1
0,73,2,0,0.1,0.3,0.2,0,0.1,1
0,74,3,0,0.2,0.5,0.3,0,0.1,1
0,75,2,0,0.3,0.1,0.4,0,0,1
0,76,2,0,0.3,0.1,0.4,0,0,1
0,77,2,0,0.3,0.1,0.4,0,0,1
0,79,14,0.2,1.7,0.6,2.9,0,0,2
0,82,4,0,0.2,0.1,0.9,0,0,1
0,84,10,0.1,0.4,0.3,2.3,0,0,2
0,85,7,0,0.4,0.7,1.2,0,0,1
0,89,11,0,0.6,1.1,1.9,0,0,2
0,90,22,1.3,1.9,0.7,5.8,0,0,1
0,91,10,0.6,0.8,0.4,2.6,0,0,3
0,93,4,0.2,0.1,0.6,0.3,0,0,1
0,94,52,2,1.5,7.6,4.1,0,0,3
0,95,1,0,0.2,0.2,0,0,0.1,1
0,97,15,0.6,1.4,1.3,2.4,0,0.4,3
0,98,10,0.5,0.9,0.4,2,0,0,2
0,99,4,0.2,0.4,0.1,0.8,0,0,2
0,100,21,0.7,1.1,2.1,4.2,0,0,2
0,110,2,0,0.2,0.3,0.2,0,0,1
0,111,4,0.1,0.3,0.6,0.4,0,0,1
0,112,34,0.5,3,5,3.6,0,0,3
0,113,5,0.1,0.2,0.5,0.9,0,0,1
0,114,22.5,0.6,0.9,2.4,3.9,0,0,3
0,117,5,0.1,0.7,0.5,0.8,0,0.1,1
0,118,37,1,2.4,4.3,9.5,0,0,2
0,119,22.5,0.2,3,2.4,3.7,0,0.5,2
0,122,5,0.1,0.2,0.2,1.3,0,0,1
0,123,3,0,0.1,0.2,0.8,0,0,2
0,124,10,0.1,0.4,0.5,2.6,0,0,2
0,125,1,0,0,0.1,0.3,0,0,1
0,126,18,0.5,0.5,2,4.5,0,0,2
0,127,3,0,0.1,0.3,0.8,0,0,2
1,4,37,0.4,3.4,1.9,9.9,0,0,4
1,5,102,0,0.9,29.1,5.2,0,8,3
1,6,30,0,0.5,5.9,2.4,0,0,2
1,7,2,0.1,0.2,0.1,0.6,0,0,1
1,11,49,0.1,2.7,10.7,1.7,0,0,1
1,12,75,0,0.9,19.4,2.4,0,6,1
1,14,12,0.2,2.2,1,0.8,0,0,2
1,15,5,0.3,0.5,0,1,0,0,2
1,17,9,0.2,0.7,0.9,1.2,0,0,3
1,19,11,0,0.9,1.4,1.2,0,0,1
1,20,11,0.2,0.6,1.1,2.3,0,0,2
1,23,23,0,2.2,0.8,4.3,0,0,4
1,24,3,0,0.3,0.1,0.6,0,0,1
1,26,8,0,0.8,0.1,2.3,0,0,2
1,29,1,0,0.1,0,0.3,0,0,1
1,30,5,0.1,0.2,0.3,1.4,0,0,2
1,31,11,0.2,0.4,0.6,3.1,0,0,2
1,32,3,0.1,0.1,0.2,0.8,0,0,1
1,33,13,0.4,1.3,0.7,3.5,0,0,3
1,34,9,0.2,0.9,0.5,2.5,0,0,2
1,35,54,2.5,5.6,8.8,4.8,0,3.6,2
1,36,379.5,9,29,82,31,0,27,0
1,37,133,0,3,35.1,3.1,0,0,1
