x,y,value
0,0,579520
0,30,196858
0,31,135888
0,32,74918
0,34,153504
0,35,76752
0,75,8197
0,76,16394
0,80,107196
0,81,80457
0,82,53718
0,83,185794
0,84,92897
1,0,812820
1,29,392788
1,30,401894
1,31,196858
1,80,53598
1,81,80517
1,82,107436
1,83,371588
1,84,185794
2,0,1046120
2,29,196394
2,30,98197
3,0,1734976
3,24,255278
3,25,510556
3,84,64574
3,85,32287
4,0,867488
4,1,681736
4,2,340868
4,24,127639
4,25,255278
4,84,129148
4,85,64574
5,1,1363472
5,2,681736
5,84,357246
5,85,178623
6,0,319004
6,2,434266
6,3,868532
6,16,182845
6,17,365690
6,84,714492
6,85,357246
6,114,322100
6,115,161050
7,0,360690
7,2,868532
7,3,1737064
7,11,725684
7,12,1451368
7,14,699128
7,15,753854
7,16,853734
7,17,731380
7,114,644200
7,115,322100
8,0,520518
8,1,170651
8,3,604598
8,4,302299
8,11,362842
8,12,725684
8,14,1398256
8,15,901273
8,16,404290
8,106,519414
8,107,259707
9,0,682604
9,1,341302
9,3,1209196
9,4,604598
9,87,186630
9,88,93315
9,106,1038828
9,107,519414
10,1,334778
10,2,167389
10,5,1287780
10,6,643890
10,87,373260
10,88,186630
10,89,1097364
10,90,548682
10,103,1198152
10,104,599076
11,1,802758
11,2,763437
11,5,643890
11,6,1057067
11,7,367561
11,89,548682
11,90,274341
11,103,599076
11,104,299538
11,121,191345
11,122,382690
12,1,590914
12,2,1181828
12,6,1470244
12,7,735122
12,92,277799
12,93,555598
12,101,315179
12,102,630358
12,121,382690
12,122,765380
13,7,2091994
13,8,1254403
13,92,555598
13,93,1111196
13,101,1062940
13,102,1321374
14,7,1254403
14,8,1123633
14,101,1487696
14,102,743848
14,117,551294
14,118,1102588
15,94,972328
15,95,486164
15,101,748744
15,102,374372
15,107,329803
15,108,659606
15,113,632822
15,114,1265644
15,117,275647
15,118,551294
15,127,179862
16,93,724190
16,94,1484276
16,95,243082
16,101,2406216
16,102,1203108
16,107,659606
16,108,1319212
16,113,316411
16,114,632822
16,127,359724
17,93,720485
17,94,1440970
17,99,574135
17,100,1148270
17,101,1094866
17,102,547433
17,103,2160336
17,104,1080168
18,6,1141074
18,7,570537
18,93,716780
18,94,1433560
18,99,1148270
18,100,2296540
18,103,1080168
18,104,540084
18,127,171074
19,6,2282148
19,7,1141074
19,94,2545260
19,95,1272630
19,96,1276494
19,97,638247
19,127,85537
20,94,1887419
20,95,2462970
20,96,2774403
20,97,2684811
20,98,2533288
20,125,921122
20,126,1842244
21,94,605933
21,95,1211866
21,96,2914866
21,97,2115017
21,98,1266644
21,125,460561
21,126,921122
24,4,1437759
24,5,2875518
24,120,1099400
24,121,2198800
25,4,1404103
25,5,2808206
25,97,680799
25,98,1361598
25,120,549700
25,121,1099400
26,97,1361598
26,98,2723196
26,119,901450
26,120,1802900
27,119,450725
27,120,901450
27,125,620916
27,126,1241832
28,30,369126
28,31,738252
28,36,357324
28,37,178662
28,119,1811484
28,120,905742
28,125,310458
28,126,620916
29,30,184563
29,31,369126
29,36,714648
29,37,357324
29,40,722100
29,41,361050
29,100,3620396
29,101,1810198
29,119,905742
29,120,452871
29,121,1237964
29,122,618982
30,11,2121256
30,12,1060628
30,40,361050
30,41,180525
30,100,1810198
30,101,905099
30,117,1391800
30,118,695900
30,121,618982
30,122,309491
31,11,1060628
31,12,2984838
31,13,1475412
31,46,930100
31,47,465050
31,117,2783600
31,118,1391800
31,120,2374560
31,121,1187280
32,12,1475412
32,13,737706
32,22,538094
32,23,1076188
32,46,465050
32,47,232525
32,119,1181978
32,120,2369258
32,121,593640
33,11,789770
33,12,394885
33,22,269047
33,23,538094
33,118,3388268
33,119,2285123
33,120,1181978
34,11,1579540
34,12,789770
34,15,2300404
34,16,1150202
34,57,394440
34,58,197220
34,118,1694134
34,119,847067
35,11,793798
35,12,1587596
35,15,1150202
35,16,575101
35,17,1138072
35,18,569036
35,20,1306392
35,21,653196
35,57,788880
35,58,844298
35,59,384648
35,95,1623684
35,96,3247368
35,103,2130551
35,104,1995248
35,119,2285832
35,120,1142916
35,122,1769964
35,123,3539928
35,125,3450440
35,126,1725220
36,11,396899
36,12,1510924
36,13,700960
36,15,1063016
36,16,531508
36,17,569036
36,18,284518
36,20,653196
36,21,326598
36,58,384648
36,59,192324
36,74,496003
36,75,992006
36,80,900864
36,81,1801728
36,87,2602708
36,88,1301354
36,91,2563992
36,92,1281996
36,95,811842
36,96,1623684
36,102,742791
36,103,4299413
36,104,3994979
36,105,925823
36,119,1142916
36,120,571458
36,122,884982
36,123,1769964
36,125,1725220
36,126,862610
37,10,808666
37,11,1617332
37,12,700960
37,13,350480
37,15,531508
37,16,265754
37,74,992006
37,75,1984012
37,80,450432
37,81,900864
37,87,1301354
37,88,650677
37,91,1281996
37,92,640998
37,102,1485582
37,103,2971164
37,104,3703292
37,105,2653371
37,106,1908934
37,107,927781
37,110,1866158
37,111,933079
37,113,932657
37,114,1865314
37,120,1683014
37,121,3366028
38,10,804793
38,11,1609586
38,66,2045488
38,67,1022744
38,105,2985580
38,106,3817868
38,107,1855562
38,108,945109
38,109,2840365
38,110,3796156
38,111,1866158
38,112,2298194
38,113,3014411
38,114,3730628
38,119,2014320
38,120,4031763
38,121,1683014
39,10,800920
39,11,1601840
39,16,526944
39,17,1053888
39,66,1022744
39,67,511372
39,99,1697420
39,100,3223319
39,101,1576516
39,107,2970352
39,108,3375394
39,109,4043182
39,110,3895552
39,111,1983476
39,112,4793254
39,113,3424782
39,116,891072
39,117,2711373
39,118,3631940
39,119,3544854
39,120,2862300
40,2,964266
40,3,1928532
40,5,1903400
40,6,951700
40,10,790004
40,11,395002
40,16,263472
40,17,526944
40,99,3394840
40,100,2495513
40,101,788258
40,107,1485176
40,108,742588
40,109,1585021
40,110,3170042
40,111,991738
40,112,3146238
40,113,4060612
40,115,926147
40,116,2832809
40,117,3585532
40,118,1815970
40,119,1689714
40,120,844857
41,0,1691500
41,1,845750
41,2,482133
41,3,964266
41,5,951700
41,6,475850
41,10,1580008
41,11,790004
41,17,696868
41,18,348434
41,69,719756
41,70,1439512
41,109,1427454
41,110,2854908
41,114,1340384
41,115,3192678
41,116,3704588
42,0,845750
42,1,422875
42,17,348434
42,18,174217
42,55,433972
42,56,216986
42,69,1439512
42,70,2879024
42,108,1437850
42,109,718925
42,114,670192
42,115,1340384
42,118,1925616
42,119,3851232
42,120,1337166
42,121,668583
43,55,216986
43,56,108493
43,108,2875700
43,109,1437850
43,115,926807
43,116,1853614
43,118,962808
43,119,1925616
43,120,2674332
43,121,1337166
44,72,289233
44,73,578466
44,115,1853614
44,116,3719570
44,117,928700
44,121,1186314
44,122,2372628
45,72,578466
45,73,1156932
45,116,3723356
45,117,1861678
45,121,593157
45,122,1637089
45,123,1759760
46,116,3720116
46,117,1860058
46,122,439940
46,123,879880
47,116,589572
47,117,1179144
47,125,1143062
47,126,2286124
48,105,1409374
48,106,704687
48,116,1179144
48,117,2358288
48,125,571531
48,126,1143062
49,52,190768
49,53,381536
49,105,2818748
49,106,1409374
50,52,95384
50,53,190768
50,104,1809102
50,105,904551
50,116,595532
50,117,1191064
51,104,3618204
51,105,1809102
51,116,1191064
51,117,2382128
52,73,599686
52,74,299843
53,73,1199372
53,74,599686
53,103,3154808
53,104,1577404
53,119,1445472
53,120,2890944
54,103,1577404
54,104,788702
54,119,722736
54,120,1445472
55,77,335472
55,78,670944
55,101,1939578
55,102,3879156
56,55,99356
56,56,198712
56,77,670944
56,78,1341888
56,101,969789
56,102,1939578
57,55,49678
57,56,99356
59,47,10052
59,48,20104
59,80,271084
59,81,542168
59,100,2119968
59,101,1059984
59,122,2381020
59,123,1190510
59,125,1189764
59,126,594882
59,127,599456
60,47,5026
60,48,10052
60,80,542168
60,81,1084336
60,91,530690
60,92,265345
60,93,533858
60,94,266929
60,100,1059984
60,101,529992
60,122,1190510
60,123,595255
60,125,594882
60,126,297441
60,127,299728
61,91,1061380
61,92,530690
61,93,1067716
61,94,533858
62,83,1066968
62,84,533484
62,95,264976
62,96,529952
62,100,2823288
62,101,1411644
63,83,533484
63,84,266742
63,85,657716
63,86,1315432
63,88,603910
63,89,1207820
63,95,529952
63,96,1059904
63,100,1411644
63,101,705822
63,121,647458
63,122,1294916
64,85,328858
64,86,657716
64,88,301955
64,89,1213680
64,90,304885
64,121,323729
64,122,647458
65,86,237877
65,87,475754
65,89,1219540
65,90,609770
65,98,1387984
65,99,2775968
65,119,753080
65,120,1506160
66,59,455252
66,60,227626
66,86,647666
66,87,1295332
66,98,693992
66,99,1387984
66,119,376540
66,120,753080
67,59,227626
67,60,113813
67,63,224696
67,64,449392
67,86,817476
67,87,1634952
67,88,1065128
67,89,2130256
67,98,196872
67,99,393744
68,63,112348
68,64,224696
68,84,331245
68,85,662490
68,88,532564
68,89,1065128
68,98,98436
68,99,196872
69,50,1996
69,51,998
69,71,353044
69,72,176522
69,81,290533
69,82,581066
69,84,662490
69,85,1324980
70,3,166496
70,4,83248
70,50,998
70,51,499
70,70,440854
70,71,886664
70,72,353044
70,75,430224
70,76,215112
70,81,581066
70,82,1162132
71,3,332992
71,4,166496
71,41,664
71,42,1328
71,70,220427
71,71,440854
71,75,860448
71,76,763222
71,77,665996
71,78,685310
71,79,1370620
71,97,665628
71,98,1331256
71,115,571640
71,116,1143280
72,41,332
72,42,664
72,73,870064
72,74,435032
72,76,665996
72,77,1331992
72,78,342655
72,79,685310
72,97,332814
72,98,665628
72,115,285820
72,116,571640
73,42,6408
73,43,3204
73,73,435032
73,74,217516
73,96,299072
73,97,149536
74,8,191116
74,9,95558
74,42,3204
74,43,1602
74,78,1379776
74,79,689888
74,96,149536
74,97,74768
74,98,528540
74,99,264270
75,8,382232
75,9,191116
75,78,689888
75,79,344944
75,98,264270
75,99,132135
75,114,347807
75,115,695614
76,97,168434
76,98,336868
76,113,103577
76,114,801802
76,115,1391228
77,97,84217
77,98,168434
77,113,207154
77,114,414308
78,80,662794
78,81,1325588
78,82,331868
78,83,663736
78,112,248844
78,113,497688
78,121,1369092
78,122,684546
79,80,331397
79,81,662794
79,82,663736
79,83,1327472
79,112,124422
79,113,248844
79,121,684546
79,122,342273
80,99,451982
80,100,903964
80,103,402002
80,104,804004
80,106,546834
80,107,273417
81,99,903964
81,100,1807928
81,103,201001
81,104,402002
81,106,1093668
81,107,546834
81,108,1018344
81,109,509172
82,86,639962
82,87,1279924
82,108,509172
82,109,254586
82,111,683792
82,112,341896
82,115,162798
82,116,325596
83,86,319981
83,87,639962
83,91,332285
83,92,664570
83,111,341896
83,112,170948
83,115,325596
83,116,651192
84,43,56816
84,44,28408
84,91,664570
84,92,1329140
85,43,28408
85,44,14204
85,95,745074
85,96,1490148
86,95,372537
86,96,745074
89,98,587162
89,99,293581
89,117,776636
89,118,388318
89,119,170999
89,120,341998
90,98,1174324
90,99,587162
90,117,388318
90,118,194159
90,119,341998
90,120,683996
91,42,60332
91,43,30166
91,98,316932
91,99,158466
91,123,464682
91,124,232341
92,42,120664
92,43,60332
92,98,633864
92,99,316932
92,123,929364
92,124,464682
93,100,272456
93,101,136228
94,86,63900
94,87,127800
94,92,289692
94,93,144846
94,100,544912
94,101,272456
95,86,127800
95,87,255600
95,92,579384
95,93,289692
95,97,287740
95,98,143870
96,82,119626
96,83,59813
96,97,575480
96,98,287740
96,102,539056
96,103,269528
96,126,1095906
96,127,547953
97,82,239252
97,83,119626
97,102,269528
97,103,134764
97,126,2191812
97,127,1095906
98,104,114348
98,105,57174
99,104,228696
99,105,114348
99,125,527079
99,126,1054158
100,42,36280
100,43,72560
100,125,1054158
100,126,2108316
101,42,72560
101,43,145120
101,78,51820
101,79,103640
101,96,65713
101,97,131426
101,126,881230
101,127,1762460
102,78,25910
102,79,51820
102,96,131426
102,97,262852
102,126,440615
102,127,881230
103,55,30882
103,56,15441
104,55,61764
104,56,30882
104,93,116348
104,94,232696
104,127,892568
105,48,18929
105,49,37858
105,93,58174
105,94,116348
105,127,1785136
106,48,37858
106,49,75716
106,60,16870
106,61,8435
107,60,33740
107,61,16870
107,125,417736
107,126,208868
108,77,40516
108,78,20258
108,125,835472
108,126,417736
109,77,81032
109,78,40516
109,97,138184
109,98,69092
109,118,427636
109,119,213818
109,122,431640
109,123,863280
110,70,57204
110,71,114408
110,97,69092
110,98,34546
110,118,213818
110,119,106909
110,122,215820
110,123,431640
111,70,28602
