x,y,BASIC_EDUCATION_OR_LESS,INACTIVE_POPULATION,LABOUR_FORCE,MEN,MEN_0_14,MEN_15_64_,MEN_65p,TERTIARY_EDUCATION,TOTAL,TOTAL_0_14,TOTAL_15_64,TOTAL_65p,UPPER_SECONDARY_EDUCATION,WOMEN,WOMEN_0_14,WOMEN_15_64,WOMEN_65p
0,99,1071,2384,2461,2588,330,1840,413,1092,5517,633,3878,998,2682,2903,303,2008,585
0,100,687,1422,1602,1697,240,1181,252,554,3486,450,2420,612,1761,1782,202,1234,326
0,101,0,0,0,0,0,0,0,0,12,0,10,0,0,0,0,0,0
0,102,127,147,200,222,7,160,16,14,469,78,319,54,191,242,11,159,17
0,103,273,435,632,633,102,465,51,94,1310,223,942,137,667,659,110,465,60
0,104,108,190,227,270,32,181,19,15,548,86,380,63,266,261,29,178,26
0,105,203,269,370,365,50,258,29,43,754,115,533,102,372,389,48,275,38
0,106,346,491,518,616,103,387,107,126,1231,190,807,229,535,609,75,405,115
0,107,0,13,0,10,0,8,0,0,32,0,13,6,0,12,0,5,0
0,108,167,211,182,241,10,166,40,23,494,38,344,91,183,230,11,148,51
0,109,183,312,344,360,20,258,45,71,805,84,547,150,357,428,17,274,74
0,110,31,35,36,47,7,26,12,0,90,16,48,23,30,43,9,22,11
1,98,0,0,0,5,0,5,0,0,17,0,10,0,0,6,0,5,0
1,99,43,52,62,95,9,63,0,0,219,21,152,6,59,91,6,62,0
1,100,273,411,631,605,92,455,51,136,1245,195,895,150,633,640,103,440,93
1,101,63,65,66,79,5,51,18,0,177,10,97,39,37,78,5,46,12
1,102,134,175,226,264,34,173,19,36,541,77,365,78,199,270,25,176,25
1,103,95,155,189,226,28,161,17,0,475,72,333,53,211,227,21,157,22
1,104,51,62,79,127,0,76,13,0,254,28,167,32,88,120,0,60,14
1,105,292,422,509,570,65,399,64,93,1144,141,803,169,501,564,63,378,78
1,106,238,283,310,364,39,241,25,14,753,109,519,101,292,379,37,244,37
1,107,102,106,109,143,0,89,13,0,283,23,189,49,95,132,0,77,19
1,108,87,116,75,141,0,96,0,25,331,29,214,37,67,158,0,105,0
1,109,56,72,82,102,0,73,0,0,225,11,156,39,80,114,0,71,0
1,110,22,18,27,40,0,21,0,0,76,6,54,10,22,36,0,14,0
2,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,97,19,76,59,86,0,52,11,15,168,7,112,37,79,74,0,46,11
2,98,43,56,82,76,11,58,7,25,175,23,124,19,70,85,12,61,12
2,99,271,301,362,383,37,297,42,65,763,90,563,107,327,380,48,259,65
2,100,87,136,209,215,37,155,8,23,458,88,314,42,205,229,41,153,13
2,101,28,49,58,69,10,42,7,0,161,15,92,30,51,67,5,38,11
2,102,168,175,199,246,23,153,29,0,504,61,334,84,195,233,19,144,30
2,103,102,140,161,219,9,143,17,0,453,58,287,79,169,234,9,129,23
2,104,171,198,145,239,0,135,35,0,477,59,291,101,160,223,0,123,37
2,105,168,182,167,216,27,126,38,0,457,56,277,102,142,228,24,127,50
2,106,123,126,142,188,19,126,5,0,392,64,252,59,116,199,18,119,7
2,107,148,183,90,139,7,101,23,13,312,25,204,74,104,173,11,98,51
2,108,96,103,49,96,0,56,5,0,246,9,143,37,39,109,0,66,5
2,109,50,51,30,47,0,36,0,0,106,0,70,23,18,51,0,27,0
2,110,0,0,0,6,0,0,0,0,19,0,7,0,0,5,0,0,0
3,93,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0
3,94,362,676,832,844,118,628,96,265,1749,241,1287,221,874,905,123,659,119
3,95,721,1759,1989,2130,313,1520,297,779,4391,638,3049,699,2248,2256,325,1529,402
3,96,172,452,390,519,81,349,80,148,1021,145,688,175,520,491,64,324,95
3,97,0,0,12,28,0,18,0,0,66,5,45,6,12,31,0,21,0
3,98,24,32,33,56,0,27,8,0,111,13,67,18,34,46,0,25,5
3,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,100,94,140,123,163,0,95,29,0,341,43,199,80,143,171,0,88,45
3,101,143,227,279,307,35,217,39,78,638,73,424,121,298,311,33,202,61
3,102,97,101,80,105,0,58,20,0,238,24,138,64,76,117,0,65,21
3,103,198,277,279,334,38,223,32,31,700,109,454,118,269,355,45,209,51
3,104,135,155,181,189,20,129,16,12,409,44,275,77,144,212,17,130,23
3,105,194,222,285,326,65,221,20,29,661,132,454,65,273,335,67,217,29
3,106,266,323,320,402,45,264,41,14,805,106,547,133,315,392,44,247,49
3,107,216,287,314,361,40,258,39,76,746,83,509,125,297,367,32,242,67
3,108,70,97,66,128,10,84,7,18,262,20,176,44,57,110,5,62,7
3,109,13,25,0,28,0,14,0,0,56,0,38,7,0,28,0,15,0
4,92,0,0,0,9,0,6,0,0,29,0,19,0,0,9,0,6,0
4,93,2254,5941,6054,6647,936,4422,1279,3044,13837,1829,8966,3032,6689,7183,881,4544,1753
4,94,7503,16362,17366,18494,2571,13087,2832,6754,38735,4918,26277,7540,19323,20241,2341,13190,4702
4,95,454,941,1182,1272,216,878,168,352,2614,456,1786,363,1306,1323,227,896,189
4,96,1368,1724,2019,2201,381,1576,230,350,4541,756,3146,627,2015,2331,370,1561,388
4,97,48,94,82,107,0,79,5,0,258,15,183,31,97,117,0,82,6
4,98,103,172,182,218,14,144,23,0,457,62,290,85,218,217,13,141,37
4,99,77,123,110,154,16,103,9,0,336,44,231,46,144,173,18,112,11
4,100,99,174,184,237,13,163,22,25,484,48,325,93,203,226,14,136,42
4,101,263,341,360,402,26,269,50,11,888,137,545,192,383,479,40,276,78
4,102,194,225,317,336,33,240,19,11,742,117,488,113,305,393,30,241,34
4,103,405,490,511,612,75,424,53,74,1245,199,830,202,486,633,92,396,84
4,104,192,247,267,351,30,242,31,22,662,85,468,93,271,311,17,218,33
4,105,240,298,410,427,61,326,25,88,840,116,627,89,359,407,48,295,47
4,106,110,122,99,154,10,103,5,0,340,38,237,53,97,164,18,95,11
4,107,76,46,51,110,0,66,0,0,225,19,140,26,15,91,0,54,0
4,108,44,54,37,81,6,56,5,0,167,12,120,25,63,86,6,54,10
4,109,56,58,65,100,5,55,6,0,211,21,136,34,46,104,5,52,9
4,110,16,11,14,16,0,12,0,0,29,0,20,5,0,13,0,8,0
5,92,71,350,337,383,46,260,70,193,794,93,529,165,410,411,47,269,83
5,93,132,371,389,467,70,305,71,148,960,132,640,164,481,474,56,317,80
5,94,458,847,1211,1194,219,828,119,275,2502,427,1780,286,1305,1175,196,825,132
5,95,148,280,400,431,68,301,19,36,901,179,618,92,453,446,64,311,31
5,96,0,21,34,35,0,27,0,0,84,8,58,8,40,38,0,25,0
5,97,51,74,72,103,9,68,6,0,229,24,147,27,60,112,6,65,9
5,98,160,207,176,259,16,165,38,15,507,35,339,95,194,248,12,158,44
5,99,93,152,154,186,0,121,30,0,371,29,248,74,186,168,0,111,39
5,100,92,125,86,119,7,75,27,0,244,16,147,73,108,125,9,72,30
5,101,195,289,319,368,17,272,27,45,779,80,528,143,329,394,24,241,50
5,102,230,333,452,497,58,348,40,90,1023,149,701,140,413,518,61,333,50
5,103,107,137,156,206,9,133,21,0,426,70,260,64,156,195,6,121,21
5,104,1079,1908,2271,2325,283,1701,318,887,4836,592,3420,809,2219,2495,295,1704,472
5,105,62,78,82,102,0,70,9,0,198,18,136,36,82,96,0,66,6
5,106,51,68,11,79,0,34,0,0,162,18,105,27,14,78,0,33,0
