x,y,TOT_P,avg_time_nearest_ep,avg_time_nearest_h
0,24,560,3.2,65
0,40,478,0.7,11
0,41,508,1.2,11
0,42,4,3.8,13
0,49,238,11.4,19
0,50,369,8.3,16
0,51,10,7.8,15
0,56,7,10.4,25
0,57,12,8.8,25
0,58,199,4.7,24
0,67,139,18.9,46
0,68,4,19.7,47
0,78,4,20.9,58
0,79,9,20.4,57
0,96,8,34.2,34
0,97,11,21.4,21
0,101,16,20.2,23
0,102,15,19.3,22
0,103,18,17.4,20
0,109,5,7.2,45
0,110,3,6.2,46
0,115,14,12.9,44
0,116,63,11,42
0,124,17,11.2,29
0,125,99,5.7,44
0,126,207,4.9,43
0,127,231,6,44
1,39,141,1.7,12
1,40,633,3.6,14
1,48,441,6.4,14
1,49,15,7.9,15
1,50,67,7.1,14
1,56,60,7.8,22
1,57,4,11.3,26
1,58,218,3.4,26
1,59,89,3.7,28
1,60,266,3.6,30
1,61,74,6.3,33
1,67,113,21.9,49
1,77,7,22,59
1,78,10,21.5,58
1,87,4,15.8,13
1,92,4,26.9,24
1,96,7,17.8,17
1,97,16,19.6,19
1,98,4,33.9,34
1,101,6,22.8,25
1,102,18,18.1,21
1,103,5,16.9,20
1,109,9,10.3,42
1,110,3,3.9,44
1,113,9,7.8,41
1,114,21,10.2,42
1,115,32,10.7,42
1,116,19,14.3,46
1,124,64,9.4,45
1,125,63,5.8,43
1,126,109,5.3,42
1,127,27,4.7,43
2,37,38,4.7,15
2,38,1185,3.4,14
2,39,110,3.1,13
2,40,18,4.4,11
2,45,11,10.3,12
2,46,939,3.9,12
2,47,1186,3,11
2,48,231,4.8,12
2,55,192,9.8,21
2,56,102,9.4,22
2,58,1,4.2,28
2,59,49,1.1,28
2,60,304,3.1,30
2,61,111,3.9,29
2,62,19,4.9,30
2,66,7,24.4,52
2,67,4,24.1,51
2,68,18,13.2,37
2,69,52,12.6,36
2,76,4,23.2,61
2,77,4,23.3,60
2,87,8,14.2,12
2,95,15,16.7,16
2,96,4,16.8,16
2,97,6,22.2,22
2,100,6,21.4,23
2,101,4,17.4,20
2,102,29,14.6,17
2,103,9,16.8,19
2,104,5,17.2,20
2,110,6,4.8,45
2,111,20,2.9,43
2,112,9,5.5,39
2,113,5,6.1,40
2,114,44,7.3,39
2,115,16,8.7,40
2,124,99,9.1,42
2,125,84,8.3,43
2,126,10,5.3,41
3,23,4,NA,NA
3,24,4,NA,NA
3,36,30,7.9,18
3,37,37,7.9,18
3,38,199,5.6,16
3,39,4,6.1,14
3,44,3391,1.1,5
3,45,2295,0.2,8
3,46,2759,1.7,8
3,47,718,4,11
3,60,359,1.4,26
3,61,376,3.9,29
3,75,20,21.6,61
3,76,4,22.2,62
3,87,37,15.6,13
3,90,11,16.3,14
3,99,4,19.5,19
3,100,6,16,17
3,101,9,15.3,18
3,102,5,14.4,17
3,103,5,17.9,21
3,104,4,19.8,22
3,109,9,5.8,46
3,110,21,3,43
3,111,32,1.3,41
3,112,3,2.3,40
3,113,4,5,37
3,114,6,10,41
3,123,156,10.5,41
3,124,72,9,42
4,37,6,5.8,16
4,43,1835,2,2
4,44,8986,2.3,4
4,45,6869,2.3,7
4,46,4393,2.8,9
4,47,1189,4.4,10
4,48,872,6.5,13
4,67,4,12.3,36
4,73,4,20,59
4,74,10,20,59
4,87,49,12.4,10
4,89,11,13.2,11
4,90,24,15.6,13
4,91,4,16.2,14
4,97,5,17.3,17
4,98,6,16.2,16
4,100,18,15.6,15
4,101,24,14.3,17
4,102,4,14.5,17
4,103,4,13.5,17
4,109,10,9.3,42
4,110,13,4.8,45
4,111,5,5.3,38
4,112,3,7.5,37
4,113,4,7.9,34
4,122,47,12.1,41
4,123,126,8.9,39
4,124,62,8.8,39
4,127,4,6.8,43
5,35,172,8.7,19
5,36,39,7.1,17
5,42,665,5.4,7
5,43,5979,2.4,3
5,44,7863,1.4,4
5,45,3155,2.2,7
5,46,1513,4.6,10
5,47,848,5.5,11
5,48,237,6,12
5,53,35,6.8,17
5,54,110,7.7,18
5,72,6,18.8,58
5,73,15,18.4,58
5,87,21,11.5,9
5,89,4,11.2,9
5,90,4,13.9,11
5,93,4,11.2,11
5,94,4,12.4,12
5,96,4,13.1,13
5,97,16,12.9,13
5,98,4,16.3,16
5,99,4,16,16
5,100,14,15.4,15
5,101,7,14.6,15
5,102,24,11.9,16
5,103,8,11.8,17
5,104,3,12.7,20
5,110,7,9.4,42
5,111,3,9.7,39
5,113,3,8.3,33
5,121,92,12.7,38
5,122,102,10.1,37
5,123,5,10,38
5,127,4,7.5,42
6,32,4,12,23
6,33,33,10.5,21
6,34,11,9.7,20
6,35,441,10.5,21
6,36,59,12.3,23
6,42,9,3.7,5
6,43,2075,2.2,4
6,44,3134,1.9,5
