x,y,value
9,73,186358
9,75,302616
9,76,302616
9,77,302616
9,84,16158
9,85,16158
9,86,16158
9,104,218576
9,105,218576
9,106,218576
9,111,49771
9,112,51002
9,113,51002
9,114,49634
9,127,244813
10,36,521045
10,37,521045
10,38,521203
10,39,520986
10,40,681739
10,41,681114
10,42,681114
10,43,788895
10,44,788895
10,45,788895
10,50,760734
10,51,760734
10,52,760734
10,61,767320
10,62,767320
10,63,767320
10,69,224678
10,70,224678
10,71,225239
10,72,186358
10,73,186358
10,75,302616
10,76,303492
10,77,303492
10,78,283451
10,84,16158
10,85,16158
10,86,16158
10,104,150428
10,105,150428
10,106,150428
10,109,241508
10,110,241508
10,111,241508
10,112,49634
10,113,49634
10,114,49634
11,38,520986
11,39,520986
11,40,681739
11,41,681114
11,42,681114
11,43,919508
11,44,919508
11,45,919508
11,50,760734
11,51,760734
11,52,760734
11,61,767320
11,62,767320
11,63,767320
11,71,186358
11,72,186358
11,73,186358
11,76,283451
11,77,283453
11,78,283453
11,79,283368
11,85,15597
11,86,15597
11,87,15597
11,91,33892
11,92,33892
11,93,33892
11,104,150428
11,105,150428
11,106,150428
11,109,241508
11,110,241508
11,111,241508
11,112,49634
11,113,49634
11,114,49634
12,27,30275
12,28,30275
12,29,30275
12,40,681739
12,41,681739
12,42,681739
12,43,919508
12,44,919508
12,45,919508
12,50,760734
12,51,760734
12,52,760734
12,63,462507
12,64,462507
12,65,462507
12,72,210831
12,73,210831
12,74,210831
12,76,283451
12,77,636723
12,78,636723
12,79,636723
12,85,15597
12,86,15597
12,87,15597
12,88,15449
12,89,15449
12,90,15449
12,91,33892
12,92,33892
12,93,33892
12,102,268662
12,103,268662
12,104,268662
12,109,241508
12,110,241508
12,111,241508
13,27,30275
13,28,30275
13,29,30275
13,40,681460
13,41,681460
13,42,854394
13,43,921082
13,44,921082
13,45,919508
13,52,816210
13,53,816210
13,54,816210
13,57,866514
13,58,866514
13,59,866514
13,60,695927
13,61,926087
13,62,926087
13,63,926087
13,64,462596
13,65,462596
13,72,210831
13,73,210831
13,74,210831
13,77,636723
13,78,636723
13,79,636723
13,85,15597
13,86,15597
13,87,15597
13,88,15449
13,89,15449
13,90,15449
13,91,35483
13,92,35483
13,93,35483
13,95,74317
13,96,74317
13,97,74317
13,102,268662
13,103,268662
13,104,268662
14,27,38493
14,28,38493
14,29,38493
14,40,681460
14,41,681460
14,42,854394
14,43,852887
14,44,852887
14,52,816210
14,53,977428
14,54,977428
14,55,975008
14,56,786421
14,57,866517
14,58,866517
14,59,866517
14,60,866517
14,61,943665
14,62,943665
14,63,926087
14,64,462596
14,65,462596
14,72,210831
14,73,210831
14,74,210831
14,77,636723
14,78,636723
14,79,636723
14,80,546169
14,81,546169
14,82,546171
14,83,251424
14,84,251424
14,88,15449
14,89,15449
14,90,15449
14,91,30981
14,92,30981
14,93,30981
14,95,74317
14,96,74317
14,97,81993
14,98,460630
14,99,460630
14,100,460630
14,102,268662
14,103,268662
14,104,268662
14,108,241910
14,109,241910
14,110,241910
14,113,77284
14,114,77284
14,115,77284
15,27,37256
15,28,37256
15,29,37256
15,42,852887
15,43,852887
15,44,852887
15,52,816210
15,53,977428
15,54,977428
15,55,987650
15,56,968525
15,57,973697
15,58,866517
15,59,866517
15,60,866517
15,61,943665
15,62,943665
15,63,926087
15,64,462596
15,65,462596
15,73,211152
15,74,211152
15,75,211152
15,77,627339
15,78,680667
15,79,680667
15,80,677917
15,81,546169
15,82,546171
15,83,251424
15,84,251424
15,91,30981
15,92,41078
15,93,41078
15,94,40234
15,95,74317
15,96,74317
15,97,81993
15,98,460630
15,99,460630
15,100,460630
15,108,241910
15,109,241910
15,110,241910
15,113,77284
15,114,77284
15,115,77562
15,116,77212
15,117,77212
16,27,37256
16,28,37256
16,29,37256
16,41,899870
16,42,899870
16,43,899870
16,53,975008
16,54,975008
16,55,987650
16,56,968525
16,57,968525
16,58,786421
16,59,866502
16,60,1091655
16,61,1091655
16,62,1091655
16,65,461976
16,66,462596
16,67,462596
16,68,240257
16,73,211152
16,74,211748
16,75,211748
16,76,203842
16,77,640804
16,78,694123
16,79,694123
16,80,677917
16,81,546169
16,82,546171
16,83,251424
16,84,251424
16,91,17732
16,92,41078
16,93,41078
16,94,40234
16,97,80154
16,98,460630
16,99,460630
16,100,460630
16,101,102744
16,108,241910
16,109,241910
16,110,241910
16,113,77284
16,114,77284
16,115,77562
16,116,77212
16,117,77212
17,28,37724
17,29,37724
17,30,37724
17,41,899870
17,42,899870
17,43,899870
17,54,934498
17,55,968525
17,56,968525
17,57,968525
17,59,809358
17,60,1091655
17,61,1091655
17,62,1091653
17,65,461976
17,66,462596
17,67,462596
17,68,240257
17,69,159685
17,70,159685
17,71,159685
17,73,211152
17,74,211748
17,75,211748
17,76,203842
17,77,868628
17,78,868628
17,79,868628
17,80,677905
17,91,17732
17,92,41078
17,93,41078
17,94,40234
17,99,102744
17,100,423092
17,101,423092
17,102,421028
17,115,77212
17,116,77212
17,117,77212
18,28,37724
18,29,37724
18,30,37724
18,35,143852
18,36,143852
18,37,143852
18,41,899870
18,42,899870
18,43,899870
18,54,934612
18,55,934612
18,56,934612
18,59,809358
18,60,1091655
18,61,1091655
18,62,1091653
18,65,461976
18,66,462596
18,67,462596
18,68,240257
18,69,159685
18,70,159685
18,71,159685
18,74,203842
18,75,203842
18,76,204127
18,77,874050
18,78,874050
