x,y,Ind,Men,Men_1ind,Men_5ind,Men_coll,Men_fmp,Men_mais,Men_pauv,Men_prop,Men_surf,imputed
0,0,5,1.9,0.3,0.1,0,0.1,1.9,0.1,1.7,235.4,1
0,3,18,6.7,1.1,0.4,0,0.4,6.7,0.4,6.2,847.6,1
0,4,59,25,6,1,1,4,24,4,11,2281,0
0,17,25,12,5,0,0,1,12,5,11,998,0
0,18,17,7.7,2.2,0,1.1,0.5,6.6,1.6,6,748,1
0,19,6,2.7,0.8,0,0.4,0.2,2.3,0.6,2.1,264,1
0,23,2,0.9,0.2,0.1,0,0.1,0.9,0.2,0.7,91.1,1
0,24,1,0.4,0.1,0,0,0.1,0.4,0.1,0.4,45.6,1
0,25,72,25,1,3,2,2,23,0,19,2475,0
0,26,29.5,8.9,0.8,1.2,0,0.4,8.9,0.8,6.6,942.8,1
0,33,2,0.9,0.3,0,0,0.1,0.9,0.1,0.8,101.8,1
0,35,14,6.4,2.3,0.3,0.3,0.6,6.1,0.6,5.8,712.5,1
0,48,13,4.5,0.5,0.5,0,0.7,4.5,0.9,3.4,533.1,1
0,49,73,36,14,1,4,6,32,9,18,3373,0
0,50,21,6.9,1.7,1.4,0,0.3,6.9,1.4,4.8,729.1,1
0,51,47,15,1,1,0,3,15,2,9,1681,0
0,52,5,1.6,0.4,0.3,0,0.1,1.6,0.3,1.1,173.6,1
0,61,4,2.1,1,0,0.4,0,1.7,1,1.3,206.9,1
0,85,3,1.3,0.1,0,0.2,0,1.1,0.8,0.6,147.5,1
0,123,17,8.2,3.5,0,0,1.2,8.2,2.3,5.3,909.2,1
0,124,2,1,0.4,0,0,0.1,1,0.3,0.6,107,1
0,188,3,1.7,0.9,0,0.1,0,1.6,0.3,1.4,190.8,1
0,215,10,4.8,1.7,0.3,0.6,0.4,4.2,0.9,3.2,489.3,1
0,216,12,5.7,2.1,0.3,0.7,0.5,5,1,3.9,587.2,1
0,217,2,1,0.3,0.1,0.1,0.1,0.9,0.2,0.6,97.9,1
0,220,2,1.2,0.6,0,0.1,0.1,1.1,0.3,1.1,128,1
1,0,14,4.7,0.8,0.7,0.3,0.4,4.4,0.5,3.8,517.2,1
