x,y,0_15,0_5,100_,15_20,20_25,30_35,35_40,40_45,45_50,50_55,55_60,5_10,60_65,65_70,70_75,75_80,80_85,85_90,90_95,95_100,f,ld25_30,m,pop
0,1,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,9
0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6
0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,3
0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,6
0,7,0,5,0,0,3,3,3,3,0,0,4,3,3,0,3,0,0,3,0,0,15,3,18,33
0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,4,8
0,10,0,3,0,3,0,3,0,4,0,3,4,3,0,0,0,8,5,3,0,0,19,0,20,39
0,11,0,0,0,0,3,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,4,0,8,12
0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6
0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6
0,17,8,3,0,9,8,7,10,6,11,7,13,9,8,11,6,11,8,0,5,3,78,3,66,144
0,18,0,0,0,4,0,0,0,3,0,3,3,3,3,3,4,0,0,0,0,0,19,3,13,32
0,19,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,8
0,20,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3
0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,6
0,45,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,8
0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6
0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3
0,52,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,3,6
0,53,3,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,10,4,6,16
0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
0,59,3,0,0,0,0,3,3,0,0,4,6,0,4,3,6,4,3,0,0,0,18,0,21,39
0,60,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,5,11
0,61,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,6
0,62,0,0,0,5,3,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,6,3,10,16
0,63,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,6,0,6,12
0,64,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,3,4,8
0,65,3,0,0,4,0,0,3,3,4,5,0,3,4,0,3,3,0,3,0,0,19,0,24,43
0,66,0,0,0,3,0,0,0,3,0,4,3,3,0,3,0,0,0,0,0,0,7,0,6,13
0,67,3,0,0,3,0,3,5,0,5,0,5,0,3,3,3,3,0,0,0,0,20,0,19,39
0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,72,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
0,73,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6
0,74,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,6,0,5,11
0,75,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,6,0,7,13
0,76,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,5,0,5,10
0,77,3,0,0,0,3,0,0,0,4,3,3,0,0,0,0,3,0,0,0,0,8,0,9,17
0,78,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6
0,79,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,5,11
0,80,3,3,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,3,14,26
0,81,3,0,0,3,0,0,0,3,3,3,3,0,0,3,0,0,0,0,0,0,7,0,7,14
0,82,4,9,0,0,5,4,0,3,4,7,4,3,7,9,4,0,0,0,0,0,38,7,35,73
0,83,5,0,0,0,0,3,3,3,0,0,0,5,0,0,0,0,0,0,0,0,12,0,11,23
0,84,0,0,0,0,3,3,3,0,0,0,3,0,3,0,0,0,0,0,0,0,5,0,9,14
0,85,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,4,0,3,7
0,86,3,4,0,3,3,4,3,3,0,3,5,3,0,3,3,0,0,0,0,0,12,3,18,30
0,87,0,0,0,3,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,7,0,6,13
0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3
0,92,3,3,0,0,0,3,3,5,3,3,3,3,0,3,0,0,0,0,0,0,15,0,16,31
0,93,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,11,3,7,18
0,94,0,4,0,0,0,4,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,0,9,13
0,96,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,3,6
0,97,0,0,0,0,0,3,0,0,0,0,0,3,3,3,0,0,0,0,0,0,6,0,6,12
0,98,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,6
0,100,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
0,109,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,3,0,3,6
