x,y,0_15,0_5,100_,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_55,55_60,5_10,60_65,65_70,70_75,75_80,80_85,85_90,90_95,95_100,f,m,pop
29,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
36,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
40,19,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,3,0,3
41,19,0,3,0,0,0,0,3,3,0,0,3,0,3,0,3,0,0,0,0,0,0,8,7,15
41,20,0,0,0,0,0,4,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,6,9
41,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,19,3,0,0,0,0,0,3,0,3,4,6,6,3,4,3,4,3,4,3,0,0,22,25,47
42,20,0,0,0,0,3,0,0,0,0,3,3,0,0,3,0,4,4,0,0,0,0,8,10,18
42,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
43,19,0,0,0,3,0,3,3,3,0,3,3,0,3,3,3,3,3,0,0,0,0,11,16,27
43,20,3,0,0,0,0,0,0,3,0,0,3,0,3,0,3,6,0,0,0,0,0,11,12,23
43,21,0,0,0,0,0,3,0,0,3,0,0,0,0,4,3,0,3,3,0,0,0,13,9,22
44,18,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,5,8,13
44,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
44,20,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,8
47,85,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,5,9
47,88,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,4,4,8
48,125,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,6,9
50,12,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3
51,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
52,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,6
53,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3
55,79,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,3,3,6
56,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,6
