x,y,elevation
0,0,74
0,1,74
0,2,73
0,3,74
0,4,73
0,5,74
0,6,74
0,7,74
0,8,73
0,9,73
0,10,73
0,11,74
0,12,75
0,13,75
0,14,74
0,15,73
0,16,72
0,17,72
0,18,74
0,19,74
0,20,72
0,21,73
0,22,74
0,23,74
0,24,74
0,25,73
0,26,73
0,27,73
0,28,72
0,29,72
0,30,72
0,31,73
0,32,73
0,33,72
0,34,72
0,35,72
0,36,72
0,37,72
0,38,73
0,39,73
0,40,73
0,41,73
0,42,73
0,43,73
0,44,74
0,45,73
0,46,73
0,47,74
0,48,74
0,49,74
0,50,75
0,51,75
0,52,76
0,53,76
0,54,76
0,55,76
0,56,77
0,57,76
0,58,76
0,59,76
0,60,76
0,61,76
0,62,78
0,63,79
0,64,79
0,65,76
0,66,76
0,67,76
0,68,76
0,69,75
0,70,75
0,71,75
0,72,74
0,73,75
0,74,75
0,75,76
0,76,76
0,77,76
0,78,75
0,79,76
0,80,77
0,81,77
0,82,78
0,83,78
0,84,79
0,85,79
0,86,79
0,87,79
0,88,80
0,89,79
0,90,79
0,91,79
0,92,79
0,93,79
0,94,79
0,95,78
0,96,78
0,97,79
0,98,79
0,99,79
0,100,78
0,101,78
0,102,79
0,103,80
0,104,80
0,105,79
0,106,79
0,107,78
0,108,79
0,109,78
0,110,78
0,111,78
0,112,79
0,113,80
0,114,81
0,115,81
0,116,79
0,117,78
0,118,78
0,119,77
0,120,76
0,121,77
0,122,77
0,123,77
0,124,76
0,125,77
0,126,77
0,127,77
1,0,74
1,1,74
1,2,73
1,3,73
1,4,75
1,5,77
1,6,77
1,7,77
1,8,74
1,9,73
1,10,73
1,11,74
1,12,74
1,13,74
1,14,74
1,15,74
1,16,73
1,17,74
1,18,76
1,19,77
1,20,74
1,21,72
1,22,74
1,23,74
1,24,74
1,25,73
1,26,73
1,27,73
1,28,72
1,29,72
1,30,73
1,31,73
1,32,73
1,33,72
1,34,72
1,35,72
1,36,72
1,37,72
1,38,73
1,39,73
1,40,73
1,41,73
1,42,73
1,43,73
1,44,73
1,45,74
1,46,74
1,47,74
1,48,74
1,49,74
1,50,74
1,51,75
1,52,76
1,53,76
1,54,77
1,55,76
1,56,77
1,57,77
1,58,77
1,59,76
1,60,77
1,61,76
1,62,78
1,63,79
1,64,77
1,65,76
1,66,76
1,67,76
1,68,76
1,69,75
1,70,75
1,71,75
1,72,75
1,73,75
1,74,75
1,75,76
1,76,76
1,77,76
1,78,76
1,79,76
1,80,77
1,81,77
1,82,78
1,83,78
1,84,79
1,85,79
1,86,79
1,87,79
1,88,80
1,89,80
1,90,79
1,91,79
1,92,80
1,93,79
1,94,79
1,95,79
1,96,78
1,97,79
1,98,79
1,99,78
1,100,78
1,101,78
1,102,79
1,103,79
1,104,80
1,105,81
1,106,79
1,107,79
1,108,79
1,109,79
1,110,78
1,111,79
1,112,79
1,113,80
1,114,81
1,115,81
1,116,81
1,117,80
1,118,79
1,119,78
1,120,77
1,121,77
1,122,77
1,123,77
1,124,77
1,125,78
1,126,78
1,127,78
2,0,74
2,1,74
2,2,73
2,3,73
2,4,74
2,5,75
2,6,75
2,7,75
2,8,75
2,9,73
2,10,73
2,11,74
2,12,74
2,13,74
2,14,74
2,15,74
2,16,74
2,17,75
2,18,75
2,19,75
2,20,74
2,21,72
2,22,72
2,23,73
2,24,73
2,25,73
2,26,74
2,27,74
2,28,73
2,29,72
2,30,72
2,31,73
2,32,73
2,33,72
2,34,72
2,35,72
2,36,72
2,37,72
2,38,72
2,39,72
2,40,73
2,41,73
2,42,73
2,43,73
2,44,73
2,45,74
2,46,74
2,47,74
2,48,74
2,49,74
2,50,75
2,51,75
2,52,76
2,53,76
2,54,76
2,55,77
2,56,76
2,57,76
2,58,77
2,59,77
2,60,77
2,61,77
2,62,79
2,63,79
2,64,76
2,65,76
2,66,76
2,67,75
2,68,76
2,69,76
2,70,76
2,71,76
2,72,77
2,73,75
2,74,75
2,75,76
2,76,76
2,77,76
2,78,76
2,79,77
2,80,77
2,81,78
2,82,78
2,83,78
2,84,79
2,85,79
2,86,79
2,87,80
2,88,80
2,89,80
2,90,79
2,91,79
2,92,80
2,93,80
2,94,80
2,95,80
2,96,79
2,97,79
2,98,79
2,99,78
2,100,78
2,101,78
2,102,79
2,103,79
2,104,81
2,105,80
2,106,80
2,107,79
2,108,79
2,109,79
2,110,79
2,111,79
2,112,79
2,113,80
2,114,81
2,115,81
2,116,82
2,117,81
2,118,79
2,119,78
2,120,77
2,121,77
2,122,77
2,123,77
2,124,77
2,125,78
2,126,78
2,127,79
3,0,74
3,1,74
3,2,73
3,3,74
3,4,74
3,5,75
3,6,75
3,7,75
3,8,75
3,9,74
3,10,74
3,11,74
3,12,74
3,13,74
3,14,74
3,15,74
3,16,74
3,17,75
3,18,75
3,19,75
3,20,75
3,21,74
3,22,73
3,23,73
3,24,74
3,25,73
3,26,74
3,27,74
3,28,73
3,29,72
3,30,72
3,31,73
3,32,73
3,33,72
3,34,72
3,35,71
3,36,71
3,37,72
3,38,72
3,39,73
3,40,73
3,41,73
3,42,73
3,43,73
3,44,74
3,45,74
3,46,74
3,47,74
3,48,74
3,49,75
3,50,75
3,51,75
3,52,76
3,53,76
3,54,76
3,55,76
3,56,76
3,57,76
3,58,76
3,59,77
3,60,78
3,61,78
3,62,79
3,63,78
3,64,76
3,65,76
3,66,76
3,67,75
3,68,75
3,69,75
3,70,76
3,71,76
3,72,77
3,73,77
3,74,76
3,75,77
3,76,77
3,77,76
3,78,76
3,79,77
3,80,78
3,81,78
3,82,79
3,83,79
3,84,79
3,85,79
3,86,80
3,87,80
3,88,81
3,89,81
3,90,80
3,91,80
3,92,80
3,93,79
3,94,80
3,95,80
3,96,79
3,97,79
3,98,78
3,99,79
3,100,79
3,101,79
3,102,79
3,103,80
3,104,80
3,105,80
3,106,80
3,107,80
3,108,79
3,109,79
3,110,79
3,111,79
3,112,80
3,113,80
3,114,81
3,115,82
3,116,82
3,117,81
3,118,79
3,119,79
3,120,77
3,121,77
3,122,77
3,123,77
3,124,77
3,125,77
3,126,78
3,127,78
4,0,73
4,1,73
4,2,73
4,3,74
4,4,75
4,5,75
4,6,75
4,7,75
4,8,75
4,9,75
4,10,75
4,11,75
4,12,74
4,13,74
4,14,74
4,15,75
4,16,75
4,17,75
4,18,75
4,19,75
4,20,75
4,21,74
4,22,73
4,23,74
4,24,73
4,25,73
4,26,73
4,27,73
4,28,73
4,29,73
4,30,73
4,31,73
4,32,72
4,33,72
4,34,72
4,35,72
4,36,72
4,37,72
4,38,73
4,39,74
4,40,73
4,41,73
4,42,73
4,43,73
4,44,74
4,45,75
4,46,75
4,47,75
4,48,75
4,49,75
4,50,76
4,51,76
4,52,76
4,53,76
4,54,75
4,55,76
4,56,76
4,57,76
4,58,76
4,59,77
4,60,79
4,61,80
4,62,80
4,63,78
4,64,77
4,65,76
4,66,76
4,67,76
4,68,76
4,69,76
4,70,76
4,71,76
4,72,77
