x,y,Ind,Log_45_70,Log_70_90,Log_ap90,Log_av45,Log_inc,Log_soc,imputed
0,0,3,0.6,0,0.3,0.3,0,0,1
0,1,1,0.2,0,0.1,0.1,0,0,1
0,2,23,0.5,4.5,3.4,2.2,0,0,3
0,3,4,0.1,0.8,0.6,0.4,0,0,1
0,7,7,0.1,2.1,0.4,0.4,0,0,2
0,8,10,0.1,2.9,0.6,0.6,0,0,2
0,9,2.5,0,0.7,0.1,0.3,0,0,1
0,10,5,0,1.5,0.2,0.5,0,0,1
0,11,2,0,0.6,0.1,0.2,0,0,1
0,12,20,0,1.9,3.2,4.9,0,0,3
0,14,3,0,0.5,0.4,0.4,0,0,1
0,15,36,0.5,6.1,4.7,4.5,0.3,0,4
0,16,19,0.2,3.3,2.4,2.4,0.2,0,3
0,17,6,0,0.6,0.9,0.9,0,0,3
0,18,2,0,0.2,0.3,0.3,0,0,1
0,19,10,0.4,0,0.4,3.8,0,0,2
0,22,5,0.2,0.5,1,0.3,0,0,2
0,23,41,1.3,4.5,7.6,3,0,0,4
0,24,68,0.9,8.2,14,3.6,0,0,3
0,25,3,0.1,0.3,0.6,0.2,0,0,1
0,26,7,0.2,0.7,1.4,0.4,0,0,2
0,27,16,0.4,1.2,3.3,1.2,0,0,3
0,28,28,0.6,2.2,5.7,2.2,0,0,4
0,29,78,0.5,6.6,17.5,6.3,0.4,0,3
0,30,11,0,0.9,1.2,2.3,0.2,0,2
0,35,1,0,0.1,0.2,0.1,0,0,1
0,36,29.5,0,3.6,4.5,2.8,0,0,4
0,37,93.5,1.2,5.8,27.4,1.9,0,19,3
0,38,28,0.4,3.5,4.5,3.7,0,0,4
0,39,19,0.4,2.5,3.1,2.1,0.1,0,3
0,41,4,0,0.6,0.8,0.4,0,0,2
0,42,10,0.5,1.7,1.8,0.9,0,0,1
0,43,55,4,2.2,12.2,10.1,0,0,1
0,44,237,5.4,13.1,46.7,44.1,0,6,2
0,45,6,0.3,1.2,0.9,0.2,0,0,2
0,48,2,0,0.2,0.1,0.6,0,0,1
0,49,5,0,0.4,0.2,1.6,0,0,1
0,50,6,0,0.5,0.3,1.9,0,0,2
0,51,1,0,0.1,0,0.3,0,0,1
0,55,2,0,0.1,0.2,0.4,0,0,1
0,59,2,0,0.3,0.6,0,0,0,1
0,60,9,0,1.5,1.2,0.5,0,0,2
0,61,2,0,0.3,0.3,0.1,0,0,1
0,63,8,0,1.2,1.7,0.9,0,0,1
0,73,5,0,0.3,1.1,0.6,0,0,1
0,91,4,0.1,0,0.9,1.1,0,0,1
0,97,2,0,0.4,0.3,0.2,0,0,1
0,98,4.5,0,0.8,0.7,0.4,0,0,2
0,103,2,0,0.3,0.4,0.1,0,0,1
0,106,121.5,2.4,6.3,34.8,3.3,0.4,0,2
0,107,349,12.8,5.6,75.1,79.4,0,36.2,1
0,108,28,0.9,0.8,5,4.1,0,0.3,2
0,109,2,0,0.3,0.4,0.1,0,0,1
0,111,2,0,0.3,0.4,0.1,0,0,1
0,112,4,0.1,0.1,0.8,0.6,0.1,0,1
0,116,8,0.1,0.1,1.6,1.3,0.2,0,2
1,1,2,0.4,0,0.2,0.2,0,0,1
1,4,23,0.6,3.2,1.8,3.6,0,0,4
1,5,17,0.3,1.9,0.8,3.2,0,0,3
1,6,11,0.2,1.2,0.5,2.1,0,0,2
1,7,3,0,0.9,0.2,0.2,0,0,1
1,9,4,0,1.2,0.1,0.4,0,0,1
1,10,3,0,0.9,0.1,0.3,0,0,1
1,13,7,0,0.7,1.1,1.7,0,0,3
1,14,22,0.3,3.4,3,3.3,0.1,0,3
1,15,33,0.5,5.6,4.4,4,0.3,0,4
1,16,11,0.1,1.8,1.5,1.4,0.1,0,3
1,17,28.5,0,2.6,3.6,4.7,0.6,0,3
1,18,33.5,0,3.1,4.3,5.4,0.7,0,3
1,19,27,0.2,2,3,5.6,0.4,0,3
1,20,105,0.2,12,27.2,4.4,0,0,2
1,21,106,0,13,24,4,0,0,0
1,22,119.5,0,6,31,1,0,0,0
1,23,64,0.3,5,12.7,0.6,0,0,2
1,24,33,0.9,3.5,6.5,2,0,0,4
1,25,126,1.2,5,41.1,0.6,0,0,1
1,26,96.5,2,11.9,19.5,3.7,0,0,3
1,27,50,4.3,7.1,4.9,3.1,0,0,2
1,28,109.5,2.1,9.3,21.8,7.3,0,0,1
1,29,32,0.4,2.6,5.8,3.7,0.2,0,4
1,30,1,0,0.1,0.1,0.2,0,0,1
1,35,12,0,1.5,1.8,1.2,0,0,3
1,37,6,0.1,0.7,1,0.8,0,0,1
1,38,23.5,0.3,2.9,3.9,3.1,0,0,3
1,39,2,0,0.3,0.3,0.3,0,0,1
1,40,4,0,0.6,0.7,0.4,0,0,2
1,41,2,0,0.3,0.4,0.2,0,0,1
1,42,9,0.5,1.5,1.6,0.8,0,0,1
1,43,23,1.2,4,4,2.2,0,0,2
1,44,65,2.8,13.1,11.5,2.9,0,0,3
1,45,21,0.9,4.1,3.2,0.8,0,0,1
1,47,8,0,0.7,0.3,2.5,0,0,1
1,48,5,0,0.5,0.2,1.5,0,0,3
1,49,8,0,0.7,0.3,2.5,0,0,2
1,50,10,0,0.9,0.4,3.1,0,0,2
1,52,5,0,0.8,1,0.6,0,0,1
1,53,1,0,0.2,0.2,0.1,0,0,1
1,54,28.5,0,3.1,4.3,4.5,0,0,3
1,55,4.5,0,0.3,0.4,0.9,0,0,1
1,56,8,0,0.5,0.8,1.6,0,0,2
1,58,20,0,3.4,5.6,0,0,0,3
1,59,12,0,2,2.6,0.3,0,0,2
1,60,27,0,4.6,3.7,1.3,0,0,2
1,61,16,0,2.7,2.2,0.8,0,0,2
1,72,1,0,0.1,0.2,0.1,0,0,1
1,73,9,0,0.5,2.1,1,0,0,3
1,79,2,0,0.2,0.4,0.4,0,0,1
1,80,2,0,0.2,0.4,0.4,0,0,2
1,87,1,0,0,0.2,0.3,0,0,1
1,88,1,0,0,0.2,0.3,0,0,1
1,91,13,0.2,0,3,3.6,0,0,1
1,96,1,0.1,0.1,0.1,0.1,0,0,1
1,97,19,0,3.6,2.8,1.8,0,0,4
1,98,4,0,0.7,0.6,0.4,0,0,1
1,106,100.5,3.4,3.1,11.6,23.9,0.4,0,3
1,107,2,0,0,0.4,0.4,0,0,2
1,108,34.5,1.1,1,6.2,5,0,0.3,4
1,109,11,0.3,0.8,2.2,1.1,0,0.1,2
1,110,5,0.1,0.7,1.1,0.2,0,0,1
1,111,45,0.8,6.7,9.8,1.5,0,0,3
1,112,35,0.5,0.7,7,5.8,0.7,0,3
1,113,3,0,0,0.6,0.5,0.1,0,1
1,116,10,0.2,0.2,2,1.6,0.2,0,1
1,120,1,0.1,0,0.1,0.3,0,0,1
2,0,15,0,2.1,1,3.1,0,0,3
2,6,13,0,1.5,2.9,0.8,0,0,2
2,8,2,0.1,0.2,0.4,0.1,0,0,1
2,9,1,0.1,0.1,0.1,0.1,0,0,1
2,14,6,0.2,1,0.6,0.8,0,0,2
2,15,7,0.3,1.4,0.5,0.8,0,0,1
2,17,132,0.9,23.9,23.8,4.7,0,0,2
2,18,98,1.4,14.2,17.9,2.4,0,0,3
2,19,16,1.1,2.5,2.3,0.7,0,0,4
2,20,192,1.3,85.5,7.3,0.1,0,57,1
2,21,259,2.5,48.9,51,3.1,0,0,1
2,22,449,3,114,49,4,1,29,0
2,23,252,12,44,40,1,0,0,0
2,24,145.5,6,35,22.5,6.4,0.3,0,1
2,25,301.5,10,65,39,2,0,0,0
2,26,266.5,4,25,87,7,1,0,0
2,27,267.5,1.1,63.3,27.9,8.6,2.1,0,1
2,28,69,1.1,2.2,14.3,5,0.6,0,4
2,29,2,0,0.1,0.4,0.2,0,0,1
2,36,1,0,0.1,0.1,0.2,0,0,1
2,39,2,0.1,0.2,0.2,0.3,0,0,1
2,40,7,0.4,0.7,0.7,1,0,0,3
2,41,9,0.6,0.8,0.9,1.3,0,0,2
2,42,3,0.1,0.4,0.5,0.3,0,0,1
2,43,35,0.9,5.2,5.3,3.7,0,0,3
2,44,11,0.2,1.7,1.6,1.2,0,0,2
2,45,11,0.1,2.1,1.1,1,0,0,2
2,50,2,0.2,0.3,0.1,0.5,0,0,1
2,52,13,0.1,2,2.5,1,0.1,0,3
2,53,10,0.1,1.6,1.9,0.7,0.1,0,2
2,54,43.5,1.1,7.1,6.8,2.4,0.2,0,4
2,55,25,0.8,4.2,3.4,1.3,0,0,4
2,56,42.5,1.5,7,5.8,2.2,0,0,4
2,57,8,0.3,1.2,1.6,0.1,0.1,0,2
