x,y,TOT_P,avg_time_nearest_h
26,125,6,NA
26,126,71,NA
26,127,0,NA
27,124,11,NA
27,125,407,NA
27,126,39,NA
28,124,0,NA
28,125,0,NA
28,126,0,NA
31,123,254,NA
31,125,0,NA
32,121,0,NA
32,125,761,NA
32,126,36,NA
33,119,0,NA
33,121,0,NA
33,122,0,NA
33,125,0,NA
34,117,0,NA
34,121,0,NA
34,122,0,NA
34,123,0,NA
34,124,0,NA
34,125,0,NA
35,116,0,NA
35,117,0,NA
35,121,0,NA
35,123,0,NA
35,124,0,NA
35,125,0,NA
36,115,0,NA
36,116,0,NA
36,120,0,NA
36,121,0,NA
36,124,0,NA
37,120,0,NA
37,121,0,NA
37,123,0,NA
38,116,0,NA
38,122,0,NA
38,126,0,NA
38,127,0,NA
39,116,0,NA
39,119,0,NA
39,124,0,NA
40,67,0,NA
40,68,338,NA
40,69,646,NA
40,70,0,NA
40,112,0,NA
40,113,0,NA
40,116,0,NA
40,117,0,NA
40,119,0,NA
40,120,0,NA
40,121,0,NA
40,124,0,NA
40,126,0,NA
41,67,0,NA
41,68,1570,NA
41,69,1127,NA
41,70,0,NA
41,124,0,NA
41,126,0,NA
41,127,0,NA
42,68,539,NA
42,69,67,NA
42,70,0,NA
42,104,0,NA
42,105,0,NA
42,106,6,NA
42,107,224,NA
42,108,4,NA
42,121,0,NA
42,123,0,NA
42,124,0,NA
43,104,0,NA
43,116,0,NA
43,118,0,NA
43,119,0,NA
43,120,0,NA
43,122,0,NA
43,123,0,NA
43,124,0,NA
44,107,0,NA
45,96,0,NA
45,107,0,NA
45,117,0,NA
45,124,0,NA
45,125,0,NA
46,92,0,NA
46,93,0,NA
46,94,0,NA
46,95,34,NA
46,96,14,NA
46,107,0,NA
46,116,0,NA
46,122,0,NA
46,123,0,NA
46,125,0,NA
47,87,0,NA
47,88,0,NA
47,91,64,NA
47,92,0,NA
47,94,0,NA
47,95,0,NA
47,116,0,NA
47,123,0,NA
48,87,0,NA
48,89,0,NA
48,90,0,NA
48,91,0,NA
48,94,92,NA
48,121,0,NA
48,122,0,NA
48,123,0,NA
48,126,0,NA
49,85,0,NA
