x,y,val
8,12,82
2,0,75
7,12,66
9,10,296
12,10,10
7,6,187
1,4,76
0,12,7
3,8,1572
3,4,103
4,5,46
11,13,81
8,11,70
5,1,862
12,14,73
0,7,328
4,15,28
3,9,123
5,4,155
3,1,10
5,13,343
6,1,159
13,13,9
4,4,14
3,5,49
2,6,320
5,14,51
2,7,1003
6,4,153
0,3,295
6,11,149
3,7,654
14,14,99
5,6,50
1,0,144
2,9,998
6,9,245
5,10,568
2,12,351
8,6,145
11,10,127
2,4,453
9,8,78
3,12,345
5,0,245
5,11,158
3,0,139
15,15,71
10,13,5
4,8,640
1,9,17
11,14,5
12,13,113
3,3,682
6,10,202
5,3,75
4,1,95
0,8,30
7,5,8
2,3,7
9,13,52
2,13,1017
5,5,128
9,11,233
7,10,58
4,0,45
3,10,553
1,13,1259
1,12,169
0,10,138
0,0,145
14,15,91
13,14,33
4,13,23
6,6,258
3,15,29
4,11,227
2,15,287
11,12,287
7,14,57
2,10,215
4,12,101
11,11,26
5,7,326
6,7,10
1,3,11
7,13,152
4,7,573
1,7,127
8,5,25
1,15,213
12,11,66
13,15,71
1,5,129
10,11,1633
4,6,268
6,14,17
1,11,402
3,6,179
4,2,3
9,12,108
9,14,107
0,13,165
4,9,157
0,15,273
6,13,45
4,14,61
9,15,2
3,14,31
2,5,207
5,9,90
6,8,71
0,2,12
0,11,13
10,12,315
7,9,249
6,2,23
4,10,140
0,9,296
6,5,526
4,3,150
1,8,145
8,10,33
3,11,13
8,14,429
2,8,9151
2,1,9
5,8,133
1,6,210
2,11,135
1,10,738
1,14,106
