x,y,val
22,10,450
29,5,8675
5,24,914
10,20,18676
30,10,1717
20,17,2033
25,11,7477
29,6,96
19,18,324
12,17,6513
26,7,12
9,0,2
18,22,23354
16,20,668
20,6,29
15,8,5
20,16,3502
29,8,21389
19,16,11
19,0,14
18,18,12062
17,6,16
5,3,48
25,12,136
13,22,2554
24,3,58
24,7,34
13,0,16
10,3,20
10,6,11
22,6,72
1,24,50
25,13,1
6,26,44
29,7,187
13,12,255
30,6,97
0,22,28
8,12,1
25,8,7
15,16,1
25,7,28
28,9,429
9,13,8
29,13,194
10,1,2
26,0,50
4,24,14
17,22,57689
15,1,82
16,21,2018
23,0,12
20,18,13758
27,10,14
22,2,5
28,13,329
29,17,37
9,15,1
17,21,49890
18,19,7705
26,13,5
20,21,1130
2,25,9
23,1,8
12,9,566
22,18,2125
18,16,2235
16,6,14
1,27,29039
21,21,539
11,12,3
17,3,2
13,4,27
3,2,20
14,20,10655
19,9,3
25,10,8
7,5,1
19,2,306
28,18,8
9,24,3126
29,2,9
28,0,34
15,4,62
19,1,52
18,6,24
12,16,15
23,16,9320
8,3,18
22,9,5763
18,4,8
19,4,104
29,4,1642
10,14,7244
1,21,969
30,4,1716
26,18,13
31,6,57
17,7,18
24,0,97
4,15,76
8,13,2
31,16,77
27,9,337
9,5,1
28,5,177
5,20,65
14,23,1143
13,18,24
3,7,21
8,24,870
10,9,19
6,5,5343
3,5,46
3,19,1
16,2,11
24,9,35
15,6,2
27,2,20
31,14,70
7,25,189
17,15,323
3,13,96
16,18,3295
1,28,103
26,17,10
7,18,1616
19,20,97
5,17,1387
31,17,214
22,21,1014
2,18,6
5,7,4
28,14,18214
16,7,227
26,1,114
17,20,13614
11,22,101
14,21,9969
25,6,33
17,2,14
29,9,237
26,3,2
24,12,72
14,9,10677
0,24,4
4,26,26
3,3,8
6,0,8
5,25,36146
0,4,19424
11,0,68
20,19,24092
7,7,15
31,12,1033
26,20,942
11,16,2164
18,20,3829
4,3,21
8,0,9
24,2,126
20,1,13
3,25,51
0,15,35
30,8,2432
1,9,1
8,2,1
6,2,14
6,18,771
8,7,3
