x,y,TOT_P,avg_time_nearest_ep,avg_time_nearest_h
0,13,23,2.4,NA
0,30,26,30.2,NA
0,31,47,28.6,NA
0,51,153,1.5,NA
0,52,0,6.3,NA
0,74,9,63.7,NA
0,75,7,63.4,NA
0,78,148,NA,NA
0,81,982,NA,NA
0,82,27,NA,NA
0,90,84,NA,NA
0,97,8,NA,NA
0,108,44,NA,NA
1,1,26,31.5,NA
1,14,4,3.9,NA
1,15,24,4.8,NA
1,40,1,5.1,NA
1,41,2,4.6,NA
1,78,237,NA,NA
1,83,259,NA,NA
1,84,471,NA,NA
1,86,189,NA,NA
1,90,11,NA,NA
1,91,75,NA,NA
1,96,22,NA,NA
1,97,8,NA,NA
1,104,126,NA,NA
2,0,20,38.1,NA
2,9,16,30.8,NA
2,10,3,29.9,NA
2,14,7,7.1,NA
2,15,53,6.1,NA
2,41,197,1.8,NA
2,42,3,1.6,NA
2,50,3,4.8,NA
2,51,1,3.8,NA
2,62,1,11,NA
2,63,1,13.4,NA
2,84,16,NA,NA
2,87,383,NA,NA
2,90,152,NA,NA
2,91,435,NA,NA
2,92,8,NA,NA
2,94,18,NA,NA
2,95,564,NA,NA
2,96,37,NA,NA
2,97,1463,NA,NA
3,0,3,35.9,NA
3,25,76,44,NA
3,27,2,49.9,NA
3,29,36,36.8,NA
3,30,7,38.1,NA
3,41,17,1.9,NA
3,48,83,16,NA
3,49,18,12.1,NA
3,50,1,3.9,NA
3,51,35,11.8,NA
3,52,8,13.7,NA
3,68,42,23,NA
3,69,4,23.8,NA
3,72,9,39,NA
3,78,14,13.9,NA
3,84,703,NA,NA
3,86,457,NA,NA
3,87,42,NA,NA
3,91,221,NA,NA
3,94,1559,NA,NA
3,95,4479,NA,NA
3,97,4,NA,NA
3,99,792,NA,NA
3,103,106,NA,NA
3,108,2,26.7,NA
3,117,11,3.5,NA
3,118,42,2.4,NA
4,5,1,30.4,NA
4,18,10,25.7,NA
4,25,14,39.5,NA
4,51,3,9.2,NA
4,60,6,7.6,NA
4,64,4,15.4,NA
4,68,10,23.2,NA
4,69,13,21.5,NA
4,72,4,33.9,NA
4,79,3,2.5,NA
4,80,1,3.5,NA
4,87,11,NA,NA
4,91,282,NA,NA
4,92,228,NA,NA
4,93,8,NA,NA
4,95,4,NA,NA
4,100,124,NA,NA
4,108,76,24.4,NA
4,117,7,1.7,NA
4,118,24,1,NA
5,1,1,32.4,NA
5,2,7,32.5,NA
5,6,9,36.3,NA
5,14,2,13.3,NA
5,18,10,24.5,NA
5,23,3,36.9,NA
5,29,9,30,NA
5,30,22,34,NA
5,58,29,4.7,NA
5,74,0,22.2,NA
5,76,0,19.5,NA
5,77,25,6.9,NA
5,79,138,3,NA
5,80,271,2,NA
5,81,6,3.6,NA
5,83,35,11.9,NA
5,88,64,NA,NA
5,92,375,NA,NA
5,93,225,NA,NA
5,112,75,13.4,NA
6,1,2,36.7,NA
6,2,11,34.5,NA
6,6,67,41.7,NA
6,23,8,34.8,NA
6,43,90,19,NA
6,58,4,3.1,NA
6,63,2,26.6,NA
6,79,3,4.8,NA
6,82,1,9.3,NA
6,83,0,14.2,NA
6,84,0,12.6,NA
6,89,388,NA,NA
6,93,12,NA,NA
6,97,106,NA,NA
7,18,4,22.4,NA
7,55,8,1.4,NA
7,56,134,0.1,NA
7,57,13,1.5,NA
7,78,22,10.6,NA
7,79,31,6.9,NA
7,81,42,8.3,NA
7,82,3,8.5,NA
7,87,1,18.3,NA
7,114,7,9.1,NA
7,116,19,7.5,NA
8,5,3,35.6,NA
8,6,29,33.6,NA
8,53,2,6.1,NA
8,54,13,4.4,NA
8,55,21,3,NA
8,78,46,13.8,NA
8,79,16,9.5,NA
8,81,4,7.7,NA
8,85,6,12.6,NA
8,114,9,11.2,NA
9,23,23,51.6,NA
9,29,1,18.5,NA
9,30,2,19.7,NA
9,83,11,4.2,NA
9,85,5,10.3,NA
9,95,45,5.2,NA
9,96,4,4.6,NA
9,125,145,NA,NA
9,126,207,NA,NA
9,127,2,NA,NA
10,22,8,47.7,NA
10,23,29,50.4,NA
10,29,13,14.5,NA
10,30,13,16.1,NA
10,51,23,2.9,NA
10,74,5,6.9,NA
10,75,3,10.1,NA
10,81,3,8.9,NA
10,82,96,5,NA
10,83,16,3.3,NA
10,87,0,16.1,NA
10,96,7,5.5,NA
10,97,10,5.5,NA
10,123,31,NA,NA
10,124,208,NA,NA
10,126,10,NA,NA
11,6,12,22.7,NA
11,9,27,16.8,NA
11,49,3,7.7,NA
11,50,14,2.8,NA
11,51,38,1.7,NA
11,58,32,27.1,NA
11,59,5,26.3,NA
11,64,26,19.4,NA
11,65,1,16.6,NA
11,73,4,4,NA
11,82,1,6.3,NA
11,83,2,2.1,NA
11,90,14,1.6,NA
11,91,229,2.2,NA
11,93,1,11.2,NA
11,97,248,2.2,NA
11,118,25,2.8,NA
11,120,1,4.9,NA
11,121,1,6.3,NA
11,124,10,NA,NA
11,126,75,NA,NA
12,5,4,20.3,NA
12,6,39,21.5,NA
12,9,3,15.8,NA
12,11,36,6,NA
12,49,2,6.7,NA
12,50,10,2.1,NA
12,51,183,0.1,NA
12,58,16,28.5,NA
12,59,3,27.7,NA
12,71,45,3.3,NA
12,72,249,1.1,NA
12,73,287,1.3,NA
12,78,51,4.8,NA
12,84,115,1,NA
12,85,6,3.7,NA
12,90,1,3,NA
12,91,44,1.5,NA
12,97,0,0.9,NA
12,99,0,4.6,NA
12,109,28,16.1,NA
12,110,18,16.3,NA
12,115,1,5.3,NA
12,116,27,4.6,NA
12,117,68,4.4,NA
12,118,17,2.9,NA
12,119,50,1.9,NA
12,120,31,2.4,NA
12,126,209,NA,NA
13,11,7,1.8,NA
13,12,67,2.8,NA
13,38,365,32.7,NA
13,39,0,31.8,NA
13,45,8,20.3,NA
13,46,36,17.1,NA
13,71,1,7,NA
13,72,117,3.6,NA
13,73,20,2.4,NA
13,74,3,4.4,NA
13,75,1,9,NA
13,78,35,3.1,NA
13,84,345,0.7,NA
13,109,10,14,NA
13,114,27,6.5,NA
13,115,89,7.5,NA
13,116,7,7.6,NA
13,117,0,6.3,NA
13,119,1,1.5,NA
13,120,71,0.9,NA
13,127,78,NA,NA
14,7,4,23.3,NA
14,10,60,7.3,NA
14,11,1,5.2,NA
14,12,15,3.7,NA
14,29,201,1.5,NA
14,30,74,1.3,NA
14,31,2,4.9,NA
14,38,8,34.7,NA
14,48,2,6.7,NA
14,73,40,3.4,NA
14,74,18,4,NA
14,75,34,6.3,NA
14,77,4,6.2,NA
14,78,2,2,NA
14,80,4,9.5,NA
14,81,2,6.8,NA
14,82,19,4,NA
14,84,8,1.7,NA
14,89,4,6.3,NA
14,111,22,11.4,NA
14,112,35,9.8,NA
14,113,0,17.1,NA
14,115,11,9.6,NA
14,116,69,9.2,NA
14,120,173,3,NA
15,10,10,14.3,NA
15,30,0,2.4,NA
15,38,1,37.3,NA
15,65,18,23.8,NA
15,66,41,21.9,NA
15,75,16,5.1,NA
15,76,9,4.5,NA
15,77,18,4.1,NA
15,78,199,2.2,NA
15,81,1,3,NA
15,82,78,3.3,NA
15,85,118,0.7,NA
15,102,1,7.5,NA
15,111,2,10.8,NA
15,112,1,13.3,NA
15,116,7,11.2,NA
16,0,1,11.4,NA
16,3,29,15.7,NA
16,4,38,20.7,NA
16,5,95,20.3,NA
16,38,1,31.6,NA
16,61,1,37.7,NA
16,66,14,26.3,NA
16,68,8,18.4,NA
16,69,19,15.1,NA
16,78,10,3,NA
16,80,39,7.1,NA
16,82,4,6.1,NA
16,83,4,8.1,NA
16,84,13,4.8,NA
16,85,132,0.8,NA
16,86,0,1.1,NA
16,91,5,2.5,NA
16,92,77,2.6,NA
16,101,1,7.7,NA
16,102,14,6.6,NA
17,0,11,9.5,NA
17,1,99,12.1,NA
17,3,9,20.8,NA
17,4,4,28.8,NA
17,5,0,21.9,NA
17,45,1,10.2,NA
17,69,3,16,NA
17,72,4,9.1,NA
17,74,1,7.7,NA
17,75,22,6.7,NA
17,77,1,3.2,NA
17,80,1,1,NA
17,81,194,1.6,NA
17,82,0,3.1,NA
17,87,14,7.3,NA
17,89,7,5.5,NA
17,91,7,3.2,NA
17,92,127,1.1,NA
17,102,3,5.8,NA
17,104,17,7.9,NA
17,105,4,11.7,NA
17,111,2,7.8,NA
18,0,2,23.2,NA
18,1,21,13,NA
18,19,5,1.3,NA
18,20,107,1.5,NA
18,44,3,11.8,NA
18,45,1,11,NA
18,68,11,18.9,NA
18,70,1,14,NA
18,71,90,10.2,NA
18,77,7,1.7,NA
18,78,340,1.7,NA
18,79,4,3.6,NA
18,80,1,6.2,NA
18,81,8,0.8,NA
18,82,42,0.9,NA
18,83,50,1.9,NA
18,84,5,2.2,NA
