x,y,TOT_P,avg_time_nearest_ep,avg_time_nearest_h
0,107,4,4.2,12
0,108,356,2.3,10
0,109,111,3.4,6
0,110,64,6.1,7
0,111,159,5.4,7
0,112,6,4.8,11
1,107,26,6.9,12
1,108,108,4.9,10
1,109,612,3.7,7
1,110,948,3.3,4
1,111,46,6.1,7
2,107,159,6.4,13
2,108,102,6,11
2,109,231,4.9,9
2,110,637,1.6,4
2,111,18,5.9,6
2,127,68,7.1,21
3,106,32,4.3,15
3,107,142,4,14
3,108,29,8.4,14
3,120,11,4,28
3,125,41,4.8,22
3,126,213,4.4,22
3,127,2303,2.3,21
4,106,98,5,19
4,107,328,2.9,17
4,108,36,4.9,16
4,117,2642,2,24
4,118,1326,4,28
4,119,1156,2.1,28
4,120,690,3.8,25
4,121,101,5.5,21
4,124,4,7.5,21
4,125,502,5.4,21
4,126,1375,2.6,19
4,127,512,3,19
5,116,8,2.3,26
5,117,971,3.1,28
5,118,2,5.2,30
5,119,5,5.6,30
5,122,8,5.6,19
5,123,288,2.7,16
5,124,721,3.6,18
5,125,416,4.6,18
5,126,394,3.4,17
5,127,117,4.1,15
6,121,20,5.6,20
6,122,592,5.2,19
6,123,1000,2.4,16
6,124,226,3.6,14
6,125,70,6.5,15
6,126,212,4.7,14
6,127,385,5.2,13
7,122,1353,2.6,17
7,123,923,3.2,14
7,124,268,4.3,12
7,125,190,4.5,13
7,126,576,3.3,13
7,127,169,4,11
8,121,15,4.6,19
8,122,803,2.6,17
8,123,324,4.2,14
8,124,181,6.4,12
8,125,173,5.3,11
8,126,1108,2,10
8,127,466,3.4,9
9,111,235,2.4,38
9,121,111,5.2,18
9,122,845,3.7,16
9,123,502,4.2,14
9,124,281,5.5,12
9,125,108,6,9
9,126,357,4.7,8
9,127,195,4.7,8
10,111,8,3.3,40
10,121,100,5.8,18
10,122,705,4.5,15
10,123,259,3.8,13
10,124,1585,2.3,9
10,125,212,5.3,8
10,126,1138,4,5
10,127,3574,3.1,4
11,120,129,4.9,20
11,121,754,3.3,16
11,122,251,5.4,16
11,123,154,6,14
11,124,62,5,10
