x,y,TOT_P,avg_time_nearest_h
0,45,0,NA
0,46,49,NA
0,47,24,NA
0,48,46,NA
0,67,24,NA
0,68,29,NA
0,69,0,NA
0,74,13,NA
0,83,0,NA
0,88,24,NA
0,89,36,NA
0,91,0,NA
1,44,0,NA
1,45,26,NA
1,46,34,NA
1,67,61,NA
1,72,0,NA
1,73,41,NA
1,88,7,NA
1,89,28,NA
1,91,41,NA
2,42,24,NA
2,44,14,NA
2,45,14,NA
2,46,26,NA
2,47,0,NA
2,48,0,NA
2,51,0,NA
2,67,1,NA
2,68,15,NA
2,69,14,NA
2,70,14,NA
2,71,261,NA
2,72,27,NA
2,73,36,NA
2,74,0,NA
2,88,0,NA
2,89,32,NA
2,90,0,NA
3,42,57,NA
3,44,238,NA
3,45,48,NA
3,46,0,NA
3,50,24,NA
3,51,36,NA
3,52,0,NA
3,53,0,NA
3,67,29,NA
3,68,36,NA
3,69,0,NA
3,71,298,NA
3,74,0,NA
3,82,2,NA
3,83,0,NA
3,84,6,NA
3,85,10,NA
3,86,6,NA
3,87,11,NA
3,88,22,NA
3,89,27,NA
3,90,62,NA
4,41,65,NA
4,42,70,NA
4,43,37,NA
4,44,4,NA
4,46,0,NA
4,47,0,NA
4,48,14,NA
4,49,71,NA
4,50,73,NA
4,51,39,NA
4,52,0,NA
4,70,19,NA
4,83,2,NA
4,84,0,NA
4,85,2,NA
4,89,0,NA
5,3,0,NA
5,4,0,NA
5,9,34,NA
5,36,10,NA
5,37,102,NA
5,39,36,NA
5,40,51,NA
5,41,44,NA
5,42,78,NA
5,43,0,NA
5,50,0,NA
5,68,70,NA
5,69,164,NA
5,70,50,NA
5,73,7,NA
5,74,19,NA
5,76,21,NA
5,77,12,NA
5,88,36,NA
5,89,0,NA
5,90,38,NA
5,91,0,NA
6,1,24,NA
6,4,24,NA
6,19,0,NA
6,20,27,NA
6,37,137,NA
6,39,21,NA
6,42,0,NA
6,44,0,NA
6,45,0,NA
6,71,0,NA
6,77,0,NA
6,78,0,NA
6,84,0,NA
6,85,0,NA
6,87,12,NA
6,88,19,NA
6,89,54,NA
6,90,0,NA
6,91,9,NA
7,1,150,NA
7,2,0,NA
7,33,43,NA
7,35,23,NA
7,36,39,NA
7,37,44,NA
7,38,0,NA
7,39,66,NA
7,45,83,NA
7,78,0,NA
7,79,0,NA
7,85,0,NA
7,87,9,NA
7,88,95,NA
7,89,0,NA
8,1,0,NA
8,30,18,NA
8,35,50,NA
