x,y,TOT_P,avg_time_nearest_h
1,33,0,NA
1,34,11,NA
3,35,127,NA
3,36,38,NA
4,35,120,NA
4,36,145,NA
4,37,35,NA
4,38,25,NA
5,35,25,NA
5,36,37,NA
5,37,173,NA
5,38,11,NA
6,35,127,NA
6,36,17,NA
6,37,98,NA
6,38,186,NA
6,39,39,NA
7,0,25,NA
7,36,76,NA
7,37,121,NA
7,38,63,NA
7,39,40,NA
7,40,67,NA
8,0,47,NA
8,1,9,NA
8,36,30,NA
8,37,258,NA
8,38,200,NA
8,39,9,NA
8,40,286,NA
8,41,6,NA
9,0,702,NA
9,1,482,NA
9,35,17,NA
9,36,68,NA
9,37,78,NA
9,38,138,NA
9,39,171,NA
9,41,54,NA
10,0,291,NA
10,33,43,NA
10,34,131,NA
10,35,189,NA
10,36,191,NA
10,37,56,NA
10,38,147,NA
10,39,57,NA
10,40,63,NA
10,41,572,NA
10,42,3,NA
10,62,0,NA
10,63,0,NA
11,0,225,NA
11,34,108,NA
11,35,580,NA
11,36,277,NA
11,37,298,NA
11,38,20,NA
11,39,8,NA
11,40,33,NA
11,41,1006,NA
11,61,7,NA
11,62,110,NA
11,63,606,NA
12,0,288,NA
12,1,665,NA
12,2,155,NA
12,36,36,NA
12,37,834,NA
12,38,272,NA
12,39,31,NA
12,40,212,NA
12,41,1031,NA
12,42,26,NA
12,59,17,NA
12,60,174,NA
12,61,893,NA
12,62,7195,NA
12,63,3483,NA
13,0,30,NA
13,1,527,NA
13,2,654,NA
13,37,1,NA
13,38,188,NA
13,39,294,NA
13,40,71,NA
13,41,45,NA
13,42,94,NA
13,59,117,NA
13,60,628,NA
13,61,121,NA
13,62,630,NA
14,0,166,NA
14,1,54,NA
14,2,213,NA
14,38,2851,NA
14,39,182,NA
14,40,122,NA
14,41,24,NA
14,42,401,NA
14,59,52,NA
14,60,784,NA
14,61,1511,NA
14,63,52,NA
15,0,159,NA
15,1,194,NA
15,2,26,NA
15,3,59,NA
15,38,1463,NA
15,39,135,NA
15,40,135,NA
15,41,66,NA
15,42,16,NA
15,43,7,NA
15,44,593,NA
15,55,16,NA
15,56,25,NA
15,57,748,NA
15,58,132,NA
15,59,1079,NA
15,60,528,NA
15,61,113,NA
15,62,425,NA
15,63,60,NA
15,64,80,NA
15,65,100,NA
15,67,2,NA
15,104,0,NA
15,105,0,NA
16,0,134,NA
16,1,103,NA
16,2,26,NA
16,3,906,NA
16,4,35,NA
16,38,68,NA
16,39,471,NA
16,40,464,NA
16,41,57,NA
16,42,27,NA
16,43,355,NA
16,44,137,NA
16,55,264,NA
16,56,0,NA
16,57,587,NA
16,58,53,NA
16,59,190,NA
16,60,74,NA
16,61,896,NA
16,62,191,NA
16,63,92,NA
16,64,275,NA
16,65,195,NA
16,66,137,NA
16,67,21,NA
16,105,0,NA
16,106,0,NA
17,0,74,NA
17,1,74,NA
17,2,189,NA
17,3,96,NA
17,4,559,NA
17,5,18,NA
17,38,63,NA
17,39,164,NA
17,40,452,NA
17,41,147,NA
17,42,7,NA
17,43,42,NA
17,44,44,NA
17,45,15,NA
17,54,26,NA
17,55,14,NA
17,56,125,NA
17,57,121,NA
17,58,144,NA
17,59,676,NA
17,60,104,NA
