x,y,val
0,13,15
11,20,200
25,24,861
18,13,234
21,16,15
9,27,31
26,11,8
17,27,1421
0,15,96
10,13,69
30,16,7
24,27,184
22,18,929
12,0,38
5,19,110
9,14,103
9,18,21991
2,14,83
24,0,3
30,23,109
15,21,9
21,7,71
4,20,48
9,17,2841
27,4,786
23,2,580
23,28,11705
11,2,23
26,12,275
17,6,10
28,22,45
26,30,341
30,22,209
29,14,214
4,0,135
22,1,640
30,24,316
22,4,36
1,27,947
3,17,1
25,30,789
22,5,106
7,12,15
2,23,248
2,29,286
30,9,483
15,2,107
26,6,182
4,12,143
26,5,152
5,0,22
9,7,28
10,18,2234
16,4,237
31,16,773
25,27,675
10,11,311
11,19,247
30,12,3
23,7,156
16,18,43
5,10,59
12,20,32
29,25,31
29,21,82
12,13,7
23,1,535
3,30,218
25,29,230
0,19,8
26,9,277
8,26,3
19,21,1224
26,0,15
6,19,42
30,10,528
20,2,203
22,26,703
28,14,190
31,4,742
9,6,33
18,10,74
5,6,518
10,6,4
7,9,37
17,28,12
27,3,5
17,20,24526
11,24,21
23,6,40
8,19,20
28,27,566
4,17,369
31,21,829
15,3,56
4,31,109
12,5,73
28,3,436
7,29,43
30,8,213
29,24,143
14,15,97
1,21,502
20,19,145
12,31,154
17,2,213
23,10,447
25,5,79
21,24,192
18,17,216
5,12,76
14,11,5868
11,13,15
21,18,82
11,0,302
29,31,8239
22,21,249
11,30,1037
31,14,119
19,20,1284
10,0,2
7,11,151
10,14,853
31,19,267
11,5,127
3,5,1
23,5,221
14,31,36
24,29,21619
17,10,6
28,20,97
3,25,182
7,18,2
31,25,847
6,1,43
28,31,84
31,11,491
30,18,88
26,25,72
26,26,525
30,4,266
7,21,52
11,29,186
29,7,190
28,23,165
21,20,405
11,22,14
24,16,179
17,15,254
4,25,129
25,21,3
26,1,495
17,3,235
24,9,1
8,28,339
13,15,76
31,1,1060
31,8,227
9,30,30
2,1,45
20,26,1232
15,15,207
15,9,89
3,13,21
28,9,183
29,6,99
8,8,24
22,3,569
21,5,188
4,3,4
0,23,704
18,12,156
21,13,7
21,25,203
8,27,163
30,17,488
21,27,1493
11,18,19
27,12,382
31,27,36
19,23,1093
12,18,254
9,22,184
8,9,399
30,15,22
11,27,254
21,4,26
23,9,168
10,12,39
6,2,15
13,5,82
23,19,177
26,16,116
8,31,184
23,4,250
8,30,237
23,14,114
21,30,353
4,14,2823
3,4,11
23,13,9087
2,28,1694
15,26,1929
19,27,2578
20,0,531
18,25,571
26,20,116
29,1,4153
25,14,252
0,14,15
28,25,10
22,22,240
30,31,14715
9,21,26
28,8,201
26,21,71
29,20,722
2,7,9
21,22,124
30,0,33
2,30,159
25,4,79
7,6,90
5,11,17
15,27,2928
27,26,241
14,22,9
17,8,142
14,4,43
23,18,59
26,29,574
5,5,13
21,2,459
11,7,24
31,7,26
26,17,63
6,6,30
22,25,666
29,5,13
27,30,1074
29,3,233
10,2,1860
7,13,37
20,3,677
10,24,1
4,15,5
24,19,4
2,21,78
0,31,198
12,2,190
11,31,464
16,20,393
13,4,117
20,8,84
13,13,67
26,3,449
4,1,173
23,8,60
23,11,188
27,18,277
18,28,19
27,24,4
15,31,8
11,11,14
11,28,536
11,1,9
9,20,355
31,28,749
26,18,355
11,16,272
5,31,204
16,0,62
4,30,136
13,10,60
25,8,17
27,15,13
19,13,1267
10,22,45
5,8,635
10,7,52
23,22,178
25,19,59
16,17,380
11,17,753
13,25,577
21,0,12
10,26,622
6,31,565
15,17,63
0,27,153
17,7,16
14,24,771
22,2,22
28,11,2
29,9,32
24,31,3084
30,3,92
25,0,4
22,17,74
27,31,1229
23,25,1326
21,23,1245
28,0,274
18,15,66
11,21,876
29,29,1731
4,6,5
5,25,706
31,5,302
16,12,12
11,14,8
26,13,149
23,3,16
13,26,6
31,9,84
21,21,68
26,10,250
11,25,192
6,17,598
13,14,26
29,15,327
17,5,124
16,21,1975
21,1,13
16,9,98
14,25,6450
3,24,216
22,14,1609
18,19,21
0,28,4240
27,7,19
30,19,280
20,31,22
17,12,46
8,4,146
2,19,11
21,15,5
22,15,37
31,29,4198
18,6,96
22,13,208
14,8,25
6,13,105
20,30,1045
13,29,6
27,21,50
30,27,203
12,9,251
29,10,383
8,25,3
12,19,202
31,15,304
24,20,129
27,6,52
19,14,120
27,28,22
12,26,25
22,28,2502
11,12,54
13,2,113
8,3,2
9,10,78
13,28,12
18,1,830
27,13,137
12,7,130
18,24,246
19,0,15
21,19,65
18,3,74
22,7,459
18,7,72
22,31,1156
5,26,23
20,27,2891
12,11,792
22,29,1394
4,13,13141
26,22,63
8,6,474
24,12,1090
4,11,30
8,29,142
10,23,5
13,31,42
6,8,4
5,24,171
1,14,6333
3,27,17
7,17,486
5,3,11
6,4,304
6,5,1
8,1,115
14,13,191
31,24,233
8,10,110
13,12,32
29,30,2065
1,29,918
22,11,154
19,3,269
18,8,324
2,27,1309
7,19,133
16,22,94
22,16,198
5,1,7
13,11,653
2,22,11
28,12,5
25,15,320
19,29,295
25,28,1036
0,0,26
15,5,53
