x,y,clc
18,71,31
19,63,24
19,64,24
19,70,26
19,71,24
19,72,27
19,73,27
20,63,27
20,64,24
20,65,27
20,66,27
20,67,27
20,68,24
20,69,24
20,70,24
20,71,24
20,72,20
20,73,20
20,74,27
20,75,27
21,64,24
21,65,27
21,66,27
21,67,27
21,68,2
21,69,20
21,70,24
21,71,20
21,72,20
21,73,20
21,74,20
21,75,27
21,76,27
22,66,1
22,67,1
22,68,30
22,69,2
22,70,20
22,71,20
22,72,20
22,73,20
22,74,20
22,75,20
22,76,27
22,77,27
23,69,30
23,70,2
23,71,20
23,72,20
23,73,29
23,74,29
23,75,25
23,76,20
23,77,27
23,78,27
24,70,29
24,71,29
24,72,29
24,73,29
24,74,29
24,75,29
24,76,20
24,77,23
24,78,27
24,79,27
24,97,26
24,98,26
24,99,26
25,69,24
25,70,29
25,71,29
25,72,29
25,73,29
25,74,29
25,75,29
25,76,25
25,77,25
25,78,20
25,79,27
25,89,20
25,90,27
25,91,27
25,92,27
25,93,27
25,94,27
25,96,27
25,97,27
25,99,26
26,70,29
26,71,29
26,72,29
26,73,29
26,74,29
26,75,29
26,76,25
26,77,20
26,78,20
26,79,20
26,80,25
26,81,25
26,82,26
26,89,20
26,90,20
26,91,20
26,92,27
26,93,27
26,94,20
26,95,20
26,96,27
27,69,29
27,70,29
27,71,29
27,72,29
27,73,29
27,74,29
27,75,29
27,76,25
27,77,25
27,78,25
27,79,25
27,80,25
27,81,25
27,82,25
27,83,26
27,84,27
27,88,30
27,89,20
27,90,20
27,91,20
27,92,25
27,93,25
27,94,20
27,95,20
28,72,2
28,73,20
28,74,25
28,75,25
28,76,25
28,77,25
28,78,25
28,79,25
28,80,25
28,81,25
28,82,25
28,83,20
28,84,25
28,85,25
28,86,20
28,87,27
28,88,27
28,89,25
28,90,25
28,91,25
28,92,25
28,93,25
28,94,25
28,95,21
28,96,27
29,72,24
29,73,25
29,74,25
29,75,25
29,76,24
29,77,24
29,78,24
29,79,24
29,80,20
29,81,25
29,82,25
29,83,20
29,84,20
29,85,20
29,86,20
29,87,25
29,88,25
29,89,25
29,90,25
29,91,25
29,92,25
29,93,25
29,94,25
29,95,21
29,96,27
30,72,24
30,73,27
30,74,29
30,75,25
30,76,25
30,77,24
30,78,24
30,79,24
30,80,20
30,81,25
30,82,25
30,83,25
30,84,25
30,85,25
30,86,25
30,87,25
30,88,25
30,89,20
30,90,20
30,91,20
30,92,25
30,93,25
30,94,25
30,95,25
30,96,27
30,97,27
31,68,20
31,69,24
31,70,24
31,71,20
31,72,20
31,73,24
31,74,27
31,75,27
31,76,25
31,77,25
31,78,20
31,79,20
31,80,25
31,81,25
31,82,25
31,83,25
31,84,25
31,85,25
31,86,24
31,87,24
31,88,25
31,89,20
31,90,20
31,91,20
31,92,25
31,93,25
31,94,25
31,95,25
31,96,20
31,97,27
31,98,27
32,65,27
32,66,24
32,67,24
32,68,24
32,69,24
32,70,24
32,71,24
32,72,24
32,73,24
32,74,24
32,75,29
32,76,29
32,77,29
32,78,25
32,79,25
32,80,25
32,81,25
32,82,25
32,83,25
32,84,25
32,85,24
32,86,24
32,87,20
32,88,25
32,89,25
32,90,25
32,91,25
32,92,25
32,93,25
32,94,20
32,95,20
32,96,23
32,97,27
32,98,27
32,99,23
32,100,23
33,65,27
33,66,24
33,67,24
33,68,24
33,69,24
33,70,24
33,71,24
33,72,24
33,73,24
33,74,24
33,75,24
33,76,29
33,77,27
33,78,27
33,79,25
33,80,25
33,81,25
33,82,25
33,83,25
33,84,20
33,85,24
33,86,24
33,87,20
33,88,25
33,89,25
33,90,25
33,91,25
33,92,25
33,93,25
33,94,25
33,95,20
33,96,20
33,97,27
33,98,21
33,99,21
33,100,21
33,101,21
33,102,27
33,103,27
33,104,27
34,37,27
34,38,27
34,64,27
34,65,24
34,66,24
34,67,24
34,68,24
34,69,21
34,70,21
34,71,1
34,72,24
34,73,27
34,74,24
34,75,24
34,76,25
34,77,29
34,78,27
34,79,25
34,80,25
34,81,25
34,82,25
34,83,25
34,84,20
34,85,24
34,86,25
34,87,25
34,88,25
34,89,25
34,90,25
34,91,25
34,92,25
34,93,25
34,94,25
34,95,25
34,96,20
34,97,25
34,98,25
34,99,21
34,100,23
34,101,21
34,102,27
34,103,27
34,104,27
35,37,27
35,38,2
35,66,24
35,68,24
35,70,1
35,71,1
35,72,1
35,73,24
35,74,24
35,75,24
35,76,25
35,77,29
35,78,29
35,79,25
35,80,25
35,81,25
35,82,25
35,83,20
35,84,20
35,85,24
35,86,25
35,87,25
35,88,25
35,89,25
35,90,20
35,91,20
35,92,25
35,93,25
35,94,25
35,95,25
35,96,25
35,97,25
35,98,25
35,99,25
35,100,27
35,101,27
35,102,27
35,103,27
36,32,27
36,33,27
36,34,27
36,35,27
36,36,27
36,37,27
36,72,1
36,73,1
36,74,2
36,75,2
36,76,20
36,77,20
36,78,20
36,79,20
36,80,25
36,81,25
36,82,25
36,83,20
36,84,25
36,85,25
36,86,25
36,87,25
36,88,25
36,89,25
36,90,20
36,91,25
36,92,25
36,93,25
36,94,25
36,95,25
36,96,25
36,97,29
36,98,29
36,99,25
36,100,27
36,101,27
36,102,21
36,103,21
37,30,21
37,31,20
37,32,27
37,33,27
37,34,27
37,35,27
37,36,27
37,37,2
37,38,20
37,71,1
37,72,25
37,73,25
37,74,25
37,75,27
37,76,20
37,77,20
37,78,20
37,79,20
37,80,20
37,81,25
37,82,20
37,83,20
37,84,25
37,85,25
37,86,25
37,87,25
37,88,20
37,89,25
37,90,25
37,91,25
37,92,27
37,93,25
37,94,25
37,95,25
37,96,25
37,97,29
37,98,25
37,99,25
37,100,25
37,101,25
37,102,25
37,103,21
38,28,30
38,29,32
38,30,21
38,31,29
38,32,27
38,33,27
38,34,27
38,35,27
38,36,27
38,37,27
38,38,20
38,51,27
38,66,25
38,67,25
38,68,23
38,69,23
38,70,23
38,71,21
38,72,25
38,73,25
38,74,25
38,75,27
38,76,25
38,77,25
38,78,25
38,79,20
38,80,20
38,81,20
38,82,20
38,83,20
38,84,25
38,85,25
38,86,25
38,87,20
38,88,20
38,89,25
38,90,25
38,91,25
38,92,25
38,93,25
38,94,25
38,95,25
38,96,25
38,97,25
38,98,25
38,99,25
38,100,25
38,101,25
38,102,25
38,103,27
39,27,27
39,28,32
39,29,32
39,30,29
39,31,29
39,32,29
39,33,27
39,34,29
39,35,29
39,36,27
39,37,27
39,38,20
39,48,27
39,49,27
39,50,27
39,51,27
39,52,27
39,53,25
39,54,24
39,55,24
39,63,32
39,64,32
39,65,25
39,66,25
39,67,20
39,68,23
39,69,23
39,70,21
39,71,21
39,72,25
39,73,25
39,74,25
39,75,27
39,76,27
39,77,25
39,78,25
39,79,20
39,80,20
39,81,20
39,82,20
39,83,20
39,84,25
39,85,25
39,86,25
39,87,25
39,88,25
39,89,25
39,90,25
39,91,25
39,92,25
39,93,25
39,94,25
39,95,25
39,96,25
39,97,25
39,98,25
39,99,25
39,100,20
39,101,20
39,102,24
39,103,24
39,104,27
39,105,27
39,106,27
40,25,27
40,26,27
40,27,27
40,28,23
40,29,27
40,30,27
40,31,27
40,32,27
40,33,29
40,34,29
40,35,29
40,36,27
40,37,27
40,38,27
40,48,32
40,49,32
40,50,27
40,51,27
40,52,32
40,53,32
40,54,32
40,55,32
40,56,25
40,58,27
40,62,25
40,63,29
40,64,29
40,65,32
40,66,27
40,67,27
40,68,23
40,69,23
40,70,23
40,71,21
40,72,25
40,73,27
40,74,27
40,75,27
40,76,27
40,77,27
40,78,25
40,79,25
40,80,29
40,81,29
40,82,25
40,83,20
40,84,24
40,85,24
40,86,20
40,87,20
40,88,25
40,89,25
40,90,25
40,91,25
40,92,25
40,93,25
40,94,25
