x,y,Ind,Men,Men_1ind,Men_5ind,Men_coll,Men_fmp,Men_mais,Men_pauv,Men_prop,Men_surf,imputed
0,26,5,2.5,0.8,0,0.2,0,2.3,0.4,2,303.8,2
0,66,10,3.8,0.3,0,0,0.7,3.8,0,3.8,544.2,2
0,67,12,4.6,0.4,0,0,0.8,4.6,0,4.6,652.9,2
0,68,19,7,1.1,0.5,0,0,7,1.6,6.4,940.9,1
0,80,44,16.1,2.7,1.6,0.3,2.3,15.8,0.5,14.4,1896.2,3
0,81,23,8.5,1.9,1,0.3,0.7,8.2,0,8.2,1082,4
0,82,16,5.9,1.4,0.7,0.1,0.5,5.8,0,5.8,752.7,2
0,83,4,1.3,0.2,0.2,0,0.1,1.3,0,0.9,163.7,1
0,89,112,44.7,11,3.1,1,7,43.7,4.4,30,4792.8,2
0,90,165.5,97,60,3,22,7,75,20,31,6852.1,0
0,91,4,1.9,0.6,0,0.5,0.4,1.4,0.1,0.9,213.3,1
0,92,4,1.9,0.6,0,0.5,0.4,1.4,0.1,0.9,213.3,1
0,93,6,2.1,0.2,0.2,0,0.1,2.1,0.1,2,232.9,1
0,94,59,24.6,4.9,0.6,0,1.5,24.6,1.5,23.3,2565.6,2
0,95,20.5,7.8,1.3,0.6,0,0.1,7.8,0.1,7.1,963.1,2
0,96,5,1.9,0.4,0.2,0,0,1.9,0,1.8,248.1,1
0,100,8,3,0.5,0.4,0,0.1,3,0.1,2.6,325.4,1
0,102,36,13.4,2.3,1.6,0,0.3,13.4,0.3,11.7,1464.3,3
0,103,30.5,13,3.4,0,2.8,2.8,10.2,2.8,8.2,1480.5,2
0,118,1,0.4,0.1,0,0,0,0.4,0,0.3,40.8,1
0,125,65.5,25.1,5.3,1.1,2,2.1,23.1,0.1,20.1,2913.2,1
0,142,74,25.4,6,4.2,5.4,2.9,20,4.4,15.7,2929.6,3
0,143,25,12,4,0,2,2,10,1,10,1142,2
0,146,1,0.4,0.1,0,0,0,0.4,0,0.4,46,1
