x,y,population
3440000,2350000,2543
3755000,2385000,330
3745000,2875000,13926
3105000,1730000,0
5205000,2380000,70
5045000,5250000,74
4365000,2895000,3679
4390000,4115000,1122
4225000,4080000,6
5625000,1675000,51
3405000,2845000,796
5495000,1690000,2307
3500000,3775000,176
5130000,3275000,938
5290000,4335000,1151
3650000,3410000,186
4805000,2400000,383
3475000,3905000,368
5285000,4550000,81
3305000,2205000,0
5265000,4615000,22
5195000,4690000,57
3585000,2835000,2257
4995000,2400000,7019
5220000,3835000,227
4990000,3515000,864
2970000,2120000,25
2795000,2050000,1307
5240000,2985000,83
4870000,3205000,8684
4145000,4085000,3
4655000,3320000,919
5140000,2780000,93
3315000,1730000,22
3555000,3140000,2853
4570000,5070000,34
4920000,2685000,1069
3270000,2265000,59
4280000,2755000,710
4435000,4110000,196
4830000,2110000,162
5650000,2650000,1089
2870000,2175000,256
3405000,3845000,3770
3515000,2925000,756
4870000,2885000,962
3945000,3055000,2968
4240000,1935000,22
4715000,2095000,1660
4365000,3325000,781
4345000,4230000,67
2720000,1970000,183
5570000,1470000,346
4910000,3165000,894
4420000,2825000,775
5060000,4315000,217
4715000,3760000,29
5200000,3950000,31
4725000,4740000,0
4895000,2635000,865
4405000,3605000,878
5160000,2135000,13
5140000,3630000,192
5095000,2335000,162
5450000,1710000,3925
5105000,3115000,281
5315000,2340000,76
4750000,3210000,835
5590000,2570000,6000
5720000,1835000,389
2845000,1990000,36
3575000,2690000,1042
4445000,3540000,383
5710000,2280000,17
2825000,2320000,831
4795000,2025000,35
4020000,3345000,1334
5020000,1910000,4639
3100000,3565000,511
3220000,2025000,100
5460000,2675000,27
3460000,2485000,24
4710000,4880000,0
2700000,1855000,176
3500000,3350000,5843
4405000,4015000,22
4615000,3215000,1171
4830000,1845000,4287
5545000,1790000,1472
3695000,2670000,563
5255000,2840000,998
5000000,2910000,2796
5755000,2460000,45
2875000,4855000,19
5120000,4365000,21
3455000,2885000,1110
4930000,3080000,1349
4360000,2370000,2127
4390000,2820000,3947
5090000,2895000,2541
2990000,2065000,619
4735000,4715000,8
4270000,2150000,892
5580000,2850000,4867
3680000,2245000,1758
5315000,1990000,263
3225000,2060000,298
5700000,2275000,415
4860000,2470000,180
5715000,2460000,124
4470000,2555000,170
3065000,4995000,0
3615000,3390000,32909
5225000,2775000,1151
3040000,3345000,7910
4715000,2750000,1835
4590000,2615000,1560
5135000,3495000,417
5115000,1970000,2
4500000,2145000,295
4610000,3160000,313
4935000,4360000,25
5605000,2785000,1673
4265000,3415000,0
3550000,2060000,447
4935000,2435000,865
5165000,3380000,803
3940000,2745000,46
4545000,2915000,675
3280000,3680000,818
4735000,2795000,5402
5305000,2420000,221
4295000,4495000,32
5695000,2330000,333
5170000,3625000,241
5755000,1480000,351
5150000,2065000,3261
4555000,4725000,5
4545000,5090000,44
2910000,1715000,0
5230000,3410000,151
4750000,5235000,0
4060000,2975000,1746
4570000,3380000,359
5255000,2555000,8
2840000,2075000,2212
3245000,1615000,714
4575000,3800000,95
4880000,2900000,2465
4830000,2405000,30
4150000,2360000,2303
4590000,3360000,574
3625000,2675000,63
5270000,3110000,504
4940000,2405000,476
4510000,2660000,117
5105000,4025000,107
5320000,4510000,50
4425000,3360000,4294
4760000,1575000,1754
4965000,2465000,22
4880000,1975000,29536
3975000,3040000,1114
5450000,2535000,838
4900000,3090000,2247
3345000,2275000,1064
3645000,3395000,301
4755000,2475000,222
3585000,2105000,80
5030000,2410000,2759
4115000,2730000,6823
4390000,3580000,12637
5095000,3880000,208
3975000,2390000,88
4545000,3140000,3693
4570000,5075000,6
4650000,3410000,322
4830000,1945000,3
3660000,2435000,252
4245000,4230000,69
3200000,2245000,285
5630000,2610000,4293
3200000,3360000,1974
3605000,2345000,758
4875000,3510000,108126
4440000,3500000,149
5045000,3475000,608
5335000,2530000,313
4775000,4155000,334
4685000,4080000,254
5230000,3585000,1156
5185000,2960000,957
4570000,4950000,82
4550000,3180000,1395
4545000,3015000,0
4595000,3750000,107
4385000,4290000,76
4340000,3405000,2081
3265000,3565000,4000
3380000,3810000,154
3280000,2025000,3
4480000,4220000,0
5390000,3880000,109
2765000,1930000,0
4460000,3545000,0
4470000,2585000,719
2940000,3425000,41
3280000,2850000,4932
4485000,3125000,2793
5210000,4060000,267
4435000,3535000,794
3080000,2005000,60
4350000,2895000,1388
3925000,2415000,4650
2770000,2150000,5442
2815000,2290000,1715
3235000,2125000,32
4435000,2150000,746
4490000,3340000,603
4070000,3050000,5083
4140000,2935000,2702
4910000,3230000,959
4930000,4540000,2
5295000,2320000,2955
4250000,3950000,326
4680000,3100000,2094
5095000,2365000,162
4870000,4640000,3
5110000,3760000,7970
3965000,2800000,350
5215000,3980000,10
4845000,2435000,1092
4375000,4105000,4695
4665000,2000000,3068
4395000,3065000,593
4040000,3085000,23655
3375000,2855000,894
5320000,4385000,33
5605000,1510000,14
5255000,4030000,5
4650000,1635000,34
3870000,2935000,848
5000000,4810000,20
4260000,1815000,0
5140000,2400000,895
4560000,2855000,2226
4940000,4480000,59
3570000,3480000,4816
5050000,4165000,120
5180000,4930000,6
4970000,3475000,383
3155000,2150000,372
3265000,3675000,8095
4585000,2630000,72
1110000,2550000,375
4520000,3415000,543
4295000,4370000,12
3560000,2300000,272
3120000,2285000,78
3475000,3935000,54
4670000,2155000,25359
2710000,2030000,4119
4795000,4665000,366
3685000,2940000,1224
2795000,2075000,167
5360000,1695000,837
5040000,4640000,0
3425000,1855000,225
4955000,3085000,124
4785000,2380000,49
3715000,3015000,1778
4825000,2615000,1654
2885000,2385000,244
3875000,2495000,18609
5210000,4880000,6
3205000,2070000,134
2935000,2395000,11
2830000,4940000,0
3125000,1755000,296
5050000,4400000,50
5185000,2890000,1405
4995000,4420000,4
3075000,1710000,155
4475000,3455000,826
4785000,3055000,1691
3270000,2240000,8
4970000,2585000,1182
3620000,2950000,1315
2870000,2390000,50
5265000,3590000,230
4605000,3695000,165
3515000,2865000,399
4875000,1965000,43
5095000,2390000,266
4495000,3685000,18558
4685000,4385000,107
4255000,2350000,7
4450000,4265000,1
5030000,2915000,237
4370000,2240000,1001
5425000,2500000,764
3900000,2560000,1931
5115000,4605000,41
4510000,2095000,3279
4480000,2960000,1761
4935000,2610000,230
4230000,3910000,284
5135000,2265000,0
4325000,4540000,75
4130000,3920000,64
4200000,1915000,1
4480000,4775000,46
5385000,2635000,860
3580000,3450000,1338
4715000,2045000,764
5040000,3155000,1019
5090000,3670000,208
4860000,2850000,1648
4025000,3025000,2284
3725000,1890000,1958
4575000,2570000,730
3065000,2325000,119
4360000,2290000,6155
3920000,2985000,1114
4890000,1940000,9088
4645000,4125000,31
2840000,2360000,1018
3000000,2215000,12
4560000,2595000,3
2700000,1790000,168
2770000,2425000,104
5170000,3800000,709
4820000,4055000,5
5370000,4550000,49
3995000,2925000,700
5565000,2155000,669
4380000,3125000,667
3770000,2585000,596
5555000,2560000,5157
4805000,2565000,1308
3350000,2255000,141
4175000,4390000,108
4015000,2480000,50
4090000,3935000,55
3345000,1940000,1250
4620000,4405000,0
4200000,4050000,25
3665000,2685000,574
4080000,4260000,27
3935000,2305000,798
4570000,3980000,200
3155000,1845000,5237
