ALTITUDE,x,y,LON,LAT,IDELEMENT,IDGRID,AREA,value
6.0000000000,5562500.0000000000,4804200.0000000000,36.1400352805,64.2181316350,1170159.0000000000,"1170159",174.7329669534,1.0000000000
13.0000000000,6687500.0000000000,854200.0000000000,33.7737679863,27.3769629765,1012204.0000000000,"1012204",118.4453982989,4.0000000000
17.0000000000,6712500.0000000000,904200.0000000000,34.1359345858,27.7462816370,1014205.0000000000,"1014205",178.8618989477,7.0000000000
20.0000000000,6662500.0000000000,904200.0000000000,33.6514262877,27.8840114964,1014203.0000000000,"1014203",58.8306767570,2.0000000000
17.0000000000,6662500.0000000000,929200.0000000000,33.7116826480,28.1032038813,1015203.0000000000,"1015203",336.4670461434,12.0000000000
5.0000000000,6737500.0000000000,1004200.0000000000,34.6278582772,28.5496884206,1018206.0000000000,"1018206",91.9979122763,8.0000000000
58.0000000000,4787500.0000000000,1054200.0000000000,14.8896647862,32.3685342473,1020128.0000000000,"1020128",486.4090637526,10.0000000000
98.0000000000,4712500.0000000000,1079200.0000000000,14.1164876786,32.6362769146,1021125.0000000000,"1021125",526.7387469378,27.0000000000
18.0000000000,4612500.0000000000,1104200.0000000000,13.0748168333,32.9066557109,1022121.0000000000,"1022121",186.5218299646,23.0000000000
112.0000000000,6737500.0000000000,1104200.0000000000,34.8862332973,29.4200820346,1022206.0000000000,"1022206",203.6928469373,9.0000000000
50.0000000000,5962500.0000000000,1104200.0000000000,27.1210081428,31.3093581262,1022175.0000000000,"1022175",510.0580684396,11.0000000000
32.0000000000,6037500.0000000000,1104200.0000000000,27.8844538732,31.1566735850,1022178.0000000000,"1022178",315.4441777699,7.0000000000
5.0000000000,6137500.0000000000,1104200.0000000000,28.8986706980,30.9429049141,1022182.0000000000,"1022182",181.2946806457,6.0000000000
59.0000000000,5637500.0000000000,1129200.0000000000,23.8262664665,32.1193961147,1023162.0000000000,"1023162",374.6572458553,15.0000000000
26.0000000000,5562500.0000000000,1154200.0000000000,23.0867394761,32.4621624573,1024159.0000000000,"1024159",378.7711729548,15.0000000000
18.0000000000,4362500.0000000000,1179200.0000000000,10.4417802533,33.6431540918,1025111.0000000000,"1025111",375.1907759482,2.0000000000
415.0000000000,5462500.0000000000,1179200.0000000000,22.0800415354,32.8344836955,1025155.0000000000,"1025155",522.2950160849,19.0000000000
5.0000000000,6237500.0000000000,1179200.0000000000,30.0736770966,31.3804553041,1025186.0000000000,"1025186",50.1068572060,8.0000000000
319.0000000000,6662500.0000000000,1229200.0000000000,34.4745221720,30.7197602398,1027203.0000000000,"1027203",624.9574792278,12.0000000000
7.0000000000,6512500.0000000000,1229200.0000000000,32.9717660324,31.1322513713,1027197.0000000000,"1027197",258.0029287736,7.0000000000
