ALTITUDE,x,y,LON,LAT,IDELEMENT,IDGRID,AREA,value
48.0000000000,4362500.0000000000,1279200.0000000000,10.4470983194,34.5554492866,1029111.0000000000,"1029111",500.0405401750,2.0000000000
82.0000000000,6637500.0000000000,1279200.0000000000,34.3584086623,31.2243402044,1029202.0000000000,"1029202",501.1726327932,12.0000000000
33.0000000000,4387500.0000000000,1304200.0000000000,10.7186041382,34.7816125519,1030112.0000000000,"1030112",530.6047275059,2.0000000000
41.0000000000,4412500.0000000000,1354200.0000000000,10.9948145756,35.2346028079,1032113.0000000000,"1032113",510.8911413730,2.0000000000
369.0000000000,6687500.0000000000,1354200.0000000000,35.0673789228,31.7301639945,1032204.0000000000,"1032204",575.8777627812,11.0000000000
11.0000000000,4412500.0000000000,1379200.0000000000,10.9978951279,35.4622408345,1033113.0000000000,"1033113",415.6644481928,14.0000000000
19.0000000000,4387500.0000000000,1404200.0000000000,10.7275202711,35.6923516399,1034112.0000000000,"1034112",537.4859650230,2.0000000000
250.0000000000,3137500.0000000000,1454200.0000000000,-2.9363435072,35.2457848292,1036062.0000000000,"1036062",314.2621436907,4.0000000000
736.0000000000,3587500.0000000000,1529200.0000000000,1.8705465362,36.4795670692,1039080.0000000000,"1039080",550.4752486041,2.0000000000
47.0000000000,4412500.0000000000,1529200.0000000000,11.0169846398,36.8265600343,1039113.0000000000,"1039113",417.0907337796,1.0000000000
142.0000000000,3862500.0000000000,1554200.0000000000,4.8931073180,36.9207813689,1040091.0000000000,"1040091",114.3290022130,8.0000000000
144.0000000000,4337500.0000000000,1579200.0000000000,10.1845895545,37.2861397015,1041110.0000000000,"1041110",105.0330185860,2.0000000000
43.0000000000,6637500.0000000000,1779200.0000000000,35.8240186615,35.5262976344,1049202.0000000000,"1049202",320.6280355947,22.0000000000
272.0000000000,5162500.0000000000,1929200.0000000000,19.8283073481,39.9657573501,1055143.0000000000,"1055143",157.9081917817,5.0000000000
88.0000000000,5112500.0000000000,1979200.0000000000,19.3145609856,40.4712238324,1057141.0000000000,"1057141",93.7193723889,3.0000000000
8.0000000000,5112500.0000000000,2079200.0000000000,19.4493074224,41.3678972774,1061141.0000000000,"1061141",291.1527104153,2.0000000000
12.0000000000,5837500.0000000000,2679200.0000000000,29.6015351922,45.4139303229,1085170.0000000000,"1085170",552.6898556336,5.0000000000
138.0000000000,6162500.0000000000,2679200.0000000000,33.5843104198,44.5738142951,1085183.0000000000,"1085183",466.3651987713,5.0000000000
16.0000000000,6062500.0000000000,2829200.0000000000,32.9215430018,46.1287060615,1091179.0000000000,"1091179",368.6581156951,12.0000000000
4.0000000000,5962500.0000000000,2829200.0000000000,31.6715877315,46.3962728174,1091175.0000000000,"1091175",78.9937685369,3.0000000000
42.0000000000,5937500.0000000000,2854200.0000000000,31.4470751051,46.6753138525,1092174.0000000000,"1092174",414.5110556671,3.0000000000
39.0000000000,6362500.0000000000,2854200.0000000000,36.7097314786,45.4491618728,1092191.0000000000,"1092191",123.8808161110,8.0000000000
17.0000000000,6212500.0000000000,2879200.0000000000,34.9791732459,46.1220369084,1093185.0000000000,"1093185",111.3360338851,6.0000000000
16.0000000000,6237500.0000000000,2904200.0000000000,35.3921423782,46.2570910556,1094186.0000000000,"1094186",54.1916858263,7.0000000000
43.0000000000,6312500.0000000000,2979200.0000000000,36.6449785163,46.6516290888,1097189.0000000000,"1097189",36.2162179699,4.0000000000
322.0000000000,7387500.0000000000,4154200.0000000000,57.5275685912,50.9818719954,1144232.0000000000,"1144232",504.0547035208,9.0000000000
3.0000000000,5487500.0000000000,4829200.0000000000,34.8933601947,64.6682942681,1171156.0000000000,"1171156",320.4585023258,1.0000000000
9.0000000000,5462500.0000000000,4854200.0000000000,34.6004771339,64.9557512990,1172155.0000000000,"1172155",543.9657139657,1.0000000000
3.0000000000,5487500.0000000000,4854200.0000000000,35.0925238744,64.8768910304,1172156.0000000000,"1172156",80.2175557574,1.0000000000
21.0000000000,5637500.0000000000,4854200.0000000000,37.9880301639,64.3732698004,1172162.0000000000,"1172162",461.3083048265,1.0000000000
20.0000000000,5462500.0000000000,4879200.0000000000,34.7999713124,65.1647565519,1173155.0000000000,"1173155",123.4287046097,1.0000000000
16.0000000000,5437500.0000000000,4954200.0000000000,34.9121337568,65.8702717384,1176154.0000000000,"1176154",148.8655104057,1.0000000000
24.0000000000,5312500.0000000000,5004200.0000000000,32.7211866114,66.6714092051,1178149.0000000000,"1178149",544.8071895534,1.0000000000
69.0000000000,5262500.0000000000,5029200.0000000000,31.8468889040,67.0267464951,1179147.0000000000,"1179147",601.4370181685,2.0000000000
100.0000000000,5287500.0000000000,5054200.0000000000,32.5858875691,67.1677294837,1180148.0000000000,"1180148",485.5953218245,2.0000000000
129.0000000000,5462500.0000000000,5254200.0000000000,38.2635465291,68.2634910607,1188155.0000000000,"1188155",602.4413925961,1.0000000000
35.0000000000,5462500.0000000000,5279200.0000000000,38.5307288719,68.4672112559,1189155.0000000000,"1189155",59.6369451760,1.0000000000
33.0000000000,5737500.0000000000,5404200.0000000000,45.9274724256,68.3284947132,1194166.0000000000,"1194166",429.6076523946,1.0000000000
14.0000000000,5987500.0000000000,5579200.0000000000,53.4749592732,68.3685824860,1201176.0000000000,"1201176",420.3721443635,11.0000000000
351.0000000000,3412500.0000000000,779200.0000000000,0.7842420808,29.4938244069,1009073.0000000000,"1009073",625.0000000000,5.0000000000
347.0000000000,3437500.0000000000,779200.0000000000,1.0363183801,29.5202295024,1009074.0000000000,"1009074",625.0000000000,6.0000000000
6.0000000000,5962500.0000000000,5629200.0000000000,53.7902187188,68.8493552145,1203175.0000000000,"1203175",362.9918990347,16.0000000000
3.0000000000,6037500.0000000000,5604200.0000000000,54.8250285513,68.2693790126,1202178.0000000000,"1202178",266.8989255359,18.0000000000
348.0000000000,3462500.0000000000,779200.0000000000,1.2885203931,29.5459046223,1009075.0000000000,"1009075",625.0000000000,3.0000000000
388.0000000000,3487500.0000000000,779200.0000000000,1.5408447972,29.5708492012,1009076.0000000000,"1009076",625.0000000000,6.0000000000
453.0000000000,3512500.0000000000,779200.0000000000,1.7932882503,29.5950626885,1009077.0000000000,"1009077",625.0000000000,5.0000000000
433.0000000000,3537500.0000000000,779200.0000000000,2.0458473909,29.6185445486,1009078.0000000000,"1009078",625.0000000000,3.0000000000
488.0000000000,3562500.0000000000,779200.0000000000,2.2985188388,29.6412942611,1009079.0000000000,"1009079",625.0000000000,4.0000000000
447.0000000000,3587500.0000000000,779200.0000000000,2.5512991956,29.6633113207,1009080.0000000000,"1009080",625.0000000000,4.0000000000
422.0000000000,3612500.0000000000,779200.0000000000,2.8041850452,29.6845952374,1009081.0000000000,"1009081",625.0000000000,3.0000000000
402.0000000000,3637500.0000000000,779200.0000000000,3.0571729544,29.7051455367,1009082.0000000000,"1009082",625.0000000000,3.0000000000
355.0000000000,3662500.0000000000,779200.0000000000,3.3102594733,29.7249617595,1009083.0000000000,"1009083",625.0000000000,3.0000000000
84.0000000000,5212500.0000000000,5304200.0000000000,33.0505010419,69.5062341111,1190145.0000000000,"1190145",155.6780008347,2.0000000000
305.0000000000,3687500.0000000000,779200.0000000000,3.5634411359,29.7440434625,1009084.0000000000,"1009084",625.0000000000,3.0000000000
57.0000000000,5287500.0000000000,1079200.0000000000,20.1279207248,32.1571639291,1021148.0000000000,"1021148",383.7825055121,9.0000000000
306.0000000000,3712500.0000000000,779200.0000000000,3.8167144608,29.7623902180,1009085.0000000000,"1009085",625.0000000000,3.0000000000
306.0000000000,3737500.0000000000,779200.0000000000,4.0700759516,29.7800016140,1009086.0000000000,"1009086",625.0000000000,3.0000000000
288.0000000000,3762500.0000000000,779200.0000000000,4.3235220973,29.7968772545,1009087.0000000000,"1009087",625.0000000000,3.0000000000
301.0000000000,3787500.0000000000,779200.0000000000,4.5770493733,29.8130167595,1009088.0000000000,"1009088",625.0000000000,5.0000000000
303.0000000000,3812500.0000000000,779200.0000000000,4.8306542414,29.8284197651,1009089.0000000000,"1009089",625.0000000000,5.0000000000
303.0000000000,3837500.0000000000,779200.0000000000,5.0843331508,29.8430859233,1009090.0000000000,"1009090",625.0000000000,5.0000000000
304.0000000000,3862500.0000000000,779200.0000000000,5.3380825387,29.8570149026,1009091.0000000000,"1009091",625.0000000000,9.0000000000
304.0000000000,3887500.0000000000,779200.0000000000,5.5918988304,29.8702063875,1009092.0000000000,"1009092",625.0000000000,9.0000000000
304.0000000000,3912500.0000000000,779200.0000000000,5.8457784404,29.8826600790,1009093.0000000000,"1009093",625.0000000000,9.0000000000
251.0000000000,3937500.0000000000,779200.0000000000,6.0997177726,29.8943756946,1009094.0000000000,"1009094",625.0000000000,9.0000000000
240.0000000000,3962500.0000000000,779200.0000000000,6.3537132213,29.9053529680,1009095.0000000000,"1009095",625.0000000000,9.0000000000
241.0000000000,3987500.0000000000,779200.0000000000,6.6077611712,29.9155916496,1009096.0000000000,"1009096",625.0000000000,9.0000000000
245.0000000000,4012500.0000000000,779200.0000000000,6.8618579987,29.9250915065,1009097.0000000000,"1009097",625.0000000000,9.0000000000
246.0000000000,4037500.0000000000,779200.0000000000,7.1160000718,29.9338523221,1009098.0000000000,"1009098",625.0000000000,9.0000000000
257.0000000000,4062500.0000000000,779200.0000000000,7.3701837512,29.9418738968,1009099.0000000000,"1009099",625.0000000000,9.0000000000
258.0000000000,4087500.0000000000,779200.0000000000,7.6244053907,29.9491560476,1009100.0000000000,"1009100",625.0000000000,12.0000000000
262.0000000000,4112500.0000000000,779200.0000000000,7.8786613377,29.9556986081,1009101.0000000000,"1009101",625.0000000000,9.0000000000
292.0000000000,4137500.0000000000,779200.0000000000,8.1329479340,29.9615014290,1009102.0000000000,"1009102",625.0000000000,11.0000000000
301.0000000000,4162500.0000000000,779200.0000000000,8.3872615164,29.9665643775,1009103.0000000000,"1009103",625.0000000000,11.0000000000
304.0000000000,4187500.0000000000,779200.0000000000,8.6415984171,29.9708873380,1009104.0000000000,"1009104",625.0000000000,14.0000000000
309.0000000000,4212500.0000000000,779200.0000000000,8.8959549645,29.9744702115,1009105.0000000000,"1009105",625.0000000000,12.0000000000
322.0000000000,4237500.0000000000,779200.0000000000,9.1503274837,29.9773129160,1009106.0000000000,"1009106",625.0000000000,12.0000000000
320.0000000000,4262500.0000000000,779200.0000000000,9.4047122972,29.9794153865,1009107.0000000000,"1009107",625.0000000000,12.0000000000
327.0000000000,4287500.0000000000,779200.0000000000,9.6591057253,29.9807775748,1009108.0000000000,"1009108",625.0000000000,12.0000000000
342.0000000000,4312500.0000000000,779200.0000000000,9.9135040872,29.9813994497,1009109.0000000000,"1009109",625.0000000000,12.0000000000
338.0000000000,4337500.0000000000,779200.0000000000,10.1679037010,29.9812809971,1009110.0000000000,"1009110",625.0000000000,9.0000000000
384.0000000000,4362500.0000000000,779200.0000000000,10.4223008847,29.9804222195,1009111.0000000000,"1009111",625.0000000000,9.0000000000
512.0000000000,4387500.0000000000,779200.0000000000,10.6766919566,29.9788231367,1009112.0000000000,"1009112",625.0000000000,7.0000000000
561.0000000000,4412500.0000000000,779200.0000000000,10.9310732362,29.9764837852,1009113.0000000000,"1009113",625.0000000000,7.0000000000
582.0000000000,4437500.0000000000,779200.0000000000,11.1854410444,29.9734042188,1009114.0000000000,"1009114",625.0000000000,2.0000000000
590.0000000000,4462500.0000000000,779200.0000000000,11.4397917045,29.9695845077,1009115.0000000000,"1009115",625.0000000000,12.0000000000
611.0000000000,4487500.0000000000,779200.0000000000,11.6941215427,29.9650247395,1009116.0000000000,"1009116",625.0000000000,10.0000000000
619.0000000000,4512500.0000000000,779200.0000000000,11.9484268884,29.9597250184,1009117.0000000000,"1009117",625.0000000000,13.0000000000
619.0000000000,4537500.0000000000,779200.0000000000,12.2027040753,29.9536854656,1009118.0000000000,"1009118",625.0000000000,22.0000000000
620.0000000000,4562500.0000000000,779200.0000000000,12.4569494416,29.9469062191,1009119.0000000000,"1009119",625.0000000000,24.0000000000
618.0000000000,4587500.0000000000,779200.0000000000,12.7111593309,29.9393874338,1009120.0000000000,"1009120",625.0000000000,24.0000000000
606.0000000000,4612500.0000000000,779200.0000000000,12.9653300927,29.9311292813,1009121.0000000000,"1009121",625.0000000000,24.0000000000
597.0000000000,4637500.0000000000,779200.0000000000,13.2194580828,29.9221319500,1009122.0000000000,"1009122",625.0000000000,16.0000000000
573.0000000000,4662500.0000000000,779200.0000000000,13.4735396643,29.9123956448,1009123.0000000000,"1009123",625.0000000000,14.0000000000
535.0000000000,4687500.0000000000,779200.0000000000,13.7275712077,29.9019205877,1009124.0000000000,"1009124",625.0000000000,25.0000000000
493.0000000000,4712500.0000000000,779200.0000000000,13.9815490920,29.8907070168,1009125.0000000000,"1009125",625.0000000000,22.0000000000
377.0000000000,4737500.0000000000,779200.0000000000,14.2354697049,29.8787551872,1009126.0000000000,"1009126",625.0000000000,21.0000000000
414.0000000000,4762500.0000000000,779200.0000000000,14.4893294438,29.8660653703,1009127.0000000000,"1009127",625.0000000000,20.0000000000
357.0000000000,4787500.0000000000,779200.0000000000,14.7431247159,29.8526378538,1009128.0000000000,"1009128",625.0000000000,18.0000000000
395.0000000000,4812500.0000000000,779200.0000000000,14.9968519391,29.8384729422,1009129.0000000000,"1009129",625.0000000000,18.0000000000
15.0000000000,6087500.0000000000,5879200.0000000000,60.6089398186,69.7722471508,1213180.0000000000,"1213180",331.1205250080,5.0000000000
302.0000000000,4837500.0000000000,779200.0000000000,15.2505075424,29.8235709560,1009130.0000000000,"1009130",625.0000000000,18.0000000000
199.0000000000,4862500.0000000000,779200.0000000000,15.5040879667,29.8079322320,1009131.0000000000,"1009131",625.0000000000,13.0000000000
211.0000000000,4887500.0000000000,779200.0000000000,15.7575896653,29.7915571232,1009132.0000000000,"1009132",625.0000000000,13.0000000000
253.0000000000,4912500.0000000000,779200.0000000000,16.0110091043,29.7744459988,1009133.0000000000,"1009133",625.0000000000,13.0000000000
402.0000000000,4937500.0000000000,779200.0000000000,16.2643427633,29.7565992439,1009134.0000000000,"1009134",625.0000000000,12.0000000000
351.0000000000,4962500.0000000000,779200.0000000000,16.5175871360,29.7380172597,1009135.0000000000,"1009135",625.0000000000,12.0000000000
327.0000000000,4987500.0000000000,779200.0000000000,16.7707387307,29.7187004631,1009136.0000000000,"1009136",625.0000000000,12.0000000000
272.0000000000,5012500.0000000000,779200.0000000000,17.0237940708,29.6986492868,1009137.0000000000,"1009137",625.0000000000,12.0000000000
234.0000000000,5037500.0000000000,779200.0000000000,17.2767496954,29.6778641792,1009138.0000000000,"1009138",625.0000000000,11.0000000000
269.0000000000,5062500.0000000000,779200.0000000000,17.5296021601,29.6563456044,1009139.0000000000,"1009139",625.0000000000,12.0000000000
307.0000000000,5087500.0000000000,779200.0000000000,17.7823480369,29.6340940419,1009140.0000000000,"1009140",625.0000000000,12.0000000000
283.0000000000,5112500.0000000000,779200.0000000000,18.0349839153,29.6111099864,1009141.0000000000,"1009141",625.0000000000,13.0000000000
305.0000000000,5137500.0000000000,779200.0000000000,18.2875064028,29.5873939483,1009142.0000000000,"1009142",625.0000000000,13.0000000000
234.0000000000,5162500.0000000000,779200.0000000000,18.5399121250,29.5629464527,1009143.0000000000,"1009143",625.0000000000,11.0000000000
170.0000000000,5187500.0000000000,779200.0000000000,18.7921977267,29.5377680400,1009144.0000000000,"1009144",625.0000000000,11.0000000000
152.0000000000,5212500.0000000000,779200.0000000000,19.0443598718,29.5118592657,1009145.0000000000,"1009145",625.0000000000,2.0000000000
128.0000000000,5237500.0000000000,779200.0000000000,19.2963952443,29.4852206999,1009146.0000000000,"1009146",625.0000000000,4.0000000000
116.0000000000,5262500.0000000000,779200.0000000000,19.5483005486,29.4578529274,1009147.0000000000,"1009147",625.0000000000,4.0000000000
61.0000000000,5287500.0000000000,779200.0000000000,19.8000725099,29.4297565477,1009148.0000000000,"1009148",625.0000000000,4.0000000000
51.0000000000,5312500.0000000000,779200.0000000000,20.0517078750,29.4009321748,1009149.0000000000,"1009149",625.0000000000,5.0000000000
47.0000000000,5337500.0000000000,779200.0000000000,20.3032034124,29.3713804370,1009150.0000000000,"1009150",625.0000000000,5.0000000000
49.0000000000,5362500.0000000000,779200.0000000000,20.5545559130,29.3411019766,1009151.0000000000,"1009151",625.0000000000,6.0000000000
462.0000000000,2937500.0000000000,779200.0000000000,-3.9770639219,28.8542887627,1009054.0000000000,"1009054",625.0000000000,2.0000000000
459.0000000000,2962500.0000000000,779200.0000000000,-3.7279776635,28.8944371246,1009055.0000000000,"1009055",625.0000000000,2.0000000000
441.0000000000,2987500.0000000000,779200.0000000000,-3.4787069493,28.9338689055,1009056.0000000000,"1009056",625.0000000000,2.0000000000
430.0000000000,3012500.0000000000,779200.0000000000,-3.2292546380,28.9725832829,1009057.0000000000,"1009057",625.0000000000,2.0000000000
402.0000000000,3037500.0000000000,779200.0000000000,-2.9796236166,29.0105794467,1009058.0000000000,"1009058",625.0000000000,2.0000000000
383.0000000000,3062500.0000000000,779200.0000000000,-2.7298168000,29.0478565990,1009059.0000000000,"1009059",625.0000000000,2.0000000000
468.0000000000,3087500.0000000000,779200.0000000000,-2.4798371304,29.0844139544,1009060.0000000000,"1009060",625.0000000000,2.0000000000
476.0000000000,3112500.0000000000,779200.0000000000,-2.2296875771,29.1202507403,1009061.0000000000,"1009061",625.0000000000,2.0000000000
444.0000000000,3137500.0000000000,779200.0000000000,-1.9793711360,29.1553661966,1009062.0000000000,"1009062",625.0000000000,2.0000000000
407.0000000000,3162500.0000000000,779200.0000000000,-1.7288908294,29.1897595764,1009063.0000000000,"1009063",625.0000000000,3.0000000000
379.0000000000,3187500.0000000000,779200.0000000000,-1.4782497051,29.2234301459,1009064.0000000000,"1009064",625.0000000000,3.0000000000
300.0000000000,3212500.0000000000,779200.0000000000,-1.2274508365,29.2563771845,1009065.0000000000,"1009065",625.0000000000,4.0000000000
363.0000000000,3237500.0000000000,779200.0000000000,-0.9764973219,29.2885999851,1009066.0000000000,"1009066",625.0000000000,4.0000000000
350.0000000000,3262500.0000000000,779200.0000000000,-0.7253922841,29.3200978541,1009067.0000000000,"1009067",625.0000000000,4.0000000000
326.0000000000,3287500.0000000000,779200.0000000000,-0.4741388698,29.3508701116,1009068.0000000000,"1009068",625.0000000000,5.0000000000
158.0000000000,2187500.0000000000,779200.0000000000,-11.3509483828,27.3211563573,1009024.0000000000,"1009024",625.0000000000,11.0000000000
255.0000000000,2212500.0000000000,779200.0000000000,-11.1085717009,27.3823665537,1009025.0000000000,"1009025",625.0000000000,9.0000000000
317.0000000000,2237500.0000000000,779200.0000000000,-10.8659395006,27.4428896195,1009026.0000000000,"1009026",625.0000000000,13.0000000000
389.0000000000,2262500.0000000000,779200.0000000000,-10.6230536545,27.5027244513,1009027.0000000000,"1009027",625.0000000000,9.0000000000
447.0000000000,2287500.0000000000,779200.0000000000,-10.3799160715,27.5618699521,1009028.0000000000,"1009028",625.0000000000,7.0000000000
501.0000000000,2312500.0000000000,779200.0000000000,-10.1365286961,27.6203250319,1009029.0000000000,"1009029",625.0000000000,7.0000000000
524.0000000000,2337500.0000000000,779200.0000000000,-9.8928935090,27.6780886076,1009030.0000000000,"1009030",625.0000000000,7.0000000000
499.0000000000,2362500.0000000000,779200.0000000000,-9.6490125262,27.7351596032,1009031.0000000000,"1009031",625.0000000000,8.0000000000
482.0000000000,2387500.0000000000,779200.0000000000,-9.4048877995,27.7915369501,1009032.0000000000,"1009032",625.0000000000,4.0000000000
473.0000000000,2412500.0000000000,779200.0000000000,-9.1605214158,27.8472195873,1009033.0000000000,"1009033",625.0000000000,4.0000000000
474.0000000000,2437500.0000000000,779200.0000000000,-8.9159154970,27.9022064616,1009034.0000000000,"1009034",625.0000000000,4.0000000000
340.0000000000,3312500.0000000000,779200.0000000000,-0.2227402497,29.3809160915,1009069.0000000000,"1009069",625.0000000000,5.0000000000
316.0000000000,3337500.0000000000,779200.0000000000,0.0288003828,29.4102351418,1009070.0000000000,"1009070",625.0000000000,5.0000000000
337.0000000000,3362500.0000000000,779200.0000000000,0.2804798113,29.4388266246,1009071.0000000000,"1009071",625.0000000000,5.0000000000
358.0000000000,3387500.0000000000,779200.0000000000,0.5322947974,29.4666899160,1009072.0000000000,"1009072",625.0000000000,5.0000000000
467.0000000000,2462500.0000000000,779200.0000000000,-8.6710722000,27.9564965276,1009035.0000000000,"1009035",624.6185166320,5.0000000000
455.0000000000,2487500.0000000000,779200.0000000000,-8.4259937165,28.0100887484,1009036.0000000000,"1009036",625.0000000000,5.0000000000
448.0000000000,2512500.0000000000,779200.0000000000,-8.1806822724,28.0629820950,1009037.0000000000,"1009037",625.0000000000,5.0000000000
439.0000000000,2537500.0000000000,779200.0000000000,-7.9351401282,28.1151755473,1009038.0000000000,"1009038",625.0000000000,9.0000000000
137.0000000000,3362500.0000000000,1479200.0000000000,-0.5353322739,35.7809991414,1037071.0000000000,"1037071",334.4842921134,20.0000000000
453.0000000000,2562500.0000000000,779200.0000000000,-7.6893695781,28.1666680939,1009039.0000000000,"1009039",625.0000000000,9.0000000000
439.0000000000,2587500.0000000000,779200.0000000000,-7.4433729503,28.2174587321,1009040.0000000000,"1009040",625.0000000000,10.0000000000
419.0000000000,2612500.0000000000,779200.0000000000,-7.1971526064,28.2675464686,1009041.0000000000,"1009041",625.0000000000,10.0000000000
428.0000000000,2637500.0000000000,779200.0000000000,-6.9507109414,28.3169303193,1009042.0000000000,"1009042",625.0000000000,10.0000000000
99.0000000000,5187500.0000000000,5304200.0000000000,32.4533177490,69.5800274426,1190144.0000000000,"1190144",397.8596312018,2.0000000000
451.0000000000,2662500.0000000000,779200.0000000000,-6.7040503833,28.3656093096,1009043.0000000000,"1009043",625.0000000000,10.0000000000
454.0000000000,2687500.0000000000,779200.0000000000,-6.4571733928,28.4135824746,1009044.0000000000,"1009044",625.0000000000,10.0000000000
450.0000000000,2712500.0000000000,779200.0000000000,-6.2100824631,28.4608488593,1009045.0000000000,"1009045",625.0000000000,10.0000000000
437.0000000000,2737500.0000000000,779200.0000000000,-5.9627801197,28.5074075189,1009046.0000000000,"1009046",625.0000000000,10.0000000000
509.0000000000,2912500.0000000000,779200.0000000000,-4.2259628941,28.8134246542,1009053.0000000000,"1009053",625.0000000000,2.0000000000
47.0000000000,5387500.0000000000,779200.0000000000,20.8057621906,29.3100974503,1009152.0000000000,"1009152",625.0000000000,12.0000000000
43.0000000000,5412500.0000000000,779200.0000000000,21.0568190823,29.2783675286,1009153.0000000000,"1009153",625.0000000000,12.0000000000
26.0000000000,5437500.0000000000,779200.0000000000,21.3077234488,29.2459128957,1009154.0000000000,"1009154",625.0000000000,12.0000000000
31.0000000000,5462500.0000000000,779200.0000000000,21.5584721751,29.2127342496,1009155.0000000000,"1009155",625.0000000000,12.0000000000
33.0000000000,5487500.0000000000,779200.0000000000,21.8090621709,29.1788323017,1009156.0000000000,"1009156",625.0000000000,12.0000000000
54.0000000000,5512500.0000000000,779200.0000000000,22.0594903710,29.1442077770,1009157.0000000000,"1009157",625.0000000000,15.0000000000
82.0000000000,5537500.0000000000,779200.0000000000,22.3097537355,29.1088614133,1009158.0000000000,"1009158",625.0000000000,14.0000000000
93.0000000000,5562500.0000000000,779200.0000000000,22.5598492507,29.0727939619,1009159.0000000000,"1009159",625.0000000000,13.0000000000
103.0000000000,5587500.0000000000,779200.0000000000,22.8097739291,29.0360061868,1009160.0000000000,"1009160",625.0000000000,13.0000000000
104.0000000000,5612500.0000000000,779200.0000000000,23.0595248101,28.9984988648,1009161.0000000000,"1009161",625.0000000000,22.0000000000
96.0000000000,5637500.0000000000,779200.0000000000,23.3090989601,28.9602727852,1009162.0000000000,"1009162",625.0000000000,24.0000000000
86.0000000000,5662500.0000000000,779200.0000000000,23.5584934730,28.9213287499,1009163.0000000000,"1009163",625.0000000000,24.0000000000
91.0000000000,5687500.0000000000,779200.0000000000,23.8077054711,28.8816675731,1009164.0000000000,"1009164",625.0000000000,24.0000000000
99.0000000000,5712500.0000000000,779200.0000000000,24.0567321044,28.8412900809,1009165.0000000000,"1009165",625.0000000000,24.0000000000
23.0000000000,6037500.0000000000,5854200.0000000000,59.1928095721,69.9173143979,1212178.0000000000,"1212178",372.6073489133,7.0000000000
169.0000000000,5737500.0000000000,779200.0000000000,24.3055705521,28.8001971116,1009166.0000000000,"1009166",625.0000000000,28.0000000000
145.0000000000,5762500.0000000000,779200.0000000000,24.5542180222,28.7583895151,1009167.0000000000,"1009167",625.0000000000,28.0000000000
142.0000000000,5787500.0000000000,779200.0000000000,24.8026717521,28.7158681530,1009168.0000000000,"1009168",625.0000000000,28.0000000000
108.0000000000,5812500.0000000000,779200.0000000000,25.0509290093,28.6726338984,1009169.0000000000,"1009169",625.0000000000,29.0000000000
107.0000000000,5837500.0000000000,779200.0000000000,25.2989870911,28.6286876355,1009170.0000000000,"1009170",625.0000000000,29.0000000000
108.0000000000,5862500.0000000000,779200.0000000000,25.5468433252,28.5840302597,1009171.0000000000,"1009171",625.0000000000,29.0000000000
