x,y,population
5240000,2550000,1155
3560000,2310000,2022
2840000,2410000,10298
4720000,4050000,7693
4350000,2290000,59705
4810000,1890000,6264
4410000,4090000,242
4520000,2190000,4471
4590000,4470000,23
4740000,4760000,11
4330000,3340000,9340
5550000,2700000,1686
4580000,5000000,821
3570000,3440000,61371
5580000,2710000,9139
3870000,2450000,3611
4370000,2670000,11096
4060000,4270000,364
5270000,1680000,482
4320000,3400000,48335
4250000,3280000,4607
4540000,2660000,41
5350000,2590000,3
2970000,2260000,190
4540000,2740000,119551
4610000,2020000,12514
4510000,2920000,6136
4050000,4310000,863
4800000,4970000,14
4710000,4640000,28
4850000,4600000,454
4040000,4210000,200
5110000,2820000,3418
3840000,2800000,1134
3590000,2730000,9767
4210000,3280000,7959
3530000,3570000,162
4280000,2710000,92
4720000,4550000,9
4390000,2440000,11663
3310000,1680000,14324
4640000,5170000,128
4430000,3560000,21716
3050000,1730000,18024
4700000,3100000,2723
3390000,2270000,805
3960000,3080000,32180
3160000,2220000,1344
4410000,3340000,2685
5180000,2350000,43994
4890000,2600000,3415
4110000,4060000,4561
4740000,2710000,3052
4580000,4580000,13
3670000,2090000,82806
4450000,3560000,2047
3240000,1950000,296
4960000,1990000,26687
5270000,4070000,856
5020000,5160000,2
3200000,2350000,38096
4280000,3650000,3177
3580000,3420000,28444
3670000,2550000,1578
4080000,3120000,138929
5070000,3460000,491
5210000,2170000,4282
3520000,3160000,28596
4890000,2260000,10248
3500000,2120000,1326
5530000,2640000,7919
3700000,2930000,4747
4620000,4700000,28
2800000,2010000,796
5000000,4980000,209
4710000,4510000,83
3080000,1900000,1078
5290000,4090000,285
4670000,4390000,123
5530000,2150000,137
4020000,2560000,41775
3910000,2560000,25763
5580000,2420000,1756
5290000,3860000,1114
4100000,2530000,14
3330000,4000000,10
4260000,2710000,29356
5370000,1900000,1219
3530000,2090000,2191
4080000,2920000,45150
5480000,2020000,794
4890000,3460000,7669
4510000,3610000,204075
4630000,2170000,12255
4550000,1620000,46008
4810000,4130000,392
4660000,4880000,21
5390000,3760000,210
4260000,1900000,8329
4200000,3000000,52465
4790000,2350000,291
4380000,4360000,67
3860000,2350000,1303
3630000,2330000,14062
4440000,3810000,14461
5520000,2860000,16750
4080000,4020000,443
3470000,2800000,5660
5130000,2430000,8090
4110000,3170000,81654
3610000,3400000,10856
5290000,4660000,1
5390000,1810000,107
5140000,4230000,54593
5000000,5170000,824
4150000,3030000,57795
5540000,2590000,6390
4530000,3430000,1982
3330000,2900000,3153
4660000,4430000,61
2780000,2290000,22692
5220000,3260000,4183
4220000,4430000,246
4880000,1880000,8816
3670000,2850000,7298
5010000,3020000,18410
4610000,5130000,22
4590000,2590000,488
4420000,2860000,10577
4220000,2780000,21418
3380000,1940000,62
4200000,2520000,12375
5440000,2350000,1128
3760000,2160000,117
4250000,4340000,38
5260000,2560000,2613
2690000,2000000,11819
4940000,3290000,4731
3570000,3850000,11598
4730000,1640000,60
3350000,2790000,3336
4290000,3570000,6753
5060000,2340000,8503
4510000,2520000,31045
5000000,4390000,227
3310000,1810000,99
4980000,2650000,3615
4690000,4830000,17
4900000,4980000,132
3670000,2960000,274296
3900000,2650000,3530
3360000,3140000,8766
5430000,2130000,4286
3750000,2650000,2228
5120000,4410000,558
4790000,4120000,270
4520000,5100000,209
4300000,3170000,7310
4500000,3300000,4332
3560000,3150000,10845
4540000,2610000,4
4210000,2980000,62747
4180000,2640000,25350
4400000,4240000,15
5410000,2350000,2260
4380000,2370000,12832
4400000,2890000,15707
3350000,3820000,241
4160000,2570000,9109
4950000,2950000,6334
