x,y,population
6400000,1600000,758520
4600000,4300000,114773
4500000,3600000,987367
4700000,3300000,527095
5200000,1900000,222240
3000000,2300000,578665
2700000,4800000,3395
3900000,3100000,5064091
5600000,2700000,855102
4500000,2100000,1127827
2900000,5000000,4447
4700000,4600000,19096
4300000,1900000,1430
5000000,2400000,1017305
2600000,1900000,3037506
2700000,2000000,882353
5000000,2300000,263939
1900000,900000,103133
5200000,3200000,360193
5200000,3000000,481811
4300000,4100000,349616
4100000,4100000,36053
1700000,900000,123127
3800000,2800000,748503
1200000,2500000,52911
4200000,3100000,1741328
5100000,2100000,642143
5200000,2400000,387694
5100000,2600000,893577
3900000,2200000,2368886
3500000,3300000,7424267
5000000,2800000,703009
2800000,5000000,3911
4600000,2800000,959141
4700000,4000000,2413777
3300000,2700000,201498
4900000,5400000,1011
3500000,3600000,960756
4700000,3100000,1122187
4400000,2400000,2857010
4700000,4800000,4443
5000000,5000000,7524
4900000,3200000,1722346
3800000,2700000,319413
4300000,4400000,301479
3000000,3600000,41130
5600000,2800000,633396
4500000,2700000,1237184
3900000,2300000,897310
2900000,1700000,1568893
6300000,1600000,100363
3900000,2900000,436558
4200000,2800000,4975198
4500000,1300000,5912
4900000,3300000,977783
3700000,1900000,14929
3000000,1600000,1428850
4400000,2800000,1626556
2800000,1700000,702042
3100000,3500000,318630
3500000,2400000,706552
4500000,3000000,1656076
4100000,3800000,67101
4800000,3900000,478
4200000,4300000,25798
4600000,5100000,108151
4700000,4200000,20997
5000000,3600000,353368
3700000,2700000,721569
2900000,2400000,128803
4900000,5100000,404
4600000,2100000,1119347
3500000,3200000,3571589
5800000,2600000,14123
5100000,2500000,931535
4300000,4000000,1831215
5300000,3700000,179511
4700000,5100000,8000
900000,2700000,4092
5300000,3800000,135365
5400000,1700000,337891
3100000,4700000,2156
3100000,2000000,6711639
4700000,3500000,166584
4900000,4500000,125053
3500000,2600000,681953
4600000,2000000,1275268
4800000,4500000,138342
4500000,2500000,1406651
5300000,4500000,110646
3400000,3800000,41341
3200000,2800000,317499
4300000,3700000,463349
4400000,4300000,5246
4600000,2700000,751416
4600000,5200000,4218
3200000,2000000,186907
3200000,4900000,1044
4200000,2900000,4269814
5100000,4000000,131460
4900000,2700000,1538258
2800000,2100000,607805
3300000,2000000,46424
3700000,2400000,240924
4000000,2500000,1953175
5000000,2200000,176668
3200000,3700000,14305
5600000,1900000,16555
4900000,2400000,799759
4400000,4600000,10096
3100000,3300000,224523
4600000,3900000,449036
3800000,3000000,3862255
3000000,4900000,20998
4600000,2300000,7637
3700000,2600000,425557
3700000,2100000,742594
3800000,1900000,2016
