x,y,population
3660000,4160000,149
4680000,2560000,36945
4960000,3100000,186452
4200000,4300000,195
5040000,4160000,2150
4720000,4920000,9
5280000,2320000,208431
5140000,4260000,12940
4620000,3220000,30571
4620000,2980000,167423
5580000,1460000,1071
3280000,1680000,18081
3480000,1980000,6250
2620000,1740000,19
3000000,2360000,2809
4180000,3220000,130927
4320000,4320000,1016
5000000,4140000,349
4880000,3040000,34024
3280000,2300000,56257
4620000,4680000,186
5080000,5320000,93
4000000,3080000,239555
4300000,3200000,53624
4060000,3120000,423363
4820000,4940000,171
3640000,2460000,8984
3740000,3260000,22949
3240000,1960000,1381
5240000,2780000,14261
3420000,3340000,22121
5140000,3020000,90857
5020000,4140000,51
4380000,4080000,40419
4800000,4640000,67
5740000,1760000,6382
5300000,3880000,3570
5180000,2240000,20728
3660000,2840000,15269
3360000,3120000,199295
4660000,3800000,1944
2980000,1780000,4
5200000,4240000,9214
5060000,2280000,24732
4340000,3140000,46094
4720000,3920000,307
2880000,5080000,0
5120000,3180000,19978
4180000,4260000,766
3620000,2100000,58341
3320000,3960000,571
4100000,2340000,5534
3800000,2660000,46564
4240000,4180000,2314
4320000,3480000,11200
4540000,4080000,630
5260000,2180000,24634
3420000,1940000,2243
4300000,3240000,613953
3460000,3740000,113875
3020000,3480000,3372
4500000,4500000,157
5400000,2440000,267948
4520000,4440000,721
5120000,4500000,633
3480000,3780000,12078
5020000,5080000,268
4800000,4940000,4
3200000,2240000,3376
4980000,4860000,76
4040000,3160000,95614
4080000,4140000,2837
4720000,4160000,7725
4300000,2340000,35726
4420000,2800000,65939
4400000,2540000,173605
4520000,4400000,115
5620000,2380000,20439
4880000,2600000,14584
4240000,2360000,135200
4420000,2140000,18976
4200000,3580000,2584
4360000,2800000,51531
5100000,2760000,14700
3560000,4060000,3504
5480000,2180000,184
5080000,4840000,283
5520000,2800000,8083
5000000,2260000,7429
3280000,3280000,57559
4100000,3080000,1022144
4760000,3000000,56763
5240000,3620000,14421
5640000,2540000,14560
5120000,4060000,3021
5100000,3000000,66899
4620000,4420000,327
4400000,3500000,13925
3080000,3620000,3472
4300000,3800000,21419
2920000,5020000,0
4460000,4500000,49
4920000,5060000,84
3200000,1760000,3599
5260000,1780000,1596
5100000,4580000,4117
4560000,3260000,606533
4340000,3840000,8090
5060000,5220000,27
4500000,2440000,43836
4540000,4440000,23832
4500000,2360000,22967
4100000,3340000,74515
3020000,1880000,2397
5240000,1860000,7316
4280000,2500000,472492
4540000,3020000,37585
4140000,3860000,6
4740000,3300000,22709
3780000,3080000,82338
4760000,3080000,148129
3820000,2520000,7407
4700000,3900000,4312
4200000,3380000,6198
4080000,4020000,1748
4500000,3740000,8259
4520000,3400000,12661
4040000,2940000,174597
4480000,4560000,34
4260000,2600000,2928
5320000,3900000,10785
5300000,2540000,0
4280000,3480000,55355
5020000,4680000,1881
3020000,2100000,6614
3840000,2420000,3722
4260000,3700000,29236
4960000,2680000,19539
4300000,4320000,215
3680000,2660000,69290
2920000,4940000,0
4580000,3220000,7357
5800000,2420000,203
3640000,3420000,170936
4520000,4040000,6949
2860000,2380000,5525
4460000,4540000,5
4440000,4780000,1804
4480000,3640000,71770
3200000,1840000,2353
5260000,3740000,4101
4480000,2660000,495
3180000,1760000,426
4900000,2960000,89730
5060000,4020000,168
5380000,1640000,17708
4560000,1660000,20400
5180000,3400000,322280
5480000,2440000,12765
4280000,2700000,165904
5220000,3520000,19917
3200000,3620000,35520
5460000,2420000,20157
4440000,4680000,185
4700000,3020000,25747
3900000,2320000,247448
5040000,4020000,2908
5080000,3200000,214279
3560000,3560000,178549
3680000,2760000,35490
4820000,2680000,25470
3280000,1940000,1387
5180000,4260000,3562
4600000,4580000,295
5680000,2520000,9442
5260000,1840000,54682
3820000,1860000,3126
2820000,4940000,42
5280000,3960000,4864
5560000,2900000,20054
5320000,2820000,64720
4220000,3260000,20075
5300000,2060000,197
5700000,2680000,13644
4760000,1940000,20513
4040000,2840000,139822
3260000,1840000,2667
5420000,2420000,16037
3600000,2240000,6797
3640000,2840000,27037
5060000,4460000,550
5160000,3620000,6363
4040000,3080000,526642
2800000,2100000,30598
3160000,3620000,5247
1980000,980000,5811
5360000,4520000,1233
5120000,3640000,3314
4560000,4500000,328
4960000,5100000,6
4060000,3140000,166881
4620000,4480000,87
2740000,1760000,1621
3860000,2580000,13059
4220000,2820000,136036
4480000,3920000,5225
4380000,2400000,148094
4100000,2660000,156208
5000000,3880000,15
4800000,4920000,521
4820000,2380000,6719
3820000,2720000,10509
4520000,2600000,3521
3140000,4780000,0
4500000,3440000,18568
3000000,2300000,1666
4520000,2500000,87845
4140000,2480000,65057
5300000,4600000,8938
4940000,4220000,10019
4800000,2720000,21838
4440000,2840000,51323
4700000,5140000,1626
5000000,4340000,10329
2880000,1600000,33511
5180000,2780000,221035
3480000,3540000,45257
4540000,2660000,10431
4700000,2820000,12586
4060000,2300000,3518
4220000,4420000,2523
4240000,3720000,14218
3000000,1720000,10125
5420000,1580000,1806
4680000,3120000,50576
4280000,2420000,148411
5660000,2440000,21078
5120000,3220000,31191
4140000,2500000,17345
3520000,3880000,7294
5240000,3360000,2267
4820000,2460000,13977
5160000,4320000,17657
3760000,3320000,1246
4720000,4620000,9106
5080000,4880000,279
3680000,2380000,21616
5160000,1960000,13413
3560000,3460000,588456
3060000,2240000,2942
5540000,2400000,44077
3820000,2840000,30317
3060000,3400000,14712
4700000,3280000,15594
4220000,2640000,8072
5220000,3400000,9068
5120000,3160000,16786
5760000,1500000,10
5540000,1780000,21906
4460000,3280000,15504
4640000,3920000,133065
4740000,1580000,57322
5040000,3200000,18937
4480000,2280000,6115
1960000,980000,12319
3020000,3600000,3370
4260000,2980000,110570
3440000,2820000,92542
4980000,4840000,2172
5100000,5040000,24
4380000,2340000,30279
5540000,2660000,12299
4380000,4580000,11859
5240000,2860000,4259
5380000,3860000,5133
3700000,3160000,147915
3240000,1940000,1571
3200000,3340000,1318
5220000,2160000,146446
3500000,2040000,7606
4740000,1640000,34593
3520000,3780000,94708
4480000,3880000,13463
3000000,2140000,1749
5520000,2820000,32198
3420000,1820000,129854
4860000,5340000,24
4840000,2480000,2600
4580000,4580000,137
3200000,2180000,2174
3600000,2080000,17548
4320000,3660000,305777
5560000,2460000,16565
4020000,3180000,245895
4360000,3200000,25472
5260000,3840000,3744
4180000,4080000,0
4860000,4840000,31
3900000,2280000,70126
4100000,3900000,910
5000000,4600000,4376
3760000,2280000,34531
5020000,4320000,32367
6420000,1640000,31934
5600000,1700000,569
4460000,2220000,40430
4540000,4700000,7
5280000,4020000,114055
5620000,1720000,917
4660000,3220000,23910
5040000,4360000,2171
5560000,2780000,21523
4340000,2800000,72021
5160000,3140000,23436
5040000,4180000,4871
3540000,2220000,6116
3480000,2160000,3048
4440000,4360000,131
3960000,2540000,32130
5220000,2800000,15542
4560000,4240000,108
3440000,2780000,20953
4580000,2200000,8257
6360000,1620000,4136
5000000,2660000,21314
3880000,2540000,39230
5120000,2160000,4327
4040000,2620000,39956
4860000,2820000,54349
4360000,4280000,188
3720000,2880000,370349
5000000,4960000,98
3780000,2640000,8108
4600000,3840000,33212
5060000,2700000,32405
4280000,3960000,9592
4380000,3060000,60629
4960000,4920000,147
5100000,2960000,26649
5340000,3800000,9902
5020000,4380000,355
4840000,1800000,27310
3640000,2100000,87634
5080000,2120000,18372
5360000,4560000,312
5240000,4740000,83
5060000,3020000,98236
4300000,3380000,773844
4620000,5200000,0
3500000,3340000,659325
4080000,2580000,79072
4960000,5140000,47
5140000,2560000,21305
4500000,3420000,10632
5100000,3640000,6157
4800000,2080000,20073
3440000,3960000,33
3640000,3160000,204775
5120000,2040000,61927
5220000,2100000,43418
3660000,4180000,166
4120000,2300000,69774
3560000,2820000,14333
4580000,4380000,98
4280000,3800000,2
4200000,3060000,78488
3720000,2840000,31248
4500000,2980000,22798
3160000,1820000,501
3880000,3140000,63104
4640000,2800000,159797
5600000,2180000,11641
3020000,3420000,11927
4220000,4020000,1879
5320000,3840000,3149
4400000,3640000,3404
5020000,1920000,101525
5340000,2720000,323829
4180000,3300000,72846
4020000,2240000,22313
3160000,2280000,1247
3060000,1860000,1534
5160000,2840000,25244
4620000,4040000,7318
4420000,2440000,78200
5560000,2100000,13417
5200000,3060000,69042
3440000,3640000,6127
4780000,3420000,8949
3400000,2100000,13026
4980000,3460000,14667
3860000,2620000,16266
4720000,5180000,2847
4500000,3080000,106835
4620000,2860000,27022
4120000,3900000,8152
5240000,4100000,4649
5100000,4240000,4459
4660000,2920000,40203
3620000,2740000,106473
3280000,3720000,172
3680000,2540000,3598
4480000,4020000,8362
4840000,4700000,517
5420000,1860000,3528
5020000,4020000,335
5220000,4600000,1107
5220000,1860000,10609
2860000,1820000,14193
4320000,4280000,91
4920000,2740000,19785
4920000,2760000,72100
5060000,3060000,34730
5040000,3240000,24878
4340000,4500000,2417
4420000,3000000,38951
3220000,1800000,2241
3040000,3480000,7289
4280000,4060000,1882
5140000,3960000,439
2920000,2140000,2127
5640000,2300000,55471
3980000,2640000,17133
3800000,2840000,26448
3640000,2880000,23350
4520000,2120000,59241
5880000,1660000,25
5620000,2760000,15646
4220000,4100000,5
4000000,3300000,8404
4460000,3160000,60342
4580000,4140000,1656
4340000,3720000,196
5060000,2400000,16489
5240000,2480000,3225
5180000,2140000,13335
5020000,3440000,7900
3400000,2340000,49069
4560000,2660000,1012
5460000,2100000,8082
5180000,3260000,32895
3300000,1920000,889
3920000,3240000,51321
5220000,1740000,6801
3280000,2940000,7752
4480000,2580000,8136
5060000,4660000,293
4880000,4920000,106
5340000,4520000,2332
5160000,3640000,7442
4820000,2900000,40044
5320000,2160000,7760
3360000,3900000,736
3780000,2500000,41647
4720000,3500000,604
3980000,3220000,670097
4200000,2560000,3660
3020000,2080000,2701
1140000,2540000,2558
4320000,3140000,52771
5300000,1760000,9582
3580000,2880000,27479
2780000,2000000,4980
3200000,1700000,6514
2640000,1980000,36912
3960000,3340000,7563
3920000,2580000,82919
3480000,2220000,776
5580000,2300000,955
3300000,2120000,632
3880000,3060000,68902
3600000,2500000,12620
3200000,3640000,27925
4200000,3280000,74830
4720000,3960000,19496
2860000,1940000,2219
4640000,2100000,39675
3400000,1880000,215156
4660000,1620000,16393
4460000,2680000,24064
4580000,3740000,4734
3280000,1780000,28426
5680000,1440000,1486
5300000,4300000,75
4440000,3080000,53328
4720000,4520000,89
3660000,3440000,10864
5300000,2500000,4260
3020000,2020000,9707
5140000,2300000,1414
4760000,5220000,113
3560000,4020000,1636
4020000,2900000,140837
3560000,2260000,28775
4760000,4580000,354
3760000,2980000,26679
5200000,2740000,11898
6060000,1660000,492
4640000,4720000,5
5240000,3280000,7185
3240000,3580000,43213
4480000,3780000,3683
5560000,2700000,927
4280000,2160000,1381
3980000,3360000,1126
3060000,3320000,970
5600000,2500000,243945
2820000,2120000,35585
4500000,2100000,93230
5360000,2200000,38359
3540000,2540000,112635
4380000,4320000,0
5360000,3700000,1340
4460000,2460000,328809
4840000,3080000,36376
3660000,3200000,435949
4720000,4480000,1248
3120000,1900000,3350
3000000,3420000,14172
5540000,2520000,38257
4200000,3620000,6576
5480000,1640000,404
3440000,1820000,2207
5220000,2060000,52838
4140000,2880000,24790
4600000,1640000,17956
4060000,2780000,29025
5560000,1800000,2411
4200000,2160000,5257
5000000,4780000,296
5020000,4300000,1537
5720000,2600000,4478
3520000,3820000,49
5240000,4060000,2508
5340000,2100000,3329
4260000,3220000,83399
3320000,1800000,4457
4640000,4800000,50
4600000,2580000,332
4500000,5020000,1092
4780000,2640000,19265
5240000,3960000,1102
6360000,1580000,1910
5720000,2400000,15520
4260000,3340000,32540
5280000,3640000,4981
5000000,2640000,26045
3660000,2860000,14359
4100000,2360000,34143
5200000,3360000,32112
3300000,2820000,38154
3940000,2560000,80762
2760000,1740000,44095
3660000,2100000,45115
4200000,3100000,30953
4320000,2620000,2353
4480000,4720000,54
5100000,2340000,77259
4240000,3020000,71502
2800000,5100000,85
4140000,4360000,9600
4620000,3760000,2025
4440000,3260000,48838
3460000,3880000,1773
2740000,1920000,2051
5060000,4580000,4923
5080000,4580000,405
3540000,3240000,205404
2920000,1820000,10704
1760000,1040000,158
4520000,4840000,44
4440000,3780000,27184
3640000,2340000,9778
4920000,2520000,10767
4440000,3600000,116492
5080000,2840000,53163
3560000,3540000,113264
5180000,2460000,27634
5500000,2220000,101637
4360000,3260000,50315
4180000,4140000,0
4560000,4220000,13638
4260000,3100000,64475
4820000,1820000,2008
3300000,2300000,116872
3040000,2380000,280235
3520000,2580000,8865
5100000,3080000,37636
3500000,4020000,90
4240000,3740000,17377
2740000,2060000,18898
5400000,1680000,34009
5120000,3500000,25262
3580000,2740000,10174
4260000,3780000,315
2760000,2340000,22952
4500000,3640000,26804
4700000,3680000,21
5020000,4580000,2287
3940000,3000000,28922
5580000,2720000,31739
4500000,3820000,8192
4460000,5000000,8930
3640000,2420000,5989
3680000,2860000,25493
5040000,1880000,38
4560000,1600000,4682
4420000,4240000,794
3200000,4840000,2167
3480000,3700000,30506
3760000,3020000,24350
4560000,2600000,9472
4180000,4380000,2199
4800000,2480000,5175
5340000,3820000,6963
4980000,2600000,28579
5180000,3520000,13613
4980000,4280000,6031
5240000,3940000,2719
3460000,2960000,3119
4980000,5220000,0
3980000,3300000,45874
3260000,3620000,27521
4780000,3400000,10381
2720000,1800000,6451
4680000,2900000,35999
4820000,4900000,548
5120000,4080000,5881
5080000,2220000,859
5180000,2720000,10251
3720000,4200000,62
4260000,1940000,2581
4920000,2980000,187832
4680000,4340000,1148
4420000,4480000,13
4520000,4080000,2668
5320000,4460000,696
4740000,4100000,192014
4600000,5120000,388
2840000,1820000,1862
5240000,4020000,1220
4520000,4020000,57165
3320000,1680000,24746
3420000,3760000,1786
4720000,3720000,536
2640000,2020000,238
5560000,2580000,58256
4560000,1640000,23895
5360000,2420000,22655
4660000,2500000,2286
3500000,3780000,23578
4900000,2840000,32495
5340000,3940000,1348
2900000,1880000,8064
5020000,4740000,14928
3720000,2200000,186778
2760000,1980000,8322
4940000,2860000,23087
5440000,2540000,126346
5000000,3620000,2116
5240000,3560000,4732
4720000,4440000,4100
3860000,2520000,32842
4780000,3300000,45261
5080000,3760000,3385
3040000,4760000,0
3940000,2600000,13797
4400000,2620000,14144
5260000,1980000,8728
5040000,2180000,31528
4620000,3360000,258150
4900000,5280000,11
3900000,2960000,7166
2960000,2080000,3798
4860000,3180000,64096
5000000,2360000,9105
3340000,2200000,30107
5780000,2460000,2315
4120000,2780000,63385
4600000,2000000,322
3520000,2780000,19275
4800000,4660000,2200
5620000,2240000,17240
4520000,3340000,7973
5000000,5340000,553
4900000,5000000,31
4280000,4140000,926
3300000,3140000,40123
3420000,3420000,70808
3540000,3420000,168224
5080000,4340000,3102
2880000,1880000,42604
4740000,3280000,24184
3660000,2920000,44878
5420000,1920000,1052
4560000,3900000,8177
4460000,2420000,39921
5180000,2960000,11378
5280000,2600000,6923
2960000,4960000,0
5220000,2300000,11676
4520000,3020000,32062
4860000,2800000,81978
4560000,3480000,1684
4980000,2540000,22141
2900000,1640000,6826
5100000,2540000,39019
5580000,2180000,58931
4840000,2840000,10013
5560000,2720000,56610
5560000,2420000,12147
3460000,2980000,12313
3600000,2180000,1344
4560000,3580000,21470
3420000,3740000,11228
2980000,5060000,0
4640000,5100000,2404
3400000,2200000,1027
4580000,2680000,907
4840000,2380000,140
4320000,3240000,100389
4500000,2280000,13307
4320000,2420000,29911
2980000,2300000,13163
4740000,4960000,26
4140000,2700000,292325
3860000,3160000,107107
5100000,2160000,36790
5180000,3660000,6668
4480000,2360000,139120
5700000,1660000,373
2760000,2180000,621312
4520000,2780000,65894
3040000,3500000,5771
3500000,3180000,58477
4780000,5080000,2
5000000,3260000,31814
4860000,3520000,257839
5640000,2380000,44061
3780000,2340000,3174
5480000,2020000,6151
5880000,1540000,3337
5240000,4400000,878
5660000,2540000,14344
5200000,2040000,46990
4200000,3020000,64151
5060000,3200000,20204
4840000,1980000,5254
2780000,2040000,6358
5100000,4880000,71
5640000,2400000,40982
4000000,2660000,14069
3960000,2960000,15848
4980000,3340000,13631
4580000,3060000,117109
3780000,3120000,183184
4820000,1660000,34697
3740000,2420000,4667
2800000,2040000,3625
5060000,2240000,1679
4280000,1940000,23223
5700000,2700000,4168
3360000,1960000,1737
4740000,4720000,209
3220000,3380000,5839
5060000,4000000,2628
2940000,2180000,3916
5040000,4300000,18653
4620000,3100000,57865
3600000,2720000,94322
3420000,3320000,6864
5000000,3240000,71655
3600000,3360000,66860
2960000,1760000,17636
4940000,2780000,21781
5240000,4520000,1970
5180000,4480000,5319
5680000,1720000,3130
3400000,2080000,2092
3160000,3500000,13024
4840000,3000000,35166
5620000,2520000,10022
3540000,2900000,46260
3580000,2480000,74638
3720000,2440000,45831
4320000,3600000,9241
5080000,2240000,5167
4620000,4960000,3
3540000,3340000,157668
3120000,1920000,1058
4540000,4420000,3130
5320000,4580000,363
3860000,2780000,8450
2840000,1940000,8273
2740000,1880000,5289
4580000,3180000,13663
5000000,2960000,50777
5660000,2180000,8662
2900000,4860000,0
5620000,2600000,38424
4240000,2180000,57
3700000,2560000,11021
4580000,4760000,3
4180000,1840000,4097
3100000,1720000,12700
5060000,4300000,29534
4860000,3340000,15010
4880000,4900000,611
5440000,1920000,0
4200000,3120000,50395
4700000,5040000,4
4660000,4780000,786
4080000,4280000,799
3640000,3480000,45450
5220000,1720000,494
4340000,2920000,30860
4240000,3580000,25083
4120000,3380000,32098
3060000,2080000,3630
3180000,1920000,14930
5300000,4060000,2586
4620000,3240000,89809
5120000,4180000,19296
4520000,3160000,31729
4840000,5040000,18
2900000,2300000,6435
5060000,4640000,4804
3680000,2340000,100699
4420000,4760000,5433
3120000,2260000,1141
5260000,4360000,252
5140000,2080000,174312
3600000,3380000,146631
4980000,4220000,10733
4460000,5020000,136
4660000,2560000,260938
4080000,3960000,8755
5140000,2720000,3934
4280000,2940000,40907
4520000,4300000,543
4080000,3000000,30838
1680000,1020000,84951
