x,y,Ind,Men,Men_1ind,Men_5ind,Men_coll,Men_fmp,Men_mais,Men_pauv,Men_prop,Men_surf,imputed
0,5,5,1.8,0.3,0.1,0,0.1,1.8,0.2,1.4,154.4,1
0,6,6,2.1,0.4,0.2,0,0.2,2.1,0.3,1.7,185.3,1
0,7,18,6.3,1.1,0.4,0,0.4,6.3,0.9,5.2,556,1
0,8,14,4.9,0.9,0.4,0,0.4,4.9,0.7,4,432.4,1
0,9,37,15,7,2,3,0,12,4,12,1631,0
0,10,30,13,5,1,0,1,13,1,12,1593,0
0,11,7,2.7,0.8,0.4,0,0,2.7,0.2,2.3,291.2,1
0,12,1,0.4,0.1,0.1,0,0,0.4,0,0.3,41.6,1
0,33,2,0.9,0.3,0.1,0,0.1,0.9,0.1,0.8,105.2,1
0,34,7,3,0.3,0,0,0.1,3,0.1,2.6,299.6,1
0,35,2,0.9,0.1,0,0,0,0.9,0,0.7,85.6,1
0,49,21,8.5,1.9,0.8,0,1.1,8.5,2.4,6.6,896.9,1
0,50,3,1.2,0.3,0.1,0,0.2,1.2,0.3,0.9,128.1,1
0,54,2,0.9,0.3,0.1,0.1,0.1,0.8,0.1,0.7,90.1,1
0,55,6,2.7,1,0.2,0.3,0.2,2.4,0.3,2.2,270.3,1
0,56,33,16,5,0,0,3,16,5,8,1339,0
0,57,62.5,30,11,1,0,2,30,4,26,2827,0
0,58,6,2.7,1,0.2,0.3,0.2,2.4,0.3,2.2,270.3,1
0,59,3,1.8,0.8,0,0,0.1,1.8,0.2,0.8,148.5,1
0,60,28,14,4,0,0,0,14,2,11,1889,0
0,65,4,1.6,0.3,0.1,0,0.3,1.6,0.6,1.3,158.9,1
0,74,15,5,1.2,0.8,0,0,5,0.8,3.3,552.9,1
0,76,3,1,0.2,0.2,0,0,1,0.2,0.7,110.6,1
0,77,1,0.3,0.1,0.1,0,0,0.3,0.1,0.2,36.9,1
0,83,4,1.2,0,0.3,0,0,1.2,0.2,1.2,139.9,1
0,85,5,2,0.4,0.1,0,0.3,2,0.4,1.4,233.3,1
0,86,3,1.2,0.2,0.1,0,0.2,1.2,0.2,0.8,140,1
0,87,1,0.4,0.1,0,0,0.1,0.4,0.1,0.3,46.7,1
0,88,22,8.9,1.6,0.5,0,1.3,8.9,1.6,6.2,1026.5,1
