x,y,Ind,Ind_0_3,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_4_5,Ind_55_64,Ind_65_79,Ind_6_10,Ind_80p,Ind_inc,Ind_snv,Men,Men_pauv
88,110,3,0.1,0,0,0.8,0.3,0,0.8,0.4,0.3,0.3,0,55084.1,1.9,0.8
88,88,3,0.2,0.2,0,0.8,0.6,0,0.4,0.4,0.1,0.2,0.1,71027.2,1.4,0.2
88,118,1,0,0.1,0.1,0,0.2,0,0.1,0.3,0,0.1,0.1,20060.8,0.3,0.2
88,81,1,0,0,0,0.1,0.1,0,0.1,0.4,0,0.2,0.1,28975.9,0.5,0.1
88,82,9,0.2,0.4,0.4,0.7,1.7,0,0.8,2.8,0.4,1.4,0.2,239650.9,4.3,0.2
88,109,5,0.2,0,0,1.4,0.4,0,1.4,0.7,0.4,0.5,0,91806.8,3.2,1.4
88,83,45,0.3,0.1,2.1,3.1,5.8,1,7.5,20,0,4.6,0.5,1156261.1,23.2,4.8
88,94,3,0.2,0.2,0,0.8,0.6,0,0.4,0.4,0.1,0.2,0.1,71027.2,1.4,0.2
88,84,8,0.1,0.1,0.1,0.5,1.1,0,0.8,3.5,0,1.5,0.30000000000000004,231807.5,4.1,0.4
88,120,1,0,0.1,0.1,0,0.2,0,0.1,0.3,0,0.1,0.1,20060.8,0.3,0.2
89,127,2,0.1,0,0,0.5,0.2,0,0.5,0.3,0.2,0.2,0,36722.7,1.3,0.5
89,80,4,0,0.2,0,0.5,0.7,0.1,0.4,1.4,0.2,0.5,0,96759.7,2,0.3
89,81,15,0.5,0.8,0.8999999999999999,1.4000000000000001,3,0,1.4000000000000001,4.1,0.7,2.1,0.1,389355,7,0.1
89,82,63,1.5,3.7,3.8,5.300000000000001,10.8,0,13.299999999999999,19.8,0.7,4,0.1,1414533.8,30.5,6.1
89,83,3,0.1,0.2,0.2,0.3,0.6,0,0.3,0.8,0.1,0.4,0,77871,1.4,0
89,84,14,0.30000000000000004,0.2,0.2,1.1,1.8,0,1.5,6,0,2.5,0.4,405663,7.300000000000001,0.7
89,95,3,0.2,0.2,0,0.8,0.6,0,0.4,0.4,0.1,0.2,0.1,71027.2,1.4,0.2
110,88,24,0.2,1.2999999999999998,0.5,1.5,3.4,0,5.199999999999999,7.6,0.2,3.3,0.8,722431.6,12.2,0.7
110,89,63,0,2.2,1.5,3.4000000000000004,8.6,0,12.8,21.200000000000003,0.1,10.1,3.1,1917966.7000000002,28.200000000000003,0.4
110,111,18,0.9,0.6,0.3,1.4,4.6,0,3.4,3.7,1.1,1.1,0.9,379173.3,8.9,1.7
110,112,18,0.8,0.6000000000000001,0.4,1.4,4.6,0,3.5,3.5999999999999996,1.1,1.2000000000000002,0.8,379173.30000000005,9,1.7999999999999998
110,113,166.5,6.5,11.8,16.2,20.8,40.5,3,17.9,25.1,7.6,13.6,3.5,3465539.4,79.9,16
110,114,129.5,2,10,9,22,29,4,16,26,7.5,4,0,2802699.0999999996,63,7
110,90,252,2,18.7,15.600000000000001,31,55.9,4,33,67,4.199999999999999,17.2,3.4000000000000004,6472623.4,116.9,8.600000000000001
110,117,2,0.1,0.1,0.2,0.1,0.5,0,0.2,0.7,0,0.1,0,53853,0.8,0.1
