x,y,2018,2006,2011
88,45,8,0,8
88,46,186,213,175
88,47,344,487,344
88,48,18,16,20
88,49,8,13,7
88,111,9,16,10
88,114,0,18,0
88,115,113,104,121
88,116,46,48,49
88,118,28,14,30
88,92,8,7,9
88,94,152,158,165
88,95,37,50,40
88,51,23,23,26
88,53,3,0,3
88,97,42,44,46
88,10,29,41,31
88,98,97,142,105
88,54,3,0,3
88,99,3,12,7
88,11,1054,1417,1099
88,12,2002,2275,2103
88,57,45,18,45
88,13,2501,3279,2621
88,14,521,844,547
88,58,0,13,0
88,15,81,239,85
88,17,3,0,3
88,18,87,78,84
88,120,30,11,31
88,121,0,13,0
88,122,40,39,38
88,123,284,332,290
88,124,50,85,52
88,125,364,417,376
88,126,91,147,94
88,5,298,276,321
88,64,43,23,54
88,67,424,452,535
88,23,132,93,136
88,68,0,79,0
88,24,4,0,4
88,25,1,3,5
88,26,257,492,263
88,27,172,239,164
88,73,99,125,103
88,30,720,996,741
88,74,16,20,17
88,31,631,618,645
88,32,0,77,0
88,76,3,75,3
88,33,0,5,0
88,34,1029,1032,1095
88,35,250,285,260
88,36,12,4,3
88,39,0,9,0
88,100,0,27,0
88,103,3,13,3
88,104,4,25,4
88,105,4,4,4
88,107,22,16,25
88,80,13,22,14
88,81,232,365,258
88,109,0,3,0
88,83,109,56,121
88,40,281,441,286
88,84,13,5,14
88,41,113,72,115
89,45,0,3,0
89,46,929,954,947
89,47,619,528,624
89,48,4,6,4
89,49,3,0,3
89,110,29,14,28
89,111,9,13,10
89,113,1,6,3
89,114,32,62,34
89,115,67,81,72
89,116,76,69,81
89,90,12,18,12
89,91,3,8,3
89,118,6,10,6
89,92,31,12,35
89,119,12,2,12
89,51,2,0,0
89,96,47,63,51
89,52,29,7,33
89,53,58,29,66
89,10,12,196,12
89,11,1460,2674,1533
89,12,484,912,508
89,13,34,153,36
89,14,67,108,70
89,15,0,1,0
89,59,124,166,156
89,16,422,618,443
89,17,0,8,0
89,120,4,19,4
89,121,0,9,0
89,0,34,2,31
89,122,198,145,202
89,1,8,10,9
89,123,551,725,559
89,124,6,0,0
89,125,232,215,240
89,126,57,108,59
89,5,224,358,241
89,6,6,0,7
89,61,0,3,0
89,64,28,11,35
89,20,3,11,3
89,66,0,1,0
89,22,0,5,0
89,24,231,342,242
89,25,136,223,140
89,26,275,90,283
89,27,0,14,0
89,30,0,4,0
89,31,42,36,43
89,76,5,98,5
89,32,8,9,9
89,33,4,18,4
89,34,0,20,0
89,36,3,0,3
89,100,13,1,14
89,101,6,5,6
89,102,0,1,0
89,103,18,8,19
89,104,58,45,63
89,105,23,32,25
89,107,13,45,15
89,108,15,46,16
89,40,384,652,391
89,41,168,310,171
89,85,117,208,124
110,22,0,4,0
110,44,52,12,55
110,23,30,0,0
110,24,589,544,610
110,69,52,52,56
110,25,191,243,200
110,48,0,1,0
110,113,9,4,10
110,114,0,10,0
110,115,3,7,3
110,116,52,39,57
110,117,5,4,5
110,50,96,94,105
110,94,0,13,0
110,95,13,1,13
110,51,189,423,204
110,73,0,8,0
110,74,3,0,3
110,96,0,2,0
110,77,0,48,0
110,55,0,2,0
110,78,0,5,0
110,37,105,133,110
110,38,0,4,0
110,120,100,78,105
110,121,11,19,12
110,122,0,8,0
110,3,62,112,66
110,103,4,0,4
110,104,8,0,8
110,105,3,4,3
110,7,13,0,12
110,106,0,9,0
110,8,142,349,149
110,81,11,12,13
110,9,22,50,23
110,82,0,24,0
110,62,153,164,164
110,63,68,63,73
110,41,32,52,34
110,42,101,112,106
110,64,139,118,146
110,21,0,1,0
111,45,159,240,173
111,46,106,131,116
111,24,686,738,718
111,25,208,293,218
111,69,44,19,47
111,26,9,0,9
111,113,0,6,0
111,71,0,0,12
111,94,59,51,64
111,50,18,54,20
111,51,403,550,442
111,95,304,554,327
111,52,0,17,0
111,10,0,4,0
111,77,0,39,0
111,12,26,41,27
111,13,8,59,8
111,79,47,30,54
111,57,25,12,27
111,17,9,0,9
111,18,7,8,7
111,120,0,2,0
111,122,66,52,70
111,123,0,9,0
111,3,4,0,4
111,126,50,63,54
111,104,48,0,39
111,127,166,296,181
111,6,743,1290,786
111,105,60,39,63
111,7,976,2074,1028
111,106,0,17,45
111,8,1068,1205,1121
111,80,29,27,33
111,107,11,0,12
111,9,205,629,217
111,81,17,12,19
111,21,4,19,4
112,46,17,11,19
112,47,17,23,19
112,111,6,0,6
112,112,3,4,3
112,114,101,40,108
112,118,31,52,34
112,94,62,18,63
112,95,4,51,4
112,52,0,3,0
112,53,0,3,0
112,97,66,29,62
112,10,5,9,5
112,11,7,0,7
112,12,63,118,67
112,57,8,1,9
112,13,72,46,76
112,58,4,5,4
112,14,31,5,33
112,15,11,72,12
112,59,3,0,3
112,16,117,60,124
112,19,0,9,0
112,122,103,155,109
112,123,93,141,102
112,3,166,431,172
112,4,8,11,8
112,127,4,22,4
112,6,538,119,564
112,7,2575,2790,2666
112,8,4747,3365,4979
112,9,936,631,990
112,62,3,0,3
112,20,4,0,4
112,21,16,0,17
112,65,0,4,0
112,67,3,0,3
112,23,0,64,0
112,24,30,10,31
112,25,113,214,118
112,29,0,2,0
112,71,112,265,124
112,72,97,41,107
112,73,309,373,341
112,74,6,8,6
112,30,82,97,86
112,31,44,10,46
112,32,24,23,25
112,33,0,2,0
112,77,0,31,0
112,78,9,32,10
112,79,16,42,18
112,36,4,0,4
112,37,16,27,12
112,101,105,94,111
112,104,29,5,31
112,105,4,0,4
113,88,22,11,25
113,66,5,28,5
113,67,106,100,114
113,23,105,258,110
113,24,3,3,3
113,46,123,198,135
113,69,47,12,47
113,25,5,14,5
113,47,105,65,115
113,26,11,0,12
113,29,0,14,0
113,111,0,10,0
113,112,4,2,0
113,113,13,7,14
