x,y,Ind,Men,Men_1ind,Men_5ind,Men_coll,Men_fmp,Men_mais,Men_pauv,Men_prop,Men_surf,imputed
0,11,6,3,1.4,0,0.6,0.2,2.4,0.6,1.8,387.8,2
0,12,53.5,23.7,7.7,2,4.8,1.9,18.9,8.5,16.5,2529.6,2
0,13,4.5,2.5,0.6,0,0.9,0.4,1.6,0.2,1.7,211.6,2
0,14,4,2.2,0.6,0,0.7,0.4,1.5,0.2,1.5,188.1,1
0,38,107,48.6,14.1,2.4,2.2,5.5,46.4,10.7,42.9,5164.2,3
0,39,106,56,26.7,1.5,7.8,3.9,48.2,10.7,43.2,6065.5,1
0,40,56,23,7.1,2,1.3,3.8,21.7,4.5,20.4,2651.5,4
0,41,1,0.4,0.1,0,0,0.1,0.4,0.1,0.4,47.3,1
0,43,9,4.3,1.6,0.7,0.3,0,4,1,4,396.7,2
0,44,67.5,26.5,6.2,2.1,0,3,26.5,4.1,25.4,2990.1,1
0,45,25.5,16.4,12.2,0.4,3,1.6,13.4,7.4,10.8,2029,2
0,75,26,9.4,1.4,1,0,0,9.4,1,9,1129.2,2
0,80,3,1.1,0.3,0.1,0.1,0.1,1,0,1,163.5,1
0,86,2,0.9,0.3,0.1,0.1,0.1,0.8,0,0.8,115.3,1
0,88,4,1.8,0.5,0.2,0.2,0.1,1.6,0.1,1.6,230.5,1
0,90,5,2.5,0.9,0,0.2,0,2.3,0.2,2.1,292.7,1
0,91,2,1,0.4,0,0.1,0,0.9,0.1,0.9,117.1,1
0,100,6,2.1,0.9,0.5,0.2,0,1.9,0.2,2.1,255.5,1
0,119,7,2.5,1,0.6,0.2,0,2.3,0.2,2.5,298.1,1
0,120,1,0.8,0.6,0,0,0,0.8,0.2,0.7,43.9,1
0,121,11,9,7,0,0,0,9,2.6,7.9,482.5,3
0,123,45,16.9,2.8,2.1,2.2,2.1,14.7,3.1,11.6,1994.4,2
0,124,42,20,8,0.9,1.7,1.2,18.3,1.8,16.8,2398.2,3
0,125,73,26.6,2.8,1.8,0.8,0.8,25.8,1.8,23.3,3205.4,2
1,12,3,1.6,0.5,0,0.5,0.2,1.1,0.2,1,158.6,2
1,16,1,0.5,0.2,0,0,0,0.5,0,0.5,62.5,1
1,38,18,8.3,3.3,0.7,1,1.1,7.3,2.1,6.2,915,3
1,39,7,3.2,1.2,0.2,0.3,0.4,2.9,0.8,2.4,355.8,1
1,44,92,46.8,20.9,3.7,0.4,4,46.4,13.1,36.4,3650.7,1
1,45,23,10.3,4.9,1,2.4,1.5,7.9,3.4,6.4,1025.8,2
1,59,5,2.3,0.9,0.2,0.3,0.1,2,0.5,1.6,299.6,1
1,70,9,3.7,0.5,0.1,0.6,0,3.1,0,3.2,462.4,2
1,71,3,1.2,0.2,0,0.2,0,1,0,1.1,154.2,2
1,75,146,59.3,16.5,3.3,1,2,58.3,3.3,54.1,6700.9,1
1,76,14.5,5.2,0.8,0.6,0,0,5.2,0.6,5,629.7,1
1,88,2,0.9,0.3,0.1,0.1,0.1,0.8,0,0.8,115.3,1
1,91,9,4.5,1.6,0,0.3,0,4.2,0.3,3.9,526.8,1
1,96,13,5.3,1.2,0.2,0,0,5.3,0.6,4.6,589.7,2
1,97,14,7,2.2,0.1,0,0.6,7,0.6,6.6,684.1,2
1,119,1,0.4,0.1,0.1,0.1,0,0.3,0,0.4,42.6,1
1,120,14,11.5,9,0,0,0,11.5,3.6,10,614,2
1,121,2,1.6,1.2,0,0,0,1.6,0.4,1.4,87.8,2
1,122,17,8.1,3.2,0.3,0.7,0.5,7.4,0.8,6.8,970.7,2
1,123,139,69.1,31.8,2.3,16.6,5.4,52.5,12.6,45,7629.5,1
1,124,82,35.4,10,3.6,4.1,1.7,31.3,6.1,28.4,4350.6,3
1,125,6,2.4,0.1,0.1,0.1,0.1,2.3,0.1,2,266.5,1
2,14,7,3.9,1,0,1.3,0.7,2.6,0.3,2.6,329.2,2
