x,y,2018,2011
113,53,0.0,13.0
113,97,0.0,2.0
113,54,159.0,257.0
113,98,0.0,129.0
113,55,0.0,12.0
113,120,0.0,55.0
113,123,0.0,39.0
113,124,11.0,146.0
113,125,0.0,22.0
113,126,54.0,19.0
113,127,0.0,16.0
113,66,327.0,269.0
113,67,558.0,355.0
113,68,368.0,308.0
113,69,2315.0,1009.0
113,70,49.0,5.0
113,71,35.0,1.0
113,72,917.0,409.0
113,73,36.0,14.0
113,74,268.0,81.0
113,75,77.0,87.0
113,76,83.0,12.0
113,77,16.0,17.0
113,78,0.0,11.0
113,79,0.0,2.0
113,104,0.0,13.0
113,105,0.0,100.0
113,106,0.0,43.0
113,80,49.0,8.0
113,81,0.0,2.0
113,86,0.0,5.0
113,87,0.0,1.0
114,44,1809.0,478.0
114,88,0.0,15.0
114,89,0.0,17.0
114,46,6.0,258.0
114,47,0.0,26.0
114,49,197.0,377.0
114,110,0.0,30.0
114,111,0.0,1.0
114,114,0.0,15.0
114,115,0.0,30.0
114,116,0.0,2.0
114,117,0.0,51.0
114,90,0.0,16.0
114,91,0.0,35.0
114,118,0.0,19.0
114,119,0.0,26.0
114,92,0.0,44.0
114,93,0.0,15.0
114,94,0.0,32.0
114,50,225.0,542.0
114,51,60.0,280.0
114,52,15.0,123.0
114,53,31.0,230.0
114,97,0.0,21.0
114,54,111.0,262.0
114,98,0.0,60.0
114,55,0.0,3.0
114,122,0.0,75.0
114,123,0.0,11.0
114,124,178.0,274.0
114,125,0.0,33.0
114,126,0.0,1.0
114,127,0.0,15.0
114,66,0.0,6.0
114,67,5.0,7.0
114,68,9.0,3.0
114,69,24.0,12.0
114,70,0.0,7.0
114,71,0.0,123.0
114,72,32.0,83.0
114,73,6.0,27.0
114,74,22.0,27.0
114,76,288.0,130.0
114,77,316.0,239.0
114,78,11.0,8.0
114,79,0.0,1.0
114,105,0.0,173.0
114,106,0.0,5.0
114,108,0.0,3.0
114,81,0.0,31.0
114,109,0.0,31.0
114,82,9.0,32.0
114,85,0.0,1.0
114,86,0.0,17.0
114,87,0.0,4.0
115,44,1165.0,272.0
115,88,0.0,12.0
115,89,0.0,11.0
115,46,0.0,88.0
115,47,7.0,41.0
115,48,0.0,4.0
115,49,146.0,311.0
115,111,0.0,2.0
