x,y,dlt,tcd
15,2,,237
15,3,,218
15,4,,218
15,5,,218
15,6,,227
15,7,,171
15,8,,67
15,9,,68
15,10,2,107
15,11,2,120
15,12,2,121
15,13,2,92
15,14,,69
15,15,,173
16,0,,127
16,1,,127
16,2,,86
16,3,,15
16,4,,43
16,5,2,43
16,6,,71
16,7,,72
16,8,2,67
16,9,2,91
16,10,2,86
16,11,2,81
16,12,2,87
16,13,2,89
16,14,2,92
16,15,2,59
16,16,,154
16,17,,143
17,0,2,75
17,1,2,75
17,2,2,70
17,3,2,81
17,4,2,87
17,5,2,64
17,6,2,60
17,7,,35
17,8,,7
17,9,1,48
17,10,1,74
17,11,1,78
17,12,2,76
17,13,2,75
17,14,2,81
17,15,2,73
17,16,2,72
17,17,,52
17,18,,54
17,19,,193
17,20,,207
17,21,,251
18,0,2,36
18,1,2,32
18,2,2,13
18,3,2,34
18,4,2,33
18,5,,3
18,6,,41
18,8,,34
18,9,1,67
18,10,1,80
18,11,1,71
18,12,,64
18,13,2,79
18,14,2,47
18,15,,27
18,16,1,62
18,17,2,51
18,18,2,63
18,19,2,47
18,20,2,68
18,21,,102
18,22,,202
19,4,,12
19,5,,2
19,6,,13
19,7,,27
19,8,,3
19,9,1,36
19,10,1,81
19,11,1,86
19,12,2,90
19,13,2,78
19,14,2,57
19,15,,5
19,16,,21
19,17,,62
19,18,2,61
19,19,2,57
19,20,2,14
19,21,,42
19,22,,26
19,23,,43
19,24,,141
19,25,,178
19,26,,150
19,27,,141
20,3,,1
20,4,,13
20,5,,2
20,6,,38
20,7,,17
20,8,,43
20,9,1,66
20,10,1,85
20,11,1,85
20,12,1,86
20,13,2,84
20,14,2,28
20,15,,6
20,17,,34
20,18,,57
20,19,,20
20,20,,10
20,21,,2
20,22,,19
20,23,2,68
20,24,,47
20,25,,18
20,26,,1
20,27,,131
20,28,,254
20,125,,251
20,126,,146
20,127,,136
21,2,,11
21,3,,22
21,4,,20
21,5,,27
21,6,,18
21,7,,61
21,8,1,37
21,9,,29
21,10,2,75
21,11,2,78
21,12,1,64
21,13,2,56
21,14,,1
21,16,,14
21,17,,31
21,18,,13
21,19,,4
21,21,,22
21,23,,16
21,24,,25
21,26,,22
21,28,,163
21,125,,99
21,126,1,64
21,127,1,41
