x,y,ACCOMMODATION UNITS (ROOMS APARTMENTS CAMPING SITES) - TOTAL,A_AUSTRIAN TOURISTS,A_DOMESTIC TOURISTS - TOTAL,A_FOREIGN TOURISTS - TOTAL,A_GERMAN TOURISTS,A_ITALIAN TOURISTS,A_SLOVENIAN TOURISTS,ESTABLISHMENTS - TOTAL,NUMBER OF PERMANENT BEDS,N_AUSTRIAN TOURISTS,N_DOMESTIC TOURISTS - TOTAL,N_FOREIGN TOURISTS - TOTAL,N_GERMAN TOURISTS,N_ITALIAN TOURISTS,N_SLOVENIAN TOURISTS,TOTAL ARRIVALS,TOTAL NIGHTS
54,3,8,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0
55,2,6,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0
56,1,25,0,0,0,0,0,0,2,61,0,0,0,0,0,0,0,0
56,2,2,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
56,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
56,4,8,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0
57,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
57,1,356,0,0,0,0,0,0,23,747,0,0,0,0,0,0,0,0
57,3,18,0,0,0,0,0,0,1,38,0,0,0,0,0,0,0,0
58,0,9,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0
58,1,4,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0
58,2,226,0,0,0,0,0,0,30,414,0,0,0,0,0,0,0,0
58,3,19,18,254,808,77,11,20,6,57,22,790,980,86,15,24,1062,1770
58,4,8,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0
59,0,84,0,0,0,0,0,0,4,179,0,0,0,0,0,0,0,0
59,1,16,0,0,0,0,0,0,4,33,0,0,0,0,0,0,0,0
59,2,28,0,0,0,0,0,0,6,54,0,0,0,0,0,0,0,0
59,3,15,0,0,0,0,0,0,5,48,0,0,0,0,0,0,0,0
59,4,8,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0
59,5,129,0,0,0,0,0,0,2,247,0,0,0,0,0,0,0,0
59,6,4,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0
60,0,6,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0
60,1,10,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0
60,2,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
60,4,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
61,0,22,0,0,0,0,0,0,4,44,0,0,0,0,0,0,0,0
61,5,8,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0
61,6,5,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0
61,7,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
62,0,75,0,0,0,0,0,0,7,148,0,0,0,0,0,0,0,0
62,1,8,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0
62,2,4,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0
62,6,18,0,0,0,0,0,0,1,45,0,0,0,0,0,0,0,0
62,7,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
62,8,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
63,0,3,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0
63,6,59,0,0,0,0,0,0,3,139,0,0,0,0,0,0,0,0
63,8,11,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0
64,0,2,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0
64,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
64,3,7,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0
64,11,8,0,0,0,0,0,0,6,22,0,0,0,0,0,0,0,0
65,0,18,0,0,0,0,0,0,2,39,0,0,0,0,0,0,0,0
65,4,11,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0
65,6,3,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
65,7,402,0,0,0,0,0,0,31,750,0,0,0,0,0,0,0,0
65,10,10,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0
65,11,304,0,0,0,0,0,0,20,707,0,0,0,0,0,0,0,0
65,12,11,0,121,272,0,0,271,8,29,0,256,569,0,0,566,393,825
66,4,7,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0
66,5,5,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0
66,6,29,0,0,0,0,0,0,1,58,0,0,0,0,0,0,0,0
66,8,14,0,0,0,0,0,0,2,30,0,0,0,0,0,0,0,0
66,9,24,0,0,0,0,0,0,5,45,0,0,0,0,0,0,0,0
66,10,2,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
66,11,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
66,12,17,0,0,0,0,0,0,3,33,0,0,0,0,0,0,0,0
67,5,548,0,0,0,0,0,0,19,965,0,0,0,0,0,0,0,0
67,9,193,386,3479,4726,301,232,509,10,447,659,6514,7996,903,397,991,8205,14510
68,3,12,0,0,0,0,0,0,2,39,0,0,0,0,0,0,0,0
68,8,15,0,0,0,0,0,0,2,27,0,0,0,0,0,0,0,0
68,9,3,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
69,1,52,0,0,0,0,0,0,5,113,0,0,0,0,0,0,0,0
69,8,34,0,0,0,0,0,0,3,65,0,0,0,0,0,0,0,0
70,2,2,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0
70,6,74,0,0,0,0,0,0,6,140,0,0,0,0,0,0,0,0
70,8,13,0,0,0,0,0,0,2,24,0,0,0,0,0,0,0,0
70,9,19,0,0,0,0,0,0,2,40,0,0,0,0,0,0,0,0
71,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
71,4,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
72,5,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
72,6,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
72,8,29,0,0,0,0,0,0,1,61,0,0,0,0,0,0,0,0
73,3,4,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0
73,4,8,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0
73,5,105,0,0,0,0,0,0,6,201,0,0,0,0,0,0,0,0
73,8,7,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0
74,4,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
74,6,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
75,0,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
76,2,5,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0
76,3,4,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
77,1,5,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0
77,3,95,0,0,0,0,0,0,2,192,0,0,0,0,0,0,0,0
77,4,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
78,5,6,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0
79,0,5,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0
79,1,6,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0
80,1,25,0,0,0,0,0,0,3,51,0,0,0,0,0,0,0,0
82,1,9,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0
85,0,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
102,0,4,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0
104,0,22,0,0,0,0,0,0,5,45,0,0,0,0,0,0,0,0
104,1,5,0,0,0,0,0,0,5,20,0,0,0,0,0,0,0,0
105,0,8,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0
105,1,2,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0
