x,y,2018,2011
77,107,3.0,38.0
77,108,81.0,80.0
77,109,16.0,16.0
78,106,32.0,30.0
78,107,373.0,327.0
78,108,84.0,83.0
78,109,8.0,8.0
79,106,143.0,139.0
79,107,375.0,369.0
79,108,46.0,45.0
79,109,31.0,31.0
80,106,1028.0,1001.0
80,107,2472.0,2317.0
80,108,766.0,755.0
80,109,16.0,16.0
81,106,129.0,127.0
81,107,68.0,67.0
81,108,116.0,114.0
81,109,10.0,10.0
82,106,6.0,6.0
82,107,1.0,1.0
82,108,1.0,1.0
72,108,1.0,1.0
73,109,2.0,2.0
74,109,10.0,10.0
75,108,8.0,8.0
75,109,7.0,7.0
76,107,12.0,12.0
76,108,57.0,56.0
76,109,10.0,10.0
