x,y,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,TOTAL
0,14,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,5
0,15,4,0,7,0,0,14,14,0,14,3,2,9,17,12,1,1,4,5,8,0,115
0,16,2,2,9,0,0,5,10,0,16,4,0,11,13,15,0,2,1,2,6,0,98
0,17,0,0,0,0,0,2,1,0,2,0,0,2,2,3,0,0,0,1,1,0,14
0,18,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4
0,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,30,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,31,0,0,0,0,0,2,5,1,3,0,0,1,2,1,0,0,0,1,2,0,18
0,32,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3
0,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,34,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,35,0,0,0,0,0,3,1,0,0,0,0,1,1,2,0,0,0,0,0,0,8
0,36,0,0,1,0,0,3,3,2,1,0,0,0,3,3,0,0,0,0,1,0,17
0,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
0,49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,51,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
0,52,0,0,1,0,0,4,5,0,1,0,0,0,2,1,0,0,0,1,1,0,16
0,53,0,0,1,0,0,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,9
0,55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
1,14,0,0,0,0,0,0,5,0,1,0,0,3,0,0,0,0,0,0,0,0,9
1,15,1,0,0,0,0,2,9,0,1,0,0,7,5,1,0,1,0,1,1,0,29
1,16,0,0,2,0,0,1,4,1,2,0,0,0,1,1,0,1,1,0,2,0,16
1,17,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,25,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,4
1,27,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,30,0,0,2,0,0,3,5,0,2,0,0,0,0,0,0,0,0,0,2,0,14
1,31,0,0,1,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,6
1,33,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
1,36,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,39,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4
