x,y,TOT_P,avg_time_nearest_h
0,74,0,NA
0,75,0,NA
0,76,5,NA
0,77,0,NA
0,78,0,NA
0,79,0,NA
0,80,71,NA
0,81,73,NA
0,82,0,NA
0,83,131,NA
0,84,0,NA
0,85,0,NA
0,91,0,NA
0,92,0,NA
0,93,0,NA
0,94,0,NA
0,95,0,NA
0,102,0,NA
0,103,0,NA
0,104,26,NA
0,105,0,NA
0,106,0,NA
0,118,0,NA
0,119,39,NA
0,120,19,NA
0,121,0,NA
0,122,0,NA
0,123,27,NA
0,124,113,NA
1,77,0,NA
1,78,145,NA
1,79,0,NA
1,80,0,NA
1,81,0,NA
1,83,0,NA
1,84,159,NA
1,85,0,NA
1,90,0,NA
1,91,73,NA
1,92,0,NA
1,93,0,NA
1,105,0,NA
1,106,0,NA
1,118,0,NA
1,120,0,NA
1,121,0,NA
1,122,0,NA
1,123,13,NA
1,124,32,NA
1,125,68,NA
1,126,0,NA
1,127,0,NA
2,76,0,NA
2,77,0,NA
2,78,0,NA
2,79,0,NA
2,83,0,NA
2,84,0,NA
2,89,0,NA
2,90,0,NA
2,91,0,NA
2,92,60,NA
2,93,0,NA
2,119,0,NA
2,120,0,NA
2,121,40,NA
2,124,0,NA
2,125,0,NA
2,126,0,NA
2,127,0,NA
3,77,0,NA
3,78,0,NA
3,79,0,NA
3,80,0,NA
3,81,0,NA
3,84,0,NA
3,85,0,NA
3,89,0,NA
3,90,0,NA
3,91,0,NA
3,92,0,NA
3,93,0,NA
3,94,0,NA
3,95,0,NA
3,118,0,NA
3,119,0,NA
3,120,0,NA
3,121,0,NA
3,126,0,NA
4,77,0,NA
4,78,138,NA
4,79,0,NA
4,80,0,NA
4,81,0,NA
4,83,0,NA
4,91,0,NA
4,92,0,NA
4,93,0,NA
4,94,66,NA
4,95,0,NA
4,113,0,NA
4,116,0,NA
4,117,0,NA
4,118,0,NA
4,119,70,NA
4,120,0,NA
5,78,0,NA
5,79,15,NA
5,80,85,NA
5,81,0,NA
5,94,0,NA
5,95,0,NA
5,96,0,NA
5,113,6,NA
5,114,0,NA
5,115,44,NA
5,116,0,NA
5,117,0,NA
5,119,0,NA
5,120,0,NA
5,124,0,NA
5,125,0,NA
5,126,0,NA
6,77,6,NA
6,78,0,NA
6,79,5,NA
6,80,0,NA
6,81,0,NA
6,107,0,NA
6,114,0,NA
6,115,0,NA
6,116,3,NA
6,125,78,NA
6,126,0,NA
6,127,0,NA
7,77,0,NA
7,78,0,NA
7,79,83,NA
7,80,0,NA
7,81,0,NA
7,105,0,NA
7,106,0,NA
7,107,0,NA
7,127,0,NA
8,80,0,NA
8,102,0,NA
8,103,0,NA
8,105,0,NA
8,106,0,NA
8,107,0,NA
9,102,0,NA
9,103,0,NA
9,104,77,NA
9,107,0,NA
9,108,0,NA
9,110,0,NA
10,102,0,NA
10,103,0,NA
10,105,0,NA
10,106,0,NA
10,107,0,NA
10,108,0,NA
10,109,0,NA
10,110,0,NA
10,111,0,NA
10,112,0,NA
11,109,0,NA
11,110,0,NA
11,111,83,NA
12,110,0,NA
12,111,0,NA
13,94,0,NA
13,95,0,NA
13,96,0,NA
14,95,0,NA
14,96,45,NA
14,102,0,NA
14,106,0,NA
14,107,0,NA
14,108,0,NA
14,109,0,NA
15,96,0,NA
15,97,0,NA
15,101,0,NA
15,108,0,NA
15,109,0,NA
15,110,0,NA
16,96,0,NA
16,97,0,NA
16,99,0,NA
16,100,56,NA
16,101,0,NA
16,102,0,NA
16,108,0,NA
16,109,0,NA
16,110,0,NA
17,88,0,NA
17,93,0,NA
17,94,0,NA
17,95,0,NA
17,96,0,NA
17,97,0,NA
17,98,19,NA
17,99,0,NA
17,100,0,NA
17,102,0,NA
17,109,0,NA
17,110,67,NA
17,111,0,NA
18,93,0,NA
18,94,0,NA
18,95,75,NA
18,96,0,NA
18,97,0,NA
18,99,0,NA
18,100,0,NA
18,111,0,NA
19,93,3,NA
19,94,0,NA
19,95,0,NA
19,96,42,NA
19,97,0,NA
19,100,73,NA
19,101,0,NA
19,111,0,NA
19,112,0,NA
20,93,0,NA
20,95,0,NA
20,96,0,NA
20,97,0,NA
20,110,31,NA
20,111,0,NA
20,112,3,NA
20,113,0,NA
21,96,0,NA
21,97,0,NA
21,111,0,NA
21,112,49,NA
21,113,0,NA
21,114,0,NA
21,115,0,NA
21,116,0,NA
22,111,0,NA
22,112,44,NA
22,113,0,NA
22,114,0,NA
22,115,83,NA
22,116,0,NA
23,111,56,NA
23,112,19,NA
23,115,0,NA
23,116,0,NA
24,111,0,NA
24,112,48,NA
24,116,0,NA
24,117,0,NA
25,112,0,NA
25,113,0,NA
25,116,0,NA
26,112,0,NA
26,113,0,NA
27,112,0,NA
27,113,0,NA
27,114,0,NA
28,113,0,NA
28,114,5,NA
29,114,92,NA
30,114,0,NA
30,115,0,NA
30,116,0,NA
31,113,0,NA
31,114,0,NA
31,115,0,NA
31,122,0,NA
32,121,0,NA
32,122,46,NA
32,123,0,NA
32,124,0,NA
33,122,0,NA
33,123,0,NA
33,124,0,NA
34,124,23,NA
34,125,0,NA
35,124,0,NA
35,125,0,NA
