x,y,TOT_P,avg_time_nearest_h
0,1,21,NA
0,3,36,NA
0,6,12,NA
0,7,2,NA
0,11,44,NA
0,12,15,NA
0,20,24,NA
0,21,5,NA
0,22,1725,NA
0,23,8,NA
0,24,60,NA
0,26,12,NA
0,27,2,NA
0,28,366,NA
0,29,278,NA
0,32,252,NA
0,33,59,NA
0,34,313,NA
0,35,90,NA
0,36,4,NA
0,37,3,NA
0,38,73,NA
0,39,63,NA
0,41,60,NA
0,42,132,NA
0,43,684,NA
0,44,18,NA
0,45,39,NA
0,46,247,NA
0,48,228,NA
0,49,45,NA
0,51,93,NA
0,52,381,NA
0,53,33,NA
0,54,3,NA
0,55,16,NA
0,56,45,NA
0,57,6,NA
0,58,9,NA
0,59,3,NA
0,60,82,NA
0,61,663,NA
0,62,4,NA
0,63,4,NA
0,65,10,NA
0,66,8,NA
0,68,7,NA
0,69,107,NA
0,70,1495,NA
0,71,2096,NA
0,74,56,NA
0,77,22,NA
0,80,7,NA
0,81,23,NA
0,82,509,NA
0,83,1408,NA
0,84,2377,NA
0,85,1575,NA
0,86,877,NA
0,87,0,NA
0,88,102,NA
0,89,1650,NA
0,90,313,NA
0,91,723,NA
0,92,905,NA
0,93,311,NA
0,95,3,NA
0,96,7,NA
0,97,33,NA
0,100,8,NA
0,101,576,NA
0,102,404,NA
0,103,48,NA
0,104,1816,NA
0,105,2244,NA
0,106,5967,NA
0,107,3982,NA
0,108,1888,NA
0,109,2868,NA
0,110,4100,NA
0,111,1939,NA
0,113,125,NA
0,114,180,NA
0,115,629,NA
0,116,32,NA
0,117,76,NA
0,118,101,NA
0,119,1567,NA
0,120,936,NA
0,121,13,NA
0,122,17,NA
0,124,213,NA
1,1,70,NA
1,2,13,NA
1,5,204,NA
1,7,3,NA
1,8,92,NA
1,9,5,NA
1,10,36,NA
1,13,288,NA
1,14,12,NA
1,15,2,NA
1,16,0,NA
1,17,8,NA
1,18,35,NA
1,19,35,NA
1,21,252,NA
1,22,993,NA
1,23,21,NA
1,24,9,NA
1,25,3,NA
1,26,50,NA
1,27,7,NA
1,28,26,NA
1,29,6,NA
1,37,22,NA
1,38,1,NA
1,39,1660,NA
1,40,352,NA
1,41,96,NA
1,42,27,NA
1,43,48,NA
1,45,4,NA
1,47,15,NA
1,48,11,NA
1,49,299,NA
1,50,1329,NA
1,51,77,NA
1,52,13,NA
1,53,12,NA
1,54,12,NA
1,55,26,NA
1,56,14,NA
1,57,13,NA
1,58,2,NA
1,59,15,NA
1,60,1324,NA
1,61,781,NA
1,62,1,NA
1,63,142,NA
1,64,626,NA
1,65,1310,NA
1,66,22,NA
1,67,10,NA
1,69,73,NA
1,70,653,NA
1,71,272,NA
1,73,6,NA
1,75,1,NA
1,78,4,NA
1,79,1,NA
1,80,3,NA
1,81,24,NA
1,83,8,NA
1,85,1,NA
1,86,26,NA
1,87,3,NA
1,90,9,NA
1,92,4,NA
1,93,32,NA
1,94,10,NA
1,95,3,NA
1,96,11,NA
1,97,1503,NA
1,98,1195,NA
1,99,15,NA
1,100,8,NA
1,101,11,NA
1,102,2,NA
1,103,15,NA
1,104,877,NA
1,105,1256,NA
1,106,1086,NA
1,107,4580,NA
1,108,416,NA
1,109,2057,NA
1,110,2801,NA
1,111,3998,NA
1,112,1022,NA
1,113,348,NA
1,115,16,NA
1,116,20,NA
1,117,621,NA
1,118,1931,NA
1,119,559,NA
1,120,1262,NA
1,121,52,NA
1,124,4,NA
1,125,4,NA
2,2,1,NA
2,7,62,NA
2,8,148,NA
2,9,155,NA
2,11,18,NA
2,12,44,NA
2,14,147,NA
2,15,124,NA
2,17,6,NA
2,18,0,NA
2,19,12,NA
2,22,456,NA
2,23,173,NA
2,26,9,NA
2,27,12,NA
2,30,18,NA
2,31,11,NA
2,32,49,NA
2,34,0,NA
2,35,2,NA
2,36,37,NA
2,37,49,NA
2,38,5,NA
2,39,8,NA
2,40,12,NA
2,42,137,NA
2,43,1973,NA
2,45,884,NA
2,47,399,NA
2,48,251,NA
2,49,219,NA
2,50,385,NA
2,51,77,NA
2,52,2,NA
2,54,20,NA
2,57,34,NA
2,58,11,NA
2,59,199,NA
2,60,6,NA
2,61,3,NA
2,62,14,NA
2,63,410,NA
2,64,1380,NA
2,65,27,NA
2,66,9,NA
2,67,67,NA
2,68,105,NA
2,69,35,NA
2,70,10,NA
2,71,45,NA
2,74,2,NA
2,75,12,NA
2,77,4,NA
2,78,2,NA
2,79,3,NA
2,81,4,NA
2,83,41,NA
2,89,20,NA
2,94,126,NA
2,95,10,NA
2,96,7,NA
2,97,1104,NA
2,98,1162,NA
2,100,30,NA
2,101,5,NA
2,106,49,NA
2,107,5399,NA
2,108,5896,NA
2,109,1091,NA
2,110,7,NA
2,111,1608,NA
2,112,161,NA
2,113,6,NA
2,114,11,NA
2,115,40,NA
2,117,5,NA
2,118,1810,NA
2,119,97,NA
2,120,32,NA
2,123,12,NA
2,124,11,NA
2,125,10,NA
2,127,3,NA
3,3,295,NA
3,4,50,NA
3,7,5,NA
3,8,97,NA
3,11,24,NA
3,12,0,NA
3,13,7,NA
3,17,445,NA
3,19,25,NA
3,20,7,NA
3,21,10,NA
3,22,108,NA
3,24,4,NA
3,26,298,NA
3,27,21,NA
3,29,117,NA
3,30,701,NA
3,34,12,NA
3,36,7,NA
3,37,164,NA
3,38,21,NA
3,40,18,NA
3,41,34,NA
3,42,1252,NA
3,43,3333,NA
3,44,5,NA
3,46,1450,NA
3,47,281,NA
3,48,5,NA
3,49,144,NA
3,50,1,NA
3,51,20,NA
3,52,16,NA
3,53,4,NA
3,55,10,NA
3,57,68,NA
3,58,272,NA
3,59,175,NA
3,60,30,NA
3,62,14,NA
3,63,5,NA
3,67,0,NA
3,69,12,NA
3,70,277,NA
3,71,1094,NA
3,73,8,NA
3,74,13,NA
3,75,44,NA
3,76,8,NA
3,79,39,NA
3,84,24,NA
3,88,10,NA
3,89,0,NA
3,90,93,NA
3,91,143,NA
3,92,54,NA
3,93,33,NA
3,94,128,NA
3,95,555,NA
3,96,794,NA
3,97,67,NA
3,100,5,NA
3,101,4,NA
3,105,1146,NA
3,106,1134,NA
3,107,3368,NA
3,108,5065,NA
3,109,3939,NA
3,111,381,NA
3,112,3,NA
3,114,7,NA
3,115,14,NA
3,116,25,NA
3,117,8,NA
3,118,1044,NA
3,121,10,NA
3,122,6,NA
3,123,42,NA
3,124,3,NA
3,125,723,NA
3,126,392,NA
3,127,337,NA
4,1,28,NA
4,2,0,NA
4,3,44,NA
4,6,7,NA
4,8,37,NA
4,10,8,NA
4,12,4,NA
4,13,130,NA
4,15,9,NA
4,17,3,NA
4,19,19,NA
4,20,2520,NA
4,21,3217,NA
4,22,2843,NA
4,23,2729,NA
4,24,56,NA
4,25,18,NA
4,26,101,NA
4,27,3,NA
4,28,11,NA
4,30,278,NA
4,33,3,NA
4,35,14,NA
4,37,99,NA
4,39,15,NA
4,42,1518,NA
4,43,1615,NA
4,45,21,NA
4,46,141,NA
4,47,4,NA
4,48,19,NA
4,49,2,NA
4,50,286,NA
4,51,7,NA
4,52,346,NA
4,53,11,NA
4,54,4,NA
4,55,40,NA
4,56,24,NA
4,57,257,NA
4,58,8,NA
4,59,13,NA
4,60,86,NA
4,61,258,NA
4,62,6,NA
4,63,10,NA
4,64,11,NA
4,65,244,NA
4,66,31,NA
4,67,22,NA
4,69,301,NA
4,70,1052,NA
4,71,2033,NA
4,72,2117,NA
4,74,14,NA
4,75,5,NA
4,76,1,NA
4,77,0,NA
4,78,4,NA
4,84,7,NA
4,85,4,NA
4,87,9,NA
4,90,323,NA
4,91,426,NA
4,93,125,NA
4,94,9,NA
4,95,962,NA
4,96,3495,NA
4,97,5,NA
4,98,5,NA
4,99,42,NA
4,101,2004,NA
4,102,3801,NA
4,103,53,NA
4,104,1215,NA
4,105,3663,NA
4,106,2425,NA
4,107,615,NA
4,108,5815,NA
4,109,4139,NA
4,110,174,NA
4,112,35,NA
4,114,7,NA
4,116,18,NA
4,117,16,NA
4,118,31,NA
4,119,13,NA
4,122,8,NA
4,123,25,NA
4,124,17,NA
4,126,23,NA
4,127,63,NA
5,2,65,NA
5,7,7,NA
5,10,87,NA
5,14,20,NA
5,20,2316,NA
5,21,2450,NA
5,22,2679,NA
5,23,4838,NA
5,24,16,NA
5,25,4,NA
5,26,40,NA
5,27,27,NA
5,28,13,NA
5,29,38,NA
5,32,490,NA
5,34,34,NA
5,35,0,NA
5,36,6,NA
5,37,472,NA
5,38,26,NA
5,41,8,NA
5,42,92,NA
5,43,249,NA
5,44,2,NA
5,45,55,NA
5,46,10,NA
5,47,0,NA
5,49,53,NA
5,50,14,NA
5,51,7,NA
5,52,5,NA
5,53,72,NA
5,54,16,NA
5,55,282,NA
5,56,556,NA
5,57,2658,NA
5,58,471,NA
5,59,6,NA
5,60,8,NA
5,61,15,NA
5,67,11,NA
5,68,8,NA
5,69,154,NA
5,70,25,NA
5,71,1554,NA
5,72,2489,NA
5,73,0,NA
5,80,10,NA
5,81,2,NA
5,82,9,NA
5,83,13,NA
5,84,176,NA
5,85,20,NA
5,87,3,NA
5,89,55,NA
5,90,123,NA
5,91,17,NA
5,93,32,NA
5,94,1,NA
5,95,2001,NA
5,96,292,NA
5,97,7,NA
5,100,17,NA
5,101,3085,NA
5,102,2429,NA
5,104,1375,NA
5,105,4478,NA
5,106,2336,NA
5,107,307,NA
5,108,249,NA
5,109,154,NA
5,110,1164,NA
5,111,26,NA
5,112,4,NA
5,113,4,NA
5,115,138,NA
5,116,30,NA
5,117,3,NA
5,118,164,NA
5,119,19,NA
5,120,116,NA
5,122,23,NA
5,123,56,NA
5,124,11,NA
5,125,20,NA
5,126,23,NA
5,127,113,NA
6,4,49,NA
6,5,0,NA
6,6,41,NA
6,7,12,NA
6,11,3,NA
6,12,109,NA
6,13,303,NA
6,16,50,NA
6,18,7,NA
6,19,439,NA
6,20,74,NA
6,21,1454,NA
6,22,1745,NA
6,23,487,NA
6,26,5,NA
6,27,4,NA
6,28,71,NA
6,30,0,NA
6,31,6,NA
6,33,505,NA
6,34,225,NA
6,35,0,NA
6,37,0,NA
6,38,381,NA
6,41,6,NA
6,42,1098,NA
6,45,3,NA
6,46,63,NA
6,47,25,NA
6,52,438,NA
6,53,178,NA
6,55,8,NA
6,56,639,NA
6,57,2039,NA
6,58,297,NA
6,59,8,NA
6,60,11,NA
6,61,4,NA
6,63,7,NA
6,65,3,NA
6,67,15,NA
6,68,46,NA
6,69,3,NA
6,70,2,NA
6,71,84,NA
6,72,111,NA
6,73,244,NA
6,74,573,NA
6,75,6,NA
6,76,173,NA
6,77,12,NA
6,79,20,NA
6,81,15,NA
6,82,23,NA
6,84,69,NA
6,86,15,NA
6,87,21,NA
6,89,3,NA
6,90,6,NA
6,91,66,NA
6,92,7,NA
6,94,28,NA
6,95,293,NA
6,96,34,NA
6,98,3,NA
6,99,9,NA
6,100,26,NA
6,101,751,NA
6,102,1102,NA
6,103,250,NA
6,104,1972,NA
6,105,1899,NA
6,106,146,NA
6,107,111,NA
6,108,3114,NA
6,109,2281,NA
6,110,2904,NA
6,111,3002,NA
6,112,1330,NA
6,113,882,NA
6,114,10,NA
6,116,6,NA
6,117,12,NA
6,118,79,NA
6,120,15,NA
6,122,41,NA
6,123,45,NA
6,124,4,NA
6,125,177,NA
6,126,89,NA
6,127,543,NA
7,1,0,NA
7,2,10,NA
7,8,14,NA
7,12,19,NA
7,13,132,NA
7,14,4,NA
7,15,11,NA
7,17,31,NA
7,19,2,NA
7,21,6,NA
7,22,57,NA
7,23,34,NA
7,25,28,NA
7,26,378,NA
7,27,2,NA
7,32,21,NA
7,33,82,NA
7,34,57,NA
7,35,3,NA
7,37,22,NA
7,38,118,NA
7,39,150,NA
7,41,46,NA
7,42,889,NA
7,43,305,NA
7,44,171,NA
7,45,16,NA
7,46,147,NA
7,49,279,NA
7,51,12,NA
7,52,129,NA
7,53,26,NA
7,54,47,NA
7,55,32,NA
7,56,0,NA
7,57,66,NA
7,58,20,NA
7,59,91,NA
7,60,5,NA
7,61,48,NA
7,62,4,NA
7,64,2,NA
7,66,0,NA
7,67,67,NA
7,68,0,NA
7,71,52,NA
7,72,223,NA
7,73,55,NA
7,74,325,NA
7,75,16,NA
7,76,14,NA
7,77,20,NA
7,78,408,NA
7,79,10,NA
7,80,3,NA
7,81,7,NA
7,82,22,NA
7,83,19,NA
7,84,1011,NA
7,85,21,NA
