x,y,Ind,Men,Men_1ind,Men_5ind,Men_coll,Men_fmp,Men_mais,Men_pauv,Men_prop,Men_surf,imputed
0,0,912.5,394.5,125.3,26.4,7.5,23.5,387,79,324.2,44194,177
0,1,3010,1263,368.2,87.2,72.5,89.6,1190.5,170.3,1029.6,136453.5,350
0,2,2537.5,1192.2,425.1,52.3,169.9,88.4,1022.3,203.8,874,120602.5,361
0,3,857.5,399.3,150.1,22.4,3.5,29,395.8,108.8,313.7,42146.9,233
0,4,1375.5,666.7,258,35.2,71,47.4,595.7,136.1,431.9,67353.9,269
0,5,1409.5,654.3,209.8,22.6,33,45.2,621.3,114.4,471.5,64226.2,274
0,6,2448.5,1106.9,335.1,50,78.9,90.3,1028,157.6,807,107312.4,306
0,7,5457.5,2713.8,1075.2,94.5,538.2,245,2175.6,338.9,1759.2,238951.6,371
0,8,655,310.4,102,13.8,9.9,28.4,300.5,63.4,224.5,29500.6,186
0,9,807.5,433.1,185.4,8.2,38.5,32.7,394.6,70.3,303.6,39129.9,146
0,10,716,361.4,143.1,11.8,9,33.7,352.4,70.6,287.5,35834.4,178
0,11,939,443.1,156.6,18.5,12,43.3,431.1,76.5,326.4,43632.7,186
0,12,786.5,422.2,192.3,10.6,11.9,20.9,410.3,89,333.4,41277.7,158
0,13,761,364.8,138.3,17,11.9,27.7,352.9,71,280.7,35702.1,151
0,14,2558.5,1321.8,571.6,39.5,185.8,123,1136,223.5,955,129410.5,245
0,15,885.5,452.3,195.4,18.6,9.7,31.6,442.6,89.5,366.5,43784.2,141
0,16,724,375,169.1,16,29,32.1,346,89.7,285.2,37073.1,84
0,17,1365.5,653.4,243,39.7,43.6,55,609.8,106.9,523.3,62454,137
0,18,2357,1120.4,409.7,35.1,52.9,104.1,1067.5,153.1,891.3,108312,146
0,19,7206.5,3263.1,1038.5,135,245.5,343,3017.6,318.7,2427.4,314809.9,194
0,20,18546,8657.7,3269.4,478,3364.5,1046.5,5293.2,1043.7,4906.7,719839.5,263
0,21,6224.5,2620.6,709.1,121.1,180.3,242.3,2440.3,169.6,2127.9,270652.2,187
0,22,5768,2541.6,859.9,156.2,347.1,266.8,2194.5,368.3,1912,240581.4,189
0,23,1516,677.7,223.8,38.9,14.9,49.3,662.8,80,593.3,69703.2,130
0,24,1100,498.7,170.7,28.5,12.2,38.4,486.5,65.4,436.6,55267,131
0,25,2712.5,1231.7,428.6,76.1,163.3,127.7,1068.4,177.4,901.3,127218,130
0,26,1111.5,503.3,163.9,28.2,16.7,34.1,486.6,63.5,398.3,55454,100
0,27,2557,1013.2,234,75.6,8.2,87.3,1005,86.4,805.1,113034,146
0,28,8633,3751.9,1306.9,290.9,1179.7,419.7,2572.2,574.2,1921.1,341217.4,163
0,29,3703,1609.5,535.3,110.9,196.9,129.8,1412.6,221.6,1095.8,161633,124
0,30,2851.5,1214.7,374,86.7,122.9,119.3,1091.8,148.5,840.7,118086.8,156
0,31,1476.5,597.1,159.8,52.9,11.5,43.1,585.6,74.5,515.2,66437.3,189
0,32,4830,2181.6,786.1,143,286.5,202.8,1895.1,321.7,1338.1,204018.8,285
0,33,2577,1011.2,229.2,91,31.8,92.3,979.4,93.9,845.9,102915.7,215
0,34,10467,4220,1089.7,321.6,405.1,377.7,3814.9,379.8,3300.5,413759,277
0,35,5985.5,2491.2,774,217.8,492.7,265.3,1998.5,429.1,1656.4,230826.7,190
0,36,1764,698.4,173.8,52.6,20.1,47.4,678.3,90.7,568.4,79021.8,143
0,37,6516,2601.5,641.9,198.1,218.7,232.7,2382.8,276.5,1981.7,262963.3,207
0,38,6235,2466.5,517.5,186.8,101.2,220.4,2365.3,194.9,1987.9,249539.1,206
0,39,7487,3065.5,862.9,257.9,347.3,340.5,2718.2,425.2,2187.4,286642.1,244
0,40,4752.5,1988.8,519.2,118.5,74,180.6,1914.8,247.8,1583.6,198081.1,185
0,41,10650.5,4624,1544.8,340.8,1095.1,567.6,3528.9,991.9,2627.5,423983.4,189
0,42,6370.5,2586.4,611.9,167,40,208,2546.4,279.6,2109.2,279021.5,167
0,43,21175,9600.4,3402.9,595,3373.8,1305,6226.6,1815,4915.8,836435.3,200
0,44,7534.5,3053.2,787,238.8,241,283.6,2812.2,497.9,2214.7,318889.5,166
0,45,9370.5,3758.5,1030.8,338.8,88.1,388.7,3670.4,647.2,2799.4,403526,196
0,46,18300,7502.6,2151.1,588.7,779.1,845.6,6723.5,1279.7,4972.1,723251,267
0,47,21342,8586.2,2237,663.5,335,876.7,8251.2,1268.7,6254.1,858340.6,262
0,48,62192.5,24573.6,6778,2493,2045.2,3196.2,22528.4,5131.8,14087,2183095,363
0,49,24544,9580.6,2379.9,829,438.1,1009.8,9142.5,1369.7,6396.8,948572,506
0,50,23207,9210.3,2322.9,727.2,1287.2,932.6,7923.1,887.5,6158.1,952751.6,550
0,51,24366,9298.2,2026.2,831.9,711.6,923.4,8586.6,601.2,6974.9,1013400.4,245
0,52,123675.5,47443.6,13618.5,5754.5,14435.3,7053.1,33008.3,10828.7,25111.6,3908415.8,244
0,53,18989,7312,2180.9,928.8,2665,1198,4647,2035.9,3442,579576.7,21
1,0,23661,9766.5,2435.2,642.4,1361.2,794.1,8405.3,735,7573.7,1024308.5,868
1,1,4993.5,1984.1,453,163,166.8,118.8,1817.3,195.5,1665.8,216700.7,541
1,2,1583,677.5,218.1,45.4,43.6,49,633.9,115,547.8,75616.5,326
1,3,1424,667.1,220.3,31.6,63.5,32.6,603.6,133.1,514,73459.4,335
1,4,1288,566.8,186,36.8,4,45.1,562.8,104.8,436.5,59488.8,313
1,5,8255,3984.8,1548.8,171,1401.6,367.7,2583.2,657,2312.5,356204.8,470
1,6,1354.5,611,198.1,22.8,53.7,28.9,557.3,105.7,484.9,62229.1,274
1,7,983,463.3,144.1,17.1,12.4,22.4,450.9,82.3,361.7,47724.9,248
1,8,854,426.3,155.3,10.7,15.5,25.4,410.8,84.8,332.8,42006.3,199
1,9,851.5,427.6,174.2,17.2,23.3,30.3,404.3,103.8,319,40549.8,227
